,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2017-03-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-03-01,0,0,1,1,1,1,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,3,0,0,0,3,0,3
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,2,0,0,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,2,2,0,0,2,2,4
GUANAY,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,0,0,1,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2017-04-01,1,1,0,0,1,1,2
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,0,1,0,1,0,2,2
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,0,1,0,1,0,2,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,0,1,2,0,2,1,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,0,0,2,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,0,0,2,2,2,2,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,2,0,1,0,3,0,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,3,0,1,0,4,0,4
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,1,0,1,0,2,0,2
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,0,1,0,0,0,1,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2017-05-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,1,0,1,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,0,0,1,1,1,1,2
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,0,1,0,2,0,3,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,2,0,2,0,4,0,4
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,3,0,0,0,3,0,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,0,0,2,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,0,1,3,0,3,1,4
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2017-06-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,0,2,0,0,0,2,2
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,0,0,0,1,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,2,1,1,1,3,2,5
COCAPATA,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,0,1,0,1,0,2,2
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,2,0,1,0,3,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,0,0,2,0,2,0,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,0,0,0,1,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,1,0,1,0,2,0,2
WALDO BALLIVIAN,leishmaniasis,tratamientos de leishmania mucosa,2017-07-01,1,0,0,0,1,0,1
BAURES,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,1,0,0,0,1,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,0,0,0,1,0,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,0,0,2,1,2,1,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,2,0,2,0,4,0,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,2,0,2,0,4,0,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,1,1,0,0,1,1,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,0,0,2,0,2,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,1,0,2,2,3,2,5
WALDO BALLIVIAN,leishmaniasis,tratamientos de leishmania mucosa,2017-08-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2017-09-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2017-09-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-09-01,2,0,1,0,3,0,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2017-09-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-09-01,0,0,1,1,1,1,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2017-09-01,3,0,1,0,4,0,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2017-09-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,2,0,0,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,0,0,0,1,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,2,1,0,0,2,1,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,2,0,1,0,3,0,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,2,2,0,0,2,2,4
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,1,0,0,0,1,0,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,2,0,0,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2017-10-01,1,0,0,0,1,0,1
AZURDUY,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,1,0,0,0,1,1
BAURES,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,1,2,0,2,1,3
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,2,0,1,2,3,2,5
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,2,1,4,1,6,2,8
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,2,0,0,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,4,0,2,0,6,0,6
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,1,0,0,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,4,2,2,1,6,3,9
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,0,0,0,0,0,0
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,1,1,0,0,1,1,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,2,0,2,0,4,0,4
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,0,2,0,2,0,2
SENA,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2017-11-01,0,2,0,0,0,2,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,1,2,0,1,1,3,4
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,1,1,2,1,3,2,5
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,2,1,2,1,3
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,2,0,4,0,6,0,6
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,1,0,2,0,3,0,3
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,1,0,0,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,1,1,1,1,2,3
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,0,0,0,0,0
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,1,1,1,1,2
SENA,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2017-12-01,0,0,0,2,0,2,2
