,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
BATALLAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-03-01,0,0,2,0,2,0,2
COTAGAITA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-03-01,0,0,2,0,2,0,2
CUEVO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-03-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-03-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-03-01,0,0,3,16,3,16,19
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-03-01,0,3,0,0,0,3,3
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-03-01,6,0,0,0,6,0,6
COTAGAITA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-04-01,0,0,10,0,10,0,10
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-04-01,0,1,0,0,0,1,1
ESMERALDA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-04-01,0,0,3,0,3,0,3
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-04-01,2,2,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-04-01,1,2,0,0,1,2,3
VALLEGRANDE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-04-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-04-01,3,0,0,0,3,0,3
"CAIZA ""D""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,8,13,0,0,8,13,21
COROICO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,0,0,1,0,1,0,1
COTAGAITA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,0,0,11,0,11,0,11
CURVA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,2,4,0,0,2,4,6
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,0,18,0,0,0,18,18
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,2,1,0,0,2,1,3
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,2,0,0,0,2,0,2
YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-05-01,0,0,2,0,2,0,2
ATOCHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,0,0,2,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,2,0,0,0,2,2
"COLCHA ""K""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,3,0,5,0,8,8
EL PUENTE(TJA),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,0,4,0,4,0,4
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,2,3,0,0,2,3,5
POCOATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,1,0,0,0,1,0,1
SABAYA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,5,10,0,0,5,10,15
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,1,4,0,0,1,4,5
SAPAHAQUI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,4,0,0,0,4,4
TOLEDO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,5,0,0,0,5,0,5
URIONDO (A. CONCEPCION),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,0,0,0,1,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-06-01,2,1,0,0,2,1,3
CARANAVI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,1,3,0,0,1,3,4
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,0,0,0,66,0,66,66
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,1,4,0,0,1,4,5
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,0,1,0,0,0,1,1
POCOATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,0,0,2,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,0,13,0,0,0,13,13
ROBORE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,7,3,0,0,7,3,10
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,1,3,0,0,1,3,4
VIACHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,0,0,2,0,2,0,2
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-07-01,1,0,0,0,1,0,1
BATALLAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,0,7,0,0,0,7,7
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,4,2,0,0,4,2,6
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,0,1,0,0,0,1,1
ROBORE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,0,0,0,1,0,1,1
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,0,1,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,0,0,0,1,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-08-01,3,0,0,0,3,0,3
COPACABANA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,3,9,135,4,138,13,151
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,1,1,0,0,1,1,2
PORCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,0,1,0,0,0,1,1
ROBORE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-09-01,4,1,0,0,4,1,5
CARAPARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,6,12,0,0,6,12,18
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,0,0,0,3,0,3,3
ROBORE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,0,3,0,0,0,3,3
SAN PABLO DE LIPEZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,0,3,0,0,0,3,3
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,1,0,0,0,1,0,1
VALLEGRANDE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-10-01,4,1,0,0,4,1,5
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,0,2,3,3,3,5,8
IRUPANA (VILLA DE LANZA),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,1,3,2,19,3,22,25
LAGUNILLAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,1,4,0,0,1,4,5
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-11-01,2,1,0,0,2,1,3
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-12-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-12-01,0,6,0,0,0,6,6
TARABUCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-12-01,1,2,0,0,1,2,3
TOTORA(CBBA),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-12-01,0,4,0,0,0,4,4
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2016-12-01,1,0,0,0,1,0,1
