,group,variable,month,DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
BETANZOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,7,0,7,7
BOYUIBE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,1,1,1,4,2,6
BUENA VISTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,7,1,3,2,10,12
CABEZAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,4,7,3,25,7,32,39
CALAMARCA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
CAMARGO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,17,0,4,1,21,22
CAMIRI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,12,6,3,7,15,13,28
CAPINOTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,0,2,1,3,4
CAQUIAVIRI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,1,2,2,2,4
CARANAVI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
CARAPARI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,8,1,0,0,8,1,9
CARIPUYO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,3,0,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,3,0,1,1,4,5
CATACORA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
CHARAGUA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,1,3,1,5,6
CHIMORE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,3,0,2,1,5,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,6,4,14,5,20,25
CLIZA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,7,0,6,1,13,14
COBIJA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,7,12,0,2,7,14,21
COCHABAMBA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,17,81,63,14,80,95,175
COIPASA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,2,1,0,4,2,6
COLCAPIRHUA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,9,6,14,9,23,32
"COLCHA ""K""",otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,4,2,1,2,5,7
COLOMI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
COMANCHE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
COMARAPA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
CONCEPCION,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,5,2,1,5,6,11
COPACABANA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,0,1,0,1
CORIPATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
CORO CORO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,2,0,0,3,2,5
COTAGAITA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,9,0,9,9
COTOCA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,20,0,1,1,21,22
CUATRO CAÑADAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,7,14,7,15,22
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
CUEVO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
CULPINA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,1,0,5,3,6,9
CURAHUARA DE CARANGAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
CURVA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,1,1,1,2
EL ALTO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,8,175,8,46,16,221,237
EL PUENTE(STC),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,1,1,1,2
EL TORNO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,17,41,34,19,51,60,111
EL VILLAR,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,1,0,4,2,5,7
ENTRE RIOS CBBA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,8,0,0,2,8,10
ESCOMA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,3,0,3,0,6,6
FILADELFIA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
GUANAY,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
GUAQUI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
GUAYARAMERIN,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,2,8,4,11,6,17
GUTIERREZ,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,9,0,0,0,9,9
HUACARETA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,3,3,7,4,10,14
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
HUANUNI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,7,0,0,0,7,7
HUARINA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
HUAYLLAMARCA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
HUMANATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,1,0,1,1,2
INCAHUASI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
IXIAMAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,1,1,2,1,3
JESUS DE MACHACA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
LA ASUNTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
LA GUARDIA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,7,26,38,28,45,54,99
LA PAZ,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,26,139,12,54,38,193,231
LAGUNILLAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
LAJA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
LAS CARRERAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
LLALLAGUA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
LORETO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
MACHARETI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,4,1,0,3,4,7
MAPIRI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,1,0,1,1,2
MECAPACA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
MINEROS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,11,24,19,24,30,54
MIZQUE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,1,6,1,8,9
MOCOMOCO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
MONTEAGUDO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,14,2,4,1,18,3,21
MONTERO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,14,3,14,4,28,32
MOROCHATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,3,0,2,0,5,5
OCURI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
OKINAWA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,9,0,1,0,10,10
OMEREQUE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,3,5,4,5,9
ORURO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,6,49,1,8,7,57,64
PADCAYA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
PADILLA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,2,1,1,2,3,5
PAILON,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,4,4,7,9,11,13,24
PALCA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,1,0,3,3
PALOS BLANCOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
PAMPA GRANDE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,4,0,0,1,4,5
PASORAPA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
PELECHUCO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
POCOATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
POCONA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,2,4,4,7,6,13
POJO (CBBA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
POROMA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,3,1,3,4
PORONGO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,11,12,47,14,58,72
PORTACHUELO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,3,0,0,0,3,3
PORVENIR,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,3,0,3,3
POTOSI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,19,0,3,2,22,24
PRESTO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,1,1,1,2,3
PUERTO CARABUCO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
PUERTO RICO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,5,0,2,0,7,7
PUNATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,5,0,2,0,7,7
QUILLACOLLO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,6,12,7,22,13,34,47
QUIRUSILLAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
RAVELO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
RIBERALTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
SACABA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,4,17,5,16,9,33,42
SACABAMBA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SAIPINA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SAMAIPATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,2,0,2,2,4,6
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,3,1,3,4
SAN BENITO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,0,0,0,2,0,2
SAN BORJA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,8,0,0,1,8,9
SAN CARLOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,4,5,2,1,6,6,12
SAN IGNACIO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,1,1,4,3,5,8
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,15,3,2,3,17,20
SAN JAVIER(BNI),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,2,0,0,1,2,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,4,20,0,0,4,20,24
SAN JUAN DE YAPACANI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,5,0,6,6
SAN JULIAN,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,7,0,2,2,9,11
SAN LORENZO(TJA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
SAN LUCAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,9,0,11,11
SAN MATIAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,13,22,13,23,36
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SAN PEDRO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
SAN RAFAEL,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,5,1,5,6
SAN RAMON BENI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,1,2,1,3,4
SAN RAMON SCZ,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
SANTA ANA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,72,168,42,72,114,240,354
SANTA ROSA DEL SARA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,1,4,1,6,7
SANTIVAÑES,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SANTUARIO DE QUILLACAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
SENA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
SHINAOTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
SIPE SIPE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,0,3,1,4,5
SORATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,3,1,2,1,5,6
SUCRE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,8,21,1,3,9,24,33
TACACHI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
TACOPAYA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
TARATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,3,0,0,3,3,6
TARIJA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,9,27,6,7,15,34,49
TARVITA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,0,1,0,2,0,2
TEOPONTE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,5,1,1,1,6,7
TIPUANI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,3,0,4,4
TIQUIPAYA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,3,0,0,0,3,3
TIRAQUE (CBBA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
TOCO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
TOLATA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,3,0,0,0,3,3
TOLEDO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
TOMAVE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,7,0,0,0,7,7
TOMINA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,0,0,1,3,1,4
TOTORA(CBBA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,0,4,1,5,6
TRIGAL,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,17,0,0,2,17,19
TUPIZA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
UNCIA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
UYUNI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,3,6,0,0,3,6,9
VACAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,2,0,0,1,2,3
VIACHA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,9,3,2,5,11,16
VILLA MONTES,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,5,2,0,0,5,2,7
VILLA SERRANO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,6,3,10,4,16,20
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,2,1,3,2,5,7
VILLAZON,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,6,0,2,0,8,8
VINTO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,2,5,0,2,2,7,9
VITICHI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,5,28,0,0,5,28,33
YACUIBA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,10,7,2,1,12,8,20
YANACACHI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,0,0,1,2,1,2,3
YAPACANI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,7,8,6,9,13,22
YOTALA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-01-01,1,1,2,2,3,3,6
ACACIO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,0,1,0,2,2
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,0,0,1,0,1,1
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,1,8,1,9,10
AIQUILE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,2,3,1,2,3,5,8
ALALAY,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,2,1,0,1,2,3
ANCORAIMES,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,2,0,0,0,2,2
ANTEQUERA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,0,1,3,1,3,4
ARAMPAMPA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,0,0,1,0,1,1
ARANI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,0,0,1,0,1,1
ARBIETO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,4,3,7,14,11,17,28
ARQUE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,7,0,0,0,7,7
ATOCHA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,4,0,1,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,2,1,2,2,4
AZURDUY,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,1,0,1,1,2
BETANZOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,1,6,0,0,1,6,7
CABEZAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,10,13,2,16,12,29,41
CAIROMA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,0,0,0,1,1
CALAMARCA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,2,17,0,0,2,17,19
CAMIRI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,4,4,12,20,16,24,40
CAPINOTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,1,4,1,7,2,11,13
CARACOLLO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,1,0,0,0,1,0,1
CARANGAS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2016-02-01,1,0,0,0,1,0,1
