,group,variable,month,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,9,14,10,41,19,55,74
AZURDUY,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,8,8,2,6,10,14,24
BAURES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
BELEN DE ANDAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,1,4,2,4,6
BELEN DE URMIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,4,4,4,5,9
BELLA FLOR,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,3,4,4,4,8
BERMEJO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,9,40,0,0,9,40,49
BETANZOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,4,0,6,6
BOLIVAR,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,1,1,1,1,2
BOYUIBE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,7,0,0,3,7,3,10
BUENA VISTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,13,8,16,8,29,37
CABEZAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,35,18,15,47,50,65,115
CAIROMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,11,5,3,8,14,22
"CAIZA ""D""",otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,10,0,1,0,11,11
CAJUATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
CALACOTO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,19,33,19,37,56
CALAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,15,2,2,4,17,21
CAMARGO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,7,9,2,6,9,15,24
CAMIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,40,40,10,27,50,67,117
CAPINOTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,4,10,0,1,4,11,15
CAQUIAVIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,1,0,1,1,2
CARACOLLO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,3,10,32,12,35,47
CARANAVI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,69,2,0,7,69,76
CARAPARI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,8,16,0,0,8,16,24
CARIPUYO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,0,10,0,10,10
CARMEN RIVERO TORREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,8,17,1,2,9,19,28
CATACORA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,2,0,2,0,2
CHACARILLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,19,5,8,5,27,32
CHAQUI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
CHARAGUA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,4,13,4,11,8,24,32
CHARAÑA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,9,0,11,11
CHAYANTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
CHIMORE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,7,42,15,40,22,82,104
CHOQUE COTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,7,5,1,0,8,5,13
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,7,42,26,51,33,93,126
CHUMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,12,6,25,6,37,43
CKOCHAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,3,2,2,2,5,7
CLIZA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,9,8,9,13,18,21,39
COBIJA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,13,104,49,9,62,113,175
COCAPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,29,14,30,14,44
COCHABAMBA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,176,549,102,112,278,661,939
COIPASA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,1,1,1,1,2
COLCAPIRHUA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,24,31,67,37,91,128
"COLCHA ""K""",otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,14,1,1,4,15,19
COLLANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,13,4,11,1,24,5,29
COLOMI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,10,19,0,2,10,21,31
COLPA BELGICA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,5,0,1,5,6,11
COLQUECHACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,11,24,0,2,11,26,37
COLQUENCHA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,16,3,16,3,32,35
COLQUIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
COMANCHE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,6,0,0,1,6,7
COMBAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
CONCEPCION,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,5,0,0,0,5,5
COPACABANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,3,8,2,9,5,14
CORIPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,33,6,10,12,43,55
CORO CORO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,6,1,8,1,14,15
COROICO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,5,0,0,2,5,7
CORQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,15,4,2,2,17,6,23
COTAGAITA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,7,21,1,0,8,21,29
COTOCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,41,91,2,7,43,98,141
CRUZ DE MACHACAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,2,0,2,1,3
CUATRO CAÑADAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,12,38,49,38,61,99
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,3,2,3,4,7
CUEVO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
CULPINA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,0,2,0,2,2
CURAHUARA DE CARANGAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,5,37,3,37,8,45
CURVA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,1,1,1,1,2
DESAGUADERO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,5,0,2,0,7,7
EL ALTO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,98,909,55,201,153,1110,1263
EL PUENTE(STC),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,0,3,0,7,7
EL PUENTE(TJA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
EL TORNO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
EL VILLAR,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,1,0,0,3,1,4
ENTRE RIOS TRJ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,10,8,2,3,12,11,23
ENTRE RIOS CBBA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,24,68,6,2,30,70,100
ESCOMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,2,0,4,4
EUCALIPTUS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,1,2,1,2,3
EXALTACION,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
FERNANDEZ ALONSO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,5,0,1,3,6,9
FILADELFIA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,1,5,1,9,10
GENERAL SAAVEDRA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,10,0,28,2,38,40
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,3,0,0,0,3,3
GUANAY,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,19,0,5,3,24,27
GUAQUI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,3,0,5,5
GUAYARAMERIN,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,23,68,47,71,70,139,209
GUTIERREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,1,0,3,3
HUACARETA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,2,3,3,4,5,9
HUACHACALLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,19,3,0,4,19,23
HUARACAJE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,6,0,0,0,6,6
HUARINA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,4,1,2,2,6,8
HUATAJATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
HUAYLLAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,3,0,0,0,3,3
HUMANATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,13,20,12,20,25,45
ICHOCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,1,2,1,6,7
INCAHUASI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,3,2,0,3,3,6
INGAVI (HUMAITA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,1,0,0,2,1,3
INQUISIVI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,2,0,2,1,4,5
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,2,0,0,2,2,4
IXIAMAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,17,2,1,3,18,21
JESUS DE MACHACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,14,2,12,3,26,29
LA ASUNTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,7,9,5,9,12,18,30
LA GUARDIA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,27,25,23,23,50,48,98
LA PAZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,174,774,369,333,543,1107,1650
LAGUNILLAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,0,1,1,1,2
LAJA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,8,0,0,3,8,11
LLALLAGUA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,48,0,0,5,48,53
LORETO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,3,7,3,13,6,19
LURIBAY,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,2,50,2,51,53
MACHACAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
MACHARETI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,9,3,3,2,12,5,17
MAIRANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,1,4,1,4,5
MALLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
MAPIRI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,13,0,3,0,16,16
MECAPACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,3,0,0,0,3,3
MINEROS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,21,9,14,14,35,49
MIZQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,16,4,8,6,24,30
MOCOMOCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,11,0,3,2,14,16
MOJOCOYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,3,0,0,1,3,4
MONTEAGUDO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,9,10,0,6,9,16,25
MONTERO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,16,140,8,14,24,154,178
MORO MORO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,0,0,1,0,1
MOROCHATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,2,0,4,4
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,3,0,3,1,4
OCURI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,6,0,2,0,8,8
OKINAWA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,4,9,0,1,4,10,14
OMEREQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,3,4,3,5,6,11
ORURO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,68,364,41,25,109,389,498
PADCAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,10,4,0,5,10,15
PADILLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,3,1,1,4,4,8
PAILON,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,14,27,27,18,41,45,86
PALCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,13,14,8,7,21,21,42
PALOS BLANCOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,18,9,2,15,20,35
PAMPA AULLAGAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
PAMPA GRANDE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,2,0,0,2,2,4
PAPEL PAMPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
PATACAMAYA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,20,17,4,19,24,43
PAZÑA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,3,0,0,1,3,4
PELECHUCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,14,12,14,16,30
POCOATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,0,4,0,4,4
POCONA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,4,11,3,1,7,12,19
POJO (CBBA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,4,12,3,18,7,25
POOPO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,5,2,4,4,9,13
PORCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,14,0,5,5,19,24
POROMA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,6,2,0,2,6,8
PORTACHUELO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,17,0,0,1,17,18
PORVENIR,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,9,2,2,5,11,16
POSTRER VALLE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,0,0,1,1,1,2
POTOSI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,18,250,119,33,137,283,420
PRESTO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,3,0,1,0,4,4
PUCARANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,7,0,6,0,13,13
PUERTO ACOSTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,25,0,13,15,38,15,53
PUERTO CARABUCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,11,16,21,18,32,50
PUERTO GONZALO MORENO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,2,3,3,8,5,13
PUERTO PEREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
PUERTO QUIJARRO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,22,5,29,0,51,5,56
PUERTO RICO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,7,0,0,1,7,8
PUERTO SILES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
PUERTO SUAREZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,11,13,1,0,12,13,25
PUERTO VILLARROEL,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,22,51,18,19,40,70,110
PUNA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,4,17,0,10,4,27,31
PUNATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,16,36,4,2,20,38,58
QUILLACOLLO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,29,38,109,130,138,168,306
QUIME,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,4,0,0,0,4,4
QUIRUSILLAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,0,0,0,3,0,3
RAVELO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,3,14,3,16,19
REYES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,8,21,0,8,8,29,37
RIBERALTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,25,196,1,12,26,208,234
RURRENABAQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
SACABA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,16,114,18,160,34,274,308
SACABAMBA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,2,3,6,4,8,12
SACACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,7,13,47,13,54,67
SAIPINA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,0,0,0,3,0,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,3,8,9,9,12,21
SAMAIPATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,4,3,1,3,5,6,11
SAN ANDRES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,5,6,8,8,13,21
SAN ANDRES DE MACHACA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,2,0,0,1,2,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,3,2,5,1,8,3,11
SAN BENITO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,7,2,0,7,7,14
SAN BORJA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,12,39,0,6,12,45,57
SAN BUENA VENTURA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,10,0,0,1,10,11
SAN CARLOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,24,4,3,10,27,37
SAN IGNACIO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,15,30,4,4,19,34,53
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,24,35,1,5,25,40,65
SAN JAVIER(BNI),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
SAN JAVIER(STC),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,10,0,0,5,10,15
SAN JOAQUIN,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,12,0,2,0,14,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,4,5,6,11,10,21
SAN JUAN DE YAPACANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,6,0,4,6,10,16
SAN JULIAN,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,9,30,16,17,25,47,72
SAN LORENZO(PND),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,8,3,7,3,15,18
SAN LORENZO(TJA),otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,32,2,5,8,37,45
SAN LUCAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,11,1,4,2,15,17
SAN MATIAS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,40,34,15,36,55,91
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,6,0,0,2,6,8
SAN PABLO DE LIPEZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,1,0,0,2,1,3
SAN PEDRO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,8,0,0,0,8,8
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,20,0,3,0,23,23
SAN PEDRO DE CURAHUARA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,2,0,0,0,2,2
SAN RAFAEL,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,12,0,12,0,12
SAN RAMON BENI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,5,4,0,6,5,11
SAN RAMON SCZ,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,9,0,0,2,9,11
SANTA ANA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,8,0,0,2,8,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,562,1793,299,238,861,2031,2892
SANTA ROSA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,1,0,0,2,1,3
SANTA ROSA DEL SARA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,18,1,21,6,39,45
