,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
COLQUENCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
COROICO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,4,3,0,0,4,3,7
EL ALTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,11,24,23,24,34,48,82
ESCOMA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,2,0,0,1,2,3
HUANUNI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
LA ASUNTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,2,2,0,0,2,2,4
LA PAZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,30,44,10,10,40,54,94
LICOMA PAMPA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
LLALLAGUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,3,6,0,0,3,6,9
MECAPACA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,11,1,1,2,12,14
MIZQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,1,0,0,1,1,2
MONTEAGUDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,24,0,1,1,25,26
ORURO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,67,90,0,2,67,92,159
PASORAPA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,2,9,5,5,7,14,21
PUCARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,3,3,0,1,3,4,7
PUERTO CARABUCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,2,1,0,0,2,1,3
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,3,1,0,0,3,1,4
QUIME,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,2,0,0,0,2,2
SAN BORJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,3,0,0,0,3,3
SAN CARLOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,3,0,0,0,3,3
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,2,0,0,0,2,2
SAN LUCAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,0,1,1,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,4,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,6,1,0,0,6,1,7
SANTIAGO DE HUATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
SAPAHAQUI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,4,0,0,0,4,4
SUCRE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,6,5,0,0,6,5,11
TARIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,6,23,0,0,6,23,29
TOLEDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,4,6,4,7,11
TRINIDAD,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,5,1,0,0,5,1,6
UYUNI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,1,0,0,1,1,2
VILLA TUNARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,5,11,0,0,5,11,16
YACUIBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,3,8,0,0,3,8,11
YAPACANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,4,0,0,0,4,4
ALCALA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,1,0,0,1,1,2
ALTO BENI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,0,0,0,1,0,1
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,3,0,0,1,3,4
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,8,16,0,0,8,16,24
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,2,3,0,0,2,3,5
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,3,0,1,1,4,5
BUENA VISTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,5,8,5,9,14
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,2,0,0,1,2,3
COBIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,4,35,2,5,6,40,46
COCHABAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,13,16,0,1,13,17,30
COLPA BELGICA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,5,0,0,0,5,5
COLQUECHACA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,3,0,0,0,3,3
COPACABANA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,0,0,2,0,2,2
COROICO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,5,3,0,0,5,3,8
COTAGAITA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,6,0,0,1,6,7
EL ALTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,5,19,1,1,6,20,26
GUAYARAMERIN,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,6,13,0,0,6,13,19
GUTIERREZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,1,0,0,1,1,2
HUARACAJE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,2,2,0,0,2,2,4
HUMANATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
ICLA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,2,0,0,0,2,2
INQUISIVI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,4,2,0,0,4,2,6
LA GUARDIA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,27,70,15,88,42,158,200
LLALLAGUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,2,0,4,0,6,6
MECAPACA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,9,0,0,0,9,9
MONTERO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,3,8,0,0,3,8,11
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,4,5,0,0,4,5,9
PALOS BLANCOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,2,1,0,0,2,1,3
PASORAPA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,3,4,0,0,3,4,7
PELECHUCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,2,0,0,1,2,3
PORTACHUELO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,6,0,0,0,6,0,6
POTOSI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,6,5,0,0,6,5,11
PUCARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,0,0,0,1,0,1
PUERTO PEREZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
PUERTO RICO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
PUNA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,1,0,0,1,1,2
SAMAIPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,3,4,0,0,3,4,7
SAN BORJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,2,0,0,1,2,3
SAN IGNACIO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,2,0,0,1,2,3
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,9,21,0,0,9,21,30
SAN JULIAN,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,4,1,0,0,4,1,5
SAN LORENZO(PND),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,1,1,3,2,4,6
SAN RAMON BENI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,3,0,0,1,3,4
SANTA ANA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,0,6,6,6,6,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,3,5,0,0,3,5,8
SAPAHAQUI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,2,5,0,0,2,5,7
SORATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,3,0,0,0,3,3
SUCRE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,11,30,0,0,11,30,41
TARIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,11,18,0,0,11,18,29
TORO TORO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,6,0,0,1,6,7
TRIGAL,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,2,9,0,0,2,9,11
UYUNI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,1,0,0,1,1,2
VILLA MONTES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,1,0,0,1,1,2
VILLAZON,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-02-01,1,4,0,0,1,4,5
ACHACACHI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,1,0,0,1,1,2
ALTO BENI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,0,0,0,1,0,1
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,3,2,0,0,3,2,5
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,3,7,0,0,3,7,10
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,2,2,1,4,3,7
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,1,0,0,1,1,2
BOYUIBE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,0,0,0,1,0,1
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
CAJUATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
CALAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,1,0,0,2,1,3
CAMIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,2,0,0,0,2,2
CARAPARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,4,2,1,0,5,2,7
CHALLAPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,1,0,2,2
CHOQUE COTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,5,5,0,0,5,5,10
COBIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,25,42,0,0,25,42,67
COLPA BELGICA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,2,0,0,1,2,3
COLQUENCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,2,0,0,1,2,3
COLQUIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,2,0,0,2,2,4
COPACABANA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,4,0,0,0,4,4
CORIPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,2,0,0,0,2,2
COTAGAITA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,33,81,23,44,56,125,181
EL PUENTE(STC),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,4,2,0,0,4,2,6
EL TORNO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,7,3,0,0,7,3,10
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,3,1,0,0,3,1,4
GUANAY,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,4,0,0,1,4,5
HUACARETA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,2,0,0,2,2,4
HUANUNI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,0,0,0,1,0,1
ICLA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,3,0,0,1,3,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,2,0,0,0,2,2
IXIAMAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,1,0,0,1,1,2
LA ASUNTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,0,0,0,2,0,2
LA GUARDIA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,6,3,0,0,6,3,9
LA PAZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,56,104,1,3,57,107,164
LAGUNILLAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,4,0,0,1,4,5
MAIRANA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
MECAPACA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
MINEROS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,1,9,9,10,10,20
MONTEAGUDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,17,74,0,2,17,76,93
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,1,0,0,1,1,2
PAILON,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,0,1,3,1,3,4
PASORAPA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,0,0,0,2,0,2
PATACAMAYA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,20,27,180,0,200,27,227
POCONA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,1,0,0,2,1,3
POSTRER VALLE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,10,47,0,0,10,47,57
PUCARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,0,2,4,3,4,7
PUERTO RICO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,0,0,0,1,0,1
PUNA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,3,0,0,1,3,4
ROBORE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,3,0,0,0,3,3
SAIPINA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
SAMAIPATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,3,0,0,1,3,4
SAN BORJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,0,0,2,1,2,3
SAN BUENA VENTURA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,2,1,0,0,2,1,3
SAN IGNACIO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,5,1,0,0,5,1,6
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,14,0,0,0,14,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,3,0,0,0,3,3
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,6,0,0,0,6,6
SAN JULIAN,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,5,32,0,0,5,32,37
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,3,0,0,0,3,3
SAN PEDRO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,5,12,0,0,5,12,17
SANTA ANA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,17,68,0,0,17,68,85
SAPAHAQUI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,4,0,0,1,4,5
SUCRE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,3,16,1,0,4,16,20
TACACOMA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,3,0,0,0,3,3
TACOBAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,6,7,0,0,6,7,13
TARACO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,10,54,0,0,10,54,64
TOLEDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
TORO TORO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,0,4,0,4,0,4
TRINIDAD,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,3,26,0,0,3,26,29
VALLEGRANDE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,5,0,6,6
VIACHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,4,0,0,1,4,5
VILLA MONTES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,1,4,0,0,1,4,5
VILLA TUNARI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,2,0,0,0,2,2
VILLAZON,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,3,0,0,0,3,3
YAPACANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,19,45,0,0,19,45,64
ZUDAÑEZ,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-03-01,0,6,0,0,0,6,6
ALCALA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,0,1,0,0,0,1,1
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,0,0,1,2,1,2,3
AYATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,2,1,0,0,2,1,3
AYO AYO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,1,0,0,0,1,0,1
BAURES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,4,1,0,0,4,1,5
BELLA FLOR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-04-01,1,1,0,0,1,1,2
