,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,20,2,14,33,34,35,69
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,51,38,0,0,51,38,89
MINEROS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,60,109,0,0,60,109,169
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,39,44,43,53,82,97,179
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,1,0,1,1,2,3
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,56,58,56,58,114
PUERTO RICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,0,9,0,9,9
ROBORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,6,7,0,0,6,7,13
SACABA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,4,1,17,11,21,12,33
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,1,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,0,1,0,1,1
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,1,0,2,1,3,4
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,2,0,0,0,2,2
SAN RAMON BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,2,7,0,0,2,7,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,18,48,19,15,37,63,100
SENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,1,0,0,0,1,1
TOLATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,1,5,1,5,6
TOLEDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,2,2,2,2,4
TOTORA(CBBA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,2,22,4,23,6,29
URUBICHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,2,3,0,0,2,3,5
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,3,0,0,1,3,4
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,1,0,1,0,1
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,12,12,3,7,15,19,34
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,2,2,2,2,4
BOYUIBE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,0,4,0,4,4
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,7,0,0,0,7,7
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,8,11,69,60,77,71,148
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,3,1,2,1,5,6
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,1,1,0,0,1,1,2
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,3,4,3,4,6,8,14
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,1,4,1,3,2,7,9
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,6,6,9,3,15,9,24
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,5,7,16,14,21,21,42
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,5,15,5,15,20
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,88,64,3,4,91,68,159
LAGUNILLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,18,2,7,2,25,27
MINEROS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,4,16,16,4,20,20,40
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,13,13,260,97,273,110,383
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,32,4,0,0,32,4,36
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,1,1,1,1,2
PORVENIR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,5,10,5,10,15
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,1,0,1,0,1
PUERTO RICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,0,3,0,3,3
RAVELO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,6,20,0,0,6,20,26
ROBORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,11,15,14,10,25,25,50
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,6,5,18,22,24,27,51
SAN RAMON BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,2,7,0,0,2,7,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,22,41,0,0,22,41,63
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,1,0,0,0,1,0,1
SORACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,0,0,4,6,4,6,10
TOTORA(CBBA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,1,4,0,0,1,4,5
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,102,12,10,0,112,12,124
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,2,6,3,7,5,13,18
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-02-01,1,6,2,5,3,11,14
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-03-01,0,0,4,6,4,6,10
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-03-01,0,6,11,5,11,11,22
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-03-01,0,1,0,0,0,1,1
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-03-01,3,3,0,1,3,4,7
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-03-01,0,1,0,0,0,1,1
CARIPUYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-04-01,0,0,0,3,0,3,3
ACACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,5,8,6,9,15
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,11,9,30,42,41,51,92
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,1,0,1,1
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,25,49,50,74,75,123,198
ALALAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,2,2,6,3,8,11
ALCALA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,11,7,6,4,17,11,28
ANCORAIMES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,1,4,5,8,6,14
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,11,13,12,14,26
ANTEQUERA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,2,10,16,11,18,29
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,2,3,5,3,7,10
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,3,28,31,30,34,64
ARAMPAMPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,3,1,0,2,3,5
ARANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,3,4,2,8,5,12,17
ARBIETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,8,8,12,10,20,30
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,3,8,1,4,4,12,16
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,15,19,1,0,16,19,35
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,9,16,111,170,120,186,306
AUCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,0,0,0,1,0,1
AYATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,2,3,1,4,3,7
AYO AYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,1,0,1,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,18,39,142,195,160,234,394
AZURDUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,10,9,0,0,10,9,19
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,13,11,0,0,13,11,24
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,2,5,2,5,7
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,1,2,9,2,10,12
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,9,10,10,11,21
BERMEJO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,11,27,51,82,62,109,171
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,14,17,27,29,41,46,87
BOLIVAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,0,4,10,6,10,16
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,0,2,16,3,16,19
BOYUIBE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,3,19,34,21,37,58
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,2,1,0,5,2,7
CAIROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,10,14,23,27,33,41,74
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,8,4,1,1,9,5,14
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,0,2,5,3,5,8
CALACOTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,1,0,1,0,1
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,4,0,1,1,5,6
CAMARGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,3,12,2,14,5,19
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,5,5,8,7,13,12,25
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,18,20,0,0,18,20,38
CAPINOTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,4,16,46,17,50,67
CAQUIAVIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,4,6,13,10,17,27
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,7,16,45,52,52,68,120
CARANAVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,11,22,13,15,24,37,61
CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,6,0,6,6
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,7,9,10,12,17,21,38
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,5,27,50,31,55,86
CATACORA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,5,5,5,5,10
CHACARILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,1,2,1,2,3
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,4,3,5,4,9
CHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,2,1,2,2,4,6
CHARAÑA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,2,1,2,1,3
CHAYANTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,6,15,19,15,25,40
CHIMORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,11,13,8,10,19,23,42
CHOQUE COTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,2,2,2,2,4
CHUA COCANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,3,6,7,11,10,17,27
CHUMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,4,5,5,6,11
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,13,6,13,6,19
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,1,1,1,1,2
CLIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,8,4,6,26,14,30,44
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,40,39,31,43,71,82,153
COCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,10,9,58,71,68,80,148
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1093,1497,155,250,1248,1747,2995
COIPASA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,2,0,2,0,2
COLCAPIRHUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,61,87,282,257,343,344,687
"COLCHA ""K""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,11,15,17,25,28,40,68
COLLANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,3,1,2,2,5,7
COLOMI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,3,6,7,9,10,15,25
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,4,5,4,5,8,13
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,10,2,2,6,12,18
COLQUIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,1,0,1,1
COMANCHE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,3,2,2,3,5,8
COMARAPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,6,10,0,2,6,12,18
COMBAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,0,1,4,2,4,6
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,10,9,0,0,10,9,19
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,2,7,16,7,18,25
CORIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,1,2,0,4,1,5
CORO CORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,4,5,7,6,11,17
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,9,9,29,30,38,39,77
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,1,2,8,4,9,13
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,44,44,97,140,141,184,325
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,67,111,4,4,71,115,186
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,3,2,6,4,9,13
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,3,0,0,1,3,4
CUEVO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,5,4,8,13,13,17,30
CULPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,16,3,0,7,16,23
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,3,5,7,7,10,17
CURVA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,6,13,6,13,19
DESAGUADERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,3,3,0,4,3,7
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,539,812,340,431,879,1243,2122
EL CHORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,4,5,6,6,10,16
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,3,2,0,3,3,6
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,3,2,4,3,7,10
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,49,68,82,129,131,197,328
EL VILLAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,3,0,0,4,3,7
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,17,38,12,37,29,75,104
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,18,15,2,2,20,17,37
ESCARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,2,0,2,2
ESCOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,3,5,4,6,10
ESMERALDA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,0,0,0,1,0,1
EUCALIPTUS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,1,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,3,0,3,0,3
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,5,4,13,28,18,32,50
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,6,3,4,7,10,10,20
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,15,11,5,6,20,17,37
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,1,6,8,8,9,17
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,8,10,13,18,21,28,49
GUAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,3,5,4,6,10
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,28,39,14,30,42,69,111
HUACARETA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,3,7,9,9,12,21
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,1,0,1,0,1
HUACHACALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,1,0,2,1,3
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,13,9,50,71,63,80,143
HUARACAJE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,10,0,36,4,46,50
HUARINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,1,0,1,1
HUATAJATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,0,10,8,12,8,20
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,4,14,4,15,8,23
HUMANATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,0,1,0,1,1
ICLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,1,3,10,3,11,14
INCAHUASI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,4,1,1,3,5,8
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,0,6,5,7,5,12
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,4,4,6,3,10,7,17
IXIAMAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,1,0,1,1,2,3
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,9,20,4,4,13,24,37
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,82,94,75,79,157,173,330
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,49,94,31,54,80,148,228
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,872,1372,341,359,1213,1731,2944
LAGUNILLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,2,5,1,3,3,8,11
LAJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,5,6,5,8,10,14,24
LAS CARRERAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,1,0,0,0,1,0,1
LICOMA PAMPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,4,5,4,5,9
LLALLAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,91,95,99,182,190,277,467
LLICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,6,12,5,14,11,26,37
LORETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,6,4,14,16,20,20,40
LURIBAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,1,0,0,0,1,1
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,6,2,5,2,11,13
MACHARETI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,7,9,24,16,31,25,56
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,15,20,4,6,19,26,45
MAIRANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,19,28,28,54,47,82,129
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,10,7,8,25,18,32,50
MECAPACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,7,10,0,4,7,14,21
MINEROS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,7,7,23,21,30,28,58
MIZQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,14,25,101,85,115,110,225
MOCOMOCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,9,2,9,2,11
MOJINETE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,0,0,1,4,1,4,5
MOJOCOYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,7,13,0,2,7,15,22
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-05-01,30,32,8,6,38,38,76
