,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
HUARACAJE,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA GUARDIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,22.0,0.0,0.0,0.0,22.0,22.0
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,53.0,0.0,0.0,0.0,53.0,53.0
MINEROS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,124.0,0.0,0.0,0.0,124.0,124.0
MONTERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,50.0,0.0,1.0,0.0,51.0,51.0
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
PALOS BLANCOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PORVENIR,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,8.0,0.0,0.0,0.0,8.0,8.0
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PUERTO SUAREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
QUILLACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,0.0,0.0,23.0,0.0,23.0,23.0
SACABA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,13.0,0.0,2.0,0.0,15.0,15.0
SAN CARLOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,10.0,0.0,0.0,0.0,10.0,10.0
SAN IGNACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,26.0,0.0,1.0,0.0,27.0,27.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
SAN PEDRO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,12.0,0.0,2.0,0.0,14.0,14.0
SAN RAMON BENI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,30.0,0.0,0.0,0.0,30.0,30.0
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SENA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,12.0,0.0,2.0,0.0,14.0,14.0
SORACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
URUBICHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,8.0,0.0,1.0,0.0,9.0,9.0
WARNES,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CABEZAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
CAMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CARIPUYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
CHARAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,13.0,0.0,9.0,0.0,22.0,22.0
CHUMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,40.0,0.0,0.0,0.0,40.0,40.0
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,1.0,0.0,7.0,0.0,8.0,8.0
EL TORNO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
EXALTACION,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
GUTIERREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,22.0,0.0,7.0,0.0,29.0,29.0
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,45.0,0.0,2.0,0.0,47.0,47.0
LAGUNILLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,5.0,0.0,1.0,0.0,6.0,6.0
MAPIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
MINEROS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,0.0,0.0,20.0,0.0,20.0,20.0
MONTERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,55.0,0.0,1.0,0.0,56.0,56.0
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
PAILON,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
PALOS BLANCOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PUERTO RICO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,3.0,0.0,4.0,0.0,7.0,7.0
RAVELO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN CARLOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
SAN IGNACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,12.0,0.0,0.0,0.0,12.0,12.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,13.0,0.0,20.0,0.0,33.0,33.0
SAN LORENZO(PND),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
SAN PEDRO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,14.0,0.0,2.0,0.0,16.0,16.0
SAN RAMON BENI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,59.0,0.0,0.0,0.0,59.0,59.0
SENA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,25.0,0.0,14.0,0.0,39.0,39.0
UYUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
WARNES,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-02-01,0.0,4.0,0.0,4.0,0.0,8.0,8.0
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-03-01,0.0,33.0,0.0,60.0,0.0,93.0,93.0
MONTERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-03-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
SAN CARLOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-03-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-03-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
SAN PEDRO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-03-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
ACACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,6.0,0.0,9.0,0.0,15.0,15.0
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,40.0,0.0,20.0,0.0,60.0,60.0
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,15.0,0.0,17.0,0.0,32.0,32.0
AIQUILE,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,10.0,0.0,23.0,0.0,33.0,33.0
ALALAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ALCALA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
ANCORAIMES,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,33.0,0.0,8.0,0.0,41.0,41.0
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,8.0,0.0,3.0,0.0,11.0,11.0
ANTEQUERA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,4.0,0.0,5.0,5.0
ANZALDO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,10.0,0.0,11.0,11.0
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,12.0,0.0,10.0,0.0,22.0,22.0
ARANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,29.0,0.0,6.0,0.0,35.0,35.0
ARBIETO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,14.0,0.0,4.0,0.0,18.0,18.0
ARQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,26.0,0.0,7.0,0.0,33.0,33.0
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,6.0,0.0,2.0,0.0,8.0,8.0
ATOCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,14.0,0.0,12.0,0.0,26.0,26.0
AUCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,10.0,0.0,2.0,0.0,12.0,12.0
AYATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,9.0,0.0,6.0,0.0,15.0,15.0
AYO AYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,12.0,0.0,7.0,0.0,19.0,19.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,36.0,0.0,55.0,0.0,91.0,91.0
AZURDUY,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,2.0,0.0,4.0,0.0,6.0,6.0
BAURES,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,18.0,0.0,0.0,0.0,18.0,18.0
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
BELEN DE URMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,5.0,0.0,5.0,5.0
BERMEJO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,96.0,0.0,51.0,0.0,147.0,147.0
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,38.0,0.0,31.0,0.0,69.0,69.0
BOLIVAR,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,4.0,0.0,7.0,0.0,11.0,11.0
BOLPEBRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,3.0,0.0,3.0,0.0,6.0,6.0
BOYUIBE,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,3.0,0.0,10.0,0.0,13.0,13.0
BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,23.0,0.0,0.0,0.0,23.0,23.0
CAIROMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,14.0,0.0,6.0,0.0,20.0,20.0
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,9.0,0.0,6.0,0.0,15.0,15.0
CAJUATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,25.0,0.0,3.0,0.0,28.0,28.0
CALACOTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CALAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,18.0,0.0,1.0,0.0,19.0,19.0
CAMARGO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,7.0,0.0,9.0,0.0,16.0,16.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,2.0,0.0,2.0,0.0,4.0,4.0
CAMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,17.0,0.0,1.0,0.0,18.0,18.0
CAPINOTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,15.0,0.0,23.0,0.0,38.0,38.0
CAQUIAVIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,10.0,0.0,0.0,0.0,10.0,10.0
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,15.0,0.0,32.0,0.0,47.0,47.0
CARANAVI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,108.0,0.0,30.0,0.0,138.0,138.0
CARANGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CARAPARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,7.0,0.0,10.0,0.0,17.0,17.0
CARIPUYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,8.0,0.0,4.0,0.0,12.0,12.0
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,6.0,0.0,8.0,0.0,14.0,14.0
CATACORA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CHACARILLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,51.0,0.0,24.0,0.0,75.0,75.0
CHAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,27.0,0.0,13.0,0.0,40.0,40.0
CHARAÑA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CHAYANTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,9.0,0.0,15.0,0.0,24.0,24.0
CHIMORE,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,41.0,0.0,18.0,0.0,59.0,59.0
CHIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,2.0,0.0,2.0,0.0,4.0,4.0
CHOQUE COTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,5.0,0.0,6.0,6.0
CHUA COCANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,13.0,0.0,8.0,0.0,21.0,21.0
CHUMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,13.0,0.0,7.0,0.0,20.0,20.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,11.0,0.0,19.0,0.0,30.0,30.0
CKOCHAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,6.0,0.0,1.0,0.0,7.0,7.0
CLIZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,7.0,0.0,8.0,0.0,15.0,15.0
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,137.0,0.0,6.0,0.0,143.0,143.0
COCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,42.0,0.0,45.0,0.0,87.0,87.0
COCHABAMBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1000.0,0.0,208.0,0.0,1208.0,1208.0
COIPASA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,6.0,0.0,6.0,6.0
COLCAPIRHUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,132.0,0.0,70.0,0.0,202.0,202.0
"COLCHA ""K""",otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,29.0,0.0,9.0,0.0,38.0,38.0
COLLANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
COLOMI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,74.0,0.0,15.0,0.0,89.0,89.0
COLQUECHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
COLQUENCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,22.0,0.0,3.0,0.0,25.0,25.0
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,10.0,0.0,9.0,0.0,19.0,19.0
COMANCHE,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COMARAPA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,12.0,0.0,9.0,0.0,21.0,21.0
COMBAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,5.0,0.0,5.0,5.0
CONCEPCION,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,9.0,0.0,10.0,0.0,19.0,19.0
CORIPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,19.0,0.0,16.0,0.0,35.0,35.0
CORO CORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,11.0,0.0,5.0,0.0,16.0,16.0
COROICO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,22.0,0.0,14.0,0.0,36.0,36.0
CORQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,2.0,0.0,10.0,0.0,12.0,12.0
COTAGAITA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,56.0,0.0,42.0,0.0,98.0,98.0
COTOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,152.0,0.0,0.0,0.0,152.0,152.0
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,3.0,0.0,1.0,0.0,4.0,4.0
CUEVO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,5.0,0.0,5.0,5.0
CULPINA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,19.0,0.0,7.0,0.0,26.0,26.0
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,13.0,0.0,8.0,0.0,21.0,21.0
CURVA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,7.0,0.0,7.0,7.0
DESAGUADERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,13.0,0.0,1.0,0.0,14.0,14.0
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,2549.0,0.0,990.0,0.0,3539.0,3539.0
EL CHORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,3.0,0.0,2.0,0.0,5.0,5.0
EL PUENTE(STC),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
EL PUENTE(TJA),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,4.0,0.0,7.0,0.0,11.0,11.0
EL TORNO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,13.0,0.0,8.0,0.0,21.0,21.0
EL VILLAR,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,5.0,0.0,6.0,6.0
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,31.0,0.0,15.0,0.0,46.0,46.0
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,187.0,0.0,9.0,0.0,196.0,196.0
ESCOMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,5.0,0.0,1.0,0.0,6.0,6.0
EUCALIPTUS,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EXALTACION,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,12.0,0.0,44.0,0.0,56.0,56.0
FILADELFIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,7.0,0.0,12.0,0.0,19.0,19.0
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,22.0,0.0,3.0,0.0,25.0,25.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,5.0,0.0,4.0,0.0,9.0,9.0
GUANAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,54.0,0.0,18.0,0.0,72.0,72.0
GUAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,10.0,0.0,6.0,0.0,16.0,16.0
GUAYARAMERIN,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,147.0,0.0,11.0,0.0,158.0,158.0
GUTIERREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,27.0,0.0,6.0,0.0,33.0,33.0
HUACARETA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,6.0,0.0,11.0,0.0,17.0,17.0
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
HUACHACALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-05-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
