municipality,group,variable,month,BCG -DENTRO,TOTAL DENTRO,BCG -FUERA,TOTAL FUERA
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,70,70,1,1
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1502,1502,5,5
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,53,53,0,0
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,2,2
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,0,0
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,30,30,4,4
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,2,2
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,69,69
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,11,11
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,26,26,40,40
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,32,32,2,2
COMBAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,23,23,3,3
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,20,20,22,22
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,14,14,5,5
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,2,2
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,15,15,3,3
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,4,4
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,18,18
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,62,62,9,9
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,24,24,3,3
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,0,0
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,25,25,13,13
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,6,6
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,5,5
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,4,4
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1550,1550,7,7
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,4,4
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,20,20,1,1
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,4,4
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,83,83,0,0
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,2,2
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,13,13,8,8
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,29,29,9,9
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,10,10,3,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,5,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,7,7
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,5,5
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,35,35,11,11
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,17,17
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,14,14,1,1
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,7,7
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,82,82,6,6
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,13,13
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,10,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,9,9
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,37,37,4,4
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,4,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,6,6
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,13,13
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,5,5
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,28,28,25,25
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,30,30
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,6,6
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,10,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,10,10
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,16,16,9,9
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,70,70,0,0
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1783,1783,13,13
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,3,3
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,16,16
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,3,3
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,5,5
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,64,64,11,11
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,4,4
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,12,12,4,4
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,0,0
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,4,4
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,5,5
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,19,19,0,0
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,5,5
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,16,16,0,0
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,14,14
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,41,41,0,0
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,33,33,18,18
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,29,29
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,2,2
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,7,7
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,47,47,10,10
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,266,266,1,1
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,2,2
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,12,12,31,31
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,1,1
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,34,34
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,14,14,4,4
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,8,8
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,549,549,8,8
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,4,4
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,22,22,1,1
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,22,22,10,10
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,18,18
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,25,25,18,18
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,3,3
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,14,14,2,2
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,3,3
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,5,5
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,35,35,3,3
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,7,7
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,10,10
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,20,20
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,10,10,4,4
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,10,10
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,3,3
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,10,10
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,20,20
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,5,5
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,30,30,0,0
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,12,12
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,398,398,2,2
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,20,20
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,0,0
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,19,19,33,33
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,13,13,21,21
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,40,40
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,14,14
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,22,22
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,25,25,4,4
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,0,0
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,36,36,2,2
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,91,91,6,6
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,10,10,25,25
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,55,55,5,5
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,187,187,2,2
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,20,20
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,7,7
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,25,25,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,237,237,1,1
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,8,8,12,12
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,8,8,0,0
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,1,1
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,174,174,21,21
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,10,10
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,14,14
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,18,18
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,4,4
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,10,10,10,10
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,5,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,8,8
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,5,5
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,95,95,0,0
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,11,11
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,38,38,12,12
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,34,34,2,2
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,62,62,9,9
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,0,0
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,19,19,0,0
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,5,5
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,26,26,0,0
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,10,10
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,86,86,23,23
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,2,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,12,12,6,6
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,22,22,29,29
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,12,12,13,13
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,10,10
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,1,1
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,22,22,0,0
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,19,19,28,28
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,10,10
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,0,0
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,3,3
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,19,19,0,0
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,0,0
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,28,28,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2664,2664,56,56
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,8,8,11,11
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,17,17
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,3,3
SAPAHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,6,6
SENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,3,3
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,29,29
SICAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,6,6
