municipality,group,variable,month,Polio 1ra dosis -DENTRO,TOTAL DENTRO,Polio 1ra dosis -FUERA,TOTAL FUERA
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,45,45,5,5
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,0,0,1,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,4,4,4,4
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,5,5,7,7
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,13,13,18,18
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,30,30,38,38
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,24,24
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,12,12,13,13
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,6,6,15,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,14,14,5,5
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,19,19,10,10
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,97,97,3,3
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1377,1377,50,50
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,8,8,2,2
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,7,7,26,26
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,4,4,5,5
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,2,2,3,3
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,47,47,46,46
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,4,4,3,3
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,2,2,4,4
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,7,7
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,1,1
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,8,8,6,6
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,21,21,4,4
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,13,13,0,0
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,4,4
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,13,13,12,12
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,7,7,15,15
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,32,32,1,1
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,21,21,23,23
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,2,2,21,21
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,0,0
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,11,11
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,31,31,23,23
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,176,176,14,14
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,2,2
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,20,20,40,40
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,0,0,2,2
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,15,15,46,46
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,17,17,6,6
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,4,4,6,6
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,431,431,30,30
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,10,10,4,4
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,16,16,14,14
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,38,38,12,12
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,6,6,17,17
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,38,38,31,31
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,14,14,7,7
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,2,2
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,0,0,3,3
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,26,26,3,3
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,7,7,3,3
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,7,7
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,9,9,24,24
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,14,14,5,5
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,11,11,2,2
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,4,4,1,1
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,7,7,3,3
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,6,6,16,16
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,7,7,9,9
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,34,34,0,0
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,2,2
POSTRER VALLE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,1,1,0,0
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,385,385,22,22
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,15,15
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,0,0,2,2
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,23,23,26,26
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,17,17,21,21
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,5,5,25,25
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,0,0,11,11
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,0,0,16,16
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,13,13,8,8
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,8,8,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,28,28,3,3
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,64,64,14,14
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,32,32,37,37
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,37,37,8,8
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,213,213,5,5
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,9,9,16,16
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,15,15,17,17
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,12,12,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,142,142,27,27
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,11,11,8,8
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,28,28,1,1
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,2,2,3,3
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,144,144,63,63
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,2,2,6,6
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,13,13,19,19
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,3,3
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,6,6,16,16
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,16,16,5,5
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,7,7,12,12
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,5,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,8,8,3,3
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,11,11,6,6
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,67,67,0,0
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,10,10
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,41,41,0,0
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,28,28,7,7
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,71,71,24,24
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,3,3,0,0
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,19,19,4,4
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,9,9,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-01-01,22,22,4,4
