,group,variable,month,L 17.1 BCG,L 17.1 BCG,TOTALES
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,1,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,1,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,6,15
FILADELFIA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,1,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,18,9,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,16,20
GUANAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,17,0,17
GUAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,6,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,89,0,89
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,15,12,27
HUACARETA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,3,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,8,8
HUACHACALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,57,2,59
HUARACAJE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,1,4
HUARINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,2,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,0,3
ICHOCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,6,6
ICLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,8,13
INCAHUASI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,3,14
INQUISIVI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,19,30
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,6,14
IXIAMAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,13,0,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,6,16
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,38,5,43
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,94,0,94
LA PAZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1722,4,1726
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,4,8
LAJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,7,17
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,3,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,53,33,86
LLICA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,6,12
LORETO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,13,14
LURIBAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,1,3
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,1,5
MACHARETI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,4,9
MAGDALENA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,16,25
MAIRANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,25,0,25
MALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,1,4
MAPIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,27,1,28
MECAPACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,5,11
MINEROS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,30,5,35
MIZQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,30,9,39
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,17,13,30
MOJINETE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,3,8
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,61,7,68
MONTERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,358,0,358
MORO MORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
MOROCHATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,14,18
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
OCURI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,22,34
OKINAWA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,13,2,15
OMEREQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,3,9
ORURO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,549,3,552
PADCAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,1,9
PADILLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,16,1,17
PAILON,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,45,2,47
PALCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,21,29
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,36,16,52
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,0,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,6,6
PASORAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,25,1,26
PAZÑA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,6,10
PELECHUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,1,9
POCOATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,25,25
POCONA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,8,16
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,14,1,15
POOPO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,2,12
PORCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,28,0,28
POROMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,8,17
PORONGO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,6,9
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,40,0,40
PORVENIR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,4,4
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
POTOSI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,334,9,343
PRESTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,3,7
PUCARANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,15,13,28
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,14,22
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,9,11
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,7,12
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,6,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,21,7,28
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,8,15
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,44,0,44
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,107,5,112
PUNA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,11,21
PUNATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,81,1,82
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,219,1,220
QUIME,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,16,19
RAVELO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,15,21
REYES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,18,23,41
RIBERALTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,245,4,249
ROBORE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,30,1,31
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,42,5,47
SABAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,4,4
SACABA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,240,11,251
SACABAMBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,0,3
SACACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,30,14,44
SAIPINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,12,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,4,9
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,4,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,3,7
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,4,9
SAN BENITO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,6,15
SAN BORJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,74,14,88
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,28,4,32
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,36,4,40
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,15,20,35
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,149,10,159
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,0,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,21,0,21
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,4,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,33,0,33
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,13,2,15
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,71,17,88
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,15,1,16
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,28,25,53
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,4,16
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,2,14
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,13,0,13
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,27,22,49
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,5,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,1,2
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,3,4
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,10,12
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,14,0,14
SANTA ANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3376,82,3458
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,20,1,21
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,13,3,16
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,8,9
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,14,15
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,3,4
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,2,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,4,5
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,8,15
SENA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,0,7
SHINAOTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,55,0,55
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,28,14,42
SICAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,0,1
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,58,3,61
SOPACHUY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,6,18
SORACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,4,7
SORATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,19,3,22
SUCRE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,621,5,626
TACACOMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,6,15
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,7,10
TACOPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,1,8
TAPACARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,13,16,29
TARABUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,28,8,36
TARACO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,5,8
TARATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,2,10
TARIJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,387,0,387
TARVITA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,7,13
TEOPONTE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,4,15
TIAWANACU,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,13,18
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,21,10,31
TIPUANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,16,0,16
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,118,4,122
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,26,12,38
TOCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,0,4
TODOS SANTOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,0,1
TOLATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,0,9
TOLEDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,2,8
TOMAVE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,12,15
TOMINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,6,15
TORO TORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,7,15
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,16,2,18
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,3,7
TRIGAL,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,342,1,343
TUPIZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,85,10,95
TURCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,2,3
UMALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,3,6
