,group,variable,month,L 17.3 PENTAVALENTE 2DA. DOSIS,L 17.3 PENTAVALENTE 2DA. DOSIS,TOTALES
COTOCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,73,0,73
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,24,9,33
CUEVO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,2,7
CULPINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,22,11,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,0,1
CURVA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,7,0,7
EL ALTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1659,44,1703
EL CHORO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,1,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,23,0,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,25,1,26
EL TORNO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,79,1,80
EL VILLAR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,3,1,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,38,5,43
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,60,1,61
ESCOMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,2,1,3
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,4,5,9
EXALTACION,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,2,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,28,2,30
FILADELFIA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,4,7,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,27,8,35
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,11,19,30
GUANAY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,12,18,30
GUAQUI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,3,5,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,67,5,72
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,15,13,28
HUACARETA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,4,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,2,2,4
HUANUNI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,36,1,37
HUARACAJE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,8,3,11
HUARINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,7,1,8
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,9,0,9
HUMANATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,7,5,12
ICHOCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,4,7,11
ICLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,7,10,17
INCAHUASI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,10,3,13
INQUISIVI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,6,10,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,10,6,16
IXIAMAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,13,3,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,19,0,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,84,9,93
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,160,1,161
LA PAZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1397,4,1401
LA RIVERA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,9,7,16
LAJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,18,6,24
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,1,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,56,26,82
LLICA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,0,1
LORETO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,11,12
LURIBAY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,9,9,18
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,9,2,11
MACHARETI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,15,3,18
MAGDALENA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,14,10,24
MAIRANA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,17,0,17
MALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,29,1,30
MECAPACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,15,13,28
MINEROS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,37,12,49
MIZQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,25,17,42
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,16,8,24
MOJINETE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,3,4,7
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,53,1,54
MONTERO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,195,4,199
MORO MORO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,9,0,9
MOROCHATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,14,14,28
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,1,2
OCURI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,6,11,17
OKINAWA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,21,3,24
OMEREQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,4,5
ORURO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,586,6,592
PADCAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,27,6,33
PADILLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,15,5,20
PAILON,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,37,4,41
PALCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,15,12,27
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,33,13,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,2,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,12,1,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,2,2,4
PASORAPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,0,5
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,32,2,34
PAZÑA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,11,1,12
PELECHUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,13,6,19
POCOATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,8,25,33
POCONA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,13,12,25
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,19,7,26
POOPO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,6,2,8
PORCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,26,3,29
POROMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,21,14,35
PORONGO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,17,3,20
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,26,0,26
PORVENIR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,7,0,7
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,4,0,4
POTOSI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,396,14,410
PRESTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,6,15,21
PUCARANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,29,7,36
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,2,13,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,8,12,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,5,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,6,4,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,18,9,27
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,14,7,21
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,19,5,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,93,10,103
PUNA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,17,17,34
PUNATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,47,0,47
QUIABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,6,0,6
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,237,3,240
QUIME,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,18,23
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,10,21,31
REYES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,19,27,46
RIBERALTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,95,13,108
ROBORE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,19,3,22
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,27,2,29
SABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,3,0,3
SACABA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,273,25,298
SACABAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,9,2,11
SACACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,19,13,32
SAIPINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,4,3,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,10,7,17
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,12,4,16
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,17,3,20
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,2,1,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,9,14
SAN BENITO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,26,2,28
SAN BORJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,66,9,75
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,20,5,25
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,42,3,45
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,40,5,45
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,89,19,108
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,33,0,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,10,2,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,27,1,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,23,4,27
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,86,27,113
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,3,7,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,23,9,32
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,22,35,57
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,22,0,22
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,14,3,17
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,1,2,3
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,31,0,31
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,22,22,44
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,4,4,8
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,5,4,9
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-01-01,2,1,3
