,group,variable,month,L 17.4 PENTAVALENTE 3RA. DOSIS,L 17.4 PENTAVALENTE 3RA. DOSIS,TOTALES
COTAGAITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,14,8,22
COTOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,86,1,87
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,20,0,20
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
CUEVO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
CULPINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,12,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,3,13
CURVA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,0,7
EL ALTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1441,34,1475
EL CHORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,6,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,20,0,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,14,6,20
EL TORNO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,90,7,97
EL VILLAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,2,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,20,3,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,66,1,67
ESCARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,1,5
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,5,8
EXALTACION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,27,1,28
FILADELFIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,5,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,24,17,41
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,7,11
GUANAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,12,21
GUAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,7,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,75,1,76
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,20,15,35
HUACARETA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,4,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,55,0,55
HUARACAJE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,2,5
HUARINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,2,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
HUMANATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,5,6
ICHOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,1,2
ICLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,4,13
INCAHUASI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,14,4,18
INQUISIVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,8,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,13,3,16
IXIAMAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,22,1,23
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,15,5,20
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,66,7,73
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,186,3,189
LA PAZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1293,16,1309
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,6,5,11
LAJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,26,5,31
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,2,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,45,30,75
LLICA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,1,4
LORETO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,7,7
LURIBAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,7,15
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
MACHARETI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,3,7
MAGDALENA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,6,9,15
MAIRANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,21,0,21
MALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,36,0,36
MECAPACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,4,15
MINEROS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,47,9,56
MIZQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,23,14,37
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,13,11,24
MOJINETE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,47,1,48
MONTERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,217,6,223
MORO MORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,2,4
MOROCHATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,14,23
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
OCURI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,15,26
OKINAWA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,19,5,24
OMEREQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,7,15
ORURO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,511,4,515
PADCAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,21,4,25
PADILLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,1,12
PAILON,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,36,2,38
PALCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,12,24
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,43,10,53
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,1,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,4,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,3,11
PASORAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,36,2,38
PAZÑA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,0,7
PELECHUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,6,2,8
POCOATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,28,35
POCONA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,6,18
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,6,17
POOPO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,2,10
PORCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,27,3,30
POROMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,4,13
PORONGO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,5,16
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,42,1,43
PORVENIR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,0,7
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
POTOSI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,393,9,402
PRESTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,7,9
PUCARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,2,3
PUCARANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,27,9,36
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,9,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,9,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,4,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,7,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,28,6,34
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,7,15
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,20,8,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,106,11,117
PUNA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,22,22,44
PUNATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,53,0,53
QUIABAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,222,3,225
QUIME,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,15,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,0,3
RAVELO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,13,17
REYES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,15,30,45
RIBERALTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,70,11,81
ROBORE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,22,1,23
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,33,4,37
SABAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,1,4
SACABA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,238,11,249
SACABAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,4,12
SACACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,13,29
SAIPINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,4,9
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,18,3,21
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,2,14
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,8,13
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,6,16
SAN BENITO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,8,24
SAN BORJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,72,16,88
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,3,15
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,42,1,43
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,47,3,50
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,114,22,136
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,0,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,35,0,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,3,15
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,28,1,29
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,15,1,16
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,64,32,96
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,9,21
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,19,7,26
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,17,24,41
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,25,0,25
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,19,8,27
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,32,0,32
