,group,variable,month,L 17.9 ANTIROTAVIRICA 2RA. DOSIS,L 17.9 ANTIROTAVIRICA 2RA. DOSIS,TOTALES
CORQUE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,0,4
COTAGAITA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,9,27
COTOCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,84,4,88
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,25,9,34
CUEVO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,2,7
CULPINA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,20,9,29
CURVA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,7,0,7
EL ALTO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1531,36,1567
EL CHORO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,1,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,23,0,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,24,0,24
EL TORNO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,85,2,87
EL VILLAR,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,1,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,38,5,43
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,58,1,59
ESCARA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,1,3
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,5,9
EXALTACION,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,2,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,30,1,31
FILADELFIA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,9,14
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,25,1,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,16,27
GUANAY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,12,17,29
GUAQUI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,5,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,95,7,102
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,15,13,28
HUACARETA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,4,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,2,4
HUANUNI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,34,1,35
HUARACAJE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,2,10
HUARINA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,7,1,8
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,0,9
HUMANATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,6,3,9
ICHOCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,7,9
ICLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,7,10,17
INCAHUASI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,3,11
INQUISIVI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,6,10,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,5,14
IXIAMAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,2,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,0,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,84,8,92
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,161,2,163
LA PAZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1289,6,1295
LA RIVERA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,7,16
LAJA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,6,24
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,1,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,27,10,37
LLICA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,0,2
LORETO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,10,12
LURIBAY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,9,17
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,2,11
MACHARETI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,13,3,16
MAGDALENA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,13,10,23
MAIRANA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,15,0,15
MALLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,31,0,31
MECAPACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,14,12,26
MINEROS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,35,11,46
MIZQUE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,25,18,43
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,15,8,23
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,4,7
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,52,1,53
MONTERO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,177,3,180
MORO MORO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,0,9
MOROCHATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,15,17,32
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,1,2
OCURI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,6,11,17
OKINAWA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,3,21
OMEREQUE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,4,5
ORURO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,546,6,552
PADCAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,22,6,28
PADILLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,15,5,20
PAILON,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,31,4,35
PALCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,17,17,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,32,10,42
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,2,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,1,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,2,4
PASORAPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,0,5
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,32,2,34
PAZÑA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,1,12
PELECHUCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,6,17
POCOATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,25,33
POCONA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,13,12,25
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,8,27
POOPO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,1,5
PORCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,21,3,24
POROMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,21,14,35
PORONGO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,2,21
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,27,0,27
PORVENIR,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,0,9
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,0,3
POTOSI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,372,9,381
PRESTO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,6,14,20
PUCARANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,29,7,36
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,10,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,12,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,5,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,6,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,2,20
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,12,6,18
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,5,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,93,9,102
PUNA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,17,17,34
PUNATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,47,0,47
QUIABAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,6,0,6
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,238,2,240
QUIME,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,19,24
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,10,17,27
REYES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,27,45
RIBERALTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,88,13,101
ROBORE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,2,20
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,23,1,24
SABAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,0,3
SACABA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,262,11,273
SACABAMBA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,2,11
SACACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,13,32
SAIPINA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,3,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,10,7,17
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,10,4,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,15,3,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,1,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,9,14
SAN BENITO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,25,2,27
SAN BORJA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,65,6,71
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,17,5,22
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,41,3,44
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,40,4,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,90,19,109
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,33,0,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,10,2,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,22,1,23
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,20,4,24
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,85,28,113
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,8,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,23,5,28
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,22,34,56
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,17,0,17
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,14,3,17
