,group,variable,month,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,43,41,84
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,15,0,15
COLQUIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,17,38,55
COMANCHE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,3,6
COMARAPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,36,3,39
COMBAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,6,7
CONCEPCION,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,43,0,43
COPACABANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,19,14,33
CORIPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,27,11,38
CORO CORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,2,12
COROICO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,25,1,26
CORQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,2,5
COTAGAITA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,21,5,26
COTOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,97,4,101
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,29,1,30
CUEVO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,7,5,12
CULPINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,29,11,40
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,0,4
CURVA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,0,10
EL ALTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1710,57,1767
EL CHORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,6,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,25,0,25
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,16,1,17
EL TORNO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,104,3,107
EL VILLAR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,26,5,31
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,65,0,65
ESCOMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,1,2
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,4,8
EXALTACION,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,18,4,22
FILADELFIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,6,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,31,10,41
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,14,19
GUANAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,13,14,27
GUAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,8,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,90,3,93
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,21,10,31
HUACARETA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,11,4,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,3,4
HUACHACALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,74,0,74
HUARACAJE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,2,8
HUARINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,0,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,0,2
HUMANATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,4,7
ICHOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,3,6
ICLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,11,15
INCAHUASI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,19,1,20
INQUISIVI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,8,15,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,16,10,26
IXIAMAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,1,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,16,3,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,77,6,83
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,159,0,159
LA PAZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1423,9,1432
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,9,19
LAJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,29,11,40
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,2,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,83,14,97
LLICA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,1,6
LORETO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,11,13
LURIBAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,2,7
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,8,0,8
MACHARETI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,8,3,11
MAGDALENA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,16,22
MAIRANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,18,0,18
MALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,3,4
MAPIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,28,1,29
MECAPACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,8,8,16
MINEROS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,42,1,43
MIZQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,35,10,45
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,22,7,29
MOJINETE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,3,7
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,49,4,53
MONTERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,241,7,248
MORO MORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,2,3
MOROCHATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,22,27
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,0,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,2,3
OCURI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,19,25
OKINAWA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,27,4,31
OMEREQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,1,5
ORURO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,614,5,619
PADCAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,21,1,22
PADILLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,15,2,17
PAILON,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,47,6,53
PALCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,18,16,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,52,11,63
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,22,3,25
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,5,7
PASORAPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,43,4,47
PAZÑA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,2,12
PELECHUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,16,1,17
POCOATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,14,21,35
POCONA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,19,14,33
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,14,4,18
POOPO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,0,5
PORCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,27,9,36
POROMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,14,10,24
PORONGO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,13,3,16
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,40,2,42
PORVENIR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,0,10
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,0,2
POTOSI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,493,23,516
PRESTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,11,14
PUCARANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,30,16,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,13,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,5,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,14,20
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,0,9,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,28,5,33
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,17,15,32
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,28,6,34
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,87,9,96
PUNA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,20,20,40
PUNATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,45,1,46
QUIABAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,0,6
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,245,5,250
QUIME,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,20,24
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,21,24
REYES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,15,30,45
RIBERALTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,127,17,144
