,group,variable,month,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,TOTALES
CORQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,2,5
COTAGAITA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,21,5,26
COTOCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,88,4,92
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,28,1,29
CUEVO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,7,5,12
CULPINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,24,9,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,0,4
CURVA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,0,10
EL ALTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1527,49,1576
EL CHORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,6,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,24,0,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,16,0,16
EL TORNO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,99,2,101
EL VILLAR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,23,4,27
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,62,0,62
ESCOMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,1,2
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,4,8
EXALTACION,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,17,4,21
FILADELFIA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,4,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,28,4,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,11,16
GUANAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,13,11,24
GUAQUI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,8,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,92,3,95
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,21,10,31
HUACARETA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,11,4,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,3,4
HUACHACALLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,73,0,73
HUARACAJE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,6,2,8
HUARINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,0,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,0,2
HUMANATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,3,5
ICHOCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,3,6
ICLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,11,15
INCAHUASI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,17,2,19
INQUISIVI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,8,15,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,17,11,28
IXIAMAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,2,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,16,3,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,68,5,73
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,135,0,135
LA PAZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1331,8,1339
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,9,19
LAJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,28,11,39
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,41,7,48
LLICA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,1,6
LORETO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,12,14
LURIBAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,2,7
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,8,1,9
MACHARETI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,8,3,11
MAGDALENA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,7,16,23
MAIRANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,18,0,18
MALLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,28,1,29
MECAPACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,8,7,15
MINEROS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,41,1,42
MIZQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,36,11,47
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,22,7,29
MOJINETE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,3,7
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,47,4,51
MONTERO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,202,7,209
MORO MORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,2,3
MOROCHATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,21,26
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,0,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,2,3
OCURI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,6,13,19
OKINAWA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,26,3,29
OMEREQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,1,5
ORURO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,574,3,577
PADCAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,21,1,22
PADILLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,15,2,17
PAILON,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,46,6,52
PALCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,20,16,36
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,52,11,63
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,22,2,24
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,6,9
PASORAPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,46,4,50
PAZÑA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,2,12
PELECHUCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,15,1,16
POCOATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,14,21,35
POCONA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,19,14,33
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,15,4,19
POOPO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,0,4
PORCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,22,6,28
POROMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,14,10,24
PORONGO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,13,3,16
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,40,0,40
PORVENIR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,8,0,8
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,0,4
POTOSI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,449,19,468
PRESTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,11,13
PUCARANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,29,14,43
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,14,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,5,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,6,14,20
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,8,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,28,7,35
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,12,9,21
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,28,6,34
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,84,3,87
PUNA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,23,18,41
PUNATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,45,1,46
QUIABAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,6,0,6
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,248,7,255
QUIME,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,19,23
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,20,23
REYES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,13,30,43
RIBERALTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,104,12,116
ROBORE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,38,0,38
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,41,1,42
SABAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,1,3
SACABA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,229,8,237
SACABAMBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,9,0,9
SACACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,32,20,52
SAIPINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,6,16
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,5,10
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,13,3,16
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,1,5
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,12,4,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,9,6,15
SAN BENITO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,11,3,14
SAN BORJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,70,4,74
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,17,2,19
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,39,1,40
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,43,5,48
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,122,15,137
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,0,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,34,0,34
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,11,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,27,0,27
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,9,1,10
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,66,25,91
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,10,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,27,4,31
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,27,35,62
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,18,1,19
