,group,variable,month,L 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,L 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
CHARAGUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
CLIZA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,2,2
COBIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
COROICO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,2,0,2
HUACARETA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,14,11,25
LLALLAGUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,5,0,5
PUNA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
PUNATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,7,6,13
TAPACARI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
WARNES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,2,2,4
BERMEJO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,1,2
CAJUATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,0,1,1
CAPINOTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,6,0,6
COLQUIRI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
COMARAPA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,2,0,2
COTAGAITA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,0,2,2
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,4,3,7
LA ASUNTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,3,2,5
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,2,0,2
PADCAYA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
SAN CARLOS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,16,10,26
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,1,2
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,1,2
TUPIZA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,2,0,2
VILLA RIVERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,2,0,2
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
YAPACANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-03-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,3,1,4
CARAPARI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,3,0,3
COROICO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,2,0,2
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,1,2
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
POROMA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,9,6,15
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,2,0,2
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
UNCIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,0,1,1
WARNES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,1,0,1
YAPACANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-04-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,2,0,2
CORIPATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,2,1,3
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,4,2,6
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,2,1,3
PAILON,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,13,12,25
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,4,0,4
TARABUCO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,1,0,1
WARNES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-05-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,2,0,2
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,1,2
COBIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,4,0,4
COTOCA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,5,0,5
LLALLAGUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
OKINAWA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,1,2
SACABA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,2,0,2
SAN BORJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,2,0,2
SAN LUCAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,4,2,6
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
SOPACHUY,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,3,0,3
VILLA MONTES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
VINTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-06-01,2,0,2
BATALLAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
COCAPATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,2,2
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,2,0,2
COLQUECHACA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
COMARAPA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
COROICO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
COTAGAITA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,4,0,4
ORURO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
PAILON,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,2,0,2
PORONGO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,11,3,14
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
SORATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,0,2,2
YAPACANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-07-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,2,3,5
COLCAPIRHUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,1,2
CONCEPCION,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,1,1
GUTIERREZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,1,1
INCAHUASI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,5,1,6
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,2,2
ORURO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,2,1,3
PUNATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
REYES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
SAN CARLOS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,19,9,28
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,1,1
TINGUIPAYA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,3,0,3
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-08-01,0,2,2
ACHOCALLA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,0,1,1
CAPINOTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,1,2
EL TORNO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,1,2
LLALLAGUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,0,1,1
