,group,variable,month,L 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,L 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
GUTIERREZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,3,4
LA GUARDIA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,5,0,5
LA PAZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,35,23,58
LLALLAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
LORETO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
MACHARETI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
MAGDALENA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
MECAPACA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,6,4,10
OKINAWA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
OMEREQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
ORURO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
PADCAYA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
PAILON,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
PATACAMAYA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
PELECHUCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
POCOATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,4,4
POROMA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,6,8
PRESTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,3,4,7
PUNATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,3,1,4
QUIRUSILLAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,5,1,6
ROBORE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
SACABA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,6,0,6
SAN BORJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,1,3
SAN BUENA VENTURA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,0,2
SAN CARLOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,4,1,5
SAN LUCAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,2,2
SAN PEDRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,0,2
SAN RAFAEL,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
SANTA ANA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,58,56,114
SAPAHAQUI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
SENA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,0,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,3,5
TARABUCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,5,4,9
TARVITA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
TEOPONTE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,4,1,5
TIQUIPAYA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
TOCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,4,5
TUPIZA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,2,3
URUBICHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,6,4,10
WARNES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,6,7
YACUIBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,5,4,9
YANACACHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,3,1,4
YAPACANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,8,1,9
YOCALLA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
AIQUILE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
ARQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
BATALLAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,4,1,5
BUENA VISTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
CAIROMA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
CAJUATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
CAMIRI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,3,0,3
CAPINOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,5,3,8
CHARAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
CHAYANTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,3,4
CHUMA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
COBIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,14,10,24
COLCAPIRHUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
COLQUENCHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
COROICO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
COTAGAITA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,18,16,34
EL TORNO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
GUAQUI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
GUTIERREZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
HUANUNI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
INQUISIVI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,4,6
LA GUARDIA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,5,1,6
LA PAZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,37,18,55
LAJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
LURIBAY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
MAPIRI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,8,6,14
ORURO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,2,3
PADILLA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
PORCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,6,0,6
PRESTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
PUERTO RICO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,5,4,9
QUILLACOLLO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
RAVELO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,3,4
RURRENABAQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
SACABA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,1,3
SAN BORJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,1,3
SAN CARLOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
SAN JOAQUIN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,4,1,5
SAN PEDRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,1,3
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,60,58,118
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,3,2,5
SIPE SIPE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
SORACACHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,5,3,8
TACOBAMBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
TAPACARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
TARABUCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,2,3
TARACO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,5,3,8
TEOPONTE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,0,2
TIPUANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,2,4
TIQUIPAYA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,11,3,14
TUPIZA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
UNCIA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
UYUNI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,3,3,6
VILLA TUNARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
VILLAZON,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,2,1,3
VINTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
VITICHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,0,1
WARNES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,1,6,7
YACUIBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,6,6,12
YAPACANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-02-01,3,2,5
ACHOCALLA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
AIQUILE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
APOLO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,0,3
BERMEJO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,4,1,5
BUENA VISTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
CAJUATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,1,2
CAPINOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,1,4
CARAPARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,2,3
CHARAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,2,5
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
CKOCHAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
CLIZA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,0,2
COBIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
COCAPATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,20,11,31
COLCAPIRHUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
COMARAPA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,1,2
COROICO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
COTAGAITA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,3,6
CUATRO CAÑADAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,1,2
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,24,12,36
EL TORNO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,1,3
GUTIERREZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
ICLA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
