,group,variable,month,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,48,34,82
SHINAOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,1,2
SOPACHUY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,4,5,9
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,1,2
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,4,0,4
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,8,2,10
TUPIZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
TURCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
UNCIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,2,2
VILLA SERRANO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,3,6
VILLAZON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,2,2,4
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,6,4,10
ARQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,0,2
BETANZOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,3,3,6
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,22,10,32
COLPA BELGICA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,2,3
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
COTAGAITA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,3,0,3
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,2,4
CULPINA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,11,3,14
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,3,5
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,1,2
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,3,6,9
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
MACHACAMARCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,9,3,12
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,3,3,6
PADILLA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
PAILON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
PORCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
PORTACHUELO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,1,3
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,6,7,13
PUNATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,0,2
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,1,3
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,0,2,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,0,2
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,36,31,67
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,5,3,8
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,5,1,6
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,1,2
TOTORA(CBBA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,3,1,4
VIACHA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,2,1,3
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,3,1,4
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,3,0,3
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,1,2
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,5,4,9
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,5,4,9
YOCALLA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,3,6
BUENA VISTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,0,3
CAMARGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,6,4,10
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,2,2
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,9,5,14
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
CORIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,2,0,2
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,2,5
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,2,2
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,14,5,19
EL PUENTE(STC),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,2,5
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,3,3
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,2,0,2
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,10,6,16
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,2,0,2
MAPIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,4,0,4
MINEROS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,4,4,8
MOROCHATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,5,0,5
PADCAYA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
PAILON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,2,2
POROMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,1,2
PORONGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,1,4
PRESTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,5,2,7
PUNATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,5,1,6
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
ROBORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,6,0,6
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,2,1,3
SAN CARLOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
SAN MATIAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,58,34,92
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
SOPACHUY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,7,4,11
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,1,4
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,4,1,5
URUBICHA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,2,1,3
VILLA SERRANO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,1,2
VILLAZON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
VINTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,0,1,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,3,2,5
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,7,3,10
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,2,4,6
YOCALLA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
YOTALA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-03-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,3,0,3
BOYUIBE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
CABEZAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,2,3
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,2,2
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,2,4
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,20,4,24
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,3,5
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,9,9,18
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,3,3,6
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
ICLA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,3,5
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,7,4,11
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,2,3
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,2,4
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,3,1,4
PAILON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
POROMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
PORONGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,4,5
PUERTO SUAREZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,2,3
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,0,2
ROBORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,1,2
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,5,1,6
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,4,4,8
SAN CARLOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,0,2
SAN IGNACIO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,50,29,79
SHINAOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,4,6
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,9,5,14
