,group,variable,month,L 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,L 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,2,3
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,11,8,19
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,5,6,11
EL TORNO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,22,12,34
MAPIRI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,1,2
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,4,1,5
PADILLA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,5,0,5
PUCARANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,3,0,3
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,13,17,30
SIPE SIPE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,4,3,7
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,1,2
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,1,2
VIACHA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
WARNES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-02-01,0,1,1
ACHOCALLA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,13,5,18
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
CORO CORO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
COROICO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,7,11,18
EL TORNO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
ESCOMA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,30,10,40
MOCOMOCO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,3,3,6
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,3,5,8
PATACAMAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,0,1,1
PUNATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,2,0,2
SAN ANDRES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,15,15,30
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,0,2,2
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,3,4
VALLEGRANDE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,1,2
VILLAZON,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,1,0,1
WARNES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,0,2,2
YAPACANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-03-01,2,0,2
ACHACACHI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
ARBIETO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
CHALLAPATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
CLIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,11,4,15
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,11,5,16
EL TORNO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
GUTIERREZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,17,12,29
LURIBAY,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
POOPO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
PORCO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,2,1,3
PUNATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,2,0,2
REYES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
SAN MATIAS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,9,10,19
SORATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,3,1,4
TARABUCO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,3,1,4
TIRAQUE (CBBA),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,0,2,2
VILLAZON,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-04-01,1,0,1
ACHOCALLA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,7,2,9
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,0,1,1
CONCEPCION,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,11,6,17
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,4,5
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,18,21,39
LLALLAGUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,2,1,3
MAPIRI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,3,0,3
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,2,1,3
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,3,0,3
SAN BORJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,16,9,25
SIPE SIPE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,0,1,1
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
VINTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-05-01,2,0,2
BERMEJO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
COCAPATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,8,10,18
COTOCA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,5,4,9
LA ASUNTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,4,0,4
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,25,19,44
MONTEAGUDO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,2,2
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,2,0,2
OMEREQUE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,2,0,2
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,3,2,5
PATACAMAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,2,0,2
PUNATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,1,2
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,5,0,5
SAN BORJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,16,10,26
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
SORATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,4,2,6
TACOBAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
TARABUCO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,3,1,4
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,2,0,2
VILLA MONTES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,2,1,3
VINTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,2,0,2
WARNES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,1,1,2
YACUIBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,0,1,1
YAPACANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-06-01,2,0,2
ACHACACHI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
ARBIETO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,9,5,14
CORIPATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,15,2,17
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
GUAQUI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,2,1,3
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,23,21,44
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,9,2,11
PAILON,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,4,1,5
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,3,0,3
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,2,0,2
SAN IGNACIO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,14,11,25
SIPE SIPE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,5,0,5
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,4,2,6
TIQUIPAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,2,1,3
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,2,2
UNCIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
VINTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-07-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
AYATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
CAMARGO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
