,group,variable,month,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,4,10
CHALLAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,9,12
CHARAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,7,12
CHAYANTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,1,6
CHIMORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,10,14,24
CHOQUE COTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,13,8,21
CHUMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
CKOCHAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
CLIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,15,11,26
COBIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,29,17,46
COCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,4,5
COCHABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,191,165,356
COLCAPIRHUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,16,13,29
"COLCHA ""K""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,2,2
COLLANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,0,3
COLOMI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,9,2,11
COLPA BELGICA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,4,5
COLQUECHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,4,8
COLQUENCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
COLQUIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,2,7
COMANCHE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
COMARAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,6,10
CONCEPCION,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,7,4,11
COPACABANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
CORIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,9,17
CORO CORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
COROICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,10,16,26
CORQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
COTAGAITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,2,6
COTOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,12,13,25
CUATRO CAÑADAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,6,11
CULPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,4,7
CURAHUARA DE CARANGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
DESAGUADERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,300,263,563
EL PUENTE(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
EL PUENTE(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
EL TORNO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,23,23,46
EL VILLAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,6,14
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,13,7,20
ESCOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,4,5
EUCALIPTUS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,3,8
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,4,8
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,7,4,11
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,2,6
GUANAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,8,16
GUAYARAMERIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,18,16,34
GUTIERREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
HUACHACALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
HUANUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,10,3,13
HUARACAJE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
HUARINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
HUAYLLAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
HUMANATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
ICHOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
ICLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,3,4
INCAHUASI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,2,5
INQUISIVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,7,2,9
LA ASUNTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,17,14,31
LA GUARDIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,16,16,32
LA PAZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,397,355,752
LAGUNILLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
LAJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,6,9
LAS CARRERAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
LICOMA PAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
LLALLAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,3,11
LLICA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
LORETO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
MACHACAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
MACHARETI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
MAGDALENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,0,4
MAIRANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
MAPIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,2,6
MECAPACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,10,7,17
MIZQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,4,8
MOCOMOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
MOJOCOYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,5,5
MONTEAGUDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,23,7,30
MONTERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,48,37,85
MOROCHATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
OCURI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,2,2
OKINAWA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,8,10
OMEREQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
ORURO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,98,94,192
PADCAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,3,3
PADILLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
PAILON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,9,16,25
PALCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,26,18,44
PAMPA AULLAGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
PAMPA GRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
PATACAMAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,4,8
PELECHUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
POCOATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,6,9
POCONA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,4,5
POJO (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,3,5
POOPO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
PORCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
POROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,3,5
PORONGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,4,4
PORTACHUELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,3,11
PORVENIR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
POSTRER VALLE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,47,29,76
PRESTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
PUERTO CARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,0,3
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
PUERTO PEREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
PUERTO RICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
PUERTO SILES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,2,5
PUERTO VILLARROEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,25,25,50
PUNA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,5,6
PUNATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,11,14,25
QUIABAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,39,47,86
QUIME,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
QUIRUSILLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
RAVELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,2,6
REYES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,1,5
RIBERALTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,31,17,48
ROBORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
RURRENABAQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,3,8
SACABA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,32,33,65
SACABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,2,2
SACACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,1,6
SAIPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
SAMAIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,3,4
SAN ANDRES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
SAN BENITO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,2,8
SAN BORJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,19,26,45
SAN BUENA VENTURA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,3,11
SAN CARLOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
SAN IGNACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,8,14
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,13,4,17
SAN JAVIER(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,4,9
SAN JOAQUIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
SAN JULIAN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,25,28,53
SAN LORENZO(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,3,5
SAN LUCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,9,14
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,7,11
SAN PEDRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,13,9,22
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
SAN PEDRO DE TIQUINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
SAN RAFAEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,3,5
SAN RAMON SCZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,3,6
SANTA ANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,4,9
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,354,352,706
SANTA ROSA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,1,4
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,1,4
SANTIAGO DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
SANTUARIO DE QUILLACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
SENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,2,5
SHINAOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,11,14,25
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,2,6
SICAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
SIPE SIPE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,0,3
SOPACHUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,0,3
SORACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
SORATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,13,5,18
SUCRE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,73,104,177
TACACOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
TACOBAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
TACOPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,2,6
TAPACARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,3,5
TARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,9,3,12
TARACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,0,2
TARATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,5,7
TARIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,64,41,105
TARVITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,6,12
TEOPONTE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,1,5
TIAWANACU,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,3,5
TINGUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,14,4,18
TIQUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,11,13,24
TIRAQUE (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
TOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
TOLATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
TOLEDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,4,4
TOMAVE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
TOMINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
TORO TORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
TOTORA(CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
TRIGAL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,27,24,51
TUPIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,24,10,34
TURCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
UMALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
UNCIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,0,6
URUBICHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,1,6
UYUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,7,11
VACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
VALLEGRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,9,5,14
VIACHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,4,8
VILA VILA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,3,5
VILLA CHARCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,3,9
VILLA MONTES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,13,7,20
VILLA RIVERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,2,2
VILLA SERRANO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,5,7
VILLA TUNARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,51,68,119
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,8,11
