,group,variable,month,L 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,L 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,1,2,3
LA GUARDIA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,4,2,6
POTOSI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,0,3,3
SORATA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,2,1,3
TRINIDAD,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,0,1,1
LLALLAGUA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,0,1,1
PUNATA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,4,1,5
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,1,1,2
TOMINA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,7,0,7
TRINIDAD,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,1,0,1
YOTALA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-05-01,1,1,2
ARBIETO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,2,1,3
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,1,0,1
ORURO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,2,0,2
SAN IGNACIO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,0,1,1
SAN JOAQUIN,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,2,3,5
SIPE SIPE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-06-01,1,2,3
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,4,0,4
COROICO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,0,1,1
SAN LORENZO(PND),tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,5,0,5
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,2,1,3
TARIJA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-07-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,1,0,1
GUTIERREZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,2,0,2
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,1,1,2
SACABA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,1,1,2
SAN BORJA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,2,3,5
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-08-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,1,0,1
"COLCHA ""K""",tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,1,1,2
GUANAY,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,1,3,4
SHINAOTA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,0,1,1
TUPIZA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-09-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,0,1,1
SAN CARLOS,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,9,11,20
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,0,1,1
VINTO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-10-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,0,1,1
WARNES,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-11-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,0,2,2
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,0,1,1
INQUISIVI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,1,0,1
ORURO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,3,5,8
TOMAVE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-12-01,0,1,1
