,group,variable,month,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,13,10,23
SIPE SIPE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,2,3
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,3,2,5
TUPIZA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,2,2
URUBICHA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,3,2,5
VILLAZON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,2,2
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,0,1
AIQUILE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,0,2
ARQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,1,2
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,0,3,3
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,4,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,0,1
CHUMA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,4,1,5
COLCAPIRHUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,0,2,2
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,11,10,21
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,2,3
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,1,3
GUANAY,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,0,2
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,5,7
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,1,3
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,3,5
MAPIRI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,2,3
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,6,3,9
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,0,2
PAILON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,0,2
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,3,5
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,3,2,5
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,4,1,5
SAN PEDRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,3,2,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,12,11,23
SHINAOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,1,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,2,1,3
SIPE SIPE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,1,2
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,2,3
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,4,0,4
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,0,1
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,0,3,3
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-02-01,1,5,6
AUCAPATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,2,2
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,7,8,15
COMARAPA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,0,2
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,4,4,8
EL TORNO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,0,2
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,1,2
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,2,4
LAJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,1,3
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,3,1,4
PAMPA GRANDE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,1,2
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,3,4
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,2,2
RURRENABAQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,2,2
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,2,2
SAN CARLOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,4,5
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,2,3
SAN PEDRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,10,14,24
SHINAOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
TAPACARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
TARABUCO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,3,1,4
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
URUBICHA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,1,2
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,1,2
VILLA RIVERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,0,2
VILLAZON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,0,1,1
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,4,3,7
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,2,2,4
YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-03-01,3,3,6
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,2,2
AYO AYO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,4,5
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,4,3,7
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,3,2,5
COLCAPIRHUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,2,1,3
COLPA BELGICA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
COROICO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,7,0,7
EL TORNO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,3,0,3
GUANAY,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,1,1
HUANUNI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,4,1,5
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
LLALLAGUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,1,1
PADCAYA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,3,4
PALOS BLANCOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
ROBORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
RURRENABAQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,2,3
SACACA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,2,2,4
SAN JAVIER(STC),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,18,12,30
SHINAOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,1,1
SOPACHUY,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,2,2
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,1,2
URUBICHA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,0,1,1
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,1,4,5
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-04-01,2,0,2
AIQUILE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,2,2
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,3,2,5
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,9,1,10
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,2,1,3
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,3,0,3
COTOCA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,5,9,14
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,3,3
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,5,1,6
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,2,3
MAPIRI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,3,0,3
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,2,2
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,1,1
PAILON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,3,0,3
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,3,2,5
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,1,2
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,3,4
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,2,2,4
SAN BUENA VENTURA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,3,3
SAN JULIAN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,23,23,46
SIPE SIPE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,2,0,2
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,2,4,6
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,4,2,6
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,2,0,2
VILLA MONTES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,0,3,3
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,4,1,5
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,2,6,8
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,3,1,4
YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-05-01,5,0,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,1,2
CABEZAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,2,3
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,1,3
COBIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,3,0,3
CONCEPCION,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
COROICO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,0,2
COTOCA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,0,2
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,7,6,13
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,0,2
