,group,variable,month,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
GUTIERREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,3,2,5
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,7,2,9
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,76,58,134
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,4,1,5
LORETO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
MACHARETI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
MAGDALENA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,8,6,14
OCURI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
OKINAWA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
OMEREQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,5,4,9
PADCAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
PAILON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
PATACAMAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,1,3
PELECHUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
POROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,33,6,39
PRESTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,4,1,5
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,4,2,6
PUNATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,3,3,6
QUIRUSILLAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,5,1,6
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,6,2,8
SAN ANDRES DE MACHACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,4,0,4
SAN BUENA VENTURA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
SAN CARLOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,1,3
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
SAN RAFAEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,73,64,137
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
SAPAHAQUI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,1,3
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,11,5,16
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,6,6,12
TARVITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,6,1,7
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
TOCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,9,4,13
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,2,3
URUBICHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,6,4,10
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,3,3
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,6,4,10
YANACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,3,1,4
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,8,1,9
YOCALLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,1,3
AIQUILE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
ARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
ARQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
BATALLAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,1,3
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
CAIROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
CAJUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,0,3
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,6,4,10
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,3,5
CHUMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,2,2
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,20,16,36
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
COLQUENCHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,1,3
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
CURAHUARA DE CARANGAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,25,22,47
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,1,3
GUAQUI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
GUTIERREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
HUANUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
INQUISIVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,5,8
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,5,1,6
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,70,40,110
LAJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,0,3
LURIBAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
MAPIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
MINEROS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,9,8,17
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,6,3,9
PADILLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
POCOATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
PORCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,38,3,41
PRESTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,4,7
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,4,0,4
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,3,4
ROBORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,1,3
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,2,5
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,2,4
SAN CARLOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
SAN JOAQUIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,1,3
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,75,69,144
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,2,4
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,2,3
SORACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,9,5,14
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,2,3
TARACO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,8,4,12
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,0,2
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,2,4
TIRAQUE (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,12,4,16
UNCIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,1,2
UYUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,0,1,1
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,3,6
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,4,2,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,2,4
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
VITICHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,1,0,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,2,6,8
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,7,5,12
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-02-01,3,2,5
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
ACHOCALLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,1,2
AIQUILE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
APOLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,3,0,3
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,4,1,5
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
CAJUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,1,2
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,4,1,5
CARAPARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,2,3
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,4,1,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,4,2,6
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
CKOCHAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
CLIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,0,2
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,0,2
COCAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,27,14,41
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
COMARAPA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
CONCEPCION,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
CORO CORO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,2,3
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,3,3,6
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,1,2
