municipality,group,variable,month,Nº de comunidades que participaron en el CAI de sector,TOTAL
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,7,7
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,10,10
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,34,34
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
PORVENIR,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,8,8
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,21,21
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
PUERTO VILLARROEL,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,9,9
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,14,14
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
REYES,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
SABAYA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,15,15
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,26,26
SAN ANTONIO DE ESMORUCO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,6,6
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,8,8
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,35,35
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
SAN IGNACIO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,10,10
SAN LORENZO(PND),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,15,15
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
SAN PABLO DE LIPEZ,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,11,11
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,6,6
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,18,18
SANTUARIO DE QUILLACAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,13,13
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,7,7
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
SORACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,12,12
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,20,20
TARATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,17,17
TIPUANI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,11,11
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,10,10
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
TODOS SANTOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,12,12
TOLEDO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,68,68
TRIGAL,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,39,39
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,13,13
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
VILLAZON,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,10,10
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,13,13
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,9,9
YACUIBA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
YOTALA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,7,7
ACACIO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,8,8
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,16,16
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,13,13
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,9,9
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,37,37
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,38,38
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,12,12
BELEN DE URMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
BOLIVAR,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,15,15
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
CABEZAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,6,6
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
CAMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,21,21
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
CATACORA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
CHARAÑA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,9,9
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
COBIJA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
COROICO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,9,9
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,29,29
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,18,18
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,39,39
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,15,15
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
MACHARETI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,9,9
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,6,6
MOJINETE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,32,32
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,8,8
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,18,18
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,29,29
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
REYES,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,15,15
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
SAN JAVIER(BNI),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
SAN JAVIER(STC),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
SAN JUAN DE YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,29,29
SAN MIGUEL DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
SAN RAFAEL,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,22,22
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,8,8
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
SANTIAGO DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,13,13
SOPACHUY,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
TARACO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
TARATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,11,11
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,12,12
TOLATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
TOLEDO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
TOMAVE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,5,5
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,10,10
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,2,2
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,6,6
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,9,9
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,3,3
VILLA TUNARI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,1,1
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,12,12
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,7,7
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,6,6
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-02-01,4,4
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,37,37
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,10,10
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,4,4
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,7,7
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,3,3
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,10,10
BERMEJO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,2,2
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,5,5
BOLIVAR,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,9,9
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,9,9
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,3,3
CAMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,10,10
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,7,7
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,5,5
CARIPUYO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,23,23
CATACORA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,4,4
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,7,7
CHARAÑA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,5,5
CHIMORE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,4,4
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,3,3
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,6,6
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,7,7
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,12,12
COLQUIRI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
COMARAPA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,4,4
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,3,3
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,2,2
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,4,4
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,26,26
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,7,7
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,8,8
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,8,8
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,6,6
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,4,4
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,5,5
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,11,11
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,5,5
INQUISIVI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-03-01,1,1
