,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2023-04-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2023-04-01,0,0,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2023-04-01,0,0,1,1,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-04-01,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2023-05-01,0,0,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2023-05-01,0,1,0,0,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2023-05-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2023-05-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-05-01,0,1,0,0,0,1
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2023-05-01,0,1,0,0,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2023-05-01,1,1,0,0,1,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,0,2,0,0,0,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,1,0,1,0,2,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,2,0,0,1,2,1
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,0,0,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,1,3,0,1,1,4
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,1,0,0,0,1,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2023-06-01,0,0,0,1,0,1
AIQUILE,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,1,1,0,0,1,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,0,0,0,2,0,2
PUNATA,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,1,1,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,1,1,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,1,2,2,0,3,2
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,0,2,0,0,0,2
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,1,0,0,3,1,3
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,0,0,1,0,1,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2023-07-01,0,0,1,0,1,0
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,1,0,0,0,1,0
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,1,0,0,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,1,0,0,0,1
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,1,0,0,0,1
PUNATA,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,0,1,1,1,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,0,1,1,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,0,0,2,0,2
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,0,0,2,0,2
YANACACHI,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,1,0,0,0,1,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2023-08-01,0,1,0,1,0,2
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,1,0,1,0,2
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,1,1,0,1,1
INCAHUASI,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,1,0,0,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,1,0,1,0,2
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,2,0,0,0,2,0
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,0,0,1,0,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,0,1,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,0,1,0,1,0
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,1,0,0,3,1,3
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,1,0,0,0,1
YAPACANI,chagas,tratamientos rn a menores de 1 ano de edad,2023-09-01,0,1,0,0,0,1
ENTRE RIOS CBBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,1,0,0,0,1,0
INCAHUASI,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,0,0,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,0,0,2,0,2,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,0,1,0,0,0,1
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,1,0,0,0,1,0
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,2,0,0,0,2,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,2,1,0,0,2,1
YANACACHI,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,0,0,1,0,1,0
YAPACANI,chagas,tratamientos rn a menores de 1 ano de edad,2023-10-01,0,0,0,1,0,1
ENTRE RIOS CBBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,0,0,1,0,1,0
INCAHUASI,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,0,1,0,0,0,1
OMEREQUE,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,1,0,0,0,1,0
PAMPA GRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,0,1,0,0,0,1
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,0,1,0,0,0,1
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,0,0,1,0,1,0
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,1,0,2,0,3,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,0,0,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2023-11-01,1,1,0,0,1,1
INCAHUASI,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,0,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,0,1,0,1,0
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,0,0,1,0,1
OMEREQUE,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,0,1,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,0,0,1,0,1
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,1,0,0,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,0,1,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,2,0,0,0,2,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2023-12-01,0,0,1,1,1,1
