,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-03-01,1,1,0,0,1,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-03-01,9,11,5,5,14,16
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-04-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-04-01,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-05-01,1,0,0,0,1,0
PADCAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-05-01,0,0,1,0,1,0
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-05-01,0,1,0,0,0,1
SICAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-05-01,0,1,0,0,0,1
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-05-01,0,0,1,1,1,1
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-05-01,0,1,0,0,0,1
COLQUECHACA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,1,0,0,0,1,0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,0,1,0,0,0,1
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,1,0,0,0,1,0
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,0,2,0,0,0,2
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,0,1,0,0,0,1
TOMINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,0,0,1,0,1,0
TOTORA(CBBA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,1,0,0,0,1,0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,1,0,0,0,1,0
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-06-01,2,2,0,0,2,2
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,0,0,2,1,2,1
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,0,1,0,0,0,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,0,1,1,0,1,1
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,0,0,0,1,0,1
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,1,3,0,1,1,4
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,1,2,0,0,1,2
TORO TORO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,1,0,0,0,1,0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,0,1,0,0,0,1
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-07-01,0,0,0,1,0,1
CHIMORE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,0,1,0,0,0,1
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,1,0,0,0,1,0
SAN BENITO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,0,1,0,0,0,1
SAN PEDRO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,4,16,0,0,4,16
TARATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,2,0,0,0,2,0
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,0,2,0,0,0,2
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,1,0,1,0,2,0
YAPACANI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,1,4,0,3,1,7
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-08-01,0,1,0,0,0,1
ALCALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,1,0,0,0,1,0
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,2,3,0,0,2,3
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,0,0,0,1,0,1
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,1,1,0,0,1,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,0,1,0,2,0,3
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,0,2,0,0,0,2
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,1,1,0,0,1,1
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,2,1,0,0,2,1
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,3,0,0,0,3,0
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,1,1,0,0,1,1
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,1,3,5,7,6,10
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,2,1,1,1,3,2
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,1,0,0,0,1,0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,0,0,0,1,0,1
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-09-01,0,1,0,0,0,1
ARAMPAMPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,1,1,0,0,1,1
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,1,0,0,0,1,0
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,0,1,0,1,0
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,1,0,1,0,2
FERNANDEZ ALONSO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,0,0,1,0,1
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,3,1,0,0,3,1
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,3,1,0,0,3,1
PUNATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,1,0,0,0,1
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,4,3,6,4,10,7
TARATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,0,2,0,2,0
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,0,0,1,0,1
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,1,0,0,0,1,0
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,1,0,1,0,2,0
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-10-01,0,0,0,1,0,1
ALCALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,0,1,0,1,0
CAPINOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,2,0,0,0,2
COLQUECHACA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,0,1,0,1,0
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,0,3,1,3,1
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,0,1,1,1,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,1,0,1,0,2
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,2,0,0,0,2,0
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,4,0,0,0,4,0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,1,0,0,0,1
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,0,0,1,0,1
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,1,0,0,0,1,0
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,5,0,0,0,5,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,6,12,1,3,7,15
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,4,2,2,1,6,3
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,0,1,0,1,0,2
TORO TORO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-11-01,1,1,0,0,1,1
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,0,1,0,1,0
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,0,0,2,0,2
CAPINOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,1,0,0,0,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,0,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,1,0,0,0,1,0
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,0,1,0,1,0
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,0,0,1,0,1
SAN BORJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-12-01,0,1,0,0,0,1
