,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
EL PUENTE(STC),vih,no de personas con prueba rapida,2022-01-01,10,9,19
EL TORNO,vih,no de personas con prueba rapida,2022-01-01,44,42,86
EL VILLAR,vih,no de personas con prueba rapida,2022-01-01,0,1,1
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2022-01-01,5,12,17
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2022-01-01,57,178,235
ESCARA,vih,no de personas con prueba rapida,2022-01-01,5,0,5
ESCOMA,vih,no de personas con prueba rapida,2022-01-01,1,7,8
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2022-01-01,9,28,37
FILADELFIA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vih,no de personas con prueba rapida,2022-01-01,9,6,15
GUAYARAMERIN,vih,no de personas con prueba rapida,2022-01-01,28,29,57
GUTIERREZ,vih,no de personas con prueba rapida,2022-01-01,3,0,3
HUACARETA,vih,no de personas con prueba rapida,2022-01-01,0,12,12
HUACHACALLA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
HUANUNI,vih,no de personas con prueba rapida,2022-01-01,12,42,54
ICLA,vih,no de personas con prueba rapida,2022-01-01,0,6,6
INCAHUASI,vih,no de personas con prueba rapida,2022-01-01,4,15,19
IRUPANA (VILLA DE LANZA),vih,no de personas con prueba rapida,2022-01-01,0,5,5
IXIAMAS,vih,no de personas con prueba rapida,2022-01-01,4,3,7
JESUS DE MACHACA,vih,no de personas con prueba rapida,2022-01-01,9,7,16
LA GUARDIA,vih,no de personas con prueba rapida,2022-01-01,22,43,65
LA PAZ,vih,no de personas con prueba rapida,2022-01-01,1109,1741,2850
LAJA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
LAS CARRERAS,vih,no de personas con prueba rapida,2022-01-01,0,1,1
LLALLAGUA,vih,no de personas con prueba rapida,2022-01-01,8,14,22
MACHACAMARCA,vih,no de personas con prueba rapida,2022-01-01,2,1,3
MACHARETI,vih,no de personas con prueba rapida,2022-01-01,1,0,1
MAIRANA,vih,no de personas con prueba rapida,2022-01-01,3,16,19
MINEROS,vih,no de personas con prueba rapida,2022-01-01,3,0,3
MIZQUE,vih,no de personas con prueba rapida,2022-01-01,17,22,39
MOJOCOYA,vih,no de personas con prueba rapida,2022-01-01,0,2,2
MONTEAGUDO,vih,no de personas con prueba rapida,2022-01-01,34,35,69
MONTERO,vih,no de personas con prueba rapida,2022-01-01,55,97,152
NACEBE (SANTA ROSA DEL ABUNA),vih,no de personas con prueba rapida,2022-01-01,1,0,1
OCURI,vih,no de personas con prueba rapida,2022-01-01,1,0,1
OKINAWA,vih,no de personas con prueba rapida,2022-01-01,6,1,7
OMEREQUE,vih,no de personas con prueba rapida,2022-01-01,0,1,1
ORURO,vih,no de personas con prueba rapida,2022-01-01,210,545,755
PADCAYA,vih,no de personas con prueba rapida,2022-01-01,1,1,2
PADILLA,vih,no de personas con prueba rapida,2022-01-01,14,18,32
PAILON,vih,no de personas con prueba rapida,2022-01-01,2,12,14
PALOS BLANCOS,vih,no de personas con prueba rapida,2022-01-01,0,1,1
PAMPA GRANDE,vih,no de personas con prueba rapida,2022-01-01,0,1,1
PASORAPA,vih,no de personas con prueba rapida,2022-01-01,0,1,1
PATACAMAYA,vih,no de personas con prueba rapida,2022-01-01,22,22,44
POCOATA,vih,no de personas con prueba rapida,2022-01-01,1,2,3
POCONA,vih,no de personas con prueba rapida,2022-01-01,0,2,2
POJO (CBBA),vih,no de personas con prueba rapida,2022-01-01,0,4,4
POOPO,vih,no de personas con prueba rapida,2022-01-01,3,5,8
POROMA,vih,no de personas con prueba rapida,2022-01-01,3,0,3
PORONGO,vih,no de personas con prueba rapida,2022-01-01,2,2,4
PORTACHUELO,vih,no de personas con prueba rapida,2022-01-01,6,0,6
PORVENIR,vih,no de personas con prueba rapida,2022-01-01,0,7,7
POTOSI,vih,no de personas con prueba rapida,2022-01-01,1,7,8
PRESTO,vih,no de personas con prueba rapida,2022-01-01,2,1,3
PUCARANI,vih,no de personas con prueba rapida,2022-01-01,0,3,3
PUERTO PEREZ,vih,no de personas con prueba rapida,2022-01-01,1,4,5
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2022-01-01,3,0,3
PUERTO RICO,vih,no de personas con prueba rapida,2022-01-01,0,5,5
PUERTO SUAREZ,vih,no de personas con prueba rapida,2022-01-01,5,8,13
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2022-01-01,278,340,618
PUNATA,vih,no de personas con prueba rapida,2022-01-01,26,70,96
QUILLACOLLO,vih,no de personas con prueba rapida,2022-01-01,9,13,22
QUIME,vih,no de personas con prueba rapida,2022-01-01,4,2,6
RAVELO,vih,no de personas con prueba rapida,2022-01-01,0,1,1
REYES,vih,no de personas con prueba rapida,2022-01-01,9,2,11
RIBERALTA,vih,no de personas con prueba rapida,2022-01-01,268,319,587
SABAYA,vih,no de personas con prueba rapida,2022-01-01,23,26,49
SACABA,vih,no de personas con prueba rapida,2022-01-01,91,155,246
SACABAMBA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
SACACA,vih,no de personas con prueba rapida,2022-01-01,0,1,1
SAMAIPATA,vih,no de personas con prueba rapida,2022-01-01,1,3,4
SAN ANDRES,vih,no de personas con prueba rapida,2022-01-01,1,3,4
SAN BENITO,vih,no de personas con prueba rapida,2022-01-01,1,4,5
SAN BORJA,vih,no de personas con prueba rapida,2022-01-01,52,34,86
SAN BUENA VENTURA,vih,no de personas con prueba rapida,2022-01-01,5,1,6
SAN CARLOS,vih,no de personas con prueba rapida,2022-01-01,25,38,63
SAN IGNACIO,vih,no de personas con prueba rapida,2022-01-01,3,3,6
SAN IGNACIO DE VELASCO,vih,no de personas con prueba rapida,2022-01-01,7,10,17
SAN JAVIER(STC),vih,no de personas con prueba rapida,2022-01-01,4,12,16
SAN JOAQUIN,vih,no de personas con prueba rapida,2022-01-01,0,36,36
SAN JUAN DE YAPACANI,vih,no de personas con prueba rapida,2022-01-01,1,0,1
SAN JULIAN,vih,no de personas con prueba rapida,2022-01-01,36,41,77
SAN LORENZO(PND),vih,no de personas con prueba rapida,2022-01-01,1,2,3
SAN LUCAS,vih,no de personas con prueba rapida,2022-01-01,7,34,41
SAN MATIAS,vih,no de personas con prueba rapida,2022-01-01,4,4,8
SAN MIGUEL DE VELASCO,vih,no de personas con prueba rapida,2022-01-01,1,3,4
SAN PEDRO,vih,no de personas con prueba rapida,2022-01-01,8,21,29
SAN PEDRO DE BUENA VISTA,vih,no de personas con prueba rapida,2022-01-01,0,5,5
SAN PEDRO DE MACHA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
SAN RAMON BENI,vih,no de personas con prueba rapida,2022-01-01,13,15,28
SAN RAMON SCZ,vih,no de personas con prueba rapida,2022-01-01,5,1,6
SANTA ANA,vih,no de personas con prueba rapida,2022-01-01,10,17,27
SANTA CRUZ DE LA SIERRA,vih,no de personas con prueba rapida,2022-01-01,974,1245,2219
SANTA ROSA,vih,no de personas con prueba rapida,2022-01-01,2,1,3
SANTA ROSA DEL SARA,vih,no de personas con prueba rapida,2022-01-01,6,7,13
SANTIAGO DE HUARI,vih,no de personas con prueba rapida,2022-01-01,12,10,22
SANTIAGO DE HUATA,vih,no de personas con prueba rapida,2022-01-01,0,1,1
SHINAOTA,vih,no de personas con prueba rapida,2022-01-01,170,178,348
SIPE SIPE,vih,no de personas con prueba rapida,2022-01-01,5,17,22
SOPACHUY,vih,no de personas con prueba rapida,2022-01-01,0,2,2
SUCRE,vih,no de personas con prueba rapida,2022-01-01,109,531,640
TACACOMA,vih,no de personas con prueba rapida,2022-01-01,4,6,10
TACOPAYA,vih,no de personas con prueba rapida,2022-01-01,0,8,8
TAPACARI,vih,no de personas con prueba rapida,2022-01-01,6,4,10
TARABUCO,vih,no de personas con prueba rapida,2022-01-01,9,26,35
TARIJA,vih,no de personas con prueba rapida,2022-01-01,554,505,1059
TARVITA,vih,no de personas con prueba rapida,2022-01-01,2,19,21
TIAHUANACU,vih,no de personas con prueba rapida,2022-01-01,2,6,8
TIPUANI,vih,no de personas con prueba rapida,2022-01-01,3,5,8
TIQUIPAYA,vih,no de personas con prueba rapida,2022-01-01,0,2,2
TOCO,vih,no de personas con prueba rapida,2022-01-01,1,0,1
TOLATA,vih,no de personas con prueba rapida,2022-01-01,1,2,3
TOMINA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
TORO TORO,vih,no de personas con prueba rapida,2022-01-01,1,0,1
TOTORA(CBBA),vih,no de personas con prueba rapida,2022-01-01,4,20,24
TRINIDAD,vih,no de personas con prueba rapida,2022-01-01,416,240,656
TUPIZA,vih,no de personas con prueba rapida,2022-01-01,38,146,184
UNCIA,vih,no de personas con prueba rapida,2022-01-01,3,10,13
URIONDO (A. CONCEPCION),vih,no de personas con prueba rapida,2022-01-01,1,0,1
UYUNI,vih,no de personas con prueba rapida,2022-01-01,1,51,52
VALLEGRANDE,vih,no de personas con prueba rapida,2022-01-01,8,27,35
VIACHA,vih,no de personas con prueba rapida,2022-01-01,3,1,4
VILLA CHARCAS,vih,no de personas con prueba rapida,2022-01-01,3,6,9
VILLA MONTES,vih,no de personas con prueba rapida,2022-01-01,20,24,44
VILLA SERRANO,vih,no de personas con prueba rapida,2022-01-01,2,2,4
VILLA TUNARI,vih,no de personas con prueba rapida,2022-01-01,104,84,188
VILLA VACA GUZMAN (MUYUPAMPA),vih,no de personas con prueba rapida,2022-01-01,0,3,3
VILLAZON,vih,no de personas con prueba rapida,2022-01-01,14,32,46
VINTO,vih,no de personas con prueba rapida,2022-01-01,48,142,190
WARNES,vih,no de personas con prueba rapida,2022-01-01,9,10,19
YACUIBA,vih,no de personas con prueba rapida,2022-01-01,75,100,175
YAMPARAEZ,vih,no de personas con prueba rapida,2022-01-01,1,3,4
YAPACANI,vih,no de personas con prueba rapida,2022-01-01,53,54,107
YOTALA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
YUNCHARA,vih,no de personas con prueba rapida,2022-01-01,0,1,1
ZUDAÑEZ,vih,no de personas con prueba rapida,2022-01-01,7,14,21
ACHACACHI,vih,no de personas con prueba rapida,2022-02-01,1,50,51
AIQUILE,vih,no de personas con prueba rapida,2022-02-01,26,37,63
ALALAY,vih,no de personas con prueba rapida,2022-02-01,5,8,13
ALCALA,vih,no de personas con prueba rapida,2022-02-01,13,12,25
ALTO BENI,vih,no de personas con prueba rapida,2022-02-01,1,0,1
ANCORAIMES,vih,no de personas con prueba rapida,2022-02-01,6,2,8
ANTEQUERA,vih,no de personas con prueba rapida,2022-02-01,1,1,2
APOLO,vih,no de personas con prueba rapida,2022-02-01,10,2,12
ARAMPAMPA,vih,no de personas con prueba rapida,2022-02-01,0,1,1
ARANI,vih,no de personas con prueba rapida,2022-02-01,4,4,8
ARBIETO,vih,no de personas con prueba rapida,2022-02-01,4,7,11
ARQUE,vih,no de personas con prueba rapida,2022-02-01,2,8,10
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2022-02-01,12,55,67
ATOCHA,vih,no de personas con prueba rapida,2022-02-01,3,5,8
AYATA,vih,no de personas con prueba rapida,2022-02-01,8,10,18
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2022-02-01,6,25,31
AZURDUY,vih,no de personas con prueba rapida,2022-02-01,2,16,18
BELLA FLOR,vih,no de personas con prueba rapida,2022-02-01,1,0,1
BERMEJO,vih,no de personas con prueba rapida,2022-02-01,18,40,58
BETANZOS,vih,no de personas con prueba rapida,2022-02-01,0,1,1
BOLIVAR,vih,no de personas con prueba rapida,2022-02-01,1,0,1
BUENA VISTA,vih,no de personas con prueba rapida,2022-02-01,1,2,3
CABEZAS,vih,no de personas con prueba rapida,2022-02-01,3,4,7
CAIROMA,vih,no de personas con prueba rapida,2022-02-01,0,10,10
CALAMARCA,vih,no de personas con prueba rapida,2022-02-01,5,3,8
CAMARGO,vih,no de personas con prueba rapida,2022-02-01,27,56,83
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2022-02-01,0,5,5
CAMIRI,vih,no de personas con prueba rapida,2022-02-01,15,29,44
CAPINOTA,vih,no de personas con prueba rapida,2022-02-01,9,21,30
CARACOLLO,vih,no de personas con prueba rapida,2022-02-01,0,14,14
CARANAVI,vih,no de personas con prueba rapida,2022-02-01,72,59,131
CARAPARI,vih,no de personas con prueba rapida,2022-02-01,1,1,2
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2022-02-01,5,4,9
CHALLAPATA,vih,no de personas con prueba rapida,2022-02-01,11,20,31
CHARAGUA,vih,no de personas con prueba rapida,2022-02-01,9,7,16
CHIMORE,vih,no de personas con prueba rapida,2022-02-01,23,63,86
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2022-02-01,17,32,49
CHUMA,vih,no de personas con prueba rapida,2022-02-01,6,6,12
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2022-02-01,1,1,2
CLIZA,vih,no de personas con prueba rapida,2022-02-01,1,0,1
COBIJA,vih,no de personas con prueba rapida,2022-02-01,49,37,86
COCHABAMBA,vih,no de personas con prueba rapida,2022-02-01,1116,2025,3141
COIPASA,vih,no de personas con prueba rapida,2022-02-01,1,1,2
COLCAPIRHUA,vih,no de personas con prueba rapida,2022-02-01,48,75,123
COLLANA,vih,no de personas con prueba rapida,2022-02-01,1,0,1
COLOMI,vih,no de personas con prueba rapida,2022-02-01,2,5,7
COLPA BELGICA,vih,no de personas con prueba rapida,2022-02-01,5,8,13
COLQUECHACA,vih,no de personas con prueba rapida,2022-02-01,0,5,5
COLQUENCHA,vih,no de personas con prueba rapida,2022-02-01,13,24,37
COLQUIRI,vih,no de personas con prueba rapida,2022-02-01,7,2,9
COMARAPA,vih,no de personas con prueba rapida,2022-02-01,3,17,20
CONCEPCION,vih,no de personas con prueba rapida,2022-02-01,7,1,8
CORIPATA,vih,no de personas con prueba rapida,2022-02-01,0,1,1
COROICO,vih,no de personas con prueba rapida,2022-02-01,25,18,43
CORQUE,vih,no de personas con prueba rapida,2022-02-01,22,1,23
COTAGAITA,vih,no de personas con prueba rapida,2022-02-01,3,2,5
COTOCA,vih,no de personas con prueba rapida,2022-02-01,43,41,84
CRUZ DE MACHACAMARCA,vih,no de personas con prueba rapida,2022-02-01,19,16,35
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2022-02-01,17,64,81
CUEVO,vih,no de personas con prueba rapida,2022-02-01,8,25,33
CULPINA,vih,no de personas con prueba rapida,2022-02-01,0,31,31
CURAHUARA DE CARANGAS,vih,no de personas con prueba rapida,2022-02-01,1,1,2
CURVA,vih,no de personas con prueba rapida,2022-02-01,10,9,19
DESAGUADERO,vih,no de personas con prueba rapida,2022-02-01,0,1,1
EL ALTO,vih,no de personas con prueba rapida,2022-02-01,697,1179,1876
EL PUENTE(STC),vih,no de personas con prueba rapida,2022-02-01,9,17,26
EL TORNO,vih,no de personas con prueba rapida,2022-02-01,53,76,129
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2022-02-01,9,9,18
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2022-02-01,45,255,300
ESCARA,vih,no de personas con prueba rapida,2022-02-01,2,4,6
ESCOMA,vih,no de personas con prueba rapida,2022-02-01,0,2,2
EUCALIPTUS,vih,no de personas con prueba rapida,2022-02-01,1,0,1
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2022-02-01,11,34,45
GENERAL SAAVEDRA,vih,no de personas con prueba rapida,2022-02-01,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),vih,no de personas con prueba rapida,2022-02-01,10,9,19
GUANAY,vih,no de personas con prueba rapida,2022-02-01,1,0,1
GUAYARAMERIN,vih,no de personas con prueba rapida,2022-02-01,34,119,153
GUTIERREZ,vih,no de personas con prueba rapida,2022-02-01,5,0,5
HUACARETA,vih,no de personas con prueba rapida,2022-02-01,0,5,5
HUACHACALLA,vih,no de personas con prueba rapida,2022-02-01,213,1,214
HUANUNI,vih,no de personas con prueba rapida,2022-02-01,28,36,64
HUAYLLAMARCA,vih,no de personas con prueba rapida,2022-02-01,6,9,15
ICLA,vih,no de personas con prueba rapida,2022-02-01,1,2,3
INCAHUASI,vih,no de personas con prueba rapida,2022-02-01,2,29,31
IRUPANA (VILLA DE LANZA),vih,no de personas con prueba rapida,2022-02-01,3,12,15
IXIAMAS,vih,no de personas con prueba rapida,2022-02-01,0,2,2
JESUS DE MACHACA,vih,no de personas con prueba rapida,2022-02-01,15,18,33
LA GUARDIA,vih,no de personas con prueba rapida,2022-02-01,36,75,111
LA PAZ,vih,no de personas con prueba rapida,2022-02-01,803,1301,2104
LAJA,vih,no de personas con prueba rapida,2022-02-01,4,15,19
LAS CARRERAS,vih,no de personas con prueba rapida,2022-02-01,0,1,1
LLALLAGUA,vih,no de personas con prueba rapida,2022-02-01,5,9,14
MACHACAMARCA,vih,no de personas con prueba rapida,2022-02-01,1,2,3
MACHARETI,vih,no de personas con prueba rapida,2022-02-01,2,6,8
MAIRANA,vih,no de personas con prueba rapida,2022-02-01,4,13,17
MAPIRI,vih,no de personas con prueba rapida,2022-02-01,1,0,1
MECAPACA,vih,no de personas con prueba rapida,2022-02-01,22,67,89
MINEROS,vih,no de personas con prueba rapida,2022-02-01,2,11,13
MIZQUE,vih,no de personas con prueba rapida,2022-02-01,10,36,46
MOJOCOYA,vih,no de personas con prueba rapida,2022-02-01,0,1,1
MONTEAGUDO,vih,no de personas con prueba rapida,2022-02-01,35,45,80
MONTERO,vih,no de personas con prueba rapida,2022-02-01,78,120,198
NACEBE (SANTA ROSA DEL ABUNA),vih,no de personas con prueba rapida,2022-02-01,1,0,1
OCURI,vih,no de personas con prueba rapida,2022-02-01,3,1,4
OKINAWA,vih,no de personas con prueba rapida,2022-02-01,1,4,5
OMEREQUE,vih,no de personas con prueba rapida,2022-02-01,1,8,9
ORURO,vih,no de personas con prueba rapida,2022-02-01,940,681,1621
PADCAYA,vih,no de personas con prueba rapida,2022-02-01,1,0,1
PADILLA,vih,no de personas con prueba rapida,2022-02-01,7,16,23
PAILON,vih,no de personas con prueba rapida,2022-02-01,40,80,120
PALOS BLANCOS,vih,no de personas con prueba rapida,2022-02-01,41,114,155
PAPEL PAMPA,vih,no de personas con prueba rapida,2022-02-01,0,1,1
PASORAPA,vih,no de personas con prueba rapida,2022-02-01,2,1,3
PATACAMAYA,vih,no de personas con prueba rapida,2022-02-01,22,22,44
PAZÑA,vih,no de personas con prueba rapida,2022-02-01,2,4,6
PELECHUCO,vih,no de personas con prueba rapida,2022-02-01,18,15,33
POCOATA,vih,no de personas con prueba rapida,2022-02-01,0,1,1
POCONA,vih,no de personas con prueba rapida,2022-02-01,1,4,5
POJO (CBBA),vih,no de personas con prueba rapida,2022-02-01,0,1,1
POOPO,vih,no de personas con prueba rapida,2022-02-01,5,9,14
POROMA,vih,no de personas con prueba rapida,2022-02-01,0,1,1
PORONGO,vih,no de personas con prueba rapida,2022-02-01,3,4,7
PORTACHUELO,vih,no de personas con prueba rapida,2022-02-01,6,14,20
PORVENIR,vih,no de personas con prueba rapida,2022-02-01,0,8,8
POTOSI,vih,no de personas con prueba rapida,2022-02-01,10,20,30
PRESTO,vih,no de personas con prueba rapida,2022-02-01,0,6,6
PUCARANI,vih,no de personas con prueba rapida,2022-02-01,0,3,3
PUERTO PEREZ,vih,no de personas con prueba rapida,2022-02-01,9,0,9
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2022-02-01,9,7,16
PUERTO RICO,vih,no de personas con prueba rapida,2022-02-01,1,12,13
PUERTO SUAREZ,vih,no de personas con prueba rapida,2022-02-01,3,37,40
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2022-02-01,185,262,447
PUNATA,vih,no de personas con prueba rapida,2022-02-01,106,210,316
QUILLACOLLO,vih,no de personas con prueba rapida,2022-02-01,191,83,274
QUIME,vih,no de personas con prueba rapida,2022-02-01,2,1,3
QUIRUSILLAS,vih,no de personas con prueba rapida,2022-02-01,1,0,1
RAQAYPAMPA(ETA),vih,no de personas con prueba rapida,2022-02-01,0,1,1
REYES,vih,no de personas con prueba rapida,2022-02-01,0,1,1
RIBERALTA,vih,no de personas con prueba rapida,2022-02-01,369,435,804
ROBORE,vih,no de personas con prueba rapida,2022-02-01,2,12,14
RURRENABAQUE,vih,no de personas con prueba rapida,2022-02-01,10,18,28
SABAYA,vih,no de personas con prueba rapida,2022-02-01,28,53,81
SACABA,vih,no de personas con prueba rapida,2022-02-01,103,195,298
SACABAMBA,vih,no de personas con prueba rapida,2022-02-01,0,2,2
SACACA,vih,no de personas con prueba rapida,2022-02-01,4,8,12
SAIPINA,vih,no de personas con prueba rapida,2022-02-01,1,1,2
SAMAIPATA,vih,no de personas con prueba rapida,2022-02-01,3,4,7
SAN ANDRES,vih,no de personas con prueba rapida,2022-02-01,2,2,4
SAN ANTONIO DE LOMERIO,vih,no de personas con prueba rapida,2022-02-01,0,1,1
SAN BENITO,vih,no de personas con prueba rapida,2022-02-01,2,4,6
SAN BORJA,vih,no de personas con prueba rapida,2022-02-01,95,92,187
SAN BUENA VENTURA,vih,no de personas con prueba rapida,2022-02-01,9,12,21
SAN CARLOS,vih,no de personas con prueba rapida,2022-02-01,15,35,50
SAN IGNACIO,vih,no de personas con prueba rapida,2022-02-01,9,17,26
SAN IGNACIO DE VELASCO,vih,no de personas con prueba rapida,2022-02-01,9,11,20
SAN JAVIER(BNI),vih,no de personas con prueba rapida,2022-02-01,3,2,5
SAN JAVIER(STC),vih,no de personas con prueba rapida,2022-02-01,1,9,10
SAN JUAN DE YAPACANI,vih,no de personas con prueba rapida,2022-02-01,1,1,2
SAN JULIAN,vih,no de personas con prueba rapida,2022-02-01,28,82,110
SAN LORENZO(PND),vih,no de personas con prueba rapida,2022-02-01,1,1,2
SAN LORENZO(TJA),vih,no de personas con prueba rapida,2022-02-01,1,1,2
SAN LUCAS,vih,no de personas con prueba rapida,2022-02-01,15,50,65
SAN MIGUEL DE VELASCO,vih,no de personas con prueba rapida,2022-02-01,3,2,5
SAN PEDRO,vih,no de personas con prueba rapida,2022-02-01,60,106,166
SAN PEDRO DE BUENA VISTA,vih,no de personas con prueba rapida,2022-02-01,2,6,8
SAN PEDRO DE MACHA,vih,no de personas con prueba rapida,2022-02-01,0,1,1
SAN RAFAEL,vih,no de personas con prueba rapida,2022-02-01,2,3,5
SAN RAMON BENI,vih,no de personas con prueba rapida,2022-02-01,7,13,20
SAN RAMON SCZ,vih,no de personas con prueba rapida,2022-02-01,2,0,2
SANTA ANA,vih,no de personas con prueba rapida,2022-02-01,5,13,18
SANTA CRUZ DE LA SIERRA,vih,no de personas con prueba rapida,2022-02-01,1854,2238,4092
SANTA ROSA,vih,no de personas con prueba rapida,2022-02-01,2,1,3
SANTA ROSA DEL SARA,vih,no de personas con prueba rapida,2022-02-01,5,9,14
SANTIAGO DE HUARI,vih,no de personas con prueba rapida,2022-02-01,2,5,7
SANTIAGO DE HUATA,vih,no de personas con prueba rapida,2022-02-01,0,3,3
SANTIVAÑES,vih,no de personas con prueba rapida,2022-02-01,0,10,10
SANTUARIO DE QUILLACAS,vih,no de personas con prueba rapida,2022-02-01,0,1,1
