,group,variable,month,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
COCAPATA,malaria,tratamientos iniciados por sospecha,2013-04-01,1,0,0,0,1,0,1
GUANAY,malaria,tratamientos iniciados por sospecha,2013-04-01,5,2,0,0,5,2,7
HUACARETA,malaria,tratamientos iniciados por sospecha,2013-04-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2013-04-01,1,3,0,0,1,3,4
APOLO,malaria,tratamientos iniciados por sospecha,2013-05-01,1,1,0,0,1,1,2
COBIJA,malaria,tratamientos iniciados por sospecha,2013-05-01,6,2,0,0,6,2,8
HUACARETA,malaria,tratamientos iniciados por sospecha,2013-05-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2013-05-01,0,1,0,0,0,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2013-05-01,0,1,0,0,0,1,1
RAVELO,malaria,tratamientos iniciados por sospecha,2013-05-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2013-05-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2013-05-01,1,0,0,0,1,0,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2013-05-01,1,0,0,0,1,0,1
APOLO,malaria,tratamientos iniciados por sospecha,2013-06-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2013-06-01,1,0,0,0,1,0,1
CULPINA,malaria,tratamientos iniciados por sospecha,2013-06-01,1,1,0,0,1,1,2
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2013-06-01,2,0,0,0,2,0,2
PRESTO,malaria,tratamientos iniciados por sospecha,2013-06-01,1,0,0,0,1,0,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2013-07-01,0,1,0,0,0,1,1
BAURES,malaria,tratamientos iniciados por sospecha,2013-07-01,3,0,0,0,3,0,3
COBIJA,malaria,tratamientos iniciados por sospecha,2013-07-01,2,1,0,0,2,1,3
CULPINA,malaria,tratamientos iniciados por sospecha,2013-07-01,0,2,0,0,0,2,2
HUACARETA,malaria,tratamientos iniciados por sospecha,2013-07-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2013-07-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2013-07-01,0,1,0,0,0,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2013-07-01,3,0,0,0,3,0,3
PORONGO,malaria,tratamientos iniciados por sospecha,2013-07-01,1,0,0,0,1,0,1
TARIJA,malaria,tratamientos iniciados por sospecha,2013-07-01,16,25,18,23,34,48,82
AZURDUY,malaria,tratamientos iniciados por sospecha,2013-08-01,1,0,0,0,1,0,1
COBIJA,malaria,tratamientos iniciados por sospecha,2013-08-01,4,2,0,0,4,2,6
EL TORNO,malaria,tratamientos iniciados por sospecha,2013-08-01,1,0,0,0,1,0,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2013-08-01,7,5,0,0,7,5,12
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2013-08-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2013-08-01,0,1,0,0,0,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2013-08-01,1,0,0,0,1,0,1
COBIJA,malaria,tratamientos iniciados por sospecha,2013-09-01,2,2,0,0,2,2,4
TARIJA,malaria,tratamientos iniciados por sospecha,2013-09-01,1,2,0,0,1,2,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2013-10-01,0,1,0,0,0,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2013-10-01,0,4,0,0,0,4,4
COBIJA,malaria,tratamientos iniciados por sospecha,2013-10-01,5,1,0,0,5,1,6
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2013-10-01,14,14,7,1,21,15,36
TARIJA,malaria,tratamientos iniciados por sospecha,2013-10-01,13,27,26,38,39,65,104
TORO TORO,malaria,tratamientos iniciados por sospecha,2013-10-01,1,1,0,0,1,1,2
YACUIBA,malaria,tratamientos iniciados por sospecha,2013-10-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2013-11-01,0,2,0,0,0,2,2
COBIJA,malaria,tratamientos iniciados por sospecha,2013-11-01,0,1,0,0,0,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2013-11-01,1,2,0,0,1,2,3
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2013-11-01,2,0,0,0,2,0,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2013-12-01,1,1,0,0,1,1,2
COBIJA,malaria,tratamientos iniciados por sospecha,2013-12-01,2,1,1,0,3,1,4
EL TORNO,malaria,tratamientos iniciados por sospecha,2013-12-01,1,0,0,0,1,0,1
POSTRER VALLE,malaria,tratamientos iniciados por sospecha,2013-12-01,1,0,0,0,1,0,1
SANTA ANA,malaria,tratamientos iniciados por sospecha,2013-12-01,1,0,0,0,1,0,1
