,group,variable,month,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-01-01,39,17,1,0,40,17,57
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-01-01,1,3,0,0,1,3,4
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2013-01-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2013-01-01,2,0,0,0,2,0,2
VALLEGRANDE,malaria,numero de tratamientos especificos dispensados,2013-01-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2013-01-01,5,2,0,0,5,2,7
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-01-01,2,0,0,0,2,0,2
YACUIBA,malaria,numero de tratamientos especificos dispensados,2013-01-01,1,0,0,0,1,0,1
AZURDUY,malaria,numero de tratamientos especificos dispensados,2013-02-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos especificos dispensados,2013-02-01,0,1,0,0,0,1,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-02-01,5,4,0,0,5,4,9
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-02-01,25,20,4,4,29,24,53
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2013-02-01,1,0,0,0,1,0,1
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2013-02-01,11,6,0,0,11,6,17
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2013-02-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-02-01,6,3,2,0,8,3,11
PADILLA,malaria,numero de tratamientos especificos dispensados,2013-02-01,3,1,0,0,3,1,4
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-02-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-02-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-02-01,2,0,0,0,2,0,2
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-02-01,32,15,1,0,33,15,48
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2013-02-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-02-01,2,1,0,0,2,1,3
TARVITA,malaria,numero de tratamientos especificos dispensados,2013-02-01,2,0,0,0,2,0,2
TORO TORO,malaria,numero de tratamientos especificos dispensados,2013-02-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-02-01,1,3,0,0,1,3,4
YACUIBA,malaria,numero de tratamientos especificos dispensados,2013-02-01,1,0,0,0,1,0,1
APOLO,malaria,numero de tratamientos especificos dispensados,2013-03-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos especificos dispensados,2013-03-01,2,1,0,0,2,1,3
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2013-03-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-03-01,3,0,0,0,3,0,3
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-03-01,3,1,0,0,3,1,4
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-03-01,43,30,9,6,52,36,88
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2013-03-01,2,0,0,0,2,0,2
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2013-03-01,17,5,0,0,17,5,22
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2013-03-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-03-01,4,5,1,2,5,7,12
PADILLA,malaria,numero de tratamientos especificos dispensados,2013-03-01,2,4,0,0,2,4,6
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-03-01,1,0,1,0,2,0,2
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-03-01,2,0,0,0,2,0,2
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-03-01,46,20,0,0,46,20,66
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2013-03-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-03-01,3,1,0,0,3,1,4
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2013-03-01,2,0,0,0,2,0,2
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2013-03-01,3,1,0,0,3,1,4
TARVITA,malaria,numero de tratamientos especificos dispensados,2013-03-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,numero de tratamientos especificos dispensados,2013-03-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2013-03-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-03-01,7,1,0,0,7,1,8
VINTO,malaria,numero de tratamientos especificos dispensados,2013-03-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de tratamientos especificos dispensados,2013-03-01,2,0,0,0,2,0,2
BAURES,malaria,numero de tratamientos especificos dispensados,2013-04-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-04-01,1,0,0,0,1,0,1
CARANAVI,malaria,numero de tratamientos especificos dispensados,2013-04-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-04-01,3,0,0,0,3,0,3
COROICO,malaria,numero de tratamientos especificos dispensados,2013-04-01,1,0,0,0,1,0,1
COTAGAITA,malaria,numero de tratamientos especificos dispensados,2013-04-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-04-01,2,5,0,0,2,5,7
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-04-01,52,32,13,10,65,42,107
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2013-04-01,5,2,0,0,5,2,7
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2013-04-01,2,2,0,0,2,2,4
MONTERO,malaria,numero de tratamientos especificos dispensados,2013-04-01,0,0,3,1,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-04-01,6,3,0,0,6,3,9
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2013-04-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-04-01,0,0,1,1,1,1,2
REYES,malaria,numero de tratamientos especificos dispensados,2013-04-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-04-01,35,14,0,0,35,14,49
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-04-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),malaria,numero de tratamientos especificos dispensados,2013-04-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2013-04-01,2,2,0,0,2,2,4
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-04-01,0,2,0,0,0,2,2
YACUIBA,malaria,numero de tratamientos especificos dispensados,2013-04-01,1,2,0,0,1,2,3
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-05-01,11,7,0,0,11,7,18
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2013-05-01,1,0,0,0,1,0,1
CARAPARI,malaria,numero de tratamientos especificos dispensados,2013-05-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-05-01,6,2,0,0,6,2,8
CULPINA,malaria,numero de tratamientos especificos dispensados,2013-05-01,0,2,0,0,0,2,2
EL TORNO,malaria,numero de tratamientos especificos dispensados,2013-05-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-05-01,45,47,12,7,57,54,111
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2013-05-01,0,1,0,0,0,1,1
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2013-05-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-05-01,5,2,0,0,5,2,7
POROMA,malaria,numero de tratamientos especificos dispensados,2013-05-01,0,1,0,0,0,1,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2013-05-01,0,1,0,0,0,1,1
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-05-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-05-01,4,3,0,0,4,3,7
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-05-01,55,30,0,0,55,30,85
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2013-05-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2013-05-01,3,1,0,0,3,1,4
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2013-05-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,numero de tratamientos especificos dispensados,2013-05-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,numero de tratamientos especificos dispensados,2013-05-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2013-05-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-05-01,2,5,0,0,2,5,7
YACUIBA,malaria,numero de tratamientos especificos dispensados,2013-05-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos especificos dispensados,2013-06-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-06-01,2,1,0,0,2,1,3
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2013-06-01,0,1,0,0,0,1,1
CABEZAS,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-06-01,5,1,0,0,5,1,6
ENTRE RIOS TRJ,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-06-01,7,3,0,0,7,3,10
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-06-01,53,39,21,12,74,51,125
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2013-06-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-06-01,9,0,1,0,10,0,10
POROMA,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
PRESTO,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-06-01,2,2,0,1,2,3,5
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,3,0,0,1,3,4
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-06-01,185,56,2,0,187,56,243
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2013-06-01,2,0,0,0,2,0,2
SAN LORENZO(TJA),malaria,numero de tratamientos especificos dispensados,2013-06-01,2,0,0,0,2,0,2
SANTA ROSA,malaria,numero de tratamientos especificos dispensados,2013-06-01,0,1,0,0,0,1,1
SENA,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2013-06-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-06-01,4,1,0,0,4,1,5
BAURES,malaria,numero de tratamientos especificos dispensados,2013-07-01,0,2,0,0,0,2,2
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-07-01,4,0,0,0,4,0,4
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-07-01,2,1,0,0,2,1,3
COCHABAMBA,malaria,numero de tratamientos especificos dispensados,2013-07-01,2,0,0,0,2,0,2
COROICO,malaria,numero de tratamientos especificos dispensados,2013-07-01,1,0,0,0,1,0,1
CULPINA,malaria,numero de tratamientos especificos dispensados,2013-07-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-07-01,16,8,0,0,16,8,24
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de tratamientos especificos dispensados,2013-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-07-01,54,48,14,11,68,59,127
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2013-07-01,2,1,0,0,2,1,3
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2013-07-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2013-07-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-07-01,9,5,0,0,9,5,14
POROMA,malaria,numero de tratamientos especificos dispensados,2013-07-01,3,0,0,0,3,0,3
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-07-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-07-01,3,0,0,0,3,0,3
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-07-01,2,1,0,0,2,1,3
REYES,malaria,numero de tratamientos especificos dispensados,2013-07-01,2,0,0,0,2,0,2
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-07-01,16,19,0,0,16,19,35
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2013-07-01,0,1,0,0,0,1,1
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-07-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2013-07-01,2,0,0,0,2,0,2
TRINIDAD,malaria,numero de tratamientos especificos dispensados,2013-07-01,0,0,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-07-01,6,1,0,0,6,1,7
APOLO,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,0,0,0,1,0,1
AZURDUY,malaria,numero de tratamientos especificos dispensados,2013-08-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,2,0,0,1,2,3
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,1,0,0,1,1,2
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2013-08-01,0,1,0,0,0,1,1
CARANAVI,malaria,numero de tratamientos especificos dispensados,2013-08-01,0,1,0,0,0,1,1
CULPINA,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-08-01,7,1,0,0,7,1,8
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-08-01,38,43,20,11,58,54,112
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2013-08-01,5,0,0,0,5,0,5
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-08-01,9,4,0,0,9,4,13
POROMA,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2013-08-01,0,1,0,0,0,1,1
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-08-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-08-01,9,2,0,0,9,2,11
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,3,0,0,1,3,4
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-08-01,41,31,0,0,41,31,72
SANTA ROSA,malaria,numero de tratamientos especificos dispensados,2013-08-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-08-01,2,1,0,0,2,1,3
AZURDUY,malaria,numero de tratamientos especificos dispensados,2013-09-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos especificos dispensados,2013-09-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-09-01,1,0,0,0,1,0,1
CONCEPCION,malaria,numero de tratamientos especificos dispensados,2013-09-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos especificos dispensados,2013-09-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-09-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-09-01,44,32,6,7,50,39,89
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2013-09-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-09-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-09-01,1,1,0,0,1,1,2
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-09-01,17,15,0,0,17,15,32
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-09-01,0,2,0,0,0,2,2
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2013-09-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2013-09-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-09-01,2,2,0,0,2,2,4
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-10-01,3,0,0,0,3,0,3
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2013-10-01,2,2,0,0,2,2,4
CARANAVI,malaria,numero de tratamientos especificos dispensados,2013-10-01,0,1,0,0,0,1,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-10-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-10-01,10,4,0,0,10,4,14
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-10-01,43,40,14,6,57,46,103
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2013-10-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-10-01,3,5,0,1,3,6,9
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-10-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-10-01,6,0,0,0,6,0,6
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-10-01,1,0,2,0,3,0,3
REYES,malaria,numero de tratamientos especificos dispensados,2013-10-01,3,1,0,0,3,1,4
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-10-01,66,28,0,0,66,28,94
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2013-10-01,2,2,0,0,2,2,4
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-10-01,2,0,0,0,2,0,2
YACUIBA,malaria,numero de tratamientos especificos dispensados,2013-10-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos especificos dispensados,2013-11-01,3,1,0,0,3,1,4
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-11-01,0,1,0,0,0,1,1
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2013-11-01,1,1,0,0,1,1,2
CULPINA,malaria,numero de tratamientos especificos dispensados,2013-11-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-11-01,15,8,0,0,15,8,23
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-11-01,43,40,9,12,52,52,104
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2013-11-01,0,1,0,0,0,1,1
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2013-11-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2013-11-01,3,5,0,0,3,5,8
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-11-01,6,3,0,0,6,3,9
PADILLA,malaria,numero de tratamientos especificos dispensados,2013-11-01,0,1,0,0,0,1,1
POROMA,malaria,numero de tratamientos especificos dispensados,2013-11-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-11-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-11-01,1,0,0,0,1,0,1
REYES,malaria,numero de tratamientos especificos dispensados,2013-11-01,7,2,0,0,7,2,9
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-11-01,49,16,0,0,49,16,65
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-11-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2013-11-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-11-01,1,1,0,0,1,1,2
AZURDUY,malaria,numero de tratamientos especificos dispensados,2013-12-01,1,1,0,0,1,1,2
BAURES,malaria,numero de tratamientos especificos dispensados,2013-12-01,2,3,0,0,2,3,5
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-12-01,0,2,1,0,1,2,3
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2013-12-01,1,0,0,0,1,0,1
CUEVO,malaria,numero de tratamientos especificos dispensados,2013-12-01,1,0,0,0,1,0,1
CULPINA,malaria,numero de tratamientos especificos dispensados,2013-12-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-12-01,5,7,0,0,5,7,12
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-12-01,37,37,12,9,49,46,95
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2013-12-01,1,0,0,0,1,0,1
MIZQUE,malaria,numero de tratamientos especificos dispensados,2013-12-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-12-01,1,1,1,0,2,1,3
POROMA,malaria,numero de tratamientos especificos dispensados,2013-12-01,2,0,0,0,2,0,2
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-12-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2013-12-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-12-01,1,0,0,0,1,0,1
REYES,malaria,numero de tratamientos especificos dispensados,2013-12-01,4,0,0,0,4,0,4
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2013-12-01,33,24,0,0,33,24,57
SAIPINA,malaria,numero de tratamientos especificos dispensados,2013-12-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2013-12-01,3,0,0,0,3,0,3
