,group,variable,month,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,2,0,0,0,2,0,2
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,0,1,0,0,0,1,1
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,1,4,0,0,1,4,5
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,6,2,0,0,6,2,8
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,1,0,0,0,1,0,1
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-02-01,1,3,0,0,1,3,4
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,2,1,0,0,2,1,3
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,3,1,0,0,3,1,4
HUACARETA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,2,1,0,0,2,1,3
IXIAMAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,4,5,1,2,5,7,12
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,0,0,1,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,3,2,0,0,3,2,5
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,2,0,0,0,2,0,2
SAN PEDRO(PND),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,3,1,0,0,3,1,4
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,7,1,0,0,7,1,8
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-03-01,2,0,0,0,2,0,2
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-04-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-04-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-04-01,2,5,0,0,2,5,7
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-04-01,6,3,0,0,6,3,9
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-04-01,0,2,0,0,0,2,2
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-04-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,4,2,0,0,4,2,6
BOLIVAR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,0,0,1,0,1,0,1
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,5,2,0,0,5,2,7
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,2,0,0,0,2,0,2
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,2,2,0,0,2,2,4
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,1,0,0,0,1,0,1
TAPACARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,6,0,0,0,6,0,6
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-05-01,2,3,0,0,2,3,5
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,2,1,0,0,2,1,3
COBIJA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,0,0,1,0,1,0,1
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,1,1,0,0,1,1,2
ENTRE RIOS TRJ,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,7,3,0,0,7,3,10
MOJOCOYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,4,0,0,0,4,0,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,9,0,1,0,10,0,10
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,0,0,0,1,0,1,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,13,4,0,0,13,4,17
SAN JOAQUIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,1,0,0,0,1,0,1
TARIJA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-06-01,4,1,0,0,4,1,5
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,3,2,0,0,3,2,5
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,1,2,0,0,1,2,3
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,20,10,0,0,20,10,30
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,0,6,0,0,0,6,6
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,2,1,0,0,2,1,3
MOJOCOYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,9,5,0,0,9,5,14
PORVENIR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,3,0,0,0,3,0,3
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,15,6,0,0,15,6,21
SAN PEDRO(PND),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,2,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-07-01,6,1,0,0,6,1,7
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,1,2,0,0,1,2,3
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,1,1,0,0,1,1,2
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,7,1,0,0,7,1,8
MOJOCOYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,9,4,0,0,9,4,13
POROMA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,5,2,0,0,5,2,7
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,6,6,0,0,6,6,12
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-08-01,2,1,0,0,2,1,3
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,2,1,0,0,2,1,3
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,5,4,0,0,5,4,9
SAN PEDRO(PND),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-09-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,10,4,0,0,10,4,14
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,4,8,7,0,11,8,19
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,3,5,0,1,3,6,9
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,9,3,0,0,9,3,12
SAN PEDRO(PND),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,2,2,0,0,2,2,4
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,1,0,0,0,1,0,1
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-10-01,1,0,0,0,1,0,1
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,0,1,0,0,0,1,1
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,1,1,0,0,1,1,2
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,15,8,0,0,15,8,23
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,2,1,1,2,3,3,6
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,6,3,0,0,6,3,9
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,3,1,0,0,3,1,4
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-11-01,1,1,0,0,1,1,2
AZURDUY,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,1,1,0,0,1,1,2
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,2,3,0,0,2,3,5
CUEVO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,1,0,0,0,1,0,1
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,5,7,0,0,5,7,12
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,1,1,1,0,2,1,3
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,1,1,1,0,2,1,3
POROMA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,4,4,0,0,4,4,8
SANTA ANA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-12-01,2,0,0,0,2,0,2
