,group,variable,month,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
PUERTO RICO,malaria,total de casos confirmados,2013-01-01,4,9,0,0,4,9,13
RIBERALTA,malaria,total de casos confirmados,2013-01-01,54,22,1,0,55,22,77
RURRENABAQUE,malaria,total de casos confirmados,2013-01-01,1,0,2,0,3,0,3
SAIPINA,malaria,total de casos confirmados,2013-01-01,7,4,0,0,7,4,11
SAN BORJA,malaria,total de casos confirmados,2013-01-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2013-01-01,1,0,0,0,1,0,1
SENA,malaria,total de casos confirmados,2013-01-01,1,3,0,0,1,3,4
SUCRE,malaria,total de casos confirmados,2013-01-01,0,0,0,1,0,1,1
TORO TORO,malaria,total de casos confirmados,2013-01-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,total de casos confirmados,2013-01-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,total de casos confirmados,2013-01-01,5,2,0,0,5,2,7
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
YACUIBA,malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
AIQUILE,malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
BAURES,malaria,total de casos confirmados,2013-02-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
BERMEJO,malaria,total de casos confirmados,2013-02-01,0,1,0,0,0,1,1
COBIJA,malaria,total de casos confirmados,2013-02-01,5,4,0,0,5,4,9
GUAYARAMERIN,malaria,total de casos confirmados,2013-02-01,28,30,5,4,33,34,67
INCAHUASI,malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
IXIAMAS,malaria,total de casos confirmados,2013-02-01,11,6,0,1,11,7,18
MIZQUE,malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-02-01,6,3,2,0,8,3,11
PADILLA,malaria,total de casos confirmados,2013-02-01,3,1,0,0,3,1,4
PORVENIR,malaria,total de casos confirmados,2013-02-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,total de casos confirmados,2013-02-01,2,0,0,0,2,0,2
RIBERALTA,malaria,total de casos confirmados,2013-02-01,49,27,1,0,50,27,77
SAIPINA,malaria,total de casos confirmados,2013-02-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,total de casos confirmados,2013-02-01,9,0,0,0,9,0,9
SAN LORENZO(TJA),malaria,total de casos confirmados,2013-02-01,1,0,0,0,1,0,1
SENA,malaria,total de casos confirmados,2013-02-01,6,0,0,0,6,0,6
TORO TORO,malaria,total de casos confirmados,2013-02-01,1,1,0,0,1,1,2
VILLA MONTES,malaria,total de casos confirmados,2013-02-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-02-01,1,3,0,0,1,3,4
YACUIBA,malaria,total de casos confirmados,2013-02-01,10,2,0,0,10,2,12
APOLO,malaria,total de casos confirmados,2013-03-01,1,0,0,0,1,0,1
BAURES,malaria,total de casos confirmados,2013-03-01,2,1,0,0,2,1,3
BELLA FLOR,malaria,total de casos confirmados,2013-03-01,6,1,0,0,6,1,7
BERMEJO,malaria,total de casos confirmados,2013-03-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,total de casos confirmados,2013-03-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2013-03-01,3,0,0,0,3,0,3
ENTRE RIOS TRJ,malaria,total de casos confirmados,2013-03-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-03-01,3,1,0,0,3,1,4
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2013-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de casos confirmados,2013-03-01,46,34,9,6,55,40,95
INGAVI (HUMAITA),malaria,total de casos confirmados,2013-03-01,2,0,0,0,2,0,2
IXIAMAS,malaria,total de casos confirmados,2013-03-01,17,5,0,0,17,5,22
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-03-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-03-01,4,5,1,2,5,7,12
PADILLA,malaria,total de casos confirmados,2013-03-01,2,4,0,0,2,4,6
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-03-01,1,0,1,0,2,0,2
PUERTO RICO,malaria,total de casos confirmados,2013-03-01,2,0,0,0,2,0,2
RIBERALTA,malaria,total de casos confirmados,2013-03-01,57,34,0,0,57,34,91
ROBORE,malaria,total de casos confirmados,2013-03-01,1,0,0,0,1,0,1
RURRENABAQUE,malaria,total de casos confirmados,2013-03-01,3,0,0,0,3,0,3
SAIPINA,malaria,total de casos confirmados,2013-03-01,3,1,0,0,3,1,4
SAN LORENZO(PND),malaria,total de casos confirmados,2013-03-01,3,0,0,0,3,0,3
SAN PEDRO(PND),malaria,total de casos confirmados,2013-03-01,3,1,0,0,3,1,4
SENA,malaria,total de casos confirmados,2013-03-01,5,1,0,0,5,1,6
VALLEGRANDE,malaria,total de casos confirmados,2013-03-01,2,0,0,0,2,0,2
VILLA MONTES,malaria,total de casos confirmados,2013-03-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-03-01,7,1,0,0,7,1,8
YACUIBA,malaria,total de casos confirmados,2013-03-01,2,1,0,0,2,1,3
AIQUILE,malaria,total de casos confirmados,2013-04-01,1,0,0,0,1,0,1
BAURES,malaria,total de casos confirmados,2013-04-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,total de casos confirmados,2013-04-01,4,5,0,0,4,5,9
CARANAVI,malaria,total de casos confirmados,2013-04-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2013-04-01,3,0,0,0,3,0,3
ENTRE RIOS TRJ,malaria,total de casos confirmados,2013-04-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-04-01,2,5,0,0,2,5,7
GUAYARAMERIN,malaria,total de casos confirmados,2013-04-01,54,37,13,10,67,47,114
IXIAMAS,malaria,total de casos confirmados,2013-04-01,5,2,0,0,5,2,7
MIZQUE,malaria,total de casos confirmados,2013-04-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,total de casos confirmados,2013-04-01,2,2,0,0,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-04-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-04-01,6,3,0,0,6,3,9
PALOS BLANCOS,malaria,total de casos confirmados,2013-04-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-04-01,0,0,1,1,1,1,2
PUERTO RICO,malaria,total de casos confirmados,2013-04-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,malaria,total de casos confirmados,2013-04-01,0,1,0,0,0,1,1
REYES,malaria,total de casos confirmados,2013-04-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total de casos confirmados,2013-04-01,66,30,1,1,67,31,98
SAIPINA,malaria,total de casos confirmados,2013-04-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),malaria,total de casos confirmados,2013-04-01,0,1,0,0,0,1,1
SENA,malaria,total de casos confirmados,2013-04-01,5,2,0,0,5,2,7
VILLA MONTES,malaria,total de casos confirmados,2013-04-01,4,3,0,0,4,3,7
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-04-01,0,2,0,0,0,2,2
YACUIBA,malaria,total de casos confirmados,2013-04-01,1,2,0,0,1,2,3
BELLA FLOR,malaria,total de casos confirmados,2013-05-01,11,7,0,0,11,7,18
BUENA VISTA,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
CARAPARI,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2013-05-01,7,2,0,0,7,2,9
CULPINA,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
EL TORNO,malaria,total de casos confirmados,2013-05-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,malaria,total de casos confirmados,2013-05-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de casos confirmados,2013-05-01,49,49,12,7,61,56,117
LA GUARDIA,malaria,total de casos confirmados,2013-05-01,0,1,0,0,0,1,1
MOJOCOYA,malaria,total de casos confirmados,2013-05-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-05-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-05-01,5,2,0,0,5,2,7
POROMA,malaria,total de casos confirmados,2013-05-01,0,1,0,0,0,1,1
PORONGO,malaria,total de casos confirmados,2013-05-01,0,1,0,0,0,1,1
PORVENIR,malaria,total de casos confirmados,2013-05-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-05-01,4,3,0,0,4,3,7
RIBERALTA,malaria,total de casos confirmados,2013-05-01,103,46,2,1,105,47,152
SAN CARLOS,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,malaria,total de casos confirmados,2013-05-01,1,1,0,0,1,1,2
SAN LORENZO(PND),malaria,total de casos confirmados,2013-05-01,3,1,0,0,3,1,4
SAN PEDRO(PND),malaria,total de casos confirmados,2013-05-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
SENA,malaria,total de casos confirmados,2013-05-01,2,0,0,0,2,0,2
VALLEGRANDE,malaria,total de casos confirmados,2013-05-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-05-01,2,5,0,0,2,5,7
YACUIBA,malaria,total de casos confirmados,2013-05-01,1,0,0,0,1,0,1
BAURES,malaria,total de casos confirmados,2013-06-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,total de casos confirmados,2013-06-01,8,1,0,0,8,1,9
BUENA VISTA,malaria,total de casos confirmados,2013-06-01,0,1,0,0,0,1,1
CABEZAS,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2013-06-01,5,1,0,0,5,1,6
ENTRE RIOS TRJ,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-06-01,7,3,0,0,7,3,10
GUAYARAMERIN,malaria,total de casos confirmados,2013-06-01,56,44,21,12,77,56,133
INGAVI (HUMAITA),malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,total de casos confirmados,2013-06-01,2,0,0,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-06-01,3,2,0,0,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-06-01,9,0,1,0,10,0,10
POROMA,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
PORVENIR,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
PRESTO,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-06-01,1,2,0,1,1,3,4
PUERTO RICO,malaria,total de casos confirmados,2013-06-01,1,3,0,0,1,3,4
RIBERALTA,malaria,total de casos confirmados,2013-06-01,186,56,2,0,188,56,244
RURRENABAQUE,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total de casos confirmados,2013-06-01,2,0,0,0,2,0,2
SAN LORENZO(TJA),malaria,total de casos confirmados,2013-06-01,2,0,0,0,2,0,2
SANTA ROSA,malaria,total de casos confirmados,2013-06-01,0,1,0,0,0,1,1
SENA,malaria,total de casos confirmados,2013-06-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,total de casos confirmados,2013-06-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-06-01,4,1,0,0,4,1,5
BAURES,malaria,total de casos confirmados,2013-07-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,total de casos confirmados,2013-07-01,4,0,0,0,4,0,4
COBIJA,malaria,total de casos confirmados,2013-07-01,2,1,0,0,2,1,3
COROICO,malaria,total de casos confirmados,2013-07-01,1,0,0,0,1,0,1
CULPINA,malaria,total de casos confirmados,2013-07-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-07-01,20,10,0,0,20,10,30
GUAYARAMERIN,malaria,total de casos confirmados,2013-07-01,54,48,14,11,68,59,127
MAGDALENA,malaria,total de casos confirmados,2013-07-01,2,1,0,0,2,1,3
MOJOCOYA,malaria,total de casos confirmados,2013-07-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-07-01,3,1,0,0,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-07-01,9,5,0,0,9,5,14
POROMA,malaria,total de casos confirmados,2013-07-01,3,0,0,0,3,0,3
PORVENIR,malaria,total de casos confirmados,2013-07-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-07-01,3,0,0,0,3,0,3
PUERTO RICO,malaria,total de casos confirmados,2013-07-01,2,1,0,0,2,1,3
REYES,malaria,total de casos confirmados,2013-07-01,2,0,0,0,2,0,2
RIBERALTA,malaria,total de casos confirmados,2013-07-01,93,48,0,0,93,48,141
RURRENABAQUE,malaria,total de casos confirmados,2013-07-01,1,2,0,0,1,2,3
SAIPINA,malaria,total de casos confirmados,2013-07-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,total de casos confirmados,2013-07-01,2,0,0,0,2,0,2
SENA,malaria,total de casos confirmados,2013-07-01,1,1,0,0,1,1,2
TRINIDAD,malaria,total de casos confirmados,2013-07-01,0,0,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-07-01,6,1,0,0,6,1,7
AZURDUY,malaria,total de casos confirmados,2013-08-01,0,2,0,0,0,2,2
BAURES,malaria,total de casos confirmados,2013-08-01,1,2,0,0,1,2,3
BELLA FLOR,malaria,total de casos confirmados,2013-08-01,2,2,0,0,2,2,4
BUENA VISTA,malaria,total de casos confirmados,2013-08-01,0,1,0,0,0,1,1
CARANAVI,malaria,total de casos confirmados,2013-08-01,1,1,0,0,1,1,2
COBIJA,malaria,total de casos confirmados,2013-08-01,4,2,0,0,4,2,6
CULPINA,malaria,total de casos confirmados,2013-08-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-08-01,7,1,0,0,7,1,8
GUAYARAMERIN,malaria,total de casos confirmados,2013-08-01,45,45,23,15,68,60,128
INGAVI (HUMAITA),malaria,total de casos confirmados,2013-08-01,4,1,0,0,4,1,5
MAGDALENA,malaria,total de casos confirmados,2013-08-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-08-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-08-01,9,4,0,0,9,4,13
POROMA,malaria,total de casos confirmados,2013-08-01,1,0,0,0,1,0,1
PORONGO,malaria,total de casos confirmados,2013-08-01,0,1,0,0,0,1,1
PORVENIR,malaria,total de casos confirmados,2013-08-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-08-01,9,2,0,0,9,2,11
PUERTO RICO,malaria,total de casos confirmados,2013-08-01,1,3,0,0,1,3,4
RIBERALTA,malaria,total de casos confirmados,2013-08-01,83,45,0,0,83,45,128
SANTA ROSA,malaria,total de casos confirmados,2013-08-01,1,1,0,0,1,1,2
SENA,malaria,total de casos confirmados,2013-08-01,6,3,0,0,6,3,9
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-08-01,2,1,0,0,2,1,3
BAURES,malaria,total de casos confirmados,2013-09-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,total de casos confirmados,2013-09-01,2,0,0,0,2,0,2
COBIJA,malaria,total de casos confirmados,2013-09-01,2,2,0,0,2,2,4
CONCEPCION,malaria,total de casos confirmados,2013-09-01,1,0,0,0,1,0,1
EL TORNO,malaria,total de casos confirmados,2013-09-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-09-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,total de casos confirmados,2013-09-01,48,33,6,8,54,41,95
MAGDALENA,malaria,total de casos confirmados,2013-09-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-09-01,2,3,0,0,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-09-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-09-01,2,1,0,0,2,1,3
RIBERALTA,malaria,total de casos confirmados,2013-09-01,35,17,0,0,35,17,52
SAIPINA,malaria,total de casos confirmados,2013-09-01,0,2,0,0,0,2,2
SAN BORJA,malaria,total de casos confirmados,2013-09-01,1,0,1,0,2,0,2
SAN PEDRO(PND),malaria,total de casos confirmados,2013-09-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,total de casos confirmados,2013-09-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-09-01,2,2,0,0,2,2,4
BELLA FLOR,malaria,total de casos confirmados,2013-10-01,4,1,0,0,4,1,5
BERMEJO,malaria,total de casos confirmados,2013-10-01,8,10,0,0,8,10,18
BUENA VISTA,malaria,total de casos confirmados,2013-10-01,2,2,0,0,2,2,4
CARANAVI,malaria,total de casos confirmados,2013-10-01,0,1,0,0,0,1,1
COBIJA,malaria,total de casos confirmados,2013-10-01,5,3,0,0,5,3,8
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-10-01,10,4,0,0,10,4,14
GUAYARAMERIN,malaria,total de casos confirmados,2013-10-01,44,41,14,6,58,47,105
INGAVI (HUMAITA),malaria,total de casos confirmados,2013-10-01,0,2,0,0,0,2,2
MOJOCOYA,malaria,total de casos confirmados,2013-10-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-10-01,3,5,0,1,3,6,9
PORVENIR,malaria,total de casos confirmados,2013-10-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-10-01,6,0,0,0,6,0,6
PUERTO RICO,malaria,total de casos confirmados,2013-10-01,1,0,2,0,3,0,3
REYES,malaria,total de casos confirmados,2013-10-01,3,1,0,0,3,1,4
RIBERALTA,malaria,total de casos confirmados,2013-10-01,71,30,0,0,71,30,101
SAN PEDRO(PND),malaria,total de casos confirmados,2013-10-01,2,2,0,0,2,2,4
SENA,malaria,total de casos confirmados,2013-10-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-10-01,2,0,0,0,2,0,2
YACUIBA,malaria,total de casos confirmados,2013-10-01,3,1,0,0,3,1,4
AZURDUY,malaria,total de casos confirmados,2013-11-01,1,0,0,0,1,0,1
BAURES,malaria,total de casos confirmados,2013-11-01,3,1,0,0,3,1,4
BELLA FLOR,malaria,total de casos confirmados,2013-11-01,3,2,0,0,3,2,5
BUENA VISTA,malaria,total de casos confirmados,2013-11-01,0,2,0,0,0,2,2
COBIJA,malaria,total de casos confirmados,2013-11-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-11-01,15,8,0,0,15,8,23
GUAYARAMERIN,malaria,total de casos confirmados,2013-11-01,101,109,9,12,110,121,231
INGAVI (HUMAITA),malaria,total de casos confirmados,2013-11-01,1,1,0,0,1,1,2
MAGDALENA,malaria,total de casos confirmados,2013-11-01,0,1,0,0,0,1,1
MOJOCOYA,malaria,total de casos confirmados,2013-11-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-11-01,3,5,0,0,3,5,8
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-11-01,6,3,0,0,6,3,9
PADILLA,malaria,total de casos confirmados,2013-11-01,0,1,0,0,0,1,1
POROMA,malaria,total de casos confirmados,2013-11-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-11-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,total de casos confirmados,2013-11-01,1,0,0,0,1,0,1
REYES,malaria,total de casos confirmados,2013-11-01,7,2,0,0,7,2,9
RIBERALTA,malaria,total de casos confirmados,2013-11-01,58,25,0,0,58,25,83
SAIPINA,malaria,total de casos confirmados,2013-11-01,1,1,0,0,1,1,2
SAN CARLOS,malaria,total de casos confirmados,2013-11-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2013-11-01,1,0,0,0,1,0,1
SENA,malaria,total de casos confirmados,2013-11-01,2,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-11-01,1,1,0,0,1,1,2
AZURDUY,malaria,total de casos confirmados,2013-12-01,2,2,0,0,2,2,4
BAURES,malaria,total de casos confirmados,2013-12-01,2,3,0,0,2,3,5
BELLA FLOR,malaria,total de casos confirmados,2013-12-01,0,2,1,0,1,2,3
BUENA VISTA,malaria,total de casos confirmados,2013-12-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2013-12-01,2,1,1,0,3,1,4
CUEVO,malaria,total de casos confirmados,2013-12-01,1,0,0,0,1,0,1
CULPINA,malaria,total de casos confirmados,2013-12-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-12-01,5,7,0,0,5,7,12
GUAYARAMERIN,malaria,total de casos confirmados,2013-12-01,45,41,12,9,57,50,107
INGAVI (HUMAITA),malaria,total de casos confirmados,2013-12-01,1,0,0,0,1,0,1
MAGDALENA,malaria,total de casos confirmados,2013-12-01,1,0,0,0,1,0,1
MIZQUE,malaria,total de casos confirmados,2013-12-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-12-01,1,1,1,0,2,1,3
POROMA,malaria,total de casos confirmados,2013-12-01,2,0,0,0,2,0,2
PORVENIR,malaria,total de casos confirmados,2013-12-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-12-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,total de casos confirmados,2013-12-01,1,0,0,0,1,0,1
REYES,malaria,total de casos confirmados,2013-12-01,4,0,0,0,4,0,4
RIBERALTA,malaria,total de casos confirmados,2013-12-01,37,27,1,0,38,27,65
SAIPINA,malaria,total de casos confirmados,2013-12-01,0,2,0,0,0,2,2
SAN LORENZO(PND),malaria,total de casos confirmados,2013-12-01,2,1,0,0,2,1,3
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2013-12-01,3,0,0,0,3,0,3
