,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
EL VILLAR,malaria,numero de muestras hematicas tomadas,2013-01-01,2,9,0,0,2,9,11
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2013-01-01,121,154,0,0,121,154,275
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2013-01-01,63,41,0,0,63,41,104
FILADELFIA,malaria,numero de muestras hematicas tomadas,2013-01-01,25,12,0,0,25,12,37
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2013-01-01,0,1,0,0,0,1,1
GUANAY,malaria,numero de muestras hematicas tomadas,2013-01-01,6,0,0,0,6,0,6
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2013-01-01,699,729,0,0,699,729,1428
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2013-01-01,0,27,0,0,0,27,27
HUACARETA,malaria,numero de muestras hematicas tomadas,2013-01-01,3,4,0,0,3,4,7
ICLA,malaria,numero de muestras hematicas tomadas,2013-01-01,3,7,0,0,3,7,10
INCAHUASI,malaria,numero de muestras hematicas tomadas,2013-01-01,3,2,0,0,3,2,5
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2013-01-01,48,36,0,0,48,36,84
IXIAMAS,malaria,numero de muestras hematicas tomadas,2013-01-01,99,62,0,0,99,62,161
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2013-01-01,2,0,0,0,2,0,2
LA PAZ,malaria,numero de muestras hematicas tomadas,2013-01-01,0,0,0,1,0,1,1
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2013-01-01,1,9,0,0,1,9,10
LAS CARRERAS,malaria,numero de muestras hematicas tomadas,2013-01-01,0,1,0,0,0,1,1
MACHARETI,malaria,numero de muestras hematicas tomadas,2013-01-01,21,42,0,3,21,45,66
MAGDALENA,malaria,numero de muestras hematicas tomadas,2013-01-01,91,69,0,0,91,69,160
MAPIRI,malaria,numero de muestras hematicas tomadas,2013-01-01,2,2,0,0,2,2,4
MIZQUE,malaria,numero de muestras hematicas tomadas,2013-01-01,0,1,0,0,0,1,1
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2013-01-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2013-01-01,83,74,0,0,83,74,157
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2013-01-01,45,33,0,0,45,33,78
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2013-01-01,149,93,0,0,149,93,242
PADCAYA,malaria,numero de muestras hematicas tomadas,2013-01-01,66,79,0,0,66,79,145
PADILLA,malaria,numero de muestras hematicas tomadas,2013-01-01,26,24,0,0,26,24,50
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2013-01-01,2,0,0,0,2,0,2
POROMA,malaria,numero de muestras hematicas tomadas,2013-01-01,159,168,0,0,159,168,327
PORONGO,malaria,numero de muestras hematicas tomadas,2013-01-01,1,1,0,0,1,1,2
PORVENIR,malaria,numero de muestras hematicas tomadas,2013-01-01,70,70,0,0,70,70,140
POSTRER VALLE,malaria,numero de muestras hematicas tomadas,2013-01-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2013-01-01,54,33,0,0,54,33,87
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2013-01-01,232,198,0,0,232,198,430
REYES,malaria,numero de muestras hematicas tomadas,2013-01-01,0,2,0,0,0,2,2
RIBERALTA,malaria,numero de muestras hematicas tomadas,2013-01-01,991,808,1,0,992,808,1800
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2013-01-01,4,2,4,2,8,4,12
SAIPINA,malaria,numero de muestras hematicas tomadas,2013-01-01,38,43,0,0,38,43,81
SAN ANTONIO DE LOMERIO,malaria,numero de muestras hematicas tomadas,2013-01-01,7,13,0,0,7,13,20
SAN BORJA,malaria,numero de muestras hematicas tomadas,2013-01-01,3,2,0,0,3,2,5
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2013-01-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2013-01-01,4,4,0,0,4,4,8
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2013-01-01,5,15,0,0,5,15,20
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2013-01-01,110,169,0,0,110,169,279
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2013-01-01,7,47,0,0,7,47,54
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2013-01-01,2,0,0,0,2,0,2
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2013-01-01,26,0,0,0,26,0,26
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2013-01-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2013-01-01,5,5,0,0,5,5,10
SENA,malaria,numero de muestras hematicas tomadas,2013-01-01,131,150,0,0,131,150,281
SHINAOTA,malaria,numero de muestras hematicas tomadas,2013-01-01,9,0,0,0,9,0,9
SOPACHUY,malaria,numero de muestras hematicas tomadas,2013-01-01,5,12,0,0,5,12,17
SUCRE,malaria,numero de muestras hematicas tomadas,2013-01-01,12,42,0,1,12,43,55
TARVITA,malaria,numero de muestras hematicas tomadas,2013-01-01,7,25,0,0,7,25,32
TEOPONTE,malaria,numero de muestras hematicas tomadas,2013-01-01,5,2,0,0,5,2,7
TOMINA,malaria,numero de muestras hematicas tomadas,2013-01-01,8,2,0,0,8,2,10
TORO TORO,malaria,numero de muestras hematicas tomadas,2013-01-01,28,23,0,0,28,23,51
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2013-01-01,1,1,0,0,1,1,2
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2013-01-01,0,8,0,0,0,8,8
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2013-01-01,200,245,0,0,200,245,445
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2013-01-01,82,58,0,0,82,58,140
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2013-01-01,13,22,0,0,13,22,35
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2013-01-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2013-01-01,3,18,0,0,3,18,21
YACUIBA,malaria,numero de muestras hematicas tomadas,2013-01-01,458,597,0,0,458,597,1055
YAMPARAEZ,malaria,numero de muestras hematicas tomadas,2013-01-01,0,3,0,0,0,3,3
YOTALA,malaria,numero de muestras hematicas tomadas,2013-01-01,0,2,0,0,0,2,2
ACACIO,malaria,numero de muestras hematicas tomadas,2013-02-01,6,14,0,0,6,14,20
AIQUILE,malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
ALCALA,malaria,numero de muestras hematicas tomadas,2013-02-01,0,1,0,0,0,1,1
APOLO,malaria,numero de muestras hematicas tomadas,2013-02-01,2,0,0,0,2,0,2
AZURDUY,malaria,numero de muestras hematicas tomadas,2013-02-01,13,23,0,0,13,23,36
BAURES,malaria,numero de muestras hematicas tomadas,2013-02-01,11,8,0,0,11,8,19
BERMEJO,malaria,numero de muestras hematicas tomadas,2013-02-01,26,26,0,0,26,26,52
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2013-02-01,0,1,0,0,0,1,1
CAMARGO,malaria,numero de muestras hematicas tomadas,2013-02-01,0,13,0,0,0,13,13
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2013-02-01,0,5,0,0,0,5,5
CAMIRI,malaria,numero de muestras hematicas tomadas,2013-02-01,13,16,0,0,13,16,29
CARANAVI,malaria,numero de muestras hematicas tomadas,2013-02-01,8,0,0,0,8,0,8
CARAPARI,malaria,numero de muestras hematicas tomadas,2013-02-01,12,11,0,0,12,11,23
COBIJA,malaria,numero de muestras hematicas tomadas,2013-02-01,21,11,0,0,21,11,32
COMARAPA,malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
CONCEPCION,malaria,numero de muestras hematicas tomadas,2013-02-01,9,5,0,0,9,5,14
CUEVO,malaria,numero de muestras hematicas tomadas,2013-02-01,1,1,0,0,1,1,2
CULPINA,malaria,numero de muestras hematicas tomadas,2013-02-01,31,36,0,0,31,36,67
EL TORNO,malaria,numero de muestras hematicas tomadas,2013-02-01,13,15,0,0,13,15,28
EL VILLAR,malaria,numero de muestras hematicas tomadas,2013-02-01,37,44,0,0,37,44,81
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2013-02-01,194,209,0,0,194,209,403
FILADELFIA,malaria,numero de muestras hematicas tomadas,2013-02-01,44,13,0,0,44,13,57
GUANAY,malaria,numero de muestras hematicas tomadas,2013-02-01,1,6,0,0,1,6,7
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2013-02-01,406,391,2,0,408,391,799
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2013-02-01,0,31,0,0,0,31,31
HUACARETA,malaria,numero de muestras hematicas tomadas,2013-02-01,2,3,0,0,2,3,5
ICLA,malaria,numero de muestras hematicas tomadas,2013-02-01,4,5,0,0,4,5,9
INCAHUASI,malaria,numero de muestras hematicas tomadas,2013-02-01,1,1,0,0,1,1,2
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2013-02-01,29,20,0,0,29,20,49
IXIAMAS,malaria,numero de muestras hematicas tomadas,2013-02-01,98,64,0,0,98,64,162
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2013-02-01,2,1,0,0,2,1,3
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2013-02-01,3,7,0,0,3,7,10
MACHARETI,malaria,numero de muestras hematicas tomadas,2013-02-01,20,51,0,0,20,51,71
MAGDALENA,malaria,numero de muestras hematicas tomadas,2013-02-01,76,85,0,0,76,85,161
MAPIRI,malaria,numero de muestras hematicas tomadas,2013-02-01,3,1,0,0,3,1,4
MIZQUE,malaria,numero de muestras hematicas tomadas,2013-02-01,2,0,0,0,2,0,2
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2013-02-01,3,0,0,0,3,0,3
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2013-02-01,40,25,0,0,40,25,65
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2013-02-01,51,16,0,0,51,16,67
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2013-02-01,105,84,0,0,105,84,189
PADCAYA,malaria,numero de muestras hematicas tomadas,2013-02-01,16,16,0,0,16,16,32
PADILLA,malaria,numero de muestras hematicas tomadas,2013-02-01,63,57,0,0,63,57,120
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2013-02-01,4,1,0,0,4,1,5
POROMA,malaria,numero de muestras hematicas tomadas,2013-02-01,85,103,0,0,85,103,188
PORONGO,malaria,numero de muestras hematicas tomadas,2013-02-01,5,8,0,0,5,8,13
PORVENIR,malaria,numero de muestras hematicas tomadas,2013-02-01,12,9,0,0,12,9,21
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2013-02-01,9,11,0,0,9,11,20
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2013-02-01,76,92,0,0,76,92,168
RAVELO,malaria,numero de muestras hematicas tomadas,2013-02-01,0,1,0,0,0,1,1
REYES,malaria,numero de muestras hematicas tomadas,2013-02-01,3,0,0,0,3,0,3
RIBERALTA,malaria,numero de muestras hematicas tomadas,2013-02-01,666,532,23,22,689,554,1243
ROBORE,malaria,numero de muestras hematicas tomadas,2013-02-01,8,12,0,0,8,12,20
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de muestras hematicas tomadas,2013-02-01,47,44,0,0,47,44,91
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2013-02-01,13,11,0,0,13,11,24
SAN JAVIER(STC),malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,1,0,2,0,2
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2013-02-01,5,25,0,0,5,25,30
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2013-02-01,175,192,0,0,175,192,367
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2013-02-01,26,72,0,0,26,72,98
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2013-02-01,67,53,0,0,67,53,120
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2013-02-01,5,0,0,0,5,0,5
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2013-02-01,4,9,0,0,4,9,13
SENA,malaria,numero de muestras hematicas tomadas,2013-02-01,103,104,0,0,103,104,207
SHINAOTA,malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
SOPACHUY,malaria,numero de muestras hematicas tomadas,2013-02-01,6,17,0,0,6,17,23
SUCRE,malaria,numero de muestras hematicas tomadas,2013-02-01,7,12,0,0,7,12,19
TARVITA,malaria,numero de muestras hematicas tomadas,2013-02-01,4,23,0,0,4,23,27
TEOPONTE,malaria,numero de muestras hematicas tomadas,2013-02-01,8,15,0,0,8,15,23
TOMINA,malaria,numero de muestras hematicas tomadas,2013-02-01,0,1,0,0,0,1,1
TORO TORO,malaria,numero de muestras hematicas tomadas,2013-02-01,33,25,0,0,33,25,58
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2013-02-01,3,0,0,0,3,0,3
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2013-02-01,0,3,0,0,0,3,3
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2013-02-01,136,152,0,0,136,152,288
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2013-02-01,84,56,0,0,84,56,140
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2013-02-01,5,9,0,0,5,9,14
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2013-02-01,6,19,0,0,6,19,25
YACUIBA,malaria,numero de muestras hematicas tomadas,2013-02-01,354,412,0,0,354,412,766
YAMPARAEZ,malaria,numero de muestras hematicas tomadas,2013-02-01,0,2,0,0,0,2,2
YOTALA,malaria,numero de muestras hematicas tomadas,2013-02-01,1,0,0,0,1,0,1
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2013-02-01,0,1,0,0,0,1,1
ACACIO,malaria,numero de muestras hematicas tomadas,2013-03-01,8,14,0,0,8,14,22
AIQUILE,malaria,numero de muestras hematicas tomadas,2013-03-01,1,1,0,0,1,1,2
ALCALA,malaria,numero de muestras hematicas tomadas,2013-03-01,1,6,0,0,1,6,7
APOLO,malaria,numero de muestras hematicas tomadas,2013-03-01,4,2,0,0,4,2,6
AZURDUY,malaria,numero de muestras hematicas tomadas,2013-03-01,13,27,0,0,13,27,40
BAURES,malaria,numero de muestras hematicas tomadas,2013-03-01,16,20,0,0,16,20,36
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2013-03-01,70,7,0,0,70,7,77
BERMEJO,malaria,numero de muestras hematicas tomadas,2013-03-01,39,25,0,0,39,25,64
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2013-03-01,2,2,0,0,2,2,4
CAMARGO,malaria,numero de muestras hematicas tomadas,2013-03-01,0,10,0,0,0,10,10
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2013-03-01,0,5,0,0,0,5,5
CAMIRI,malaria,numero de muestras hematicas tomadas,2013-03-01,17,17,0,0,17,17,34
CARANAVI,malaria,numero de muestras hematicas tomadas,2013-03-01,14,10,0,0,14,10,24
CARAPARI,malaria,numero de muestras hematicas tomadas,2013-03-01,17,14,0,0,17,14,31
COBIJA,malaria,numero de muestras hematicas tomadas,2013-03-01,19,18,0,0,19,18,37
CONCEPCION,malaria,numero de muestras hematicas tomadas,2013-03-01,30,15,0,0,30,15,45
CULPINA,malaria,numero de muestras hematicas tomadas,2013-03-01,76,91,0,0,76,91,167
EL TORNO,malaria,numero de muestras hematicas tomadas,2013-03-01,17,12,0,0,17,12,29
EL VILLAR,malaria,numero de muestras hematicas tomadas,2013-03-01,4,8,0,0,4,8,12
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2013-03-01,182,260,0,0,182,260,442
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2013-03-01,55,50,0,0,55,50,105
FILADELFIA,malaria,numero de muestras hematicas tomadas,2013-03-01,16,10,0,0,16,10,26
GUANAY,malaria,numero de muestras hematicas tomadas,2013-03-01,5,0,0,0,5,0,5
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2013-03-01,455,331,5,0,460,331,791
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2013-03-01,0,22,0,0,0,22,22
HUACARETA,malaria,numero de muestras hematicas tomadas,2013-03-01,12,16,0,0,12,16,28
ICLA,malaria,numero de muestras hematicas tomadas,2013-03-01,4,3,0,0,4,3,7
INCAHUASI,malaria,numero de muestras hematicas tomadas,2013-03-01,2,0,0,0,2,0,2
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2013-03-01,64,57,0,0,64,57,121
IXIAMAS,malaria,numero de muestras hematicas tomadas,2013-03-01,116,166,0,0,116,166,282
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2013-03-01,1,1,0,0,1,1,2
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2013-03-01,0,12,0,0,0,12,12
LAS CARRERAS,malaria,numero de muestras hematicas tomadas,2013-03-01,0,3,0,0,0,3,3
MACHARETI,malaria,numero de muestras hematicas tomadas,2013-03-01,62,113,0,0,62,113,175
MAGDALENA,malaria,numero de muestras hematicas tomadas,2013-03-01,43,38,0,0,43,38,81
MAIRANA,malaria,numero de muestras hematicas tomadas,2013-03-01,0,1,0,0,0,1,1
MAPIRI,malaria,numero de muestras hematicas tomadas,2013-03-01,7,14,0,0,7,14,21
MIZQUE,malaria,numero de muestras hematicas tomadas,2013-03-01,5,3,0,0,5,3,8
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2013-03-01,3,1,0,0,3,1,4
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2013-03-01,73,105,0,0,73,105,178
MOROCHATA,malaria,numero de muestras hematicas tomadas,2013-03-01,0,0,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2013-03-01,45,36,0,0,45,36,81
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2013-03-01,92,100,0,0,92,100,192
PADCAYA,malaria,numero de muestras hematicas tomadas,2013-03-01,14,24,0,0,14,24,38
PADILLA,malaria,numero de muestras hematicas tomadas,2013-03-01,87,78,0,0,87,78,165
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2013-03-01,15,10,0,0,15,10,25
POROMA,malaria,numero de muestras hematicas tomadas,2013-03-01,25,30,0,0,25,30,55
PORONGO,malaria,numero de muestras hematicas tomadas,2013-03-01,2,5,0,0,2,5,7
PORVENIR,malaria,numero de muestras hematicas tomadas,2013-03-01,100,19,0,0,100,19,119
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2013-03-01,22,17,0,0,22,17,39
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2013-03-01,87,75,0,0,87,75,162
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2013-03-01,1,0,0,0,1,0,1
REYES,malaria,numero de muestras hematicas tomadas,2013-03-01,2,2,0,0,2,2,4
RIBERALTA,malaria,numero de muestras hematicas tomadas,2013-03-01,621,521,0,55,621,576,1197
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2013-03-01,3,1,3,1,6,2,8
SAIPINA,malaria,numero de muestras hematicas tomadas,2013-03-01,54,54,0,0,54,54,108
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2013-03-01,0,2,0,0,0,2,2
SAN IGNACIO,malaria,numero de muestras hematicas tomadas,2013-03-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2013-03-01,17,9,3,0,20,9,29
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2013-03-01,20,30,0,0,20,30,50
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2013-03-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2013-03-01,244,40,0,0,244,40,284
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2013-03-01,30,78,0,0,30,78,108
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2013-03-01,20,7,0,0,20,7,27
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2013-03-01,29,17,0,0,29,17,46
SENA,malaria,numero de muestras hematicas tomadas,2013-03-01,107,77,0,0,107,77,184
SOPACHUY,malaria,numero de muestras hematicas tomadas,2013-03-01,5,14,0,0,5,14,19
SUCRE,malaria,numero de muestras hematicas tomadas,2013-03-01,72,79,0,0,72,79,151
TARABUCO,malaria,numero de muestras hematicas tomadas,2013-03-01,1,0,0,0,1,0,1
TARVITA,malaria,numero de muestras hematicas tomadas,2013-03-01,17,83,0,0,17,83,100
TEOPONTE,malaria,numero de muestras hematicas tomadas,2013-03-01,37,39,0,0,37,39,76
TOMINA,malaria,numero de muestras hematicas tomadas,2013-03-01,3,0,0,0,3,0,3
TORO TORO,malaria,numero de muestras hematicas tomadas,2013-03-01,20,17,0,0,20,17,37
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2013-03-01,1,2,0,0,1,2,3
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2013-03-01,17,31,0,0,17,31,48
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2013-03-01,69,72,0,0,69,72,141
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2013-03-01,54,39,0,0,54,39,93
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2013-03-01,11,18,0,0,11,18,29
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2013-03-01,5,2,0,0,5,2,7
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2013-03-01,10,40,0,0,10,40,50
VINTO,malaria,numero de muestras hematicas tomadas,2013-03-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de muestras hematicas tomadas,2013-03-01,93,96,0,0,93,96,189
YAMPARAEZ,malaria,numero de muestras hematicas tomadas,2013-03-01,1,0,0,0,1,0,1
YOTALA,malaria,numero de muestras hematicas tomadas,2013-03-01,1,14,0,0,1,14,15
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2013-03-01,3,0,0,0,3,0,3
ACACIO,malaria,numero de muestras hematicas tomadas,2013-04-01,11,10,0,0,11,10,21
AIQUILE,malaria,numero de muestras hematicas tomadas,2013-04-01,1,0,0,0,1,0,1
ALCALA,malaria,numero de muestras hematicas tomadas,2013-04-01,4,6,0,0,4,6,10
AZURDUY,malaria,numero de muestras hematicas tomadas,2013-04-01,26,44,0,0,26,44,70
BAURES,malaria,numero de muestras hematicas tomadas,2013-04-01,10,15,0,0,10,15,25
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2013-04-01,44,34,0,0,44,34,78
BERMEJO,malaria,numero de muestras hematicas tomadas,2013-04-01,1,16,0,0,1,16,17
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2013-04-01,5,4,0,0,5,4,9
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2013-04-01,2,1,0,0,2,1,3
CAMARGO,malaria,numero de muestras hematicas tomadas,2013-04-01,0,19,0,0,0,19,19
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2013-04-01,11,18,0,0,11,18,29
CAMIRI,malaria,numero de muestras hematicas tomadas,2013-04-01,36,36,0,0,36,36,72
CARANAVI,malaria,numero de muestras hematicas tomadas,2013-04-01,13,9,0,0,13,9,22
CARAPARI,malaria,numero de muestras hematicas tomadas,2013-04-01,3,6,0,0,3,6,9
CHARAGUA,malaria,numero de muestras hematicas tomadas,2013-04-01,17,15,0,0,17,15,32
COBIJA,malaria,numero de muestras hematicas tomadas,2013-04-01,31,15,0,0,31,15,46
COCAPATA,malaria,numero de muestras hematicas tomadas,2013-04-01,1,0,0,0,1,0,1
COMARAPA,malaria,numero de muestras hematicas tomadas,2013-04-01,0,1,0,0,0,1,1
CONCEPCION,malaria,numero de muestras hematicas tomadas,2013-04-01,19,11,0,0,19,11,30
CUEVO,malaria,numero de muestras hematicas tomadas,2013-04-01,0,1,0,0,0,1,1
