municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,4,4
POJO (CBBA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,5,5
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,2,2
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
PUNA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,11,11
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,20,20
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,5,5
TAPACARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,10,10
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
ALALAY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,3,3
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,9,9
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,25,25
EL TORNO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,25,25
LLALLAGUA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,5,5
ORURO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,6,6
POJO (CBBA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
PORCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,5,5
PORONGO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,2,2
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,13,13
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,3,3
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,2,2
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,15,15
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,28,28
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,3,3
TACOPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
TAPACARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
TIPUANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,2,2
TOLATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,2,2
UYUNI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,27,27
VILA VILA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,4,4
YACUIBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,17,17
YUNCHARA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-04-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,3,3
BAURES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,5,5
BUENA VISTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,47,47
EL TORNO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,8,8
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,2,2
HUARINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,14,14
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,3,3
ORURO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,3,3
PALCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,18,18
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,4,4
POJO (CBBA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,4,4
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,2,2
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,5,5
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,24,24
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
TAPACARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,5,5
TARVITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,2,2
TUPIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,11,11
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,3,3
YUNCHARA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-05-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,3,3
BAURES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,10,10
CHARAGUA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,16,16
HUARINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,21,21
MIZQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,2,2
ORURO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,2,2
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,12,12
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,8,8
PUNATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,3,3
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,6,6
SIPE SIPE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,26,26
TOLATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,10,10
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
VINTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-06-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,3,3
BAURES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,3,3
CALAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,2,2
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,3,3
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,5,5
CONCEPCION,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,29,29
LAJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
OMEREQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,2,2
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
PUNA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,1,1
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,20,20
SIPE SIPE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,2,2
TOLATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,4,4
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,3,3
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-07-01,8,8
AYO AYO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,2,2
BAURES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,3,3
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,2,2
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,57,57
EL TORNO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,13,13
HUACARETA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,38,38
MIZQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,7,7
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,6,6
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,2,2
RIBERALTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
SABAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-08-01,4,4
