,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,1,1,0,1,0,0,0,0,0,4
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,11,0,29,1,8,1,0,0,50
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,1,15,1,6,0,0,0,29
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,1,1,1,0,0,0,4
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,1,0,0,0,0,0,2
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,4,0,1,0,0,0,7
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,10,0,7,0,5,0,0,0,22
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,9,0,26,3,3,0,0,0,42
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,5,1,0,0,0,0,12
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,6,0,0,0,0,0,7
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,0,14,0,4,0,0,0,22
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,1,2,2,0,0,6
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,0,6,2,4,0,0,0,17
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,8,0,14,0,2,1,0,0,25
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,4,0,1,0,0,0,7
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,22,0,66,2,9,1,0,0,100
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,2,0,9,0,30,0,0,0,0,0,41
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,3,0,0,0,0,0,5
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,8,0,18,0,0,1,0,0,28
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,17,0,43,0,7,0,0,0,67
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,7,0,13,0,8,0,0,0,29
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,1,7,3,0,2,0,0,15
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,4,0,1,0,0,0,5
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,1,12,0,42,4,6,0,0,0,65
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,5,1,2,0,0,0,9
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,4,0,9,0,23,0,6,0,0,0,42
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,1,0,0,0,2
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,1,0,0,0,0,2
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,6,0,22,1,3,0,0,0,33
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
CHUA COCANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,2,0,0,0,0,0,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,7,0,25,0,4,0,0,0,36
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,5,0,1,0,0,0,7
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,0,9,0,1,2,0,0,17
CKOCHAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,7,1,2,1,0,0,14
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,30,0,7,0,0,0,40
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,3,0,33,0,87,1,18,0,0,0,142
COCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,7,4,5,5,0,1,0,0,23
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,238,20,1122,13,297,3,0,0,1694
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,2,0,0,0,0,0,3
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,6,0,61,0,13,0,0,0,81
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,3,0,8,1,2,0,0,0,15
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,0,1,0,0,0,1
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,17,1,3,0,0,0,24
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,4,0,0,0,0,0,7
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,7,1,21,2,3,0,0,0,34
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,6,1,2,0,0,0,15
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,0,16,3,2,0,0,0,25
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,8,0,12,0,4,0,0,0,24
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,16,0,22,0,2,0,0,0,40
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,13,1,1,0,0,0,16
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,10,0,16,0,2,0,0,0,29
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,4,1,1,0,0,0,8
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,11,3,6,1,0,0,22
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,1,1,2,2,0,0,0,6
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,1,19,3,1,1,0,0,29
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,45,0,82,0,11,0,0,0,139
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,8,1,21,0,1,0,0,0,31
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,2,0,0,0,0,0,2
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,1,1,0,0,0,0,2
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,1,0,12,1,7,0,0,0,22
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,3,0,1,0,0,0,5
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,0,0,1,0,0,1
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,3,0,3,0,0,0,7
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,21,0,233,32,1221,148,275,41,0,0,1971
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,2,0,0,0,0,0,2
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,2,0,10,0,1,0,0,0,14
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,7,0,3,0,0,0,16
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,5,0,30,0,36,1,17,0,0,0,89
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,1,1,0,0,3
ENTRE RIOS TRJ,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,7,0,15,2,1,0,0,0,25
ENTRE RIOS CBBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,2,0,12,0,52,1,14,0,0,0,81
ESCARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,0,1,0,0,0,1
ESCOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,3,0,1,0,0,0,6
ESMERALDA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,2,0,1,0,0,0,3
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,5,0,1,0,0,0,6
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,2,0,0,0,0,2
EXALTACION,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
FERNANDEZ ALONSO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,5,1,2,0,0,0,8
FILADELFIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,2,0,7,0,8,1,0,0,0,0,18
GENERAL SAAVEDRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,10,1,6,1,2,2,0,0,23
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,8,3,3,0,0,0,14
GUANAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,12,2,4,2,0,0,26
GUAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,1,8,0,0,0,0,0,9
GUAYARAMERIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,5,0,38,0,97,0,11,0,0,0,151
GUTIERREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,16,0,2,0,0,0,21
HUACARETA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,6,0,1,0,0,0,7
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,1,1,1,1,1,0,0,0,6
HUACHACALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,3,0,1,0,0,0,6
HUANUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,8,0,21,0,6,0,0,0,35
HUARACAJE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
HUARINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,2,0,1,0,0,0,3
HUATAJATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,2,0,0,0,0,0,2
HUAYLLAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,1,1,0,0,0,3
HUMANATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,1,1,0,1,0,0,0,3
ICHOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,1,0,0,0,0,0,2
ICLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,1,5,0,4,0,0,0,11
INCAHUASI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,1,3,5,2,5,0,0,17
INGAVI (HUMAITA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
INQUISIVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,1,3,1,1,0,0,0,10
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,1,13,1,1,0,0,0,21
IXIAMAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,5,2,9,0,1,0,0,0,18
JESUS DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,7,0,0,0,0,0,13
LA ASUNTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,15,0,42,0,8,0,0,0,65
LA GUARDIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,54,0,116,0,17,0,0,0,188
LA PAZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,20,0,172,0,1090,0,291,0,1,0,1574
LA RIVERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,1,0,0,0,0,1
LAGUNILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,4,0,6,0,0,0,0,0,11
LAJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,4,1,8,0,4,0,0,0,18
LAS CARRERAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,5,0,0,0,0,0,6
LICOMA PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,0,0,1,0,0,0,3
LLALLAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,14,1,48,1,16,0,0,0,80
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,3,0,0,0,0,0,3
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,2,1,0,0,0,0,0,5
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,6,1,0,0,0,0,7
MACHACAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,1,0,0,0,0,0,2
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,0,6,0,0,0,0,0,10
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,14,0,1,0,0,0,17
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,7,0,20,0,2,0,0,0,29
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,1,0,0,0,0,0,0,1
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,5,0,21,0,1,0,0,0,28
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,14,0,2,0,0,0,17
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,3,11,1,1,0,0,0,21
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,16,0,30,0,7,0,0,0,54
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,2,0,4,1,0,0,8
MOJINETE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,1,1,0,0,0,0,2
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,5,1,0,1,0,0,13
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,8,0,3,0,32,0,2,0,0,0,45
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,3,0,57,5,145,6,26,1,0,0,243
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,3,1,0,0,0,0,4
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,1,0,1,0,3,0,0,0,6
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,7,0,0,0,0,0,8
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,1,0,0,0,0,0,2
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,2,9,2,3,1,0,0,21
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,13,1,2,0,0,0,19
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,0,2,0,1,0,0,0,7
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,2,0,135,2,691,1,195,1,66,0,1093
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,7,0,18,1,4,0,0,0,30
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,5,2,2,0,0,0,12
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,8,0,19,0,10,1,0,0,39
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,1,17,0,0,0,0,0,24
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,12,0,53,0,3,0,0,0,69
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,3,2,0,0,0,0,5
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,5,0,2,0,0,0,8
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,2,1,1,0,0,0,4
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,1,3,0,0,0,0,0,5
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,13,0,24,1,1,0,0,0,39
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,1,0,8,0,1,0,0,0,11
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,4,0,1,0,0,0,6
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,9,3,5,3,0,0,22
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,6,1,7,0,0,0,0,0,15
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,9,11,1,0,0,0,27
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,4,1,2,0,0,0,9
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,3,0,8,0,2,0,0,0,14
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,1,1,7,0,6,0,0,0,16
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,4,4,1,0,0,0,0,14
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,12,0,40,0,2,0,0,0,55
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,1,5,0,1,0,0,0,8
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,2,0,98,1,388,4,120,0,0,0,613
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,1,3,1,2,0,0,7
PUCARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,1,1,0,0,0,2
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,8,0,30,1,7,0,0,0,47
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,2,0,0,2,0,0,5
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,4,0,3,0,4,1,0,0,13
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,1,3,0,0,0,0,0,8
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,0,1,1,0,0,0,3
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,2,0,5,0,34,0,4,0,0,0,45
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,2,0,5,0,5,0,0,0,0,0,12
PUERTO SILES,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,3,0,0,0,0,0,4
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,11,0,25,1,2,0,0,0,40
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,29,0,62,1,7,0,0,0,100
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,1,11,1,3,0,0,0,19
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,5,0,25,1,9,0,0,0,41
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,2,0,0,0,0,0,4
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,7,1,83,6,166,14,53,0,0,0,330
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,7,0,2,0,0,0,9
