municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
POTOSI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,12,12
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,3,3
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,39,39
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,7,7
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,3,3
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,2,2
LA GUARDIA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,1,1
LA PAZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,3,3
LAGUNILLAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,2,2
QUILLACOLLO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,3,3
RAVELO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,9,9
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,18,18
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,27,27
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,6,6
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,17,17
WARNES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-04-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,5,5
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,5,5
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
PALCA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,2,2
SAN CARLOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,8,8
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,10,10
SOPACHUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,2,2
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,1,1
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-05-01,21,21
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
COROICO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,3,3
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,3,3
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,3,3
PADILLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,4,4
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,3,3
SAN CARLOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,12,12
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,12,12
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,2,2
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,6,6
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,2,2
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-06-01,24,24
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
CULPINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,30,30
LAGUNILLAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,2,2
LAS CARRERAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
MINEROS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,3,3
MOJOCOYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,6,6
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,12,12
SAN CARLOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,12,12
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,60,60
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,4,4
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,2,2
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,3,3
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,4,4
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,22,22
WARNES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-07-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,1,1
CULPINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,3,3
MOJOCOYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,13,13
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,7,7
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,23,23
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,5,5
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,35,35
SOPACHUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,3,3
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,15,15
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,7,7
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,5,5
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,2,2
VALLEGRANDE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,14,14
VIACHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,15,15
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,25,25
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-08-01,3,3
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,1,1
CAMARGO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,3,3
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,2,2
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,3,3
LAGUNILLAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,8,8
MOJOCOYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,2,2
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,16,16
PRESTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,7,7
SAN JAVIER(BNI),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,2,2
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,12,12
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,6,6
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,6,6
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,56,56
TOMAVE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,2,2
VIACHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,15,15
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,1,1
WARNES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,51,51
YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-09-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,3,3
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,5,5
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,2,2
LA PAZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,3,3
MOJOCOYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,3,3
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,2,2
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,11,11
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,15,15
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,97,97
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,28,28
TARATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,12,12
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-10-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,7,7
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,26,26
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,8,8
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,66,66
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,6,6
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,55,55
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,103,103
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,32,32
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,37,37
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,26,26
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,4,4
YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,1,1
YUNCHARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-11-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,11,11
PUERTO VILLARROEL,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,75,75
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,9,9
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,2,2
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,1,1
YUNCHARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-12-01,2,2
