municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,7,7
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,25,25
POTOSI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,6,6
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,4,4
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,3,3
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-06-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-06-01,8,8
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-06-01,5,5
SUCRE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-06-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-06-01,7,7
COLCAPIRHUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,1,1
COTOCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,5,5
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,10,10
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,3,3
SAN LUCAS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,1,1
SORATA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,2,2
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,7,7
VINTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-07-01,1,1
COBIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,1,1
EL TORNO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,2,2
PUNATA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,2,2
SACABA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,9,9
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,3,3
SAN LUCAS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,1,1
SORATA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,5,5
TRINIDAD,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-08-01,1,1
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,1,1
CAIROMA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,1,1
HUATAJATA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,213,213
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,4,4
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,6,6
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,6,6
TRINIDAD,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,1,1
VIACHA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-09-01,5,5
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,1,1
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,3,3
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,2,2
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,5,5
PUERTO CARABUCO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,7,7
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,2,2
VILLA MONTES,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-10-01,1,1
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,3,3
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,1,1
MIZQUE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,2,2
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,81,81
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,6,6
VIACHA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-11-01,10,10
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,1,1
CHARAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,79,79
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,2,2
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,2,2
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-12-01,1,1
