municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,1,1
COBIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,5,5
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,3,3
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,8,8
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-04-01,1,1
AIQUILE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,1,1
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,1,1
LA PAZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,5,5
QUILLACOLLO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,2,2
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,11,11
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-05-01,3,3
BETANZOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,25,25
COCAPATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,4,4
POTOSI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,19,19
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,1,1
WARNES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-06-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-07-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-07-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-07-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-07-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-07-01,4,4
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-07-01,11,11
YUNCHARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-07-01,1,1
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,2,2
PUNA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,12,12
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-08-01,1,1
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,2,2
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,22,22
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-09-01,1,1
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,7,7
BAURES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,8,8
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,6,6
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,2,2
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,14,14
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,1,1
YOTALA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-10-01,1,1
AZURDUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,13,13
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,6,6
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,2,2
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-11-01,1,1
AZURDUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,2,2
MONTERO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,1,1
PUNA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,1,1
SAN ANDRES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,14,14
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-12-01,4,4
