,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
CALAMARCA,consultas prenatales,repetidas,2023-01-01,0,0,14,0,48,1,7,0,0,0,70
CAMARGO,consultas prenatales,repetidas,2023-01-01,0,0,9,0,46,1,12,1,0,0,69
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2023-01-01,0,0,0,0,7,1,1,1,0,0,10
CAMIRI,consultas prenatales,repetidas,2023-01-01,0,0,21,11,136,1,26,0,0,0,195
CAPINOTA,consultas prenatales,repetidas,2023-01-01,1,0,17,0,108,0,20,0,0,0,146
CAQUIAVIRI,consultas prenatales,repetidas,2023-01-01,0,0,7,0,15,0,6,0,0,0,28
CARACOLLO,consultas prenatales,repetidas,2023-01-01,0,0,22,0,60,0,11,1,0,0,94
CARANAVI,consultas prenatales,repetidas,2023-01-01,2,0,29,0,259,2,41,1,0,0,334
CARANGAS,consultas prenatales,repetidas,2023-01-01,0,0,0,0,1,0,0,0,0,0,1
CARAPARI,consultas prenatales,repetidas,2023-01-01,0,0,8,0,58,1,13,0,0,0,80
CARIPUYO,consultas prenatales,repetidas,2023-01-01,0,0,5,1,12,2,2,1,0,0,23
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2023-01-01,1,0,8,0,27,1,8,0,0,0,45
CATACORA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,3,1,1,0,0,0,6
CHACARILLA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,3,0,1,0,0,0,5
CHALLAPATA,consultas prenatales,repetidas,2023-01-01,1,0,38,2,158,9,35,0,0,0,243
CHAQUI,consultas prenatales,repetidas,2023-01-01,0,0,1,1,27,0,8,1,0,0,38
CHARAGUA,consultas prenatales,repetidas,2023-01-01,2,0,22,0,87,5,12,0,0,0,128
CHARAÑA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,0,0,3,0,0,0,3
CHAYANTA,consultas prenatales,repetidas,2023-01-01,0,0,10,2,36,6,4,2,0,0,60
CHIMORE,consultas prenatales,repetidas,2023-01-01,2,0,40,0,170,2,25,0,0,0,239
CHIPAYA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,2,0,0,0,0,0,3
CHOQUE COTA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,4,0,0,0,0,0,4
CHUA COCANI,consultas prenatales,repetidas,2023-01-01,0,0,0,0,17,0,0,0,0,0,17
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2023-01-01,0,0,10,0,65,0,11,0,2,0,88
CHUMA,consultas prenatales,repetidas,2023-01-01,0,0,2,2,6,2,2,3,0,0,17
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2023-01-01,0,0,10,0,29,5,2,0,0,0,46
CKOCHAS,consultas prenatales,repetidas,2023-01-01,0,0,5,2,15,10,12,6,0,0,50
CLIZA,consultas prenatales,repetidas,2023-01-01,0,0,6,0,37,0,5,0,0,0,48
COBIJA,consultas prenatales,repetidas,2023-01-01,8,0,62,1,380,0,49,0,0,0,500
COCAPATA,consultas prenatales,repetidas,2023-01-01,0,0,9,4,26,5,10,0,0,0,54
COCHABAMBA,consultas prenatales,repetidas,2023-01-01,6,0,280,2,3753,9,1108,20,1,0,5179
COIPASA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,4,0,0,0,0,0,4
COLCAPIRHUA,consultas prenatales,repetidas,2023-01-01,0,0,24,3,206,9,37,2,0,0,281
"COLCHA ""K""",consultas prenatales,repetidas,2023-01-01,0,0,8,1,33,5,9,1,0,0,57
COLLANA,consultas prenatales,repetidas,2023-01-01,0,0,3,0,1,0,0,0,0,0,4
COLOMI,consultas prenatales,repetidas,2023-01-01,0,0,29,0,100,1,16,0,0,0,146
COLPA BELGICA,consultas prenatales,repetidas,2023-01-01,0,0,6,0,28,1,1,0,0,0,36
COLQUECHACA,consultas prenatales,repetidas,2023-01-01,2,1,23,3,72,12,14,4,0,0,131
COLQUENCHA,consultas prenatales,repetidas,2023-01-01,1,0,8,0,46,0,5,0,0,0,60
COLQUIRI,consultas prenatales,repetidas,2023-01-01,0,1,7,2,41,7,15,2,1,0,76
COMANCHE,consultas prenatales,repetidas,2023-01-01,0,0,2,1,8,0,0,0,0,0,11
COMARAPA,consultas prenatales,repetidas,2023-01-01,2,0,14,0,76,0,17,0,0,0,109
COMBAYA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,1,0,0,0,0,0,2
CONCEPCION,consultas prenatales,repetidas,2023-01-01,0,0,11,1,44,1,5,0,0,0,62
COPACABANA,consultas prenatales,repetidas,2023-01-01,0,0,6,0,28,0,9,1,0,0,44
CORIPATA,consultas prenatales,repetidas,2023-01-01,0,0,11,1,86,3,16,0,0,0,117
CORO CORO,consultas prenatales,repetidas,2023-01-01,0,0,6,1,22,1,3,0,0,0,33
COROICO,consultas prenatales,repetidas,2023-01-01,0,0,13,0,76,3,12,2,0,0,106
CORQUE,consultas prenatales,repetidas,2023-01-01,0,0,3,0,9,0,4,0,0,0,16
COTAGAITA,consultas prenatales,repetidas,2023-01-01,0,0,8,1,61,5,19,2,0,0,96
COTOCA,consultas prenatales,repetidas,2023-01-01,4,0,65,2,312,2,47,0,0,0,432
CUATRO CAÑADAS,consultas prenatales,repetidas,2023-01-01,0,0,22,0,108,0,17,0,0,0,147
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2023-01-01,0,0,0,0,4,0,0,0,0,0,4
CUEVO,consultas prenatales,repetidas,2023-01-01,0,0,2,0,7,0,2,1,0,0,12
CULPINA,consultas prenatales,repetidas,2023-01-01,1,0,14,3,44,3,14,2,0,0,81
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2023-01-01,0,0,4,0,9,0,0,0,0,0,13
CURVA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,6,0,2,0,0,0,9
DESAGUADERO,consultas prenatales,repetidas,2023-01-01,0,0,7,0,16,0,3,0,0,0,26
EL ALTO,consultas prenatales,repetidas,2023-01-01,6,2,450,75,4182,765,941,144,2,0,6567
EL CHORO,consultas prenatales,repetidas,2023-01-01,0,0,2,0,7,0,0,0,0,0,9
EL PUENTE(STC),consultas prenatales,repetidas,2023-01-01,0,0,15,0,36,1,7,0,0,0,59
EL PUENTE(TJA),consultas prenatales,repetidas,2023-01-01,1,0,3,0,25,3,6,0,0,0,38
EL TORNO,consultas prenatales,repetidas,2023-01-01,7,0,44,0,304,1,48,0,0,0,404
EL VILLAR,consultas prenatales,repetidas,2023-01-01,0,0,0,0,9,4,2,0,0,0,15
ENTRE RIOS TRJ,consultas prenatales,repetidas,2023-01-01,1,0,21,0,68,2,13,0,0,0,105
ENTRE RIOS CBBA,consultas prenatales,repetidas,2023-01-01,3,0,59,0,218,4,41,2,0,0,327
ESCOMA,consultas prenatales,repetidas,2023-01-01,0,0,6,0,23,0,1,0,0,0,30
EUCALIPTUS,consultas prenatales,repetidas,2023-01-01,1,0,5,0,7,0,4,0,0,0,17
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2023-01-01,0,0,1,0,1,0,1,0,0,0,3
EXALTACION,consultas prenatales,repetidas,2023-01-01,0,0,1,0,2,0,0,0,0,0,3
FERNANDEZ ALONSO,consultas prenatales,repetidas,2023-01-01,1,0,17,0,64,0,9,0,0,0,91
FILADELFIA,consultas prenatales,repetidas,2023-01-01,3,1,6,0,18,1,2,0,0,0,31
GAIOC JATUN AYLLU YURA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,9,3,1,0,0,0,15
GENERAL SAAVEDRA,consultas prenatales,repetidas,2023-01-01,0,0,14,0,69,0,12,0,0,0,95
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2023-01-01,0,0,7,0,25,3,3,0,0,0,38
GUANAY,consultas prenatales,repetidas,2023-01-01,0,0,10,2,51,3,2,0,0,0,68
GUAQUI,consultas prenatales,repetidas,2023-01-01,0,0,1,0,26,0,2,0,0,0,29
GUAYARAMERIN,consultas prenatales,repetidas,2023-01-01,8,1,61,0,215,0,30,0,0,0,315
GUTIERREZ,consultas prenatales,repetidas,2023-01-01,1,0,7,0,54,0,14,0,0,0,76
HUACARAJE,consultas prenatales,repetidas,2023-01-01,0,0,7,0,8,0,1,0,0,0,16
HUACARETA,consultas prenatales,repetidas,2023-01-01,0,0,5,1,29,3,9,1,0,0,48
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2023-01-01,0,0,1,0,3,5,0,0,0,0,9
HUACHACALLA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,0,0,0,0,0,0,2
HUANUNI,consultas prenatales,repetidas,2023-01-01,0,0,12,0,68,0,18,1,0,0,99
HUARINA,consultas prenatales,repetidas,2023-01-01,0,0,6,1,25,0,2,0,0,0,34
HUATAJATA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,4,0,1,0,0,0,5
HUAYLLAMARCA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,7,0,6,0,0,0,15
HUMANATA,consultas prenatales,repetidas,2023-01-01,0,0,3,0,4,0,1,0,0,0,8
ICHOCA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,10,5,1,1,0,0,17
ICLA,consultas prenatales,repetidas,2023-01-01,0,0,7,0,11,0,2,0,0,0,20
INCAHUASI,consultas prenatales,repetidas,2023-01-01,0,0,4,5,32,18,6,3,0,0,68
INGAVI (HUMAITA),consultas prenatales,repetidas,2023-01-01,1,0,1,0,7,0,0,0,0,0,9
INQUISIVI,consultas prenatales,repetidas,2023-01-01,0,0,4,1,17,8,1,0,0,0,31
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2023-01-01,1,0,12,3,53,1,11,0,0,0,81
IXIAMAS,consultas prenatales,repetidas,2023-01-01,0,0,7,0,40,1,7,0,0,0,55
JESUS DE MACHACA,consultas prenatales,repetidas,2023-01-01,0,0,7,1,32,1,4,0,0,0,45
LA ASUNTA,consultas prenatales,repetidas,2023-01-01,2,0,38,5,203,4,34,1,0,0,287
LA GUARDIA,consultas prenatales,repetidas,2023-01-01,0,0,59,18,334,13,61,0,0,0,485
LA PAZ,consultas prenatales,repetidas,2023-01-01,3,0,240,0,3628,197,1005,0,9,0,5082
LA RIVERA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,0,0,1,0,0,0,1
LAGUNILLAS,consultas prenatales,repetidas,2023-01-01,0,0,2,1,16,10,1,0,0,0,30
LAJA,consultas prenatales,repetidas,2023-01-01,0,0,14,0,62,0,13,0,0,0,89
LAS CARRERAS,consultas prenatales,repetidas,2023-01-01,0,0,2,1,10,0,2,0,0,0,15
LICOMA PAMPA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,6,0,1,0,0,0,7
LLALLAGUA,consultas prenatales,repetidas,2023-01-01,0,1,41,0,307,2,62,2,0,0,415
LLICA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,9,0,1,0,0,0,12
LORETO,consultas prenatales,repetidas,2023-01-01,0,0,0,0,3,0,2,0,0,0,5
LURIBAY,consultas prenatales,repetidas,2023-01-01,0,0,4,0,24,0,6,0,0,0,34
MACHACAMARCA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,8,0,0,0,0,0,9
MACHARETI,consultas prenatales,repetidas,2023-01-01,1,0,5,0,16,1,3,0,0,0,26
MAGDALENA,consultas prenatales,repetidas,2023-01-01,0,0,35,0,48,0,10,0,0,0,93
MAIRANA,consultas prenatales,repetidas,2023-01-01,0,0,19,0,85,0,14,0,0,0,118
MALLA,consultas prenatales,repetidas,2023-01-01,0,0,1,1,6,1,0,1,0,0,10
MAPIRI,consultas prenatales,repetidas,2023-01-01,2,0,20,0,105,1,17,0,0,0,145
MECAPACA,consultas prenatales,repetidas,2023-01-01,0,0,8,1,34,1,7,0,0,0,51
MINEROS,consultas prenatales,repetidas,2023-01-01,2,1,17,1,78,3,11,0,0,0,113
MIZQUE,consultas prenatales,repetidas,2023-01-01,2,0,23,0,86,2,12,1,0,0,126
MOCOMOCO,consultas prenatales,repetidas,2023-01-01,0,0,8,1,26,4,4,1,0,0,44
MOJOCOYA,consultas prenatales,repetidas,2023-01-01,1,0,7,1,12,1,2,0,0,0,24
MONTEAGUDO,consultas prenatales,repetidas,2023-01-01,0,0,24,0,106,3,37,0,0,0,170
MONTERO,consultas prenatales,repetidas,2023-01-01,4,0,148,1,693,19,137,1,0,1,1004
MORO MORO,consultas prenatales,repetidas,2023-01-01,0,0,0,0,5,0,2,0,0,0,7
MOROCHATA,consultas prenatales,repetidas,2023-01-01,0,0,7,0,16,3,3,0,0,0,29
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2023-01-01,1,0,1,0,12,0,2,0,0,0,16
NAZACARA DE PACAJES,consultas prenatales,repetidas,2023-01-01,0,0,1,0,2,0,1,0,0,0,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2023-01-01,0,0,1,0,4,0,0,0,0,0,5
OCURI,consultas prenatales,repetidas,2023-01-01,0,0,15,0,25,3,11,2,0,0,56
OKINAWA,consultas prenatales,repetidas,2023-01-01,1,0,15,2,43,2,8,2,0,0,73
OMEREQUE,consultas prenatales,repetidas,2023-01-01,1,0,6,0,18,4,4,1,0,0,34
ORURO,consultas prenatales,repetidas,2023-01-01,5,0,270,7,2154,19,536,3,6,0,3000
PADCAYA,consultas prenatales,repetidas,2023-01-01,0,0,6,0,53,1,8,1,0,0,69
PADILLA,consultas prenatales,repetidas,2023-01-01,0,0,5,0,27,2,20,1,0,0,55
PAILON,consultas prenatales,repetidas,2023-01-01,0,0,16,0,76,0,8,0,0,0,100
PALCA,consultas prenatales,repetidas,2023-01-01,0,0,24,2,74,2,7,0,0,0,109
PALOS BLANCOS,consultas prenatales,repetidas,2023-01-01,1,0,17,1,96,1,17,0,0,0,133
PAMPA AULLAGAS,consultas prenatales,repetidas,2023-01-01,0,0,2,0,3,0,0,0,0,0,5
PAMPA GRANDE,consultas prenatales,repetidas,2023-01-01,0,0,9,0,26,0,9,0,0,0,44
PAPEL PAMPA,consultas prenatales,repetidas,2023-01-01,0,0,1,1,13,2,1,0,0,0,18
PASORAPA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,7,0,2,0,0,0,10
PATACAMAYA,consultas prenatales,repetidas,2023-01-01,0,0,17,0,94,2,13,0,0,0,126
PAZÑA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,8,0,3,0,0,0,12
PELECHUCO,consultas prenatales,repetidas,2023-01-01,1,0,7,0,26,1,4,0,0,0,39
POCOATA,consultas prenatales,repetidas,2023-01-01,0,0,18,6,43,9,9,4,0,0,89
POCONA,consultas prenatales,repetidas,2023-01-01,0,0,4,0,39,0,4,0,0,0,47
POJO (CBBA),consultas prenatales,repetidas,2023-01-01,0,0,13,0,25,0,6,0,1,0,45
POOPO,consultas prenatales,repetidas,2023-01-01,0,0,7,0,23,1,6,0,0,0,37
PORCO,consultas prenatales,repetidas,2023-01-01,0,0,25,1,51,2,6,0,0,0,85
POROMA,consultas prenatales,repetidas,2023-01-01,0,0,8,4,19,7,4,5,0,0,47
PORONGO,consultas prenatales,repetidas,2023-01-01,0,0,10,1,37,0,5,0,0,0,53
PORTACHUELO,consultas prenatales,repetidas,2023-01-01,2,0,10,0,44,0,10,0,0,0,66
PORVENIR,consultas prenatales,repetidas,2023-01-01,1,0,4,0,17,0,2,0,0,0,24
POSTRER VALLE,consultas prenatales,repetidas,2023-01-01,0,0,0,0,0,1,0,0,0,0,1
POTOSI,consultas prenatales,repetidas,2023-01-01,2,0,177,3,1347,23,297,6,0,0,1855
PRESTO,consultas prenatales,repetidas,2023-01-01,0,1,4,2,12,3,1,1,0,0,24
PUCARA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,3,1,0,0,0,0,4
PUCARANI,consultas prenatales,repetidas,2023-01-01,0,0,32,1,91,5,17,0,0,0,146
PUERTO ACOSTA,consultas prenatales,repetidas,2023-01-01,1,0,1,0,14,2,4,1,0,0,23
PUERTO CARABUCO,consultas prenatales,repetidas,2023-01-01,0,0,4,1,20,2,4,1,0,0,32
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2023-01-01,0,0,9,0,24,0,3,0,0,0,36
PUERTO PEREZ,consultas prenatales,repetidas,2023-01-01,0,0,2,0,15,0,6,0,0,0,23
PUERTO QUIJARRO,consultas prenatales,repetidas,2023-01-01,0,0,11,2,21,19,6,3,0,0,62
PUERTO RICO,consultas prenatales,repetidas,2023-01-01,1,0,19,0,24,0,0,0,0,0,44
PUERTO SILES,consultas prenatales,repetidas,2023-01-01,0,0,1,0,0,0,0,0,0,0,1
PUERTO SUAREZ,consultas prenatales,repetidas,2023-01-01,0,0,17,0,160,0,35,2,0,0,214
PUERTO VILLARROEL,consultas prenatales,repetidas,2023-01-01,8,0,85,0,427,0,80,1,0,0,601
PUNA,consultas prenatales,repetidas,2023-01-01,0,0,12,0,35,3,6,1,0,0,57
PUNATA,consultas prenatales,repetidas,2023-01-01,4,0,28,3,218,28,64,4,0,0,349
QUIABAYA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,14,0,1,0,0,0,17
QUILLACOLLO,consultas prenatales,repetidas,2023-01-01,1,1,77,19,552,130,146,34,1,1,962
QUIME,consultas prenatales,repetidas,2023-01-01,0,0,7,0,26,1,5,0,0,0,39
QUIRUSILLAS,consultas prenatales,repetidas,2023-01-01,0,0,0,0,5,0,1,0,0,0,6
RAQAYPAMPA(ETA),consultas prenatales,repetidas,2023-01-01,0,0,0,0,10,3,9,0,0,0,22
RAVELO,consultas prenatales,repetidas,2023-01-01,0,0,7,5,16,2,8,6,0,0,44
REYES,consultas prenatales,repetidas,2023-01-01,0,0,10,0,47,0,10,0,0,0,67
RIBERALTA,consultas prenatales,repetidas,2023-01-01,15,0,176,2,538,2,76,1,0,0,810
ROBORE,consultas prenatales,repetidas,2023-01-01,0,0,3,0,42,0,6,0,0,0,51
RURRENABAQUE,consultas prenatales,repetidas,2023-01-01,2,0,27,0,126,0,22,0,0,0,177
SABAYA,consultas prenatales,repetidas,2023-01-01,0,0,4,0,6,1,0,0,0,0,11
SACABA,consultas prenatales,repetidas,2023-01-01,2,0,87,8,673,60,142,16,0,0,988
SACABAMBA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,4,0,0,0,0,0,5
SACACA,consultas prenatales,repetidas,2023-01-01,0,0,19,5,47,9,11,5,0,0,96
SAIPINA,consultas prenatales,repetidas,2023-01-01,0,0,4,0,18,0,9,0,0,0,31
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2023-01-01,0,0,4,0,21,2,5,1,0,0,33
SAMAIPATA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,35,0,10,0,0,0,47
SAN AGUSTIN,consultas prenatales,repetidas,2023-01-01,0,0,2,0,6,0,1,0,0,0,9
SAN ANDRES,consultas prenatales,repetidas,2023-01-01,1,0,6,0,34,0,4,0,0,0,45
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,4,1,2,0,0,0,8
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2023-01-01,1,0,2,0,2,1,0,0,0,0,6
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2023-01-01,1,0,5,1,28,0,7,0,0,0,42
SAN BENITO,consultas prenatales,repetidas,2023-01-01,0,0,14,0,49,0,7,0,0,0,70
SAN BORJA,consultas prenatales,repetidas,2023-01-01,4,0,51,2,181,7,35,0,0,0,280
SAN BUENA VENTURA,consultas prenatales,repetidas,2023-01-01,0,0,9,0,60,0,10,0,0,0,79
SAN CARLOS,consultas prenatales,repetidas,2023-01-01,1,0,16,4,86,0,9,0,0,0,116
SAN IGNACIO,consultas prenatales,repetidas,2023-01-01,2,0,41,0,107,0,20,0,0,0,170
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2023-01-01,13,1,53,4,269,7,46,1,0,0,394
SAN JAVIER(BNI),consultas prenatales,repetidas,2023-01-01,2,0,1,0,4,1,1,0,0,0,9
SAN JAVIER(STC),consultas prenatales,repetidas,2023-01-01,1,0,13,0,47,0,3,0,0,0,64
SAN JOAQUIN,consultas prenatales,repetidas,2023-01-01,0,0,6,4,26,10,1,1,0,0,48
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2023-01-01,3,0,21,1,72,1,8,0,6,0,112
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2023-01-01,0,0,4,0,29,0,6,0,0,0,39
SAN JULIAN,consultas prenatales,repetidas,2023-01-01,2,0,47,0,297,3,68,0,0,0,417
SAN LORENZO(PND),consultas prenatales,repetidas,2023-01-01,1,0,5,0,6,1,0,0,0,0,13
SAN LORENZO(TJA),consultas prenatales,repetidas,2023-01-01,1,0,16,3,87,7,25,0,0,0,139
SAN LUCAS,consultas prenatales,repetidas,2023-01-01,2,0,28,6,84,16,9,4,0,0,149
SAN MATIAS,consultas prenatales,repetidas,2023-01-01,1,0,17,0,45,0,11,0,0,0,74
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2023-01-01,0,0,19,0,65,4,14,1,0,0,103
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2023-01-01,0,0,5,0,6,0,1,0,0,0,12
SAN PEDRO,consultas prenatales,repetidas,2023-01-01,1,0,15,0,62,3,13,4,0,0,98
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2023-01-01,0,0,27,7,62,9,23,6,0,0,134
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2023-01-01,0,0,4,0,8,1,3,0,0,0,16
SAN PEDRO DE MACHA,consultas prenatales,repetidas,2023-01-01,0,0,7,2,39,6,6,2,0,0,62
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2023-01-01,0,0,0,1,2,0,0,0,0,0,3
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,14,0,2,0,0,0,16
SAN PEDRO(PND),consultas prenatales,repetidas,2023-01-01,0,0,4,0,3,3,1,0,0,0,11
SAN RAFAEL,consultas prenatales,repetidas,2023-01-01,0,0,8,0,49,0,5,0,0,0,62
SAN RAMON BENI,consultas prenatales,repetidas,2023-01-01,1,0,19,0,43,0,3,0,0,0,66
SAN RAMON SCZ,consultas prenatales,repetidas,2023-01-01,0,0,3,0,18,0,20,0,0,0,41
SANTA ANA,consultas prenatales,repetidas,2023-01-01,2,0,25,0,61,1,4,1,0,0,94
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2023-01-01,79,2,957,7,7479,89,1542,1,2,0,10158
SANTA ROSA,consultas prenatales,repetidas,2023-01-01,1,0,12,0,37,0,11,0,0,0,61
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2023-01-01,1,0,22,0,53,0,12,0,0,0,88
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,11,0,1,0,0,0,14
SANTIAGO DE HUARI,consultas prenatales,repetidas,2023-01-01,0,0,1,0,12,2,4,0,0,0,19
SANTIAGO DE HUATA,consultas prenatales,repetidas,2023-01-01,0,0,5,0,9,1,2,0,0,0,17
