,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,2,0,0,3
BOLPEBRA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,2,0,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,15,0,0,27
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,10,7,2,4,23
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,2,1,0,6
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,4,2,2,12
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,7,0,0,13
CALACOTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,1,2
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,6,0,0,7
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,7,3,1,12
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,0,1
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,21,2,0,34
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,15,13,0,0,28
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,0,1,0,7
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,6,0,0,8
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,22,26,4,3,55
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,10,7,0,0,17
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,2,0,0,7
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,2,2,2,7
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,20,20,10,0,50
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,3,1,1,9
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,16,1,3,32
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,6,1,0,13
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,20,2,4,38
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,0,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,14,0,0,21
CHUMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,1,3,2,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,4,0,0,7
CKOCHAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,3,2,3,10
CLIZA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,9,1,0,21
COBIJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,37,36,5,6,84
COCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,5,1,2,14
COCHABAMBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,378,374,2,1,755
COIPASA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,32,24,0,0,56
"COLCHA ""K""",vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,6,0,0,13
COLLANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,0,0,0,2
COLOMI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,15,3,1,25
COLPA BELGICA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,8,8,0,0,16
COLQUECHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,5,1,1,13
COLQUENCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,10,0,0,17
COLQUIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,7,4,4,20
COMANCHE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,13,9,0,0,22
COMBAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,13,25,7,11,56
CORIPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,3,1,2,13
CORO CORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,8,0,0,9
COROICO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,6,3,1,16
CORQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,6,1,0,11
COTAGAITA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,8,8,0,2,18
COTOCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,45,57,5,2,109
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,16,10,2,2,30
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,0,0,1,1
CUEVO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
CULPINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,7,2,2,18
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,3,0,0,4
CURVA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,0,1
DESAGUADERO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
EL ALTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,366,319,46,40,771
EL CHORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,3,4,0,12
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,5,2,3,11
EL TORNO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,29,27,0,0,56
EL VILLAR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,3,2,2,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,10,5,1,0,16
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,23,27,2,2,54
ESCOMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,1,0,0,3
EUCALIPTUS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,3,0,0,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
EXALTACION,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,5,1,2,12
FILADELFIA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,3,3,3,11
GAIOC JATUN AYLLU YURA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,0,0,0,2
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,9,8,2,0,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,2,1,4,12
GUANAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,4,2,2,14
GUAQUI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,1,0,0,4
GUAYARAMERIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,32,22,3,2,59
GUTIERREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,8,0,0,15
HUACARETA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,1,1,1,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,10,0,0,15
HUARACAJE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,2,0,0,3
HUARINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,2,1,2,7
HUMANATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,0,2,1,3
ICHOCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,3,1,0,5
ICLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,2,1,1,4
INCAHUASI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,1,2,2,9
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
INQUISIVI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,2,5,2,13
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,8,9,0,1,18
IXIAMAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,8,5,5,2,20
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,3,1,0,9
LA ASUNTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,19,28,6,4,57
LA GUARDIA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,91,81,0,3,175
LA PAZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,306,317,13,11,647
LAGUNILLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,2,1,0,3
LAJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,8,0,0,11
LICOMA PAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,2,0,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,15,12,25,21,73
LLICA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,3,0,0,4
LORETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,1,3,9,15
LURIBAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,3,0,0,9
MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
MACHARETI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,1,0,0,3
MAGDALENA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,9,2,4,20
MAIRANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,9,0,0,21
MALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,1,0,2
MAPIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,8,1,1,22
MECAPACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,2,1,1,7
MINEROS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,20,0,1,32
MIZQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,11,2,2,27
MOCOMOCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,3,0,1,8
MOJOCOYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,1,0,0,7
MONTEAGUDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,19,23,0,0,42
MONTERO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,100,106,3,3,212
MORO MORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,1,3
MOROCHATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,1,4,3,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,3,0,0,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
OCURI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,5,3,1,11
OKINAWA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,5,0,0,11
OMEREQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,0,7,7,16
ORURO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,190,182,4,1,377
PADCAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,8,1,0,16
PADILLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,5,0,0,11
PAILON,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,8,9,10,12,39
PALCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,10,2,3,20
PALOS BLANCOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,16,12,1,3,32
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,2,0,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,9,11,0,0,20
PAPEL PAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,3,0,1,7
PASORAPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
PATACAMAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,11,1,0,23
PAZÑA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,1,0,0,5
PELECHUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,4,0,0,7
POCOATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,10,8,5,4,27
POCONA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,6,2,1,11
POJO (CBBA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,4,1,0,7
POOPO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,3,0,0,6
PORCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,8,3,2,0,13
POROMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,6,4,1,16
PORONGO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,12,0,0,17
PORTACHUELO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,13,0,1,25
PORVENIR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,4,1,0,11
POSTRER VALLE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,119,124,3,9,255
PRESTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,6,1,4,12
PUCARA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,15,10,2,2,29
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,6,0,0,10
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,5,2,0,10
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,1,2,0,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,0,2,2,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,10,4,3,29
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,5,3,2,14
PUERTO SILES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,1,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,16,16,0,1,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,48,28,1,0,77
PUNA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,5,4,11
PUNATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,16,17,4,3,40
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,3,0,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,54,44,39,34,171
QUIME,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,4,1,0,6
QUIRUSILLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,6,0,0,11
RAVELO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,5,5,4,3,17
REYES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,8,0,0,15
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,68,60,22,28,178
ROBORE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,9,5,2,1,17
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,14,14,1,2,31
SABAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,2,0,1,6
SACABA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,77,66,16,18,177
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
SACACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,7,5,6,29
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,3,3,0,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,2,1,0,6
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,10,8,0,0,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,2,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,6,0,0,13
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,1,0,0,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,4,1,1,12
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,6,0,0,12
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,34,27,0,0,61
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,6,3,1,13
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,9,14,0,0,23
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,15,16,1,2,34
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,37,43,10,9,99
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,2,1,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,15,11,0,1,27
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,4,1,1,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,15,13,2,4,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,5,1,0,10
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,31,31,2,1,65
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,4,0,1,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,10,0,0,21
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,17,11,8,10,46
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,8,0,0,20
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,6,6,5,19
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,9,7,1,0,17
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,12,9,7,5,33
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
SAN PEDRO DE MACHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,8,6,6,22
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,1,0,0,1
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,0,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,2,0,0,8
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,0,0,2,2
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,4,0,0,11
SANTA ANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,8,11,0,0,19
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,803,866,21,30,1720
SANTA ROSA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,9,0,0,16
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,7,9,0,1,17
