,group,variable,month,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,1,0,2,0,2
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,1,2,1,3,2,5
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,4,0,0,0,4,0,4
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,0,1,0,2,0,3,3
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,3,1,3,1,6,2,8
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,2,2,2,3,4,7
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,2,0,1,0,3,0,3
SANTA CRUZ DE LA SIERRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,0,0,0,0,0,0,0
SANTA ROSA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,0,0,1,0,1
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,1,1,2,1,3
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,1,2,0,3,1,4
ANCORAIMES,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,1,0,0,0,1,0,1
APOLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,0,0,0,2,0,2
CAIROMA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,1,0,1,0,2,2
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,3,0,1,0,4,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,1,1,0,3,1,4
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,1,1,0,1,1,2
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,0,0,1,0,1,1
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,1,1,1,2,2,3,5
COROICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,2,0,0,0,2,2
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,8,2,18,0,26,2,28
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,3,2,3,4,6,10
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,0,2,0,2,0,2
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,5,6,4,1,9,7,16
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,1,2,1,4,2,6
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,0,0,0,2,0,2
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,0,0,0,2,0,2
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,3,3,0,0,3,3,6
RURRENABAQUE,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,2,1,1,1,3,2,5
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,1,0,1,0,2,0,2
SANTA ROSA,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-02-01,1,0,1,1,2,1,3
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,0,2,0,2,0,2
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,2,0,3,0,3
BUENA VISTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,1,0,0,0,1,1
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,2,0,0,0,2,0,2
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,3,0,0,0,3,3
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,2,1,2,2,4,6
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,3,0,0,0,3,0,3
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,0,0,1,0,1,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,1,3,2,3,3,6
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,0,1,1,1,2
COROICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,0,1,1,1,2
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,5,0,5,2,10,2,12
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,1,0,0,1,1,2
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,4,0,2,0,6,0,6
GUANAY,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,5,0,4,0,9,0,9
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,2,2,2,2,4,6
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,8,7,4,6,12,13,25
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,1,1,1,2,2,4
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,4,0,2,1,6,1,7
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,6,0,2,0,8,0,8
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,2,0,1,0,3,0,3
QUILLACOLLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,2,0,2,0,4,0,4
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,0,0,2,0,2,0,2
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,5,0,0,0,5,0,5
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,2,0,3,0,5,0,5
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,5,2,0,1,5,3,8
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,3,0,0,1,3,4
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,0,0,1,0,1
SHINAOTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,0,0,1,0,1
TIPUANI,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,3,2,4,1,7,3,10
YANACACHI,leishmaniasis,      tratamientos de leishmania cutanea,2014-03-01,1,0,1,0,2,0,2
APOLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,3,0,0,0,3,0,3
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,0,0,2,0,2,0,2
CAMIRI,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,5,0,0,0,5,0,5
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,0,1,0,1,0,2,2
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,2,0,0,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,0,2,0,0,0,2,2
COCAPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,3,2,0,0,3,2,5
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,0,1,1,2,1,3,4
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,2,0,1,0,3,0,3
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,6,0,12,0,18,0,18
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,0,0,0,1,0,1,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,4,0,5,0,5
GUANAY,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,1,0,1,1,2,3
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,10,1,6,0,16,1,17
INGAVI (HUMAITA),leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,0,1,1,1,2
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,2,2,0,1,2,3,5
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,0,0,3,0,3,0,3
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,13,13,7,7,20,20,40
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,3,2,2,0,5,2,7
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,5,2,0,0,5,2,7
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,7,2,5,1,12,3,15
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,2,0,3,0,3
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,15,2,1,0,16,2,18
SACABA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,2,1,3,1,4
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,0,4,1,5,1,6
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,0,1,1,0,1,1,2
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,2,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,1,1,1,0,2,1,3
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-04-01,3,3,3,1,6,4,10
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,8,2,3,0,11,2,13
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,0,0,3,3,3,3,6
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,1,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,19,8,1,2,20,10,30
COCAPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,1,0,0,1,1,2
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,0,1,3,1,3,2,5
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,4,0,4,0,8,0,8
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,9,1,1,1,10,2,12
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,7,1,3,0,10,1,11
INGAVI (HUMAITA),leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,3,5,1,2,4,7,11
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,19,6,13,13,32,19,51
MIZQUE,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,1,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,6,4,3,2,9,6,15
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,2,1,2,2,4,6
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,6,3,5,3,11,6,17
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,2,1,2,1,4,2,6
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,7,1,4,2,11,3,14
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,1,0,0,1,1,2
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,2,0,3,0,3
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,36,20,0,0,36,20,56
RURRENABAQUE,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,5,2,5,2,10,4,14
SACABA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,2,0,3,0,3
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,3,1,0,0,3,1,4
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,0,1,0,1,0,2,2
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,2,0,0,0,2,0,2
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,2,0,0,1,2,1,3
TAPACARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,1,0,2,0,2
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,0,1,0,2,0,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,1,1,0,1,1,2,3
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-05-01,6,3,2,2,8,5,13
AIQUILE,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,2,7,2,10,4,14
BERMEJO,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,2,0,0,1,2,3
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,2,3,0,0,2,3,5
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,5,2,3,1,8,3,11
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,2,7,2,10,4,14
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,0,1,1,0,1,1,2
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,22,2,26,6,48,8,56
COCAPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,2,1,2,2,4,3,7
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,0,0,0,1,0,1,1
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,0,2,0,5,0,5
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,5,1,10,0,15,1,16
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,0,3,0,4,0,4
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,2,3,2,6,4,10
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,2,3,1,4,3,7
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,2,1,7,0,9,1,10
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,0,322,0,0,0,322,322
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,7,7,18,6,25,13,38
MAGDALENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,5,4,2,6,7,10,17
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,0,2,0,5,0,5
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,9,2,12,4,21,6,27
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,0,1,1,4,1,5
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,9,1,5,1,14,2,16
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,0,1,1,2,1,3
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,0,2,0,5,0,5
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,17,7,2,0,19,7,26
RURRENABAQUE,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,5,2,3,0,8,2,10
SACABA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,1,0,0,1,1,2
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,0,4,0,5,0,5
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,0,1,0,0,0,1,1
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,0,1,4,1,4,2,6
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,3,1,0,0,3,1,4
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,0,1,0,2,0,2
SHINAOTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,2,1,1,0,3,1,4
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,1,3,0,0,1,3,4
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-06-01,6,3,4,2,10,5,15
ALTO BENI,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,1,0,2,0,2
APOLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,1,2,0,3,1,4
BERMEJO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,1,1,1,2,2,4
CAIROMA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,1,0,1,0,2,2
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,3,2,1,3,4,7
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,3,1,3,2,6,8
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,6,0,2,2,8,10
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,16,6,17,4,33,10,43
COCAPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,1,0,2,0,2
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,0,1,0,1,0,1
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,1,0,0,0,1,1
COROICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,1,0,0,1,1,2
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,10,0,0,0,10,0,10
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,1,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,0,0,1,2,1,3
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,2,2,1,4,3,7
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,4,1,3,1,7,2,9
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,3,0,2,2,5,7
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,4,0,2,0,6,0,6
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,10,7,7,7,17,14,31
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,5,1,2,1,7,2,9
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,0,2,0,2,0,2
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,3,0,0,1,3,4
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,2,3,1,5,3,8
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,0,2,0,2,0,2
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,5,0,9,2,14,2,16
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,1,0,2,0,2
QUILLACOLLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,6,0,3,0,9,0,9
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,2,0,3,0,3
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,11,6,10,0,21,6,27
RURRENABAQUE,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,3,3,1,1,4,4,8
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,1,2,1,4,2,6
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,1,1,2,1,3,4
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,0,0,0,2,0,2
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,0,1,1,1,1,2
SANTA ROSA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,3,1,3,1,6,2,8
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,0,1,1,1,1,2,3
SHINAOTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,1,0,2,0,2
TARIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,1,0,1,1,2,3
