,group,variable,month,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
BERMEJO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-09-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-09-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-09-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-10-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-10-01,1,0,1,0,2,0,2
BAURES,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-11-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-11-01,0,1,0,0,0,1,1
COLQUIRI,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-11-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-11-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-11-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-12-01,0,0,2,4,2,4,6
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-12-01,1,0,0,2,1,2,3
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-12-01,1,0,2,0,3,0,3
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-12-01,0,0,1,0,1,0,1
MIZQUE,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-12-01,1,0,1,0,2,0,2
