,group,variable,month,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,1,0,0,1,1,1,2
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,0,1,2,0,2,1,3
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,0,0,0,1,0,1,1
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,0,0,2,0,2,0,2
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,2,0,0,0,2,0,2
COLCAPIRHUA,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,1,0,0,0,1,0,1
COROICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,2,2,0,1,2,3,5
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,0,0,0,1,0,1,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,2,0,0,0,2,0,2
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa,2014-03-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,0,0,2,0,2,0,2
COROICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,0,0,1,1,1,1,2
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,1,1,0,0,1,1,2
IXIAMAS,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,1,0,0,0,1,0,1
QUILLACOLLO,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,9,2,0,0,9,2,11
TARIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa,2014-04-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,0,0,0,1,0,1,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,2,1,1,0,3,1,4
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,1,1,3,0,4,1,5
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,2,0,0,0,2,0,2
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,0,0,0,1,0,1,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,1,0,1,0,2,0,2
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,2,0,1,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,4,2,0,0,4,2,6
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,1,0,0,0,1,0,1
YANACACHI,leishmaniasis,      tratamientos de leishmania mucosa,2014-05-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,2,1,3,3,5,4,9
CORIPATA,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,1,0,3,0,4,0,4
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,0,0,3,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,1,2,1,1,2,3,5
PORVENIR,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,1,1,0,0,1,1,2
PUERTO RICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,0,1,0,0,0,1,1
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,1,0,0,0,1,0,1
YANACACHI,leishmaniasis,      tratamientos de leishmania mucosa,2014-06-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,0,1,0,0,0,1,1
BOLPEBRA,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,0,0,1,0,1,0,1
CAJUATA,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,1,1,0,1,1,2,3
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,2,0,0,0,2,0,2
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,0,1,0,1,0,2,2
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,3,0,1,1,4,1,5
PUERTO RICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,5,1,0,0,5,1,6
SAN BORJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa,2014-07-01,1,0,1,0,2,0,2
ALTO BENI,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,0,1,0,0,0,1,1
BOLPEBRA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,3,0,1,1,4,1,5
COCAPATA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,0,0,2,0,2,0,2
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,5,0,0,0,5,0,5
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,2,2,0,3,2,5
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,0,0,0,1,0,1
IXIAMAS,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,2,0,0,1,2,3
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,1,1,1,2,2,4
MAGDALENA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,0,2,0,0,0,2,2
PORVENIR,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,0,1,0,0,0,1,1
QUILLACOLLO,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-08-01,0,0,1,0,1,0,1
ALTO BENI,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,0,0,1,0,1,1
BAURES,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,2,0,0,1,2,1,3
BOLPEBRA,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,0,3,0,3,0,3
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,2,0,1,0,3,0,3
COROICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,2,0,6,0,8,0,8
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,2,0,1,1,3,1,4
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,1,0,1,0,2,2
IXIAMAS,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,2,0,1,2,3,2,5
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,1,0,1,1,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,0,0,1,0,1,1
PUERTO RICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,0,0,0,1,0,1,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,1,0,3,0,4,0,4
SACABA,leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania mucosa,2014-09-01,2,0,0,0,2,0,2
BAURES,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,3,0,1,0,4,0,4
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,2,0,0,0,2,0,2
COROICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,0,0,3,0,3,0,3
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,0,1,1,0,1,1,2
PORVENIR,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,1,0,0,0,1,0,1
SACABA,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,0,0,1,0,1,0,1
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,1,0,0,0,1,0,1
TACOPAYA,leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania mucosa,2014-10-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,0,0,0,1,0,1,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,0,1,1,0,1,1,2
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,0,0,1,1,1,1,2
SACABA,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,1,0,0,0,1,0,1
TACOPAYA,leishmaniasis,      tratamientos de leishmania mucosa,2014-11-01,0,0,1,0,1,0,1
CAJUATA,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,1,1,0,1,1,2,3
CARANAVI,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,0,0,0,1,0,1,1
COROICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,2,0,2,1,4,1,5
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,8,2,2,0,10,2,12
PORVENIR,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,0,0,0,1,0,1,1
SACABA,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,0,0,1,0,1,0,1
SENA,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa,2014-12-01,0,1,0,0,0,1,1
