,group,variable,month,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
CARACOLLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,0,1
CARANAVI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,4,0,0,6
CHALLAPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,1,2
CHAYANTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,0,1
CKOCHAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,2,5,8
COBIJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,10,4,0,2,16
COCHABAMBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,6,4,0,0,10
"COLCHA ""K""",vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,0,1,1
COLQUECHACA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,1,2
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,8,3,11
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,1,0,0,2
EL ALTO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,3,1,17,19,40
EL CHORO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,2,0,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,1,1,0,4
FILADELFIA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,2,0,0,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,0,1
GUTIERREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,0,1,1
HUANUNI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,0,1
HUARACAJE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,0,1
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,0,1
LA ASUNTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,1,0,1,3
LA PAZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,11,10,4,1,26
LORETO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,12,8,20
MACHARETI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
MAPIRI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,0,1,1
MONTEAGUDO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,2,0,0,4
MONTERO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,1,0,2
ORURO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,1,0,0,3
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,1,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
POJO (CBBA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,0,1,1
POTOSI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,6,5,2,5,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
RIBERALTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,2,1,0,5
ROBORE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,0,1
SAN BORJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,4,2,2,1,9
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,1,0,2
SAN CARLOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,2,3
SAN IGNACIO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,5,3,9
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,1,1,3
SAN MATIAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,0,1
SANTA ANA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,4,6,0,0,10
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,4,5
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,0,1
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,3,4
SENA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,3,3,1,7
SHINAOTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,2,0,0,3
SORACACHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
SUCRE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,1,0,0,3
TACOBAMBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,0,1
TAHUA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,2,0,2,4
TARIJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,5,2,0,0,7
TINGUIPAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,1,2
TIPUANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,2,0,2
TOLEDO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,1,0,2
TRINIDAD,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,3,0,1,6
TUPIZA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,4,0,1,6
TURCO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
UYUNI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,4,1,0,7
VALLEGRANDE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,0,1,0,1
VILLA MONTES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,1,0,1,3
VILLA TUNARI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,1,0,0,3
VILLAZON,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,8,7,0,0,15
VINTO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,2,2,0,0,4
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
WARNES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,3,2,0,0,5
YACUIBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,0,1,0,0,1
YAPACANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,5,3,0,1,9
YOCALLA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-05-01,1,0,0,0,1
ACACIO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,6,8,5,22
ACHACACHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,17,11,7,11,46
ACHOCALLA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,9,11,1,0,21
AIQUILE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,14,9,24,24,71
ALALAY,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,0,2,5,10
ALCALA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,6,7,13
ALTO BENI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,10,8,4,0,22
ANCORAIMES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,8,8,1,1,18
ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,1,1,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,1,0,1,4
ANZALDO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,4,3,9,10,26
APOLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,7,13,4,2,26
ARAMPAMPA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,3,6,9,24
ARANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,5,7,2,9,23
ARBIETO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,22,20,14,7,63
ARQUE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,17,20,15,9,61
ATOCHA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,11,7,1,2,21
AUCAPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,7,3,0,0,10
AYATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,4,3,6,6,19
AYO AYO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,3,1,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,26,20,29,28,103
AZURDUY,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,7,8,9,7,31
BATALLAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,9,5,3,2,19
BAURES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,3,0,2,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,0,0,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,1,0,1,3
BELLA FLOR,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,2,0,1,5
BERMEJO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,10,11,1,1,23
BETANZOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,63,40,24,29,156
BOLIVAR,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,8,2,1,14
BOLPEBRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,1,1,0,2
BOYUIBE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,4,4,5,16
BUENA VISTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,5,0,1,12
CABEZAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,3,0,0,5
CAIROMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,13,10,1,1,25
"CAIZA ""D""",vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,6,10,4,26
CAJUATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,5,0,0,7
CALACOTO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,0,4,4
CALAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,5,5,1,0,11
CAMARGO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,19,23,11,10,63
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,8,2,2,2,14
CAMIRI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,13,15,0,2,30
CAPINOTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,17,19,14,9,59
CAQUIAVIRI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,4,1,0,8
CARACOLLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,15,17,12,50
CARANAVI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,36,33,6,10,85
CARAPARI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,2,2,4
CARIPUYO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,13,20,6,10,49
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,0,0,0,2
CHACARILLA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,1,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,9,13,5,4,31
CHAQUI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,10,16,11,7,44
CHARAGUA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,15,17,17,5,54
CHARAÑA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,2,1,3
CHAYANTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,16,15,8,15,54
CHIMORE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,5,9,0,0,14
CHIPAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,0,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,1,0,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,1,1,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,3,1,0,10
CHUMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,5,3,7,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,8,10,6,9,33
CKOCHAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,7,19,31,17,74
CLIZA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,22,18,21,12,73
COBIJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,12,4,2,1,19
COCAPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,11,15,15,12,53
COCHABAMBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,170,196,7,5,378
COLCAPIRHUA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,0,1,1
"COLCHA ""K""",vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,17,18,7,10,52
COLLANA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,1,6,6,16
COLOMI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,8,7,2,2,19
COLQUECHACA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,33,31,36,30,130
COLQUENCHA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,7,6,0,0,13
COLQUIRI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,5,17,13,41
COMANCHE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,1,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,17,21,1,2,41
COMBAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,1,0,1
CONCEPCION,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,15,5,11,7,38
COPACABANA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,2,5,6,15
CORIPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,0,0,0,1
CORO CORO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,0,1,1
COROICO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,4,1,1,6
CORQUE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,12,4,4,1,21
COTAGAITA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,40,46,29,17,132
COTOCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,21,14,0,0,35
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,7,4,3,0,14
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,2,6,2,11
CUEVO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,4,9,4,19
CULPINA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,12,16,15,26,69
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,3,0,2,7
CURVA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,9,2,2,16
DESAGUADERO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,3,0,2,11
EL ALTO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,208,255,31,34,528
EL CHORO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,3,0,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,1,4,4,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,4,5,8,13,30
EL TORNO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,31,38,5,5,79
EL VILLAR,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,4,4,1,2,11
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,8,6,12,32
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,2,1,0,0,3
ESCOMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,4,0,0,1,5
ESMERALDA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,0,0,1,1
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,0,3,0,1,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,6,1,14,16,37
FILADELFIA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,7,6,0,3,16
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,8,4,1,0,13
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,5,7,1,0,13
GUANAY,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,5,5,2,1,13
GUAQUI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,1,1,1,1,4
GUAYARAMERIN,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,1,0,0,4
GUTIERREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,16,14,13,16,59
HUACARETA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2020-06-01,3,3,3,1,10
