,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
CALACOTO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,0,1
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,5,8,2,19
CAMARGO,vacunaciones en menores de 1 ano,bcg,2020-01-01,14,10,1,3,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2020-01-01,3,1,0,0,4
CAMIRI,vacunaciones en menores de 1 ano,bcg,2020-01-01,38,34,1,0,73
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,13,10,1,0,24
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,3,2,7
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2020-01-01,9,6,0,0,15
CARANAVI,vacunaciones en menores de 1 ano,bcg,2020-01-01,36,32,5,0,73
CARAPARI,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,4,3,8
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,2,1,3,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,3,5,1,10
CATACORA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,21,24,1,8,54
CHAQUI,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,1,2,5
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2020-01-01,26,13,12,9,60
CHARAÑA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,3,4,3,15
CHIMORE,vacunaciones en menores de 1 ano,bcg,2020-01-01,13,17,1,2,33
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,2,3
CHUA COCANI,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,1,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2020-01-01,11,8,0,0,19
CHUMA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,1,2,4,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,3,7,5,16
CKOCHAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,4,5,2,15
CLIZA,vacunaciones en menores de 1 ano,bcg,2020-01-01,21,9,3,2,35
COBIJA,vacunaciones en menores de 1 ano,bcg,2020-01-01,52,60,0,2,114
COCAPATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,7,8,21
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2020-01-01,802,850,5,1,1658
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2020-01-01,27,42,0,0,69
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2020-01-01,7,5,1,3,16
COLLANA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,2,0,0,2
COLOMI,vacunaciones en menores de 1 ano,bcg,2020-01-01,8,7,1,0,16
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,6,0,0,10
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2020-01-01,13,8,10,6,37
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,1,10,3,19
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,2,7,6,19
COMANCHE,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,1,1,3
COMARAPA,vacunaciones en menores de 1 ano,bcg,2020-01-01,15,14,0,0,29
COMBAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,1,2
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2020-01-01,17,12,12,2,43
COPACABANA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,5,2,1,13
CORIPATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,9,5,0,0,14
CORO CORO,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,3,2,1,8
COROICO,vacunaciones en menores de 1 ano,bcg,2020-01-01,16,11,3,4,34
CORQUE,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,1,2,4
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,8,5,1,19
COTOCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,70,68,5,1,144
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,13,15,1,0,29
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
CUEVO,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,3,1,1,8
CULPINA,vacunaciones en menores de 1 ano,bcg,2020-01-01,10,13,1,0,24
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
CURVA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,1,1
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,3,0,1,5
EL ALTO,vacunaciones en menores de 1 ano,bcg,2020-01-01,728,713,45,51,1537
EL CHORO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,1,0,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2020-01-01,4,2,0,0,6
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,2,1,5
EL TORNO,vacunaciones en menores de 1 ano,bcg,2020-01-01,45,53,6,3,107
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,1,0,0,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,bcg,2020-01-01,11,3,3,2,19
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,bcg,2020-01-01,14,12,5,9,40
ESCOMA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,1,0,0,5
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,1,0,1,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,0,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,7,1,0,11
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,7,1,1,12
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2020-01-01,3,4,1,1,9
GUANAY,vacunaciones en menores de 1 ano,bcg,2020-01-01,6,10,2,1,19
GUAQUI,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,0,3,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2020-01-01,46,37,0,0,83
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,9,0,0,16
HUACARETA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,3,0,0,7
HUACHACALLA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,bcg,2020-01-01,19,15,1,0,35
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,0,0,2
HUARINA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,3,4,8
HUATAJATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,1,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,0,2,5
HUMANATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,2,2,4
ICHOCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,5,0,6
ICLA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,1,1,4,8
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,0,0,2,9
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,1,5,5,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2020-01-01,2,1,4,6,13
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,11,2,1,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,0,6,6,15
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,30,26,5,1,62
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2020-01-01,62,58,2,1,123
LA PAZ,vacunaciones en menores de 1 ano,bcg,2020-01-01,787,753,4,7,1551
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,0,0,2
LAJA,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,5,4,3,15
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,2,0,1,5
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2020-01-01,26,31,11,17,85
LLICA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,1,0,2
LURIBAY,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,0,0,4,8
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,2,0,1,5
MACHARETI,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,0,0,3
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,8,9,23
MAIRANA,vacunaciones en menores de 1 ano,bcg,2020-01-01,15,12,0,0,27
MALLA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,2,2,4
MAPIRI,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,7,2,0,13
MECAPACA,vacunaciones en menores de 1 ano,bcg,2020-01-01,8,4,1,1,14
MINEROS,vacunaciones en menores de 1 ano,bcg,2020-01-01,14,10,0,0,24
MIZQUE,vacunaciones en menores de 1 ano,bcg,2020-01-01,9,12,4,5,30
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,7,8,16
MOJINETE,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,3,0,0,8
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2020-01-01,18,15,0,0,33
MONTERO,vacunaciones en menores de 1 ano,bcg,2020-01-01,143,154,0,2,299
MORO MORO,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,1,1,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,1,0,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,1,3,10
OKINAWA,vacunaciones en menores de 1 ano,bcg,2020-01-01,9,7,0,0,16
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,1,0,1,5
ORURO,vacunaciones en menores de 1 ano,bcg,2020-01-01,344,346,4,3,697
PADCAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,5,0,0,6
PADILLA,vacunaciones en menores de 1 ano,bcg,2020-01-01,6,9,0,0,15
PAILON,vacunaciones en menores de 1 ano,bcg,2020-01-01,27,22,14,10,73
PALCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,8,2,7,7,24
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2020-01-01,21,22,3,5,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,2,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,6,0,0,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,3,0,0,5
PASORAPA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,1,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,28,14,1,0,43
PAZÑA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,2,2,5
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,6,1,8
POCOATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,3,15,17,40
POCONA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,1,8,6,19
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2020-01-01,4,8,3,2,17
POOPO,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,0,1,3
PORCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,9,5,1,1,16
POROMA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,5,5,1,13
PORONGO,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,2,3,7
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2020-01-01,16,20,0,1,37
PORVENIR,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,2,1,1,4
POSTRER VALLE,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,bcg,2020-01-01,274,245,6,9,534
PRESTO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,1,1,3
PUCARA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,6,10,17,38
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,4,1,7
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,11,6,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,1,1,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,2,0,2
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2020-01-01,13,9,0,0,22
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,6,2,0,12
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2020-01-01,19,14,0,0,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2020-01-01,91,79,0,1,171
PUNA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,1,4,8
PUNATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,34,39,4,1,78
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,1,1,2
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2020-01-01,102,135,6,6,249
QUIME,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,1,1,4
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,bcg,2020-01-01,0,4,4,3,11
RAVELO,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,1,1,8,15
REYES,vacunaciones en menores de 1 ano,bcg,2020-01-01,10,8,0,0,18
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,113,126,6,4,249
ROBORE,vacunaciones en menores de 1 ano,bcg,2020-01-01,11,13,0,0,24
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2020-01-01,9,13,3,3,28
SABAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,0,0,6
SACABA,vacunaciones en menores de 1 ano,bcg,2020-01-01,145,137,5,0,287
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,1,0,2
SACACA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,9,7,7,28
SAIPINA,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,1,1,0,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,5,2,4,15
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,3,0,1,8
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,2,0,0,4
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,1,1,8
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,1,2
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2020-01-01,45,50,2,2,99
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2020-01-01,13,10,0,0,23
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2020-01-01,16,13,4,5,38
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2020-01-01,15,13,3,0,31
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,72,48,7,13,140
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2020-01-01,15,14,0,0,29
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,3,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2020-01-01,18,11,2,3,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,3,1,0,6
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2020-01-01,32,26,0,1,59
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,1,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2020-01-01,5,4,0,0,9
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,11,19,8,7,45
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,12,13,1,2,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,10,5,0,0,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,1,1
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2020-01-01,8,6,0,0,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,10,9,9,4,32
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,2,1,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,1,0,1,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,1,0,0,4
SAN RAMON BENI,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,1,0,4,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,2,0,0,9
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2020-01-01,17,17,0,0,34
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1691,1607,0,0,3298
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2020-01-01,11,7,0,0,18
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,4,1,0,10
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,2,0,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,3,0,1,4
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,2,0,3
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,1,3,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,3,3
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,2,4,1,10
SENA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,3,0,0,7
SHINAOTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,19,20,1,0,40
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2020-01-01,6,5,4,4,19
SICAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,4,0,5
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2020-01-01,36,35,2,0,73
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,3,1,0,7
SORACACHI,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,1,0,3
SORATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,5,2,3,14
SUCRE,vacunaciones en menores de 1 ano,bcg,2020-01-01,275,293,3,2,573
TACACOMA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,1,0,7
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,2,1,3
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,2,3,11,16
TAPACARI,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,11,7,8,33
TARABUCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,5,0,0,12
TARACO,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,0,1,0,4
TARATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,6,0,0,0,6
TARIJA,vacunaciones en menores de 1 ano,bcg,2020-01-01,190,187,1,0,378
TARVITA,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,5,0,0,12
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,7,0,0,10
TIAHUANACU,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,1,2,5,12
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,2,0,5,7
TIPUANI,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,1,0,0,3
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2020-01-01,49,54,10,11,124
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2020-01-01,16,8,1,3,28
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,1,1
TOCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,2,1,1,6
TOLATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,3,3
TOLEDO,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,0,1,3
TOMAVE,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,0,4,7
TOMINA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,1,1,3,7
TORO TORO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,2,3,2,7
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2020-01-01,16,16,5,0,37
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,1,2
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2020-01-01,183,131,2,1,317
TUPIZA,vacunaciones en menores de 1 ano,bcg,2020-01-01,38,37,1,0,76
TURCO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,1,2,4
UMALA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,5,2,8
UNCIA,vacunaciones en menores de 1 ano,bcg,2020-01-01,16,21,12,12,61
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,0,0,6
URUBICHA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,4,0,0,5
UYUNI,vacunaciones en menores de 1 ano,bcg,2020-01-01,18,16,0,3,37
VACAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,4,1,6
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2020-01-01,10,4,0,0,14
VIACHA,vacunaciones en menores de 1 ano,bcg,2020-01-01,38,35,0,5,78
VILA VILA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,4,2,6
VILLA CHARCAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,2,3,8
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2020-01-01,36,41,0,1,78
