,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,28,13,1,2,44
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,18,14,5,5,42
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,1,2,0,5
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,0,1,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,7,1,1,18
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,14,10,3,0,27
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,7,3,1,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,6,3,2,12
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,7,14,0,1,22
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,2,1,4
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,4,1,0,9
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,6,2,1,18
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,1,0,1,3
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,32,33,3,2,70
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,23,16,0,0,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,1,3,0,9
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,13,0,0,21
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,41,40,2,3,86
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,12,0,1,21
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,6,0,2,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,2,1,4,10
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,25,21,8,5,59
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,6,1,2,13
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,24,19,6,13,62
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,11,2,0,16
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,18,22,5,2,47
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,0,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,2,1,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,13,14,1,3,31
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,4,3,2,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,6,4,2,16
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,4,3,3,16
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,17,13,0,2,32
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,44,61,2,2,109
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,8,3,10,23
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,688,632,6,11,1337
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,49,25,0,0,74
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,4,2,0,14
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,0,0,1
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,17,15,2,1,35
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,5,0,0,14
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,17,15,11,10,53
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,11,9,0,0,20
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,11,3,4,3,21
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,1,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,19,18,0,1,38
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,1,1,4
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,27,21,8,2,58
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,5,4,6,21
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,15,13,0,0,28
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,1,0,3,10
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,10,1,0,19
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,2,0,0,5
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,10,13,3,0,26
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,89,81,8,7,185
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,29,11,1,0,41
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,3,0,0,4
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,3,3,0,11
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,7,7,1,1,16
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,1,0,1,5
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,2,0,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,4,0,0,12
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,658,624,150,139,1571
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,0,0,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,8,0,1,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,5,0,1,11
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,49,45,0,0,94
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,4,0,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,13,14,3,2,32
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,32,20,11,4,67
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,1,2,0,4
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,3,0,0,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,3,1,0,5
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,1,0,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,5,0,2,16
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,5,1,0,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,10,7,0,0,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,8,3,4,23
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,10,1,0,19
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,1,2,0,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,49,34,1,3,87
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,7,5,6,26
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,2,3,0,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,0,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,6,3,3,21
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,2,0,0,6
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,1,0,1,7
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,1,0,0,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,1,0,0,3
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,3,4,3,12
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,2,0,1,4
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,3,2,1,8
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,3,0,4,12
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,5,0,0,6
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,7,2,3,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,12,1,2,24
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,5,1,1,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,7,0,0,9
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,43,38,3,3,87
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,101,99,1,6,207
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,564,520,19,2,1105
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,1,4,2,11
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,17,17,1,1,36
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,1,1,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,1,0,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,14,15,26,32,87
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,2,0,0,3
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,2,0,0,4
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,1,0,0,6
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,1,0,0,4
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,4,0,4,11
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,11,3,2,25
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,10,0,1,19
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,0,0,0,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,18,19,1,0,38
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,6,2,2,16
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,18,18,1,1,38
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,12,18,3,7,40
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,4,7,7,23
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,3,0,0,7
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,14,21,0,1,36
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,135,116,1,4,256
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,1,1,1,3
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,2,5,3,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,5,1,1,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,0,2,1,3
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,2,6,5,18
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,9,0,1,19
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,1,3,4,9
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,303,270,12,12,597
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,7,0,1,16
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,4,0,1,10
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,28,28,15,12,83
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,19,14,4,6,43
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,15,17,1,3,36
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,1,1,1,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,7,6,0,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,3,1,1,6
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,0,1,3,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,16,15,3,0,34
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,5,2,1,10
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,6,0,0,12
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,8,4,9,24
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,3,7,3,15
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,10,15,4,2,31
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,3,1,0,7
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,10,12,1,0,23
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,5,2,2,11
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,10,8,2,1,21
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,16,15,0,0,31
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,2,0,0,6
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,2,0,0,3
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,220,248,19,51,538
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,3,3,3,11
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,19,17,8,8,52
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,4,1,3,11
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,6,3,4,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,5,2,2,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,1,3,0,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,9,2,0,19
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,4,1,1,9
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,0,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,22,15,2,1,40
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,52,56,4,3,115
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,3,8,4,18
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,23,19,4,4,50
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,2,1,0,8
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,107,72,46,31,256
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,5,0,0,9
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,1,0,0,1
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,5,3,0,11
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,3,2,4,14
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,11,6,0,0,17
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,118,90,4,4,216
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,15,12,0,1,28
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,28,16,1,0,45
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,2,1,0,4
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,92,107,20,30,249
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,6,2,1,13
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,14,13,10,46
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,7,3,0,0,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,5,3,3,14
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,6,2,1,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,9,0,0,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,2,0,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,0,2,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,1,0,1,7
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,7,10,1,1,19
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,34,40,4,2,80
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,9,0,0,17
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,16,11,1,1,29
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,26,23,5,0,54
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,55,65,9,8,137
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,0,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,18,17,0,0,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,11,0,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,22,17,3,0,42
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,5,2,0,16
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,39,36,3,3,81
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,4,2,1,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,12,9,0,2,23
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,11,20,9,4,44
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,15,16,0,1,32
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,6,9,2,2,19
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,1,0,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,8,0,0,17
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,18,16,8,8,50
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,5,0,0,6
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,4,2,1,10
