,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,2,2,1,8
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,4,0,0,4
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,5,0,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,13,7,3,1,24
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,18,21,1,1,41
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,6,1,2,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,8,0,0,13
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,7,1,1,19
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,9,1,1,15
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,11,5,1,0,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,0,1,0,4
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,31,36,1,0,68
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,16,11,0,0,27
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,3,1,0,10
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,10,0,3,22
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,20,29,1,6,56
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,4,2,2,16
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,5,0,0,6
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,2,1,1,8
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,26,15,4,6,51
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,5,0,1,10
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,38,13,11,6,68
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,4,1,0,9
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,11,13,1,2,27
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,13,14,4,1,32
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,4,0,4,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,5,4,2,14
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,5,1,0,11
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,13,14,5,4,36
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,44,51,3,5,103
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,7,2,2,4,15
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,676,631,6,10,1323
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,0,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,38,39,0,0,77
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,8,2,0,18
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,1,0,0,1
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,13,15,1,0,29
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,3,2,0,8
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,19,11,11,7,48
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,5,0,0,10
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,6,3,4,21
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,2,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,14,15,0,1,30
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,26,12,6,3,47
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,5,3,2,13
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,14,14,0,0,28
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,4,1,1,8
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,12,4,3,27
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,4,1,1,7
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,14,14,1,2,31
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,78,70,4,2,154
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,16,0,0,26
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,3,0,0,3
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,3,1,0,6
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,8,3,3,22
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,1,0,1,4
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,2,1,0,4
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,2,0,1,3
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,585,579,122,148,1434
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,0,1,0,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,3,0,1,12
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,5,1,0,9
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,63,60,0,3,126
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,1,1,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,12,2,3,27
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,24,27,9,5,65
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,1,2,0,7
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,3,0,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,0,0,2
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,4,0,3,17
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,1,0,1,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,6,0,0,12
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,5,0,4,12
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,5,1,3,19
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,4,0,0,4
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,42,26,1,2,71
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,8,4,2,23
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,4,0,0,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,0,1,3
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,12,2,3,25
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,3,0,0,8
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,2,0,0,3
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,2,0,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,3,1,0,5
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,1,3,1,6
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,1,1,0,2
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,1,1,0,4
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,5,3,0,12
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,2,0,0,6
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,7,5,4,5,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,11,10,0,1,22
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,1,1,0,8
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,3,2,2,10
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,34,39,3,6,82
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,125,102,1,4,232
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,517,500,16,16,1049
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,7,2,3,2,14
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,10,1,2,19
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,0,0,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,1,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,17,19,28,24,88
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,1,0,0,2
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,6,0,0,6
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,3,0,1,12
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,2,0,0,4
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,3,2,0,9
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,16,6,6,2,30
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,8,1,0,18
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,2,0,4
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,13,24,0,1,38
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,12,11,1,0,24
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,19,16,0,1,36
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,11,16,7,4,38
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,2,8,5,18
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,2,1,1,6
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,19,21,1,1,42
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,111,127,5,4,247
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,0,1
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,2,2,2,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,3,1,0,8
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,0,1,1,2
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,7,4,4,19
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,4,2,1,16
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,5,1,4,12
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,264,246,10,13,533
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,9,2,0,20
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,4,0,1,11
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,35,28,10,19,92
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,12,10,7,7,36
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,16,24,3,5,48
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,2,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,8,1,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,2,0,1,7
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,1,0,2,6
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,12,11,6,4,33
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,6,0,1,7
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,6,2,0,14
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,2,5,7,20
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,4,4,1,10
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,8,10,2,1,21
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,3,0,0,6
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,6,0,2,17
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,5,5,4,18
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,12,2,2,25
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,14,18,1,0,33
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,5,1,2,13
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,1,1,0,3
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,223,170,28,34,455
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,3,2,3,12
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,1,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,18,18,4,8,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,2,2,1,8
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,3,3,10,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,1,7,1,12
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,1,0,2,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,15,6,0,0,21
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,7,1,0,18
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,27,29,1,0,57
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,55,51,2,5,113
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,4,4,6,17
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,17,18,6,2,43
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,1,0,1,3
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,74,78,34,35,221
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,7,3,1,0,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,1,0,0,1
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,2,0,1,7
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,2,3,8,19
REYES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,7,0,0,17
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,92,87,13,9,201
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,18,8,6,3,35
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,19,18,2,2,41
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,1,2,1,7
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,109,109,31,22,271
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,0,0,2
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,2,11,6,24
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,7,3,0,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,3,6,6,21
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,12,9,2,0,23
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,5,2,1,13
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,0,0,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,1,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,4,3,7,18
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,4,0,1,11
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,38,34,1,2,75
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,11,9,1,0,21
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,16,0,0,22
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,13,25,2,0,40
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,48,49,8,12,117
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,1,0,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,11,13,0,0,24
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,6,4,3,16
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,29,28,1,1,59
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,8,1,0,15
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,31,39,2,4,76
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,1,0,5,12
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,18,13,0,0,31
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,12,19,14,5,50
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,19,21,2,0,42
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,5,1,2,14
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,14,8,0,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,12,17,4,6,39
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,1,0,0,4
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,4,0,1,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,2,2,5
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,5,3,1,14
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,4,3,1,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,7,0,0,13
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,15,12,0,2,29
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1328,1246,7,2,2583
