municipality,group,variable,month,Diarreas,TOTAL
EL VILLAR,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
EUCALIPTUS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,17,17
HUANUNI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
INQUISIVI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,5,5
LA PAZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,57,57
LAGUNILLAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
LLALLAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,6,6
MAGDALENA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,10,10
MAIRANA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
MIZQUE,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,7,7
MONTERO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,52,52
ORURO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,27,27
PADILLA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,4,4
PAILON,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,4,4
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
PATACAMAYA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
PORTACHUELO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
POTOSI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,38,38
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,8,8
PUERTO RICO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,4,4
PUERTO SILES,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,9,9
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,18,18
PUNATA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,16,16
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,16,16
REYES,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
RIBERALTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,93,93
ROBORE,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,5,5
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
SACABA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,53,53
SAN BORJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,9,9
SAN BUENA VENTURA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
SAN CARLOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,21,21
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,36,36
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
SAN JULIAN,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,8,8
SAN MATIAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,5,5
SAN PEDRO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,15,15
SAN RAMON,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,5,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,694,694
SANTA ROSA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,5,5
SOPACHUY,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,19,19
TARABUCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
TARIJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,21,21
TARVITA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
TIPUANI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,9,9
TRINIDAD,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,30,30
TUPIZA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,25,25
UNCIA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,14,14
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,11,11
VILLA MONTES,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,13,13
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,9,9
VILLAZON,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,8,8
VINTO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
WARNES,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
YACUIBA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,43,43
YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,10,10
YUNCHARA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,8,8
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,6,6
ATOCHA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,57,57
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
BETANZOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
BUENA VISTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,8,8
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,17,17
CAPINOTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,7,7
CHALLAPATA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
CHAYANTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,7,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
CHUMA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,10,10
COCHABAMBA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,229,229
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
COLPA BELGICA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
COLQUIRI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
COMARAPA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,5,5
CONCEPCION,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
COROICO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
COTOCA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
CULPINA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
EL ALTO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,44,44
EL TORNO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,32,32
HUANUNI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
INCAHUASI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
JESUS DE MACHACA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,5,5
LA PAZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,47,47
LLALLAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,5,5
LORETO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,10,10
MAGDALENA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
MAIRANA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
MAPIRI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
MIZQUE,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,20,20
MONTERO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,62,62
ORURO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,20,20
PADILLA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
PAILON,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
PATACAMAYA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
POTOSI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,122,122
PRESTO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
PUERTO RICO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,5,5
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,7,7
PUNA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
PUNATA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,26,26
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,10,10
REYES,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
RIBERALTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,50,50
ROBORE,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,8,8
SACABA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,36,36
SACACA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SAN ANDRES,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,4,4
SAN BUENA VENTURA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SAN CARLOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,19,19
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,26,26
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,7,7
SAN JUAN DE YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,12,12
SAN JULIAN,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,17,17
SAN LUCAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
SAN MATIAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,13,13
SAN PEDRO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SAN PEDRO DE BUENA VISTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,426,426
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,32,32
TARABUCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
TARIJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,16,16
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,17,17
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,2,2
TRINIDAD,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,31,31
TUPIZA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,41,41
UNCIA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,19,19
URUBICHA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,3,3
VILLA MONTES,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,12,12
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
VILLAZON,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,23,23
VINTO,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,1,1
WARNES,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,9,9
YACUIBA,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,40,40
YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2006-02-01,13,13
ACHACACHI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
APOLO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,18,18
ATOCHA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
BETANZOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,3,3
CABEZAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,9,9
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,16,16
CAPINOTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,10,10
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,6,6
CHALLAPATA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,11,11
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
CHAYANTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,4,4
CHUMA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,19,19
COCHABAMBA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,123,123
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,3,3
COMARAPA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,7,7
CONCEPCION,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,8,8
COTAGAITA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,5,5
COTOCA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,9,9
CULPINA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,3,3
EL ALTO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,49,49
EL TORNO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,5,5
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,15,15
HUANUNI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,9,9
ICLA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,8,8
LA PAZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,87,87
LAGUNILLAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
LLALLAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,14,14
LORETO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,14,14
MAGDALENA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,4,4
MAIRANA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,3,3
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,24,24
MONTERO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,86,86
ORURO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,54,54
PADILLA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,4,4
PAILON,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,9,9
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
PATACAMAYA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
PORTACHUELO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
POTOSI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,62,62
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,24,24
PUNATA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,24,24
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,16,16
QUIME,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
REYES,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
RIBERALTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,71,71
ROBORE,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,3,3
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,8,8
SACABA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,48,48
SACACA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
SAIPINA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,3,3
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,5,5
SAN BORJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,6,6
SAN BUENA VENTURA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
SAN CARLOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,38,38
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,57,57
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,8,8
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
SAN JUAN DE YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,33,33
SAN JULIAN,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,11,11
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
SAN MATIAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,14,14
SAN RAMON,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,4,4
SANTA ANA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,4,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,417,417
SICAYA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,6,6
SUCRE,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,79,79
TARABUCO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,4,4
TARIJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,14,14
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,10,10
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,16,16
TORO TORO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,58,58
TUPIZA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,40,40
UNCIA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,24,24
URIONDO (A. CONCEPCION),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
URUBICHA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
VILLA MONTES,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,13,13
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,24,24
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
VILLAZON,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,27,27
VINTO,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,3,3
VITICHI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
WARNES,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,11,11
YACUIBA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,43,43
YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,17,17
YOTALA,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,2,2
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,diarreas,2006-03-01,1,1
ACHACACHI,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,2,2
ANZALDO,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,1,1
APOLO,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,10,10
ATOCHA,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,5,5
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,5,5
BETANZOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,1,1
BUENA VISTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,44,44
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,11,11
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,5,5
CAPINOTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,6,6
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,5,5
CHALLAPATA,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,9,9
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,4,4
CHAYANTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,3,3
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2006-04-01,3,3
