,group,variable,month,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2011-01-01,9,8,0,0,9,8,17
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2011-01-01,6,8,0,0,6,8,14
PADCAYA,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
PADILLA,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,4,0,0,1,4,5
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2011-01-01,3,1,0,0,3,1,4
PORONGO,malaria,numero de tratamientos especificos dispensados,2011-01-01,2,3,0,0,2,3,5
PORTACHUELO,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
PORVENIR,malaria,numero de tratamientos especificos dispensados,2011-01-01,5,3,0,0,5,3,8
POSTRER VALLE,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2011-01-01,12,4,0,0,12,4,16
REYES,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,1,0,0,1,1,2
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2011-01-01,23,23,1,2,24,25,49
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de tratamientos especificos dispensados,2011-01-01,2,0,0,0,2,0,2
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2011-01-01,5,2,0,0,5,2,7
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2011-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos especificos dispensados,2011-01-01,2,0,0,0,2,0,2
SENA,malaria,numero de tratamientos especificos dispensados,2011-01-01,7,1,1,0,8,1,9
SHINAOTA,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
TARABUCO,malaria,numero de tratamientos especificos dispensados,2011-01-01,0,1,0,0,0,1,1
TEOPONTE,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
TORO TORO,malaria,numero de tratamientos especificos dispensados,2011-01-01,0,1,0,0,0,1,1
TRIGAL,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
VILLA CHARCAS,malaria,numero de tratamientos especificos dispensados,2011-01-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2011-01-01,4,1,0,0,4,1,5
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2011-01-01,0,1,0,0,0,1,1
VILLA SERRANO,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,1,0,0,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de tratamientos especificos dispensados,2011-01-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,4,0,0,1,4,5
APOLO,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos especificos dispensados,2011-02-01,2,2,0,0,2,2,4
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2011-02-01,0,0,1,0,1,0,1
CABEZAS,malaria,numero de tratamientos especificos dispensados,2011-02-01,4,0,0,0,4,0,4
CAMARGO,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,0,0,0,1,0,1
CARANAVI,malaria,numero de tratamientos especificos dispensados,2011-02-01,4,0,0,0,4,0,4
CARAPARI,malaria,numero de tratamientos especificos dispensados,2011-02-01,10,0,0,0,10,0,10
COBIJA,malaria,numero de tratamientos especificos dispensados,2011-02-01,13,8,1,0,14,8,22
COMARAPA,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,1,0,0,1,1,2
COROICO,malaria,numero de tratamientos especificos dispensados,2011-02-01,0,0,1,0,1,0,1
CULPINA,malaria,numero de tratamientos especificos dispensados,2011-02-01,2,1,0,0,2,1,3
EL TORNO,malaria,numero de tratamientos especificos dispensados,2011-02-01,15,10,0,0,15,10,25
ENTRE RIOS TRJ,malaria,numero de tratamientos especificos dispensados,2011-02-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2011-02-01,6,4,0,0,6,4,10
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de tratamientos especificos dispensados,2011-02-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2011-02-01,79,75,7,0,86,75,161
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,1,0,0,1,1,2
LA ASUNTA,malaria,numero de tratamientos especificos dispensados,2011-02-01,0,1,0,0,0,1,1
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2011-02-01,3,1,0,0,3,1,4
LA PAZ,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,1,0,0,1,1,2
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2011-02-01,4,4,0,0,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2011-02-01,4,5,0,0,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2011-02-01,8,2,0,0,8,2,10
PADILLA,malaria,numero de tratamientos especificos dispensados,2011-02-01,2,3,0,0,2,3,5
PAILON,malaria,numero de tratamientos especificos dispensados,2011-02-01,12,0,0,0,12,0,12
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,2,0,0,1,2,3
PORONGO,malaria,numero de tratamientos especificos dispensados,2011-02-01,9,4,0,0,9,4,13
PORVENIR,malaria,numero de tratamientos especificos dispensados,2011-02-01,8,2,0,0,8,2,10
POSTRER VALLE,malaria,numero de tratamientos especificos dispensados,2011-02-01,4,5,0,0,4,5,9
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2011-02-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2011-02-01,22,4,1,0,23,4,27
PUNATA,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,0,0,0,1,0,1
REYES,malaria,numero de tratamientos especificos dispensados,2011-02-01,4,4,0,0,4,4,8
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2011-02-01,24,15,2,0,26,15,41
ROBORE,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de tratamientos especificos dispensados,2011-02-01,16,9,0,0,16,9,25
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2011-02-01,3,1,0,0,3,1,4
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2011-02-01,2,1,0,0,2,1,3
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2011-02-01,4,3,0,0,4,3,7
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,numero de tratamientos especificos dispensados,2011-02-01,2,0,0,0,2,0,2
SENA,malaria,numero de tratamientos especificos dispensados,2011-02-01,8,3,0,0,8,3,11
TOCO,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,0,0,0,1,0,1
TOMINA,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,0,0,0,1,0,1
TORO TORO,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,1,0,0,1,1,2
VALLEGRANDE,malaria,numero de tratamientos especificos dispensados,2011-02-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2011-02-01,8,7,0,0,8,7,15
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2011-02-01,1,1,0,0,1,1,2
YACUIBA,malaria,numero de tratamientos especificos dispensados,2011-02-01,5,3,0,0,5,3,8
ALCALA,malaria,numero de tratamientos especificos dispensados,2011-03-01,2,1,0,0,2,1,3
APOLO,malaria,numero de tratamientos especificos dispensados,2011-03-01,2,1,0,0,2,1,3
BAURES,malaria,numero de tratamientos especificos dispensados,2011-03-01,3,0,0,0,3,0,3
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2011-03-01,3,4,0,0,3,4,7
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2011-03-01,2,0,0,0,2,0,2
CABEZAS,malaria,numero de tratamientos especificos dispensados,2011-03-01,4,2,0,0,4,2,6
CARANAVI,malaria,numero de tratamientos especificos dispensados,2011-03-01,2,1,0,0,2,1,3
CARAPARI,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,1,0,0,1,1,2
COBIJA,malaria,numero de tratamientos especificos dispensados,2011-03-01,8,0,1,0,9,0,9
COCHABAMBA,malaria,numero de tratamientos especificos dispensados,2011-03-01,0,0,2,4,2,4,6
COMARAPA,malaria,numero de tratamientos especificos dispensados,2011-03-01,0,1,0,0,0,1,1
EL TORNO,malaria,numero de tratamientos especificos dispensados,2011-03-01,6,7,0,0,6,7,13
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2011-03-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2011-03-01,110,67,8,1,118,68,186
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,1,0,0,1,1,2
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2011-03-01,2,0,0,0,2,0,2
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,1,0,0,1,1,2
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2011-03-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2011-03-01,1,3,0,0,1,3,4
PADILLA,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2011-03-01,2,3,0,0,2,3,5
PORVENIR,malaria,numero de tratamientos especificos dispensados,2011-03-01,4,2,0,0,4,2,6
POSTRER VALLE,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2011-03-01,10,4,0,0,10,4,14
REYES,malaria,numero de tratamientos especificos dispensados,2011-03-01,10,31,0,0,10,31,41
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2011-03-01,36,33,1,0,37,33,70
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de tratamientos especificos dispensados,2011-03-01,9,3,0,0,9,3,12
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,malaria,numero de tratamientos especificos dispensados,2011-03-01,0,0,0,1,0,1,1
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2011-03-01,8,0,1,0,9,0,9
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos especificos dispensados,2011-03-01,0,0,0,0,0,0,0
SANTA ROSA,malaria,numero de tratamientos especificos dispensados,2011-03-01,1,0,0,0,1,0,1
SENA,malaria,numero de tratamientos especificos dispensados,2011-03-01,10,6,0,0,10,6,16
TORO TORO,malaria,numero de tratamientos especificos dispensados,2011-03-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),malaria,numero de tratamientos especificos dispensados,2011-03-01,0,0,0,1,0,1,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2011-03-01,9,9,0,0,9,9,18
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2011-03-01,3,3,0,0,3,3,6
VILLA SERRANO,malaria,numero de tratamientos especificos dispensados,2011-03-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de tratamientos especificos dispensados,2011-03-01,8,16,0,0,8,16,24
AZURDUY,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,1,0,0,1,1,2
BAURES,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,0,1,0,1
CARAPARI,malaria,numero de tratamientos especificos dispensados,2011-04-01,0,1,0,0,0,1,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2011-04-01,4,1,0,0,4,1,5
EL TORNO,malaria,numero de tratamientos especificos dispensados,2011-04-01,5,2,0,0,5,2,7
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2011-04-01,2,0,0,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de tratamientos especificos dispensados,2011-04-01,1,2,0,0,1,2,3
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2011-04-01,93,37,5,4,98,41,139
GUTIERREZ,malaria,numero de tratamientos especificos dispensados,2011-04-01,2,0,0,0,2,0,2
HUACARETA,malaria,numero de tratamientos especificos dispensados,2011-04-01,5,5,0,0,5,5,10
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,0,1,0,1
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,0,1,0,1
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,3,0,0,1,3,4
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,2,0,0,1,2,3
MONTERO,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,2,1,2,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2011-04-01,3,0,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2011-04-01,3,0,1,0,4,0,4
PADILLA,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2011-04-01,8,4,0,0,8,4,12
PORVENIR,malaria,numero de tratamientos especificos dispensados,2011-04-01,2,3,0,0,2,3,5
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2011-04-01,5,0,0,0,5,0,5
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2011-04-01,4,3,0,0,4,3,7
REYES,malaria,numero de tratamientos especificos dispensados,2011-04-01,2,3,0,0,2,3,5
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2011-04-01,41,11,0,0,41,11,52
SAIPINA,malaria,numero de tratamientos especificos dispensados,2011-04-01,11,2,0,0,11,2,13
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2011-04-01,5,0,0,0,5,0,5
SAN PEDRO DE BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos especificos dispensados,2011-04-01,0,0,0,0,0,0,0
SANTA ROSA,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,1,0,0,1,1,2
SENA,malaria,numero de tratamientos especificos dispensados,2011-04-01,6,0,0,0,6,0,6
TORO TORO,malaria,numero de tratamientos especificos dispensados,2011-04-01,3,7,0,0,3,7,10
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2011-04-01,4,3,0,0,4,3,7
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2011-04-01,0,2,1,0,1,2,3
VILLA TUNARI,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de tratamientos especificos dispensados,2011-04-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de tratamientos especificos dispensados,2011-04-01,3,0,0,0,3,0,3
YOTALA,malaria,numero de tratamientos especificos dispensados,2011-04-01,1,0,0,0,1,0,1
APOLO,malaria,numero de tratamientos especificos dispensados,2011-05-01,3,0,0,0,3,0,3
AZURDUY,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,2,0,0,1,2,3
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2011-05-01,4,1,0,0,4,1,5
CABEZAS,malaria,numero de tratamientos especificos dispensados,2011-05-01,3,0,0,0,3,0,3
CARANAVI,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2011-05-01,9,4,0,0,9,4,13
EL TORNO,malaria,numero de tratamientos especificos dispensados,2011-05-01,7,6,0,0,7,6,13
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2011-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2011-05-01,98,54,3,3,101,57,158
HUACARETA,malaria,numero de tratamientos especificos dispensados,2011-05-01,3,1,0,0,3,1,4
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2011-05-01,0,2,0,0,0,2,2
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2011-05-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2011-05-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2011-05-01,6,3,0,0,6,3,9
PORONGO,malaria,numero de tratamientos especificos dispensados,2011-05-01,2,2,0,0,2,2,4
PORVENIR,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2011-05-01,5,1,0,0,5,1,6
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2011-05-01,3,3,0,0,3,3,6
PUNATA,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,0,0,0,1,0,1
REYES,malaria,numero de tratamientos especificos dispensados,2011-05-01,0,2,0,0,0,2,2
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2011-05-01,47,8,1,1,48,9,57
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,1,0,0,1,1,2
SAIPINA,malaria,numero de tratamientos especificos dispensados,2011-05-01,14,9,0,0,14,9,23
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2011-05-01,7,8,0,0,7,8,15
SAN LUCAS,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,1,0,0,1,1,2
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2011-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos especificos dispensados,2011-05-01,0,0,0,0,0,0,0
SENA,malaria,numero de tratamientos especificos dispensados,2011-05-01,2,3,0,1,2,4,6
TORO TORO,malaria,numero de tratamientos especificos dispensados,2011-05-01,4,5,0,0,4,5,9
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2011-05-01,3,3,0,0,3,3,6
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2011-05-01,5,1,0,0,5,1,6
VILLA SERRANO,malaria,numero de tratamientos especificos dispensados,2011-05-01,1,3,0,0,1,3,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de tratamientos especificos dispensados,2011-05-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de tratamientos especificos dispensados,2011-05-01,4,2,0,0,4,2,6
APOLO,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,3,0,0,1,3,4
BAURES,malaria,numero de tratamientos especificos dispensados,2011-06-01,2,0,0,0,2,0,2
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2011-06-01,9,0,0,0,9,0,9
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2011-06-01,0,1,0,0,0,1,1
CABEZAS,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,3,0,0,1,3,4
CARAPARI,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2011-06-01,7,2,2,0,9,2,11
EL TORNO,malaria,numero de tratamientos especificos dispensados,2011-06-01,12,12,0,0,12,12,24
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2011-06-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2011-06-01,133,102,7,6,140,108,248
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2011-06-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2011-06-01,11,2,1,2,12,4,16
PADILLA,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,0,0,0,1,0,1
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,0,0,0,1,0,1
POROMA,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2011-06-01,3,1,0,0,3,1,4
PORVENIR,malaria,numero de tratamientos especificos dispensados,2011-06-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2011-06-01,5,0,0,0,5,0,5
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2011-06-01,2,1,0,0,2,1,3
REYES,malaria,numero de tratamientos especificos dispensados,2011-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2011-06-01,35,23,0,0,35,23,58
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2011-06-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2011-06-01,2,4,1,0,3,4,7
SAN PEDRO DE BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2011-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos especificos dispensados,2011-06-01,0,0,0,0,0,0,0
SANTA ROSA,malaria,numero de tratamientos especificos dispensados,2011-06-01,0,3,0,0,0,3,3
SENA,malaria,numero de tratamientos especificos dispensados,2011-06-01,2,0,0,0,2,0,2
TORO TORO,malaria,numero de tratamientos especificos dispensados,2011-06-01,9,1,0,0,9,1,10
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2011-06-01,4,7,0,0,4,7,11
VILLA SERRANO,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,4,0,0,1,4,5
YACUIBA,malaria,numero de tratamientos especificos dispensados,2011-06-01,1,1,0,0,1,1,2
APOLO,malaria,numero de tratamientos especificos dispensados,2011-07-01,3,2,0,0,3,2,5
BAURES,malaria,numero de tratamientos especificos dispensados,2011-07-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2011-07-01,4,1,0,0,4,1,5
CABEZAS,malaria,numero de tratamientos especificos dispensados,2011-07-01,1,1,0,0,1,1,2
COBIJA,malaria,numero de tratamientos especificos dispensados,2011-07-01,3,0,0,0,3,0,3
EL TORNO,malaria,numero de tratamientos especificos dispensados,2011-07-01,4,5,0,0,4,5,9
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2011-07-01,8,0,0,0,8,0,8
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de tratamientos especificos dispensados,2011-07-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2011-07-01,81,72,3,1,84,73,157
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2011-07-01,1,0,0,0,1,0,1
MACHARETI,malaria,numero de tratamientos especificos dispensados,2011-07-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2011-07-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2011-07-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2011-07-01,3,0,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2011-07-01,3,1,3,2,6,3,9
PADILLA,malaria,numero de tratamientos especificos dispensados,2011-07-01,1,0,0,0,1,0,1
POROMA,malaria,numero de tratamientos especificos dispensados,2011-07-01,0,1,0,0,0,1,1
