,group,variable,month,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,1,0,0,0,1,0,1
COMARAPA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,1,1,0,0,1,1,2
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,3,2,0,0,3,2,5
GUANAY,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,1,1,2,0,3,1,4
LA ASUNTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,4,2,0,0,4,2,6
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,2,3,0,0,2,3,5
POSTRER VALLE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,4,5,0,0,4,5,9
PUERTO RICO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,14,3,0,0,14,3,17
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,2,3,1,0,3,3,6
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,5,0,0,0,5,0,5
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,0,0,0,0,0,0,0
VALLEGRANDE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,1,0,0,0,1,0,1
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,1,0,0,0,1,0,1
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,1,2,0,0,1,2,3
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,3,0,0,0,3,0,3
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,1,0,0,0,1,0,1
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,6,1,0,0,6,1,7
REYES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,3,0,0,0,3,0,3
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,7,4,0,0,7,4,11
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,0,0,0,1,0,1,1
SAN LUCAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,0,0,0,0,0,0,0
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,2,0,0,0,2,0,2
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-03-01,1,2,0,0,1,2,3
AZURDUY,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,1,0,0,0,1,0,1
GUTIERREZ,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,2,0,0,0,2,0,2
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,1,1,0,0,1,1,2
PUERTO RICO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,2,2,0,0,2,2,4
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,3,1,0,0,3,1,4
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,0,0,0,0,0,0,0
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,3,0,0,0,3,0,3
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-04-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,1,2,0,0,1,2,3
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,1,1,0,0,1,1,2
PADCAYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,0,1,0,0,0,1,1
PORVENIR,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,1,1,0,0,1,1,2
REYES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,0,2,0,0,0,2,2
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,8,0,1,0,9,0,9
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,0,0,0,0,0,0,0
TARVITA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,1,0,0,0,1,0,1
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,5,4,0,0,5,4,9
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,2,1,0,0,2,1,3
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-05-01,2,0,0,0,2,0,2
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,2,0,0,0,2,0,2
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,4,3,0,0,4,3,7
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,4,1,0,0,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,1,0,0,0,1,0,1
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,1,0,0,0,1,0,1
PUERTO SILES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,7,1,0,0,7,1,8
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,3,2,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,0,0,0,0,0,0,0
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,8,1,0,0,8,1,9
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,1,4,0,0,1,4,5
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-06-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,3,2,0,0,3,2,5
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,3,0,0,0,3,0,3
PORTACHUELO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,1,0,0,0,1,0,1
PORVENIR,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,3,2,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,0,0,0,0,0,0,0
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,2,1,0,0,2,1,3
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-07-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,10,7,0,0,10,7,17
COMARAPA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,0,0,0,6,0,6,6
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,3,2,1,3,4,5,9
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,0,1,0,0,0,1,1
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,1,2,0,0,1,2,3
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,0,1,0,0,0,1,1
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,4,1,0,0,4,1,5
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-08-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,10,5,0,0,10,5,15
COMARAPA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,8,2,0,0,8,2,10
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,0,0,0,0,0,0,0
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-09-01,0,2,0,0,0,2,2
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,6,2,0,0,6,2,8
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,1,0,0,0,1,0,1
HUACARETA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,8,7,1,0,9,7,16
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,0,0,0,0,0,0,0
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-10-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-11-01,3,3,0,0,3,3,6
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-11-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-11-01,20,15,0,0,20,15,35
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-11-01,0,0,0,0,0,0,0
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-11-01,3,5,0,0,3,5,8
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,6,6,0,0,6,6,12
INGAVI (HUMAITA),malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,1,0,0,0,1,0,1
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,2,0,0,0,2,0,2
POSTRER VALLE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,14,2,0,1,14,3,17
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,0,0,0,0,0,0,0
TEOPONTE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,2,1,0,0,2,1,3
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,2,3,0,0,2,3,5
VILLA MONTES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-12-01,0,1,0,0,0,1,1
