,group,variable,month,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-02-01,3,0,0,0,3,0,3
COROICO,malaria,tratamientos iniciados por sospecha,2011-02-01,0,2,0,0,0,2,2
CULPINA,malaria,tratamientos iniciados por sospecha,2011-02-01,5,1,0,0,5,1,6
EL TORNO,malaria,tratamientos iniciados por sospecha,2011-02-01,5,5,0,0,5,5,10
GUANAY,malaria,tratamientos iniciados por sospecha,2011-02-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2011-02-01,1,0,0,1,1,1,2
GUTIERREZ,malaria,tratamientos iniciados por sospecha,2011-02-01,0,1,0,0,0,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-02-01,1,2,0,0,1,2,3
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2011-02-01,1,1,0,0,1,1,2
LA GUARDIA,malaria,tratamientos iniciados por sospecha,2011-02-01,1,0,0,0,1,0,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2011-02-01,0,1,0,0,0,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2011-02-01,8,5,0,0,8,5,13
POSTRER VALLE,malaria,tratamientos iniciados por sospecha,2011-02-01,4,5,0,0,4,5,9
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2011-02-01,0,1,0,0,0,1,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2011-02-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2011-02-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-02-01,1,1,0,0,1,1,2
TARVITA,malaria,tratamientos iniciados por sospecha,2011-02-01,1,0,0,0,1,0,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2011-02-01,1,3,0,0,1,3,4
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-02-01,1,1,0,0,1,1,2
VILLA CHARCAS,malaria,tratamientos iniciados por sospecha,2011-02-01,1,0,0,0,1,0,1
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2011-02-01,1,0,0,0,1,0,1
ALTO BENI,malaria,tratamientos iniciados por sospecha,2011-03-01,0,1,0,0,0,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-03-01,4,2,0,0,4,2,6
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-03-01,2,1,0,0,2,1,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2011-03-01,2,3,0,0,2,3,5
GUANAY,malaria,tratamientos iniciados por sospecha,2011-03-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2011-03-01,1,0,0,0,1,0,1
PADILLA,malaria,tratamientos iniciados por sospecha,2011-03-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2011-03-01,3,3,0,0,3,3,6
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2011-03-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-03-01,0,0,0,0,0,0,0
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-03-01,2,0,0,0,2,0,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-04-01,0,1,0,0,0,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-04-01,2,0,0,0,2,0,2
CABEZAS,malaria,tratamientos iniciados por sospecha,2011-04-01,2,3,0,0,2,3,5
CARANAVI,malaria,tratamientos iniciados por sospecha,2011-04-01,1,0,0,0,1,0,1
COCHABAMBA,malaria,tratamientos iniciados por sospecha,2011-04-01,0,1,0,0,0,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2011-04-01,1,3,0,0,1,3,4
GUANAY,malaria,tratamientos iniciados por sospecha,2011-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2011-04-01,1,0,0,0,1,0,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-04-01,6,4,0,0,6,4,10
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2011-04-01,2,1,0,0,2,1,3
PADILLA,malaria,tratamientos iniciados por sospecha,2011-04-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2011-04-01,4,0,0,0,4,0,4
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-04-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-04-01,0,0,0,0,0,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2011-04-01,2,0,0,0,2,0,2
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-04-01,6,7,0,0,6,7,13
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2011-04-01,0,1,0,0,0,1,1
YOTALA,malaria,tratamientos iniciados por sospecha,2011-04-01,2,1,0,0,2,1,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-05-01,1,1,0,0,1,1,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-05-01,3,0,0,0,3,0,3
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2011-05-01,4,1,0,1,4,2,6
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-05-01,3,2,0,0,3,2,5
OMEREQUE,malaria,tratamientos iniciados por sospecha,2011-05-01,1,1,0,0,1,1,2
PADCAYA,malaria,tratamientos iniciados por sospecha,2011-05-01,0,2,0,0,0,2,2
POROMA,malaria,tratamientos iniciados por sospecha,2011-05-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-05-01,0,0,0,0,0,0,0
TARVITA,malaria,tratamientos iniciados por sospecha,2011-05-01,2,1,0,0,2,1,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2011-05-01,0,2,0,0,0,2,2
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-05-01,7,8,0,0,7,8,15
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2011-05-01,1,0,0,0,1,0,1
ZUDAÑEZ,malaria,tratamientos iniciados por sospecha,2011-05-01,0,1,0,0,0,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-06-01,1,0,0,0,1,0,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-06-01,3,2,0,0,3,2,5
MONTERO,malaria,tratamientos iniciados por sospecha,2011-06-01,0,1,0,0,0,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2011-06-01,1,0,0,0,1,0,1
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2011-06-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2011-06-01,1,1,0,0,1,1,2
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2011-06-01,1,0,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-06-01,0,0,0,0,0,0,0
SUCRE,malaria,tratamientos iniciados por sospecha,2011-06-01,1,1,0,0,1,1,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2011-06-01,1,1,0,0,1,1,2
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-06-01,8,2,0,0,8,2,10
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-07-01,1,1,0,0,1,1,2
COLOMI,malaria,tratamientos iniciados por sospecha,2011-07-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2011-07-01,3,3,0,0,3,3,6
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-07-01,0,0,0,0,0,0,0
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-07-01,0,1,0,0,0,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-08-01,2,1,0,0,2,1,3
LA PAZ,malaria,tratamientos iniciados por sospecha,2011-08-01,1,0,0,0,1,0,1
PADILLA,malaria,tratamientos iniciados por sospecha,2011-08-01,0,1,0,0,0,1,1
PRESTO,malaria,tratamientos iniciados por sospecha,2011-08-01,0,2,0,0,0,2,2
REYES,malaria,tratamientos iniciados por sospecha,2011-08-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-08-01,0,0,0,0,0,0,0
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-08-01,1,2,0,0,1,2,3
YACUIBA,malaria,tratamientos iniciados por sospecha,2011-08-01,1,1,0,0,1,1,2
AYATA,malaria,tratamientos iniciados por sospecha,2011-09-01,1,1,0,0,1,1,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-09-01,0,1,0,0,0,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2011-09-01,1,0,0,0,1,0,1
COROICO,malaria,tratamientos iniciados por sospecha,2011-09-01,0,1,0,0,0,1,1
SANTA ANA,malaria,tratamientos iniciados por sospecha,2011-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-09-01,0,0,0,0,0,0,0
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-09-01,1,4,0,0,1,4,5
YACUIBA,malaria,tratamientos iniciados por sospecha,2011-09-01,1,1,0,0,1,1,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-10-01,0,1,0,0,0,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2011-10-01,0,1,0,0,0,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-10-01,1,1,0,0,1,1,2
IXIAMAS,malaria,tratamientos iniciados por sospecha,2011-10-01,0,1,0,0,0,1,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2011-10-01,3,1,0,0,3,1,4
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-10-01,0,0,0,0,0,0,0
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-10-01,0,3,0,0,0,3,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-11-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-11-01,0,1,0,0,0,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2011-11-01,2,2,0,0,2,2,4
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-11-01,3,0,0,0,3,0,3
HUACAYA (VILLA DE HUACAYA),malaria,tratamientos iniciados por sospecha,2011-11-01,0,1,0,0,0,1,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2011-11-01,3,1,0,0,3,1,4
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2011-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-11-01,0,0,0,0,0,0,0
SUCRE,malaria,tratamientos iniciados por sospecha,2011-11-01,0,1,0,0,0,1,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-11-01,3,5,0,0,3,5,8
VILLA CHARCAS,malaria,tratamientos iniciados por sospecha,2011-11-01,0,1,0,0,0,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-12-01,3,2,0,0,3,2,5
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-12-01,2,0,0,0,2,0,2
PADILLA,malaria,tratamientos iniciados por sospecha,2011-12-01,1,0,0,0,1,0,1
POSTRER VALLE,malaria,tratamientos iniciados por sospecha,2011-12-01,1,0,0,0,1,0,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2011-12-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-12-01,0,0,0,0,0,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2011-12-01,1,2,0,0,1,2,3
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-12-01,2,3,0,0,2,3,5
VILA VILA,malaria,tratamientos iniciados por sospecha,2011-12-01,1,1,0,0,1,1,2
