,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2011-01-01,0,6,0,0,0,6,6
GUANAY,malaria,numero de muestras hematicas tomadas,2011-01-01,74,70,0,0,74,70,144
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2011-01-01,1237,1000,188,120,1425,1120,2545
INCAHUASI,malaria,numero de muestras hematicas tomadas,2011-01-01,3,3,0,0,3,3,6
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2011-01-01,18,12,0,0,18,12,30
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2011-01-01,3,2,0,0,3,2,5
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2011-01-01,17,10,0,0,17,10,27
LA PAZ,malaria,numero de muestras hematicas tomadas,2011-01-01,34,37,31,33,65,70,135
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2011-01-01,3,7,0,0,3,7,10
MACHARETI,malaria,numero de muestras hematicas tomadas,2011-01-01,0,3,0,0,0,3,3
MAGDALENA,malaria,numero de muestras hematicas tomadas,2011-01-01,8,9,0,0,8,9,17
MAPIRI,malaria,numero de muestras hematicas tomadas,2011-01-01,3,0,0,0,3,0,3
MIZQUE,malaria,numero de muestras hematicas tomadas,2011-01-01,1,5,8,4,9,9,18
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2011-01-01,0,2,0,0,0,2,2
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2011-01-01,93,122,0,0,93,122,215
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2011-01-01,49,27,0,0,49,27,76
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2011-01-01,102,34,0,0,102,34,136
OMEREQUE,malaria,numero de muestras hematicas tomadas,2011-01-01,1,1,0,0,1,1,2
PADCAYA,malaria,numero de muestras hematicas tomadas,2011-01-01,14,11,0,0,14,11,25
PADILLA,malaria,numero de muestras hematicas tomadas,2011-01-01,70,96,0,0,70,96,166
PAILON,malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2011-01-01,60,56,0,0,60,56,116
PORONGO,malaria,numero de muestras hematicas tomadas,2011-01-01,16,10,0,0,16,10,26
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
PORVENIR,malaria,numero de muestras hematicas tomadas,2011-01-01,82,54,0,0,82,54,136
POSTRER VALLE,malaria,numero de muestras hematicas tomadas,2011-01-01,7,4,0,0,7,4,11
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2011-01-01,154,58,0,0,154,58,212
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2011-01-01,106,65,0,0,106,65,171
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2011-01-01,1,1,0,0,1,1,2
REYES,malaria,numero de muestras hematicas tomadas,2011-01-01,7,11,0,0,7,11,18
RIBERALTA,malaria,numero de muestras hematicas tomadas,2011-01-01,1069,918,10,3,1079,921,2000
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2011-01-01,3,0,0,0,3,0,3
SAIPINA,malaria,numero de muestras hematicas tomadas,2011-01-01,36,19,0,0,36,19,55
SAN BORJA,malaria,numero de muestras hematicas tomadas,2011-01-01,9,4,0,0,9,4,13
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2011-01-01,1,1,2,0,3,1,4
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2011-01-01,45,48,0,0,45,48,93
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2011-01-01,15,25,0,0,15,25,40
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2011-01-01,3,2,0,0,3,2,5
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2011-01-01,98,64,0,0,98,64,162
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2011-01-01,6,71,0,0,6,71,77
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2011-01-01,21,20,0,0,21,20,41
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2011-01-01,5,1,0,0,5,1,6
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2011-01-01,11,8,0,0,11,8,19
SENA,malaria,numero de muestras hematicas tomadas,2011-01-01,47,16,0,0,47,16,63
SHINAOTA,malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
SOPACHUY,malaria,numero de muestras hematicas tomadas,2011-01-01,10,28,0,0,10,28,38
TARABUCO,malaria,numero de muestras hematicas tomadas,2011-01-01,3,3,0,0,3,3,6
TEOPONTE,malaria,numero de muestras hematicas tomadas,2011-01-01,69,51,0,0,69,51,120
TOMINA,malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
TORO TORO,malaria,numero de muestras hematicas tomadas,2011-01-01,6,6,0,0,6,6,12
TRIGAL,malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2011-01-01,2,2,0,0,2,2,4
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2011-01-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2011-01-01,123,154,0,0,123,154,277
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2011-01-01,23,29,0,0,23,29,52
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2011-01-01,4,9,0,0,4,9,13
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2011-01-01,13,6,0,0,13,6,19
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2011-01-01,3,2,0,0,3,2,5
WARNES,malaria,numero de muestras hematicas tomadas,2011-01-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de muestras hematicas tomadas,2011-01-01,125,102,0,0,125,102,227
YAPACANI,malaria,numero de muestras hematicas tomadas,2011-01-01,2,0,0,0,2,0,2
ACACIO,malaria,numero de muestras hematicas tomadas,2011-02-01,6,0,0,0,6,0,6
AIQUILE,malaria,numero de muestras hematicas tomadas,2011-02-01,3,3,0,0,3,3,6
ALCALA,malaria,numero de muestras hematicas tomadas,2011-02-01,4,3,0,0,4,3,7
ALTO BENI,malaria,numero de muestras hematicas tomadas,2011-02-01,0,1,0,0,0,1,1
APOLO,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
AYATA,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
AZURDUY,malaria,numero de muestras hematicas tomadas,2011-02-01,125,80,0,0,125,80,205
BAURES,malaria,numero de muestras hematicas tomadas,2011-02-01,12,15,0,0,12,15,27
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2011-02-01,61,23,0,0,61,23,84
BERMEJO,malaria,numero de muestras hematicas tomadas,2011-02-01,34,45,0,0,34,45,79
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2011-02-01,31,0,0,0,31,0,31
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-02-01,2,3,0,0,2,3,5
CABEZAS,malaria,numero de muestras hematicas tomadas,2011-02-01,4,0,0,0,4,0,4
CAMARGO,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2011-02-01,0,1,0,0,0,1,1
CAMIRI,malaria,numero de muestras hematicas tomadas,2011-02-01,1,2,0,0,1,2,3
CARANAVI,malaria,numero de muestras hematicas tomadas,2011-02-01,42,30,0,0,42,30,72
CARAPARI,malaria,numero de muestras hematicas tomadas,2011-02-01,34,18,0,0,34,18,52
COBIJA,malaria,numero de muestras hematicas tomadas,2011-02-01,74,9,0,0,74,9,83
COMARAPA,malaria,numero de muestras hematicas tomadas,2011-02-01,1,3,0,0,1,3,4
COROICO,malaria,numero de muestras hematicas tomadas,2011-02-01,3,3,1,0,4,3,7
COTOCA,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
CULPINA,malaria,numero de muestras hematicas tomadas,2011-02-01,3,6,0,0,3,6,9
EL TORNO,malaria,numero de muestras hematicas tomadas,2011-02-01,129,135,0,0,129,135,264
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2011-02-01,98,104,0,0,98,104,202
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2011-02-01,162,30,0,0,162,30,192
FILADELFIA,malaria,numero de muestras hematicas tomadas,2011-02-01,168,0,0,0,168,0,168
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2011-02-01,8,4,0,0,8,4,12
GUANAY,malaria,numero de muestras hematicas tomadas,2011-02-01,61,53,0,0,61,53,114
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2011-02-01,1011,916,31,45,1042,961,2003
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2011-02-01,3,15,0,0,3,15,18
HUACARETA,malaria,numero de muestras hematicas tomadas,2011-02-01,14,21,0,0,14,21,35
ICLA,malaria,numero de muestras hematicas tomadas,2011-02-01,18,18,0,0,18,18,36
INCAHUASI,malaria,numero de muestras hematicas tomadas,2011-02-01,167,135,0,0,167,135,302
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2011-02-01,58,0,0,0,58,0,58
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2011-02-01,13,4,0,0,13,4,17
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2011-02-01,24,5,0,0,24,5,29
LA PAZ,malaria,numero de muestras hematicas tomadas,2011-02-01,15,10,15,10,30,20,50
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2011-02-01,5,12,0,0,5,12,17
MACHARETI,malaria,numero de muestras hematicas tomadas,2011-02-01,2,0,0,0,2,0,2
MAGDALENA,malaria,numero de muestras hematicas tomadas,2011-02-01,4,1,0,0,4,1,5
MAIRANA,malaria,numero de muestras hematicas tomadas,2011-02-01,1,2,0,0,1,2,3
MAPIRI,malaria,numero de muestras hematicas tomadas,2011-02-01,5,10,0,0,5,10,15
MIZQUE,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,3,0,4,0,4
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2011-02-01,5,8,5,6,10,14,24
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2011-02-01,119,123,0,0,119,123,242
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2011-02-01,55,5,0,0,55,5,60
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2011-02-01,182,102,0,0,182,102,284
PADCAYA,malaria,numero de muestras hematicas tomadas,2011-02-01,2,1,0,0,2,1,3
PADILLA,malaria,numero de muestras hematicas tomadas,2011-02-01,7,5,0,0,7,5,12
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2011-02-01,79,64,0,0,79,64,143
POJO (CBBA),malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de muestras hematicas tomadas,2011-02-01,25,14,0,0,25,14,39
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,1,0,2,0,2
PORVENIR,malaria,numero de muestras hematicas tomadas,2011-02-01,64,52,0,0,64,52,116
POSTRER VALLE,malaria,numero de muestras hematicas tomadas,2011-02-01,4,5,0,0,4,5,9
PRESTO,malaria,numero de muestras hematicas tomadas,2011-02-01,7,2,0,0,7,2,9
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2011-02-01,30,21,0,0,30,21,51
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2011-02-01,177,139,0,0,177,139,316
PUERTO SILES,malaria,numero de muestras hematicas tomadas,2011-02-01,0,1,0,0,0,1,1
PUNATA,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
REYES,malaria,numero de muestras hematicas tomadas,2011-02-01,11,16,0,0,11,16,27
RIBERALTA,malaria,numero de muestras hematicas tomadas,2011-02-01,914,864,154,69,1068,933,2001
ROBORE,malaria,numero de muestras hematicas tomadas,2011-02-01,6,14,0,0,6,14,20
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2011-02-01,1,1,0,0,1,1,2
SAIPINA,malaria,numero de muestras hematicas tomadas,2011-02-01,58,45,0,0,58,45,103
SAN BORJA,malaria,numero de muestras hematicas tomadas,2011-02-01,10,4,0,0,10,4,14
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2011-02-01,3,2,0,0,3,2,5
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2011-02-01,2,5,0,0,2,5,7
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2011-02-01,18,14,0,0,18,14,32
SAN JAVIER(STC),malaria,numero de muestras hematicas tomadas,2011-02-01,2,3,0,0,2,3,5
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2011-02-01,5,2,0,0,5,2,7
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2011-02-01,136,132,0,0,136,132,268
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2011-02-01,2,69,0,0,2,69,71
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2011-02-01,4,14,0,0,4,14,18
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-02-01,25,10,0,0,25,10,35
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2011-02-01,101,28,0,0,101,28,129
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2011-02-01,8,5,0,0,8,5,13
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2011-02-01,8,6,0,0,8,6,14
SENA,malaria,numero de muestras hematicas tomadas,2011-02-01,75,49,0,0,75,49,124
SHINAOTA,malaria,numero de muestras hematicas tomadas,2011-02-01,2,3,0,0,2,3,5
SOPACHUY,malaria,numero de muestras hematicas tomadas,2011-02-01,6,17,0,0,6,17,23
TEOPONTE,malaria,numero de muestras hematicas tomadas,2011-02-01,33,25,0,0,33,25,58
TOCO,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
TOMINA,malaria,numero de muestras hematicas tomadas,2011-02-01,2,2,0,0,2,2,4
TORO TORO,malaria,numero de muestras hematicas tomadas,2011-02-01,3,2,0,0,3,2,5
TOTORA(CBBA),malaria,numero de muestras hematicas tomadas,2011-02-01,0,1,0,1,0,2,2
TRINIDAD,malaria,numero de muestras hematicas tomadas,2011-02-01,2,0,0,0,2,0,2
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2011-02-01,1,2,0,0,1,2,3
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2011-02-01,1,2,0,0,1,2,3
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2011-02-01,130,113,0,0,130,113,243
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2011-02-01,39,33,0,0,39,33,72
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2011-02-01,1,22,0,0,1,22,23
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2011-02-01,12,9,0,0,12,9,21
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2011-02-01,30,38,0,0,30,38,68
YACUIBA,malaria,numero de muestras hematicas tomadas,2011-02-01,265,164,0,0,265,164,429
YAPACANI,malaria,numero de muestras hematicas tomadas,2011-02-01,1,0,0,0,1,0,1
ACACIO,malaria,numero de muestras hematicas tomadas,2011-03-01,14,0,0,0,14,0,14
AIQUILE,malaria,numero de muestras hematicas tomadas,2011-03-01,0,1,0,0,0,1,1
ALCALA,malaria,numero de muestras hematicas tomadas,2011-03-01,12,18,0,0,12,18,30
ALTO BENI,malaria,numero de muestras hematicas tomadas,2011-03-01,0,1,0,0,0,1,1
APOLO,malaria,numero de muestras hematicas tomadas,2011-03-01,2,1,0,0,2,1,3
AZURDUY,malaria,numero de muestras hematicas tomadas,2011-03-01,72,49,0,0,72,49,121
BAURES,malaria,numero de muestras hematicas tomadas,2011-03-01,27,12,0,0,27,12,39
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2011-03-01,44,0,0,0,44,0,44
BERMEJO,malaria,numero de muestras hematicas tomadas,2011-03-01,39,31,0,0,39,31,70
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2011-03-01,19,15,0,0,19,15,34
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-03-01,9,2,0,2,9,4,13
CABEZAS,malaria,numero de muestras hematicas tomadas,2011-03-01,4,2,0,0,4,2,6
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2011-03-01,0,1,0,0,0,1,1
CAMIRI,malaria,numero de muestras hematicas tomadas,2011-03-01,3,4,0,0,3,4,7
CARANAVI,malaria,numero de muestras hematicas tomadas,2011-03-01,26,29,0,0,26,29,55
CARAPARI,malaria,numero de muestras hematicas tomadas,2011-03-01,27,29,0,0,27,29,56
CHARAGUA,malaria,numero de muestras hematicas tomadas,2011-03-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),malaria,numero de muestras hematicas tomadas,2011-03-01,2,0,0,0,2,0,2
COBIJA,malaria,numero de muestras hematicas tomadas,2011-03-01,55,3,0,0,55,3,58
COMARAPA,malaria,numero de muestras hematicas tomadas,2011-03-01,4,2,0,0,4,2,6
CONCEPCION,malaria,numero de muestras hematicas tomadas,2011-03-01,30,15,0,0,30,15,45
CULPINA,malaria,numero de muestras hematicas tomadas,2011-03-01,0,23,0,0,0,23,23
EL TORNO,malaria,numero de muestras hematicas tomadas,2011-03-01,152,189,0,0,152,189,341
EL VILLAR,malaria,numero de muestras hematicas tomadas,2011-03-01,28,93,0,0,28,93,121
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2011-03-01,99,89,0,0,99,89,188
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2011-03-01,114,89,0,0,114,89,203
FILADELFIA,malaria,numero de muestras hematicas tomadas,2011-03-01,161,0,0,0,161,0,161
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2011-03-01,5,0,0,0,5,0,5
GUANAY,malaria,numero de muestras hematicas tomadas,2011-03-01,19,13,0,0,19,13,32
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2011-03-01,1147,1273,0,0,1147,1273,2420
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2011-03-01,1,24,0,0,1,24,25
HUACARETA,malaria,numero de muestras hematicas tomadas,2011-03-01,25,14,0,0,25,14,39
INCAHUASI,malaria,numero de muestras hematicas tomadas,2011-03-01,67,101,0,0,67,101,168
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2011-03-01,63,0,0,0,63,0,63
IRUPANA (VILLA DE LANZA),malaria,numero de muestras hematicas tomadas,2011-03-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2011-03-01,8,5,0,0,8,5,13
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2011-03-01,14,5,0,0,14,5,19
LA PAZ,malaria,numero de muestras hematicas tomadas,2011-03-01,6,8,16,8,22,16,38
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2011-03-01,12,14,0,0,12,14,26
MACHARETI,malaria,numero de muestras hematicas tomadas,2011-03-01,4,1,0,0,4,1,5
MAGDALENA,malaria,numero de muestras hematicas tomadas,2011-03-01,229,216,0,0,229,216,445
MAIRANA,malaria,numero de muestras hematicas tomadas,2011-03-01,0,2,0,0,0,2,2
MAPIRI,malaria,numero de muestras hematicas tomadas,2011-03-01,23,16,0,0,23,16,39
MIZQUE,malaria,numero de muestras hematicas tomadas,2011-03-01,0,0,3,0,3,0,3
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2011-03-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2011-03-01,66,78,0,0,66,78,144
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2011-03-01,65,16,0,0,65,16,81
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2011-03-01,183,141,0,0,183,141,324
PADCAYA,malaria,numero de muestras hematicas tomadas,2011-03-01,28,25,0,0,28,25,53
PADILLA,malaria,numero de muestras hematicas tomadas,2011-03-01,149,127,0,0,149,127,276
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2011-03-01,24,12,0,0,24,12,36
POROMA,malaria,numero de muestras hematicas tomadas,2011-03-01,0,8,0,0,0,8,8
PORONGO,malaria,numero de muestras hematicas tomadas,2011-03-01,21,23,0,0,21,23,44
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2011-03-01,2,0,2,0,4,0,4
PORVENIR,malaria,numero de muestras hematicas tomadas,2011-03-01,352,335,0,0,352,335,687
POSTRER VALLE,malaria,numero de muestras hematicas tomadas,2011-03-01,1,2,0,0,1,2,3
PRESTO,malaria,numero de muestras hematicas tomadas,2011-03-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2011-03-01,49,1,0,0,49,1,50
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2011-03-01,230,100,0,0,230,100,330
REYES,malaria,numero de muestras hematicas tomadas,2011-03-01,21,31,0,0,21,31,52
RIBERALTA,malaria,numero de muestras hematicas tomadas,2011-03-01,582,470,2,0,584,470,1054
ROBORE,malaria,numero de muestras hematicas tomadas,2011-03-01,3,7,0,0,3,7,10
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2011-03-01,3,3,0,0,3,3,6
SAIPINA,malaria,numero de muestras hematicas tomadas,2011-03-01,71,93,0,0,71,93,164
SAN BORJA,malaria,numero de muestras hematicas tomadas,2011-03-01,2,1,0,0,2,1,3
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2011-03-01,4,4,0,0,4,4,8
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2011-03-01,2,1,0,0,2,1,3
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2011-03-01,57,39,0,0,57,39,96
SAN JAVIER(STC),malaria,numero de muestras hematicas tomadas,2011-03-01,2,3,0,0,2,3,5
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2011-03-01,8,22,0,0,8,22,30
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2011-03-01,5,0,0,0,5,0,5
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2011-03-01,169,48,0,0,169,48,217
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2011-03-01,2,61,0,0,2,61,63
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2011-03-01,36,42,0,0,36,42,78
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-03-01,79,21,0,0,79,21,100
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2011-03-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2011-03-01,18,8,0,0,18,8,26
SENA,malaria,numero de muestras hematicas tomadas,2011-03-01,112,4,0,0,112,4,116
SHINAOTA,malaria,numero de muestras hematicas tomadas,2011-03-01,3,3,0,0,3,3,6
SOPACHUY,malaria,numero de muestras hematicas tomadas,2011-03-01,3,8,0,0,3,8,11
SUCRE,malaria,numero de muestras hematicas tomadas,2011-03-01,36,48,0,0,36,48,84
TARVITA,malaria,numero de muestras hematicas tomadas,2011-03-01,3,10,0,0,3,10,13
TEOPONTE,malaria,numero de muestras hematicas tomadas,2011-03-01,6,5,0,0,6,5,11
TOMINA,malaria,numero de muestras hematicas tomadas,2011-03-01,2,2,0,0,2,2,4
TORO TORO,malaria,numero de muestras hematicas tomadas,2011-03-01,44,42,0,0,44,42,86
URIONDO (A. CONCEPCION),malaria,numero de muestras hematicas tomadas,2011-03-01,0,0,0,1,0,1,1
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2011-03-01,3,1,0,0,3,1,4
VILA VILA,malaria,numero de muestras hematicas tomadas,2011-03-01,0,0,0,1,0,1,1
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2011-03-01,0,4,0,0,0,4,4
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2011-03-01,50,75,0,0,50,75,125
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2011-03-01,91,103,0,0,91,103,194
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2011-03-01,26,35,0,0,26,35,61
