municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
UNCIA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-05-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-06-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-06-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-06-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-06-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-06-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-06-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-07-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-07-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-07-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-07-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-07-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-08-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-08-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-08-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-09-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-09-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-09-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-09-01,2,2
CHARAGUA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-10-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-10-01,2,2
VITICHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-10-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-11-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-11-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-11-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-11-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-11-01,1,1
POCONA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-11-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-12-01,1,1
COMANCHE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-12-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-12-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-12-01,1,1
