municipality,group,variable,month,Primeras consultas,TOTAL
TIPUANI,atenciones odontologicas,primeras consultas,2008-01-01,67,67
TIQUIPAYA,atenciones odontologicas,primeras consultas,2008-01-01,231,231
TIRAQUE (CBBA),atenciones odontologicas,primeras consultas,2008-01-01,174,174
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,primeras consultas,2008-01-01,10,10
TOCO,atenciones odontologicas,primeras consultas,2008-01-01,73,73
TOLATA,atenciones odontologicas,primeras consultas,2008-01-01,34,34
TOLEDO,atenciones odontologicas,primeras consultas,2008-01-01,196,196
TOMAVE,atenciones odontologicas,primeras consultas,2008-01-01,44,44
TOMINA,atenciones odontologicas,primeras consultas,2008-01-01,125,125
TORO TORO,atenciones odontologicas,primeras consultas,2008-01-01,150,150
TOTORA(CBBA),atenciones odontologicas,primeras consultas,2008-01-01,76,76
TOTORA(ORR),atenciones odontologicas,primeras consultas,2008-01-01,32,32
TRIGAL,atenciones odontologicas,primeras consultas,2008-01-01,27,27
TRINIDAD,atenciones odontologicas,primeras consultas,2008-01-01,890,890
TUPIZA,atenciones odontologicas,primeras consultas,2008-01-01,497,497
TURCO,atenciones odontologicas,primeras consultas,2008-01-01,26,26
UMALA,atenciones odontologicas,primeras consultas,2008-01-01,144,144
UNCIA,atenciones odontologicas,primeras consultas,2008-01-01,214,214
URIONDO (A. CONCEPCION),atenciones odontologicas,primeras consultas,2008-01-01,233,233
URUBICHA,atenciones odontologicas,primeras consultas,2008-01-01,35,35
UYUNI,atenciones odontologicas,primeras consultas,2008-01-01,261,261
VACAS,atenciones odontologicas,primeras consultas,2008-01-01,76,76
VALLEGRANDE,atenciones odontologicas,primeras consultas,2008-01-01,311,311
VIACHA,atenciones odontologicas,primeras consultas,2008-01-01,458,458
VILLA MONTES,atenciones odontologicas,primeras consultas,2008-01-01,513,513
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,primeras consultas,2008-01-01,6,6
VILLA RIVERO,atenciones odontologicas,primeras consultas,2008-01-01,69,69
VILLA SERRANO,atenciones odontologicas,primeras consultas,2008-01-01,121,121
VILLA TUNARI,atenciones odontologicas,primeras consultas,2008-01-01,437,437
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,primeras consultas,2008-01-01,14,14
VILLAZON,atenciones odontologicas,primeras consultas,2008-01-01,424,424
VINTO,atenciones odontologicas,primeras consultas,2008-01-01,157,157
VITICHI,atenciones odontologicas,primeras consultas,2008-01-01,24,24
WALDO BALLIVIAN,atenciones odontologicas,primeras consultas,2008-01-01,29,29
WARNES,atenciones odontologicas,primeras consultas,2008-01-01,204,204
YACUIBA,atenciones odontologicas,primeras consultas,2008-01-01,791,791
YAMPARAEZ,atenciones odontologicas,primeras consultas,2008-01-01,59,59
YANACACHI,atenciones odontologicas,primeras consultas,2008-01-01,51,51
YAPACANI,atenciones odontologicas,primeras consultas,2008-01-01,79,79
YOCALLA,atenciones odontologicas,primeras consultas,2008-01-01,23,23
YOTALA,atenciones odontologicas,primeras consultas,2008-01-01,98,98
YUNCHARA,atenciones odontologicas,primeras consultas,2008-01-01,94,94
ZUDAÑEZ,atenciones odontologicas,primeras consultas,2008-01-01,42,42
ACACIO,atenciones odontologicas,primeras consultas,2008-02-01,56,56
ACHACACHI,atenciones odontologicas,primeras consultas,2008-02-01,245,245
ACHOCALLA,atenciones odontologicas,primeras consultas,2008-02-01,66,66
AIQUILE,atenciones odontologicas,primeras consultas,2008-02-01,69,69
ANCORAIMES,atenciones odontologicas,primeras consultas,2008-02-01,240,240
ANDAMARCA,atenciones odontologicas,primeras consultas,2008-02-01,95,95
ANTEQUERA,atenciones odontologicas,primeras consultas,2008-02-01,62,62
ANZALDO,atenciones odontologicas,primeras consultas,2008-02-01,66,66
APOLO,atenciones odontologicas,primeras consultas,2008-02-01,46,46
ARANI,atenciones odontologicas,primeras consultas,2008-02-01,52,52
ARBIETO,atenciones odontologicas,primeras consultas,2008-02-01,17,17
ARQUE,atenciones odontologicas,primeras consultas,2008-02-01,52,52
ASCENCION DE GUARAYOS,atenciones odontologicas,primeras consultas,2008-02-01,85,85
ATOCHA,atenciones odontologicas,primeras consultas,2008-02-01,749,749
AUCAPATA,atenciones odontologicas,primeras consultas,2008-02-01,50,50
AYATA,atenciones odontologicas,primeras consultas,2008-02-01,22,22
AYO AYO,atenciones odontologicas,primeras consultas,2008-02-01,133,133
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,primeras consultas,2008-02-01,100,100
AZURDUY,atenciones odontologicas,primeras consultas,2008-02-01,67,67
BATALLAS,atenciones odontologicas,primeras consultas,2008-02-01,103,103
BELEN DE URMIRI,atenciones odontologicas,primeras consultas,2008-02-01,33,33
BERMEJO,atenciones odontologicas,primeras consultas,2008-02-01,395,395
BETANZOS,atenciones odontologicas,primeras consultas,2008-02-01,34,34
BOLIVAR,atenciones odontologicas,primeras consultas,2008-02-01,43,43
BUENA VISTA,atenciones odontologicas,primeras consultas,2008-02-01,148,148
CABEZAS,atenciones odontologicas,primeras consultas,2008-02-01,167,167
CAIROMA,atenciones odontologicas,primeras consultas,2008-02-01,423,423
"CAIZA ""D""",atenciones odontologicas,primeras consultas,2008-02-01,91,91
CAJUATA,atenciones odontologicas,primeras consultas,2008-02-01,44,44
CALACOTO,atenciones odontologicas,primeras consultas,2008-02-01,50,50
CALAMARCA,atenciones odontologicas,primeras consultas,2008-02-01,235,235
CAMARGO,atenciones odontologicas,primeras consultas,2008-02-01,176,176
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,primeras consultas,2008-02-01,38,38
CAMIRI,atenciones odontologicas,primeras consultas,2008-02-01,576,576
CAPINOTA,atenciones odontologicas,primeras consultas,2008-02-01,81,81
CAQUIAVIRI,atenciones odontologicas,primeras consultas,2008-02-01,26,26
CARACOLLO,atenciones odontologicas,primeras consultas,2008-02-01,222,222
CARANAVI,atenciones odontologicas,primeras consultas,2008-02-01,320,320
CARAPARI,atenciones odontologicas,primeras consultas,2008-02-01,318,318
CARIPUYO,atenciones odontologicas,primeras consultas,2008-02-01,2,2
CATACORA,atenciones odontologicas,primeras consultas,2008-02-01,10,10
CHALLAPATA,atenciones odontologicas,primeras consultas,2008-02-01,36,36
CHARAGUA,atenciones odontologicas,primeras consultas,2008-02-01,400,400
CHARAÑA,atenciones odontologicas,primeras consultas,2008-02-01,119,119
CHAYANTA,atenciones odontologicas,primeras consultas,2008-02-01,67,67
CHIMORE,atenciones odontologicas,primeras consultas,2008-02-01,72,72
CHOQUE COTA,atenciones odontologicas,primeras consultas,2008-02-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,primeras consultas,2008-02-01,122,122
CHUMA,atenciones odontologicas,primeras consultas,2008-02-01,138,138
CLIZA,atenciones odontologicas,primeras consultas,2008-02-01,52,52
COBIJA,atenciones odontologicas,primeras consultas,2008-02-01,471,471
COCHABAMBA,atenciones odontologicas,primeras consultas,2008-02-01,3750,3750
COIPASA,atenciones odontologicas,primeras consultas,2008-02-01,11,11
COLCAPIRHUA,atenciones odontologicas,primeras consultas,2008-02-01,144,144
"COLCHA ""K""",atenciones odontologicas,primeras consultas,2008-02-01,40,40
COLLANA,atenciones odontologicas,primeras consultas,2008-02-01,59,59
COLOMI,atenciones odontologicas,primeras consultas,2008-02-01,46,46
COLPA BELGICA,atenciones odontologicas,primeras consultas,2008-02-01,138,138
COLQUECHACA,atenciones odontologicas,primeras consultas,2008-02-01,126,126
COLQUENCHA,atenciones odontologicas,primeras consultas,2008-02-01,53,53
COLQUIRI,atenciones odontologicas,primeras consultas,2008-02-01,154,154
COMANCHE,atenciones odontologicas,primeras consultas,2008-02-01,76,76
COMARAPA,atenciones odontologicas,primeras consultas,2008-02-01,100,100
COMBAYA,atenciones odontologicas,primeras consultas,2008-02-01,21,21
CONCEPCION,atenciones odontologicas,primeras consultas,2008-02-01,138,138
COPACABANA,atenciones odontologicas,primeras consultas,2008-02-01,94,94
CORIPATA,atenciones odontologicas,primeras consultas,2008-02-01,154,154
CORO CORO,atenciones odontologicas,primeras consultas,2008-02-01,51,51
COROICO,atenciones odontologicas,primeras consultas,2008-02-01,10,10
CORQUE,atenciones odontologicas,primeras consultas,2008-02-01,8,8
COTAGAITA,atenciones odontologicas,primeras consultas,2008-02-01,62,62
COTOCA,atenciones odontologicas,primeras consultas,2008-02-01,234,234
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,primeras consultas,2008-02-01,50,50
CUEVO,atenciones odontologicas,primeras consultas,2008-02-01,67,67
CULPINA,atenciones odontologicas,primeras consultas,2008-02-01,110,110
CURAHUARA DE CARANGAS,atenciones odontologicas,primeras consultas,2008-02-01,66,66
CURVA,atenciones odontologicas,primeras consultas,2008-02-01,12,12
DESAGUADERO,atenciones odontologicas,primeras consultas,2008-02-01,5,5
EL ALTO,atenciones odontologicas,primeras consultas,2008-02-01,5027,5027
EL PUENTE(STC),atenciones odontologicas,primeras consultas,2008-02-01,50,50
EL PUENTE(TJA),atenciones odontologicas,primeras consultas,2008-02-01,392,392
EL TORNO,atenciones odontologicas,primeras consultas,2008-02-01,106,106
EL VILLAR,atenciones odontologicas,primeras consultas,2008-02-01,48,48
ENTRE RIOS,atenciones odontologicas,primeras consultas,2008-02-01,99,99
ENTRE RIOS,atenciones odontologicas,primeras consultas,2008-02-01,199,199
EUCALIPTUS,atenciones odontologicas,primeras consultas,2008-02-01,25,25
FERNANDEZ ALONSO,atenciones odontologicas,primeras consultas,2008-02-01,78,78
FILADELFIA,atenciones odontologicas,primeras consultas,2008-02-01,23,23
GENERAL SAAVEDRA,atenciones odontologicas,primeras consultas,2008-02-01,49,49
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,primeras consultas,2008-02-01,207,207
GUANAY,atenciones odontologicas,primeras consultas,2008-02-01,143,143
GUAQUI,atenciones odontologicas,primeras consultas,2008-02-01,143,143
GUAYARAMERIN,atenciones odontologicas,primeras consultas,2008-02-01,302,302
GUTIERREZ,atenciones odontologicas,primeras consultas,2008-02-01,82,82
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,primeras consultas,2008-02-01,15,15
HUACHACALLA,atenciones odontologicas,primeras consultas,2008-02-01,29,29
HUANUNI,atenciones odontologicas,primeras consultas,2008-02-01,84,84
HUARACAJE,atenciones odontologicas,primeras consultas,2008-02-01,3,3
HUAYLLAMARCA,atenciones odontologicas,primeras consultas,2008-02-01,17,17
ICHOCA,atenciones odontologicas,primeras consultas,2008-02-01,16,16
ICLA,atenciones odontologicas,primeras consultas,2008-02-01,95,95
INCAHUASI,atenciones odontologicas,primeras consultas,2008-02-01,184,184
INQUISIVI,atenciones odontologicas,primeras consultas,2008-02-01,74,74
IRUPANA (VILLA DE LANZA),atenciones odontologicas,primeras consultas,2008-02-01,84,84
IXIAMAS,atenciones odontologicas,primeras consultas,2008-02-01,78,78
