municipality,group,variable,month,Consultas nuevas en personas de 5 años y más,TOTAL
ICHOCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,34,34
ICLA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,121,121
INCAHUASI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,140,140
INQUISIVI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,87,87
IRUPANA (VILLA DE LANZA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,174,174
IXIAMAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,191,191
JESUS DE MACHACA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,158,158
LA ASUNTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,62,62
LA GUARDIA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,393,393
LA PAZ,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,15412,15412
LAGUNILLAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,157,157
LAJA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,182,182
LICOMA PAMPA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,61,61
LLALLAGUA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,275,275
LLICA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,35,35
LURIBAY,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,68,68
MACHACAMARCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,188,188
MACHARETI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,55,55
MAGDALENA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,295,295
MAIRANA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,150,150
MAPIRI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,187,187
MECAPACA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,104,104
MINEROS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,29,29
MIZQUE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,90,90
MOCOMOCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,68,68
MOJOCOYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,35,35
MONTEAGUDO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,322,322
MONTERO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,552,552
MORO MORO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,63,63
MOROCHATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,162,162
OCURI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,71,71
OKINAWA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,103,103
OMEREQUE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,43,43
ORURO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,4643,4643
PADCAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,301,301
PADILLA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,120,120
PAILON,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,137,137
PALCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,178,178
PALOS BLANCOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,190,190
PAMPA AULLAGAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,81,81
PAPEL PAMPA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,16,16
PASORAPA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,65,65
PATACAMAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,62,62
PAZÑA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,132,132
PELECHUCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,28,28
POCOATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,70,70
POCONA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,7,7
POJO (CBBA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,42,42
POOPO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,147,147
PORCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,74,74
POROMA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,44,44
PORONGO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,126,126
PORTACHUELO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,250,250
PORVENIR,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,66,66
POSTRER VALLE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,34,34
POTOSI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,1851,1851
PUCARA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,153,153
PUCARANI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,237,237
PUERTO ACOSTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,390,390
PUERTO CARABUCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,169,169
PUERTO GONZALO MORENO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,31,31
PUERTO PEREZ,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,9,9
PUERTO QUIJARRO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,93,93
PUERTO RICO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,58,58
PUERTO SUAREZ,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,203,203
PUERTO VILLARROEL,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,233,233
PUNA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,259,259
PUNATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,492,492
QUIABAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,4,4
QUILLACOLLO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,909,909
QUIME,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,404,404
QUIRUSILLAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,118,118
REYES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,116,116
RIBERALTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,511,511
ROBORE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,292,292
RURRENABAQUE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,112,112
SABAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,69,69
SACABA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,518,518
SACACA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,42,42
SAIPINA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,207,207
SALINAS DE GARCI MENDOZA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,157,157
SAMAIPATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,140,140
SAN AGUSTIN,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,27,27
SAN ANDRES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,21,21
SAN ANDRES DE MACHACA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,62,62
SAN ANTONIO DE LOMERIO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,94,94
SAN BENITO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,137,137
SAN BORJA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,211,211
SAN BUENA VENTURA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,47,47
SAN CARLOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,189,189
SAN IGNACIO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,191,191
SAN IGNACIO DE VELASCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,441,441
SAN JAVIER(BNI),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,30,30
SAN JAVIER(STC),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,49,49
SAN JOAQUIN,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,130,130
SAN JOSE DE CHIQUITOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,61,61
SAN JUAN DE YAPACANI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,85,85
SAN LORENZO(TJA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,830,830
SAN LUCAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,129,129
SAN MATIAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,148,148
SAN MIGUEL DE VELASCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,233,233
SAN PEDRO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,65,65
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,77,77
SAN PEDRO DE CURAHUARA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,25,25
SAN PEDRO DE TIQUINA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,73,73
SAN RAFAEL,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,69,69
SAN RAMON,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,54,54
SAN RAMON,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,55,55
SANTA ANA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,184,184
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,11524,11524
SANTA ROSA DEL SARA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,386,386
SANTIAGO DE CALLAPA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,1,1
SANTIAGO DE HUARI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,214,214
SANTIAGO DE MACHACA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,32,32
SANTIVAÑES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,30,30
SANTUARIO DE QUILLACAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,87,87
SAPAHAQUI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,32,32
SENA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,8,8
SICA SICA (VILLA AROMA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,113,113
SICAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,28,28
SIPE SIPE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,374,374
SORACACHI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,78,78
SORATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,116,116
SUCRE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,5016,5016
TACACOMA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,100,100
TACOPAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,46,46
TAPACARI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,109,109
TARABUCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,102,102
TARACO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,36,36
TARATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,180,180
TARIJA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,3758,3758
TARVITA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,84,84
TEOPONTE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,64,64
TIAWANACU,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,113,113
TINGUIPAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,72,72
TIPUANI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,61,61
TIQUIPAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,322,322
TIRAQUE (CBBA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,550,550
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,10,10
TOCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,100,100
TOLATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,68,68
TOLEDO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,149,149
TOMAVE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,36,36
TOMINA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,146,146
TORO TORO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,119,119
TOTORA(CBBA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,85,85
TOTORA(ORR),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,23,23
TRIGAL,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,52,52
TRINIDAD,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,977,977
TUPIZA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,278,278
TURCO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,29,29
UMALA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,67,67
UNCIA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,241,241
URIONDO (A. CONCEPCION),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,347,347
URUBICHA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,52,52
UYUNI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,287,287
VACAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,173,173
VALLEGRANDE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,279,279
VIACHA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,487,487
VILLA MONTES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,712,712
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,45,45
VILLA RIVERO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,65,65
VILLA SERRANO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,18,18
VILLA TUNARI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,440,440
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,190,190
VILLAZON,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,570,570
VINTO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,64,64
VITICHI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,2,2
WALDO BALLIVIAN,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,26,26
WARNES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,541,541
YACUIBA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,1245,1245
YAMPARAEZ,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,39,39
YANACACHI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,57,57
YAPACANI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,203,203
