municipality,group,variable,month,Acciones preventivas,TOTAL
PORCO,atenciones odontologicas,acciones preventivas,2008-01-01,22,22
PORONGO,atenciones odontologicas,acciones preventivas,2008-01-01,76,76
PORTACHUELO,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
PORVENIR,atenciones odontologicas,acciones preventivas,2008-01-01,41,41
POTOSI,atenciones odontologicas,acciones preventivas,2008-01-01,751,751
PUCARA,atenciones odontologicas,acciones preventivas,2008-01-01,131,131
PUCARANI,atenciones odontologicas,acciones preventivas,2008-01-01,8,8
PUERTO ACOSTA,atenciones odontologicas,acciones preventivas,2008-01-01,7,7
PUERTO CARABUCO,atenciones odontologicas,acciones preventivas,2008-01-01,11,11
PUERTO GONZALO MORENO,atenciones odontologicas,acciones preventivas,2008-01-01,5,5
PUERTO QUIJARRO,atenciones odontologicas,acciones preventivas,2008-01-01,45,45
PUERTO RICO,atenciones odontologicas,acciones preventivas,2008-01-01,3,3
PUERTO SUAREZ,atenciones odontologicas,acciones preventivas,2008-01-01,23,23
PUERTO VILLARROEL,atenciones odontologicas,acciones preventivas,2008-01-01,112,112
PUNA,atenciones odontologicas,acciones preventivas,2008-01-01,46,46
PUNATA,atenciones odontologicas,acciones preventivas,2008-01-01,497,497
QUIABAYA,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
QUILLACOLLO,atenciones odontologicas,acciones preventivas,2008-01-01,1078,1078
QUIME,atenciones odontologicas,acciones preventivas,2008-01-01,260,260
QUIRUSILLAS,atenciones odontologicas,acciones preventivas,2008-01-01,24,24
REYES,atenciones odontologicas,acciones preventivas,2008-01-01,12,12
RIBERALTA,atenciones odontologicas,acciones preventivas,2008-01-01,275,275
ROBORE,atenciones odontologicas,acciones preventivas,2008-01-01,125,125
RURRENABAQUE,atenciones odontologicas,acciones preventivas,2008-01-01,102,102
SABAYA,atenciones odontologicas,acciones preventivas,2008-01-01,64,64
SACABA,atenciones odontologicas,acciones preventivas,2008-01-01,391,391
SACACA,atenciones odontologicas,acciones preventivas,2008-01-01,50,50
SAIPINA,atenciones odontologicas,acciones preventivas,2008-01-01,204,204
SALINAS DE GARCI MENDOZA,atenciones odontologicas,acciones preventivas,2008-01-01,45,45
SAMAIPATA,atenciones odontologicas,acciones preventivas,2008-01-01,19,19
SAN AGUSTIN,atenciones odontologicas,acciones preventivas,2008-01-01,2,2
SAN ANTONIO DE LOMERIO,atenciones odontologicas,acciones preventivas,2008-01-01,22,22
SAN BENITO,atenciones odontologicas,acciones preventivas,2008-01-01,4,4
SAN BORJA,atenciones odontologicas,acciones preventivas,2008-01-01,16,16
SAN BUENA VENTURA,atenciones odontologicas,acciones preventivas,2008-01-01,22,22
SAN CARLOS,atenciones odontologicas,acciones preventivas,2008-01-01,113,113
SAN IGNACIO,atenciones odontologicas,acciones preventivas,2008-01-01,50,50
SAN IGNACIO DE VELASCO,atenciones odontologicas,acciones preventivas,2008-01-01,537,537
SAN JAVIER(STC),atenciones odontologicas,acciones preventivas,2008-01-01,129,129
SAN JOAQUIN,atenciones odontologicas,acciones preventivas,2008-01-01,91,91
SAN JUAN DE YAPACANI,atenciones odontologicas,acciones preventivas,2008-01-01,81,81
SAN LORENZO(TJA),atenciones odontologicas,acciones preventivas,2008-01-01,143,143
SAN LUCAS,atenciones odontologicas,acciones preventivas,2008-01-01,100,100
SAN MATIAS,atenciones odontologicas,acciones preventivas,2008-01-01,28,28
SAN MIGUEL DE VELASCO,atenciones odontologicas,acciones preventivas,2008-01-01,72,72
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,acciones preventivas,2008-01-01,45,45
SAN PEDRO DE CURAHUARA,atenciones odontologicas,acciones preventivas,2008-01-01,11,11
SAN PEDRO DE TIQUINA,atenciones odontologicas,acciones preventivas,2008-01-01,18,18
SAN RAFAEL,atenciones odontologicas,acciones preventivas,2008-01-01,64,64
SAN RAMON,atenciones odontologicas,acciones preventivas,2008-01-01,36,36
SAN RAMON,atenciones odontologicas,acciones preventivas,2008-01-01,17,17
SANTA ANA,atenciones odontologicas,acciones preventivas,2008-01-01,186,186
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,acciones preventivas,2008-01-01,8187,8187
SANTA ROSA DEL SARA,atenciones odontologicas,acciones preventivas,2008-01-01,41,41
SANTIAGO DE HUARI,atenciones odontologicas,acciones preventivas,2008-01-01,49,49
SANTIAGO DE MACHACA,atenciones odontologicas,acciones preventivas,2008-01-01,12,12
SANTIVAÑES,atenciones odontologicas,acciones preventivas,2008-01-01,2,2
SANTUARIO DE QUILLACAS,atenciones odontologicas,acciones preventivas,2008-01-01,10,10
SAPAHAQUI,atenciones odontologicas,acciones preventivas,2008-01-01,67,67
SICA SICA (VILLA AROMA),atenciones odontologicas,acciones preventivas,2008-01-01,218,218
SIPE SIPE,atenciones odontologicas,acciones preventivas,2008-01-01,330,330
SORACACHI,atenciones odontologicas,acciones preventivas,2008-01-01,2,2
SORATA,atenciones odontologicas,acciones preventivas,2008-01-01,19,19
SUCRE,atenciones odontologicas,acciones preventivas,2008-01-01,1148,1148
TACACOMA,atenciones odontologicas,acciones preventivas,2008-01-01,23,23
TACOPAYA,atenciones odontologicas,acciones preventivas,2008-01-01,6,6
TAPACARI,atenciones odontologicas,acciones preventivas,2008-01-01,60,60
TARABUCO,atenciones odontologicas,acciones preventivas,2008-01-01,1024,1024
TARACO,atenciones odontologicas,acciones preventivas,2008-01-01,5,5
TARATA,atenciones odontologicas,acciones preventivas,2008-01-01,66,66
TARIJA,atenciones odontologicas,acciones preventivas,2008-01-01,636,636
TARVITA,atenciones odontologicas,acciones preventivas,2008-01-01,349,349
TEOPONTE,atenciones odontologicas,acciones preventivas,2008-01-01,6,6
TINGUIPAYA,atenciones odontologicas,acciones preventivas,2008-01-01,43,43
TIPUANI,atenciones odontologicas,acciones preventivas,2008-01-01,24,24
TIQUIPAYA,atenciones odontologicas,acciones preventivas,2008-01-01,440,440
TIRAQUE (CBBA),atenciones odontologicas,acciones preventivas,2008-01-01,181,181
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,acciones preventivas,2008-01-01,6,6
TOCO,atenciones odontologicas,acciones preventivas,2008-01-01,62,62
TOLATA,atenciones odontologicas,acciones preventivas,2008-01-01,150,150
TOLEDO,atenciones odontologicas,acciones preventivas,2008-01-01,7,7
TOMAVE,atenciones odontologicas,acciones preventivas,2008-01-01,73,73
TOMINA,atenciones odontologicas,acciones preventivas,2008-01-01,451,451
TORO TORO,atenciones odontologicas,acciones preventivas,2008-01-01,39,39
TOTORA(CBBA),atenciones odontologicas,acciones preventivas,2008-01-01,46,46
TRIGAL,atenciones odontologicas,acciones preventivas,2008-01-01,2,2
TRINIDAD,atenciones odontologicas,acciones preventivas,2008-01-01,1719,1719
TUPIZA,atenciones odontologicas,acciones preventivas,2008-01-01,64,64
TURCO,atenciones odontologicas,acciones preventivas,2008-01-01,14,14
UMALA,atenciones odontologicas,acciones preventivas,2008-01-01,100,100
UNCIA,atenciones odontologicas,acciones preventivas,2008-01-01,141,141
URIONDO (A. CONCEPCION),atenciones odontologicas,acciones preventivas,2008-01-01,44,44
UYUNI,atenciones odontologicas,acciones preventivas,2008-01-01,38,38
VACAS,atenciones odontologicas,acciones preventivas,2008-01-01,161,161
VALLEGRANDE,atenciones odontologicas,acciones preventivas,2008-01-01,563,563
VIACHA,atenciones odontologicas,acciones preventivas,2008-01-01,645,645
VILLA MONTES,atenciones odontologicas,acciones preventivas,2008-01-01,48,48
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,acciones preventivas,2008-01-01,10,10
VILLA RIVERO,atenciones odontologicas,acciones preventivas,2008-01-01,79,79
VILLA SERRANO,atenciones odontologicas,acciones preventivas,2008-01-01,81,81
VILLA TUNARI,atenciones odontologicas,acciones preventivas,2008-01-01,122,122
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,acciones preventivas,2008-01-01,75,75
VILLAZON,atenciones odontologicas,acciones preventivas,2008-01-01,176,176
VINTO,atenciones odontologicas,acciones preventivas,2008-01-01,20,20
WALDO BALLIVIAN,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
WARNES,atenciones odontologicas,acciones preventivas,2008-01-01,183,183
YACUIBA,atenciones odontologicas,acciones preventivas,2008-01-01,695,695
YAMPARAEZ,atenciones odontologicas,acciones preventivas,2008-01-01,48,48
YANACACHI,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
YOCALLA,atenciones odontologicas,acciones preventivas,2008-01-01,25,25
YOTALA,atenciones odontologicas,acciones preventivas,2008-01-01,104,104
YUNCHARA,atenciones odontologicas,acciones preventivas,2008-01-01,59,59
ZUDAÑEZ,atenciones odontologicas,acciones preventivas,2008-01-01,216,216
ACACIO,atenciones odontologicas,acciones preventivas,2008-02-01,2,2
ACHACACHI,atenciones odontologicas,acciones preventivas,2008-02-01,164,164
ACHOCALLA,atenciones odontologicas,acciones preventivas,2008-02-01,565,565
AIQUILE,atenciones odontologicas,acciones preventivas,2008-02-01,16,16
ALALAY,atenciones odontologicas,acciones preventivas,2008-02-01,2,2
ALCALA,atenciones odontologicas,acciones preventivas,2008-02-01,226,226
ANCORAIMES,atenciones odontologicas,acciones preventivas,2008-02-01,127,127
ANDAMARCA,atenciones odontologicas,acciones preventivas,2008-02-01,31,31
ANTEQUERA,atenciones odontologicas,acciones preventivas,2008-02-01,2,2
ANZALDO,atenciones odontologicas,acciones preventivas,2008-02-01,20,20
APOLO,atenciones odontologicas,acciones preventivas,2008-02-01,3,3
ARANI,atenciones odontologicas,acciones preventivas,2008-02-01,52,52
ARBIETO,atenciones odontologicas,acciones preventivas,2008-02-01,17,17
ARQUE,atenciones odontologicas,acciones preventivas,2008-02-01,26,26
ATOCHA,atenciones odontologicas,acciones preventivas,2008-02-01,263,263
AUCAPATA,atenciones odontologicas,acciones preventivas,2008-02-01,20,20
AYATA,atenciones odontologicas,acciones preventivas,2008-02-01,11,11
AYO AYO,atenciones odontologicas,acciones preventivas,2008-02-01,146,146
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,acciones preventivas,2008-02-01,81,81
AZURDUY,atenciones odontologicas,acciones preventivas,2008-02-01,37,37
BATALLAS,atenciones odontologicas,acciones preventivas,2008-02-01,74,74
BERMEJO,atenciones odontologicas,acciones preventivas,2008-02-01,173,173
BOLIVAR,atenciones odontologicas,acciones preventivas,2008-02-01,9,9
BOLPEBRA,atenciones odontologicas,acciones preventivas,2008-02-01,32,32
BOYUIBE,atenciones odontologicas,acciones preventivas,2008-02-01,16,16
BUENA VISTA,atenciones odontologicas,acciones preventivas,2008-02-01,9,9
CABEZAS,atenciones odontologicas,acciones preventivas,2008-02-01,192,192
CAIROMA,atenciones odontologicas,acciones preventivas,2008-02-01,451,451
"CAIZA ""D""",atenciones odontologicas,acciones preventivas,2008-02-01,10,10
CAJUATA,atenciones odontologicas,acciones preventivas,2008-02-01,1,1
CALACOTO,atenciones odontologicas,acciones preventivas,2008-02-01,6,6
CALAMARCA,atenciones odontologicas,acciones preventivas,2008-02-01,389,389
CAMARGO,atenciones odontologicas,acciones preventivas,2008-02-01,13,13
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,acciones preventivas,2008-02-01,24,24
CAMIRI,atenciones odontologicas,acciones preventivas,2008-02-01,261,261
CAPINOTA,atenciones odontologicas,acciones preventivas,2008-02-01,237,237
CARACOLLO,atenciones odontologicas,acciones preventivas,2008-02-01,79,79
CARANAVI,atenciones odontologicas,acciones preventivas,2008-02-01,119,119
CARAPARI,atenciones odontologicas,acciones preventivas,2008-02-01,57,57
CHALLAPATA,atenciones odontologicas,acciones preventivas,2008-02-01,236,236
CHARAGUA,atenciones odontologicas,acciones preventivas,2008-02-01,56,56
CHAYANTA,atenciones odontologicas,acciones preventivas,2008-02-01,7,7
CHIMORE,atenciones odontologicas,acciones preventivas,2008-02-01,77,77
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,acciones preventivas,2008-02-01,96,96
CHUMA,atenciones odontologicas,acciones preventivas,2008-02-01,12,12
CLIZA,atenciones odontologicas,acciones preventivas,2008-02-01,42,42
COBIJA,atenciones odontologicas,acciones preventivas,2008-02-01,455,455
COCHABAMBA,atenciones odontologicas,acciones preventivas,2008-02-01,4856,4856
COLCAPIRHUA,atenciones odontologicas,acciones preventivas,2008-02-01,163,163
"COLCHA ""K""",atenciones odontologicas,acciones preventivas,2008-02-01,2,2
COLOMI,atenciones odontologicas,acciones preventivas,2008-02-01,48,48
COLPA BELGICA,atenciones odontologicas,acciones preventivas,2008-02-01,144,144
COLQUECHACA,atenciones odontologicas,acciones preventivas,2008-02-01,17,17
COLQUIRI,atenciones odontologicas,acciones preventivas,2008-02-01,192,192
COMANCHE,atenciones odontologicas,acciones preventivas,2008-02-01,3,3
COMARAPA,atenciones odontologicas,acciones preventivas,2008-02-01,85,85
COMBAYA,atenciones odontologicas,acciones preventivas,2008-02-01,9,9
CONCEPCION,atenciones odontologicas,acciones preventivas,2008-02-01,76,76
COPACABANA,atenciones odontologicas,acciones preventivas,2008-02-01,12,12
CORIPATA,atenciones odontologicas,acciones preventivas,2008-02-01,8,8
CORO CORO,atenciones odontologicas,acciones preventivas,2008-02-01,3,3
COROICO,atenciones odontologicas,acciones preventivas,2008-02-01,29,29
CORQUE,atenciones odontologicas,acciones preventivas,2008-02-01,10,10
COTAGAITA,atenciones odontologicas,acciones preventivas,2008-02-01,19,19
COTOCA,atenciones odontologicas,acciones preventivas,2008-02-01,189,189
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,acciones preventivas,2008-02-01,24,24
CUEVO,atenciones odontologicas,acciones preventivas,2008-02-01,11,11
CULPINA,atenciones odontologicas,acciones preventivas,2008-02-01,36,36
CURAHUARA DE CARANGAS,atenciones odontologicas,acciones preventivas,2008-02-01,27,27
EL ALTO,atenciones odontologicas,acciones preventivas,2008-02-01,1704,1704
EL PUENTE(STC),atenciones odontologicas,acciones preventivas,2008-02-01,11,11
EL PUENTE(TJA),atenciones odontologicas,acciones preventivas,2008-02-01,112,112
EL TORNO,atenciones odontologicas,acciones preventivas,2008-02-01,114,114
EL VILLAR,atenciones odontologicas,acciones preventivas,2008-02-01,88,88
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2008-02-01,91,91
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2008-02-01,24,24
EUCALIPTUS,atenciones odontologicas,acciones preventivas,2008-02-01,4,4
EXALTACION,atenciones odontologicas,acciones preventivas,2008-02-01,100,100
FERNANDEZ ALONSO,atenciones odontologicas,acciones preventivas,2008-02-01,17,17
FILADELFIA,atenciones odontologicas,acciones preventivas,2008-02-01,34,34
GENERAL SAAVEDRA,atenciones odontologicas,acciones preventivas,2008-02-01,42,42
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,acciones preventivas,2008-02-01,132,132
GUANAY,atenciones odontologicas,acciones preventivas,2008-02-01,16,16
GUAQUI,atenciones odontologicas,acciones preventivas,2008-02-01,10,10
GUAYARAMERIN,atenciones odontologicas,acciones preventivas,2008-02-01,93,93
GUTIERREZ,atenciones odontologicas,acciones preventivas,2008-02-01,76,76
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,acciones preventivas,2008-02-01,6,6
HUACHACALLA,atenciones odontologicas,acciones preventivas,2008-02-01,8,8
HUANUNI,atenciones odontologicas,acciones preventivas,2008-02-01,202,202
HUARACAJE,atenciones odontologicas,acciones preventivas,2008-02-01,25,25
HUAYLLAMARCA,atenciones odontologicas,acciones preventivas,2008-02-01,6,6
ICLA,atenciones odontologicas,acciones preventivas,2008-02-01,161,161
INCAHUASI,atenciones odontologicas,acciones preventivas,2008-02-01,140,140
INQUISIVI,atenciones odontologicas,acciones preventivas,2008-02-01,135,135
IRUPANA (VILLA DE LANZA),atenciones odontologicas,acciones preventivas,2008-02-01,25,25
IXIAMAS,atenciones odontologicas,acciones preventivas,2008-02-01,13,13
JESUS DE MACHACA,atenciones odontologicas,acciones preventivas,2008-02-01,3,3
LA ASUNTA,atenciones odontologicas,acciones preventivas,2008-02-01,135,135
LA GUARDIA,atenciones odontologicas,acciones preventivas,2008-02-01,122,122
LA PAZ,atenciones odontologicas,acciones preventivas,2008-02-01,5727,5727
LAGUNILLAS,atenciones odontologicas,acciones preventivas,2008-02-01,3,3
LAJA,atenciones odontologicas,acciones preventivas,2008-02-01,12,12
LICOMA PAMPA,atenciones odontologicas,acciones preventivas,2008-02-01,1,1
LLALLAGUA,atenciones odontologicas,acciones preventivas,2008-02-01,480,480
LLICA,atenciones odontologicas,acciones preventivas,2008-02-01,3,3
LURIBAY,atenciones odontologicas,acciones preventivas,2008-02-01,26,26
MACHACAMARCA,atenciones odontologicas,acciones preventivas,2008-02-01,146,146
MACHARETI,atenciones odontologicas,acciones preventivas,2008-02-01,179,179
MAGDALENA,atenciones odontologicas,acciones preventivas,2008-02-01,8,8
MAIRANA,atenciones odontologicas,acciones preventivas,2008-02-01,6,6
MAPIRI,atenciones odontologicas,acciones preventivas,2008-02-01,66,66
MECAPACA,atenciones odontologicas,acciones preventivas,2008-02-01,310,310
MINEROS,atenciones odontologicas,acciones preventivas,2008-02-01,100,100
