municipality,group,variable,month,Actividades Odontológicas en la Comunidad,TOTAL
IXIAMAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
LA ASUNTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
LA PAZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,263,263
LAGUNILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,6,6
LAJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,7,7
MACHARETI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
MAPIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
MOCOMOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,11,11
MOJOCOYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,3,3
MORO MORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,3,3
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,6,6
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,5,5
PALOS BLANCOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
PAMPA AULLAGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,11,11
PAZÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
POOPO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,8,8
POROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,27,27
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,3,3
PUERTO ACOSTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
RIBERALTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
SABAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,341,341
SAN ANDRES DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
SAN BENITO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,245,245
SAN CARLOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,6,6
SAN IGNACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,118,118
SAN JOAQUIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,73,73
SAN LORENZO(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,7,7
SAN LUCAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,7,7
SAN PEDRO DE TIQUINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,10,10
SAN RAFAEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
SANTA ROSA DEL SARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,3,3
SANTUARIO DE QUILLACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
SICA SICA (VILLA AROMA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,12,12
SIPE SIPE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
SORACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,5,5
SUCRE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,47,47
TACACOMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,12,12
TARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,18,18
TARACO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,7,7
TARATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
TARIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,51,51
TARVITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
TEOPONTE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
TIQUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,30,30
TIRAQUE (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,42,42
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,6,6
TOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,6,6
TOMINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
TRIGAL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
TRINIDAD,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
TUPIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,98,98
UMALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,32,32
URIONDO (A. CONCEPCION),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,25,25
URUBICHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,27,27
VIACHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,10,10
VILLA TUNARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
VINTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,11,11
YACUIBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
YAMPARAEZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,45,45
YAPACANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,57,57
YOTALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
ACACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,8,8
ACHACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,44,44
ACHOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,31,31
ALCALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,13,13
ANCORAIMES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,11,11
ANDAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
ANTEQUERA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,22,22
ANZALDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,51,51
ATOCHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
AYATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,15,15
AYO AYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
AZURDUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
BERMEJO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,6,6
BETANZOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,7,7
BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,7,7
CAIROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,42,42
CAJUATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
CALACOTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,41,41
CALAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,20,20
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
CAPINOTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
CARACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,9,9
CARIPUYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,8,8
CATACORA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
CHALLAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
CLIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,10,10
COCHABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,378,378
COLCAPIRHUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,154,154
COLOMI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
COLQUIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
COMANCHE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,37,37
COPACABANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,5,5
CORIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,100,100
CORO CORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
COTAGAITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,24,24
CULPINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,6,6
CURAHUARA DE CARANGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
DESAGUADERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
EL ALTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,97,97
EL PUENTE(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,18,18
EL VILLAR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,139,139
GUANAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,9,9
GUAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,8,8
GUAYARAMERIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,168,168
HUAYLLAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
ICLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
INCAHUASI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,5,5
INQUISIVI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,7,7
IRUPANA (VILLA DE LANZA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,29,29
JESUS DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
LA ASUNTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,127,127
LA PAZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,468,468
LAGUNILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,6,6
LAJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,8,8
LLALLAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,864,864
LURIBAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,17,17
MACHARETI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
MALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
MAPIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
MECAPACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,15,15
MIZQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
MOCOMOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,21,21
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,34,34
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,14,14
OCURI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,18,18
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,162,162
PADCAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
PADILLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,9,9
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,6,6
PALOS BLANCOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,250,250
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,12,12
PELECHUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,33,33
POCONA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,24,24
POTOSI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
PRESTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,5,5
PUERTO ACOSTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
PUNATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,19,19
QUIABAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,15,15
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
QUIME,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
RIBERALTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,11,11
RURRENABAQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,79,79
SABAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,119,119
SAN ANDRES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,12,12
SAN ANDRES DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,14,14
SAN BUENA VENTURA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
SAN IGNACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,31,31
SAN JOAQUIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,167,167
SAN JULIAN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
SAN LORENZO(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,40,40
SAN LUCAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
SAN PEDRO DE TIQUINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
SAN RAFAEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
SANTA ANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,287,287
SANTA ROSA DEL SARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
SANTIAGO DE CALLAPA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,3,3
SANTIAGO DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
SAPAHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,10,10
SICA SICA (VILLA AROMA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,18,18
SIPE SIPE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
SOPACHUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,58,58
SORATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,19,19
SUCRE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,23,23
TACACOMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,26,26
TARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,22,22
TARACO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,13,13
TARATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,42,42
TARIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,8,8
TEOPONTE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,38,38
TIQUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,62,62
TIRAQUE (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,67,67
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,5,5
TOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,28,28
TOLATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,73,73
TOMINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
TRIGAL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
TRINIDAD,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,10,10
UMALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,21,21
UNCIA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,4,4
URIONDO (A. CONCEPCION),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,14,14
VALLEGRANDE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,2,2
VIACHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,145,145
VILLA MONTES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,1,1
VILLA TUNARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,35,35
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,7,7
VILLAZON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,872,872
YACUIBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,6,6
YOTALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,8,8
YUNCHARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-02-01,32,32
ACACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,197,197
ACHACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,39,39
ACHOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,56,56
ALALAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,8,8
ANCORAIMES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,13,13
ANDAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,13,13
ANZALDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,40,40
APOLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,5,5
ARAMPAMPA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,2,2
ARBIETO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,10,10
ARQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1,1
AYATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,13,13
AYO AYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,35,35
AZURDUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,2,2
BERMEJO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1,1
BETANZOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,7,7
BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,9,9
CAIROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,29,29
"CAIZA ""D""",atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,7,7
CAJUATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1,1
CALACOTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,95,95
CALAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,12,12
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,8,8
CAPINOTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,8,8
CAQUIAVIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,9,9
CARACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,7,7
CARANAVI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1,1
CARAPARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,18,18
CARIPUYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,67,67
CATACORA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,2,2
CHALLAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,63,63
CHARAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,3,3
CHUMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,13,13
CLIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,110,110
COBIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,82,82
COCHABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1596,1596
COLCAPIRHUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,151,151
"COLCHA ""K""",atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1,1
COLOMI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1,1
COLQUECHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,4,4
COLQUENCHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,1,1
COMANCHE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,5,5
COMBAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,4,4
COPACABANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,4,4
CORIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,3,3
CORO CORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,4,4
CORQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,2,2
COTAGAITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,32,32
CULPINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,3,3
DESAGUADERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,6,6
EL ALTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,329,329
EL PUENTE(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,22,22
EL VILLAR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,3,3
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,2,2
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,16,16
EUCALIPTUS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,240,240
GUANAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,3,3
GUAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,22,22
GUAYARAMERIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,80,80
HUACHACALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,97,97
HUANUNI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-03-01,7,7
