municipality,group,variable,month,Exodoncias,TOTAL
"CAIZA ""D""",atenciones odontologicas,exodoncias,2008-01-01,8,8
CAJUATA,atenciones odontologicas,exodoncias,2008-01-01,47,47
CALACOTO,atenciones odontologicas,exodoncias,2008-01-01,45,45
CALAMARCA,atenciones odontologicas,exodoncias,2008-01-01,54,54
CAMARGO,atenciones odontologicas,exodoncias,2008-01-01,62,62
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,exodoncias,2008-01-01,44,44
CAMIRI,atenciones odontologicas,exodoncias,2008-01-01,201,201
CAPINOTA,atenciones odontologicas,exodoncias,2008-01-01,26,26
CAQUIAVIRI,atenciones odontologicas,exodoncias,2008-01-01,39,39
CARACOLLO,atenciones odontologicas,exodoncias,2008-01-01,108,108
CARANAVI,atenciones odontologicas,exodoncias,2008-01-01,163,163
CARAPARI,atenciones odontologicas,exodoncias,2008-01-01,129,129
CARIPUYO,atenciones odontologicas,exodoncias,2008-01-01,24,24
CARMEN RIVERO TORREZ,atenciones odontologicas,exodoncias,2008-01-01,12,12
CATACORA,atenciones odontologicas,exodoncias,2008-01-01,11,11
CHALLAPATA,atenciones odontologicas,exodoncias,2008-01-01,134,134
CHAQUI,atenciones odontologicas,exodoncias,2008-01-01,6,6
CHARAGUA,atenciones odontologicas,exodoncias,2008-01-01,146,146
CHARAÑA,atenciones odontologicas,exodoncias,2008-01-01,9,9
CHAYANTA,atenciones odontologicas,exodoncias,2008-01-01,31,31
CHIMORE,atenciones odontologicas,exodoncias,2008-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,exodoncias,2008-01-01,52,52
CHUMA,atenciones odontologicas,exodoncias,2008-01-01,133,133
CLIZA,atenciones odontologicas,exodoncias,2008-01-01,39,39
COBIJA,atenciones odontologicas,exodoncias,2008-01-01,188,188
COCHABAMBA,atenciones odontologicas,exodoncias,2008-01-01,1542,1542
COLCAPIRHUA,atenciones odontologicas,exodoncias,2008-01-01,65,65
"COLCHA ""K""",atenciones odontologicas,exodoncias,2008-01-01,15,15
COLOMI,atenciones odontologicas,exodoncias,2008-01-01,31,31
COLPA BELGICA,atenciones odontologicas,exodoncias,2008-01-01,54,54
COLQUECHACA,atenciones odontologicas,exodoncias,2008-01-01,62,62
COLQUENCHA,atenciones odontologicas,exodoncias,2008-01-01,61,61
COLQUIRI,atenciones odontologicas,exodoncias,2008-01-01,95,95
COMANCHE,atenciones odontologicas,exodoncias,2008-01-01,26,26
COMARAPA,atenciones odontologicas,exodoncias,2008-01-01,56,56
COMBAYA,atenciones odontologicas,exodoncias,2008-01-01,7,7
CONCEPCION,atenciones odontologicas,exodoncias,2008-01-01,45,45
COPACABANA,atenciones odontologicas,exodoncias,2008-01-01,41,41
CORIPATA,atenciones odontologicas,exodoncias,2008-01-01,72,72
CORO CORO,atenciones odontologicas,exodoncias,2008-01-01,12,12
COROICO,atenciones odontologicas,exodoncias,2008-01-01,127,127
CORQUE,atenciones odontologicas,exodoncias,2008-01-01,23,23
COTAGAITA,atenciones odontologicas,exodoncias,2008-01-01,14,14
COTOCA,atenciones odontologicas,exodoncias,2008-01-01,60,60
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,exodoncias,2008-01-01,14,14
CUEVO,atenciones odontologicas,exodoncias,2008-01-01,13,13
CULPINA,atenciones odontologicas,exodoncias,2008-01-01,55,55
CURAHUARA DE CARANGAS,atenciones odontologicas,exodoncias,2008-01-01,51,51
DESAGUADERO,atenciones odontologicas,exodoncias,2008-01-01,106,106
EL ALTO,atenciones odontologicas,exodoncias,2008-01-01,3941,3941
EL PUENTE(STC),atenciones odontologicas,exodoncias,2008-01-01,45,45
EL PUENTE(TJA),atenciones odontologicas,exodoncias,2008-01-01,107,107
EL TORNO,atenciones odontologicas,exodoncias,2008-01-01,29,29
EL VILLAR,atenciones odontologicas,exodoncias,2008-01-01,8,8
ENTRE RIOS,atenciones odontologicas,exodoncias,2008-01-01,38,38
ENTRE RIOS,atenciones odontologicas,exodoncias,2008-01-01,113,113
EUCALIPTUS,atenciones odontologicas,exodoncias,2008-01-01,39,39
FERNANDEZ ALONSO,atenciones odontologicas,exodoncias,2008-01-01,30,30
FILADELFIA,atenciones odontologicas,exodoncias,2008-01-01,15,15
GENERAL SAAVEDRA,atenciones odontologicas,exodoncias,2008-01-01,66,66
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,exodoncias,2008-01-01,49,49
GUANAY,atenciones odontologicas,exodoncias,2008-01-01,37,37
GUAQUI,atenciones odontologicas,exodoncias,2008-01-01,66,66
GUAYARAMERIN,atenciones odontologicas,exodoncias,2008-01-01,207,207
GUTIERREZ,atenciones odontologicas,exodoncias,2008-01-01,50,50
HUACARETA,atenciones odontologicas,exodoncias,2008-01-01,25,25
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,exodoncias,2008-01-01,5,5
HUACHACALLA,atenciones odontologicas,exodoncias,2008-01-01,22,22
HUANUNI,atenciones odontologicas,exodoncias,2008-01-01,127,127
HUARACAJE,atenciones odontologicas,exodoncias,2008-01-01,18,18
HUAYLLAMARCA,atenciones odontologicas,exodoncias,2008-01-01,14,14
ICHOCA,atenciones odontologicas,exodoncias,2008-01-01,19,19
ICLA,atenciones odontologicas,exodoncias,2008-01-01,31,31
INCAHUASI,atenciones odontologicas,exodoncias,2008-01-01,51,51
INQUISIVI,atenciones odontologicas,exodoncias,2008-01-01,74,74
IRUPANA (VILLA DE LANZA),atenciones odontologicas,exodoncias,2008-01-01,86,86
IXIAMAS,atenciones odontologicas,exodoncias,2008-01-01,77,77
JESUS DE MACHACA,atenciones odontologicas,exodoncias,2008-01-01,83,83
LA ASUNTA,atenciones odontologicas,exodoncias,2008-01-01,28,28
LA GUARDIA,atenciones odontologicas,exodoncias,2008-01-01,106,106
LA PAZ,atenciones odontologicas,exodoncias,2008-01-01,3273,3273
LAGUNILLAS,atenciones odontologicas,exodoncias,2008-01-01,54,54
LAJA,atenciones odontologicas,exodoncias,2008-01-01,127,127
LICOMA PAMPA,atenciones odontologicas,exodoncias,2008-01-01,39,39
LLALLAGUA,atenciones odontologicas,exodoncias,2008-01-01,111,111
LLICA,atenciones odontologicas,exodoncias,2008-01-01,14,14
LURIBAY,atenciones odontologicas,exodoncias,2008-01-01,37,37
MACHACAMARCA,atenciones odontologicas,exodoncias,2008-01-01,26,26
MACHARETI,atenciones odontologicas,exodoncias,2008-01-01,14,14
MAGDALENA,atenciones odontologicas,exodoncias,2008-01-01,74,74
MAIRANA,atenciones odontologicas,exodoncias,2008-01-01,18,18
MAPIRI,atenciones odontologicas,exodoncias,2008-01-01,67,67
MECAPACA,atenciones odontologicas,exodoncias,2008-01-01,37,37
MINEROS,atenciones odontologicas,exodoncias,2008-01-01,16,16
MIZQUE,atenciones odontologicas,exodoncias,2008-01-01,23,23
MOCOMOCO,atenciones odontologicas,exodoncias,2008-01-01,91,91
MOJOCOYA,atenciones odontologicas,exodoncias,2008-01-01,8,8
MONTEAGUDO,atenciones odontologicas,exodoncias,2008-01-01,52,52
MONTERO,atenciones odontologicas,exodoncias,2008-01-01,191,191
MORO MORO,atenciones odontologicas,exodoncias,2008-01-01,13,13
MOROCHATA,atenciones odontologicas,exodoncias,2008-01-01,81,81
OCURI,atenciones odontologicas,exodoncias,2008-01-01,47,47
OKINAWA,atenciones odontologicas,exodoncias,2008-01-01,29,29
OMEREQUE,atenciones odontologicas,exodoncias,2008-01-01,14,14
ORURO,atenciones odontologicas,exodoncias,2008-01-01,1824,1824
PADCAYA,atenciones odontologicas,exodoncias,2008-01-01,146,146
PADILLA,atenciones odontologicas,exodoncias,2008-01-01,52,52
PAILON,atenciones odontologicas,exodoncias,2008-01-01,67,67
PALCA,atenciones odontologicas,exodoncias,2008-01-01,72,72
PALOS BLANCOS,atenciones odontologicas,exodoncias,2008-01-01,74,74
PAMPA AULLAGAS,atenciones odontologicas,exodoncias,2008-01-01,34,34
PAPEL PAMPA,atenciones odontologicas,exodoncias,2008-01-01,10,10
PASORAPA,atenciones odontologicas,exodoncias,2008-01-01,7,7
PATACAMAYA,atenciones odontologicas,exodoncias,2008-01-01,28,28
PAZÑA,atenciones odontologicas,exodoncias,2008-01-01,35,35
PELECHUCO,atenciones odontologicas,exodoncias,2008-01-01,17,17
POCOATA,atenciones odontologicas,exodoncias,2008-01-01,14,14
POCONA,atenciones odontologicas,exodoncias,2008-01-01,8,8
POJO (CBBA),atenciones odontologicas,exodoncias,2008-01-01,17,17
POOPO,atenciones odontologicas,exodoncias,2008-01-01,30,30
PORCO,atenciones odontologicas,exodoncias,2008-01-01,17,17
POROMA,atenciones odontologicas,exodoncias,2008-01-01,13,13
PORONGO,atenciones odontologicas,exodoncias,2008-01-01,48,48
PORTACHUELO,atenciones odontologicas,exodoncias,2008-01-01,102,102
PORVENIR,atenciones odontologicas,exodoncias,2008-01-01,34,34
POSTRER VALLE,atenciones odontologicas,exodoncias,2008-01-01,13,13
POTOSI,atenciones odontologicas,exodoncias,2008-01-01,375,375
PUCARA,atenciones odontologicas,exodoncias,2008-01-01,10,10
PUCARANI,atenciones odontologicas,exodoncias,2008-01-01,153,153
PUERTO ACOSTA,atenciones odontologicas,exodoncias,2008-01-01,197,197
PUERTO CARABUCO,atenciones odontologicas,exodoncias,2008-01-01,130,130
PUERTO GONZALO MORENO,atenciones odontologicas,exodoncias,2008-01-01,21,21
PUERTO PEREZ,atenciones odontologicas,exodoncias,2008-01-01,5,5
PUERTO QUIJARRO,atenciones odontologicas,exodoncias,2008-01-01,25,25
PUERTO RICO,atenciones odontologicas,exodoncias,2008-01-01,35,35
PUERTO SUAREZ,atenciones odontologicas,exodoncias,2008-01-01,72,72
PUERTO VILLARROEL,atenciones odontologicas,exodoncias,2008-01-01,127,127
PUNA,atenciones odontologicas,exodoncias,2008-01-01,96,96
PUNATA,atenciones odontologicas,exodoncias,2008-01-01,73,73
QUIABAYA,atenciones odontologicas,exodoncias,2008-01-01,2,2
QUILLACOLLO,atenciones odontologicas,exodoncias,2008-01-01,242,242
QUIME,atenciones odontologicas,exodoncias,2008-01-01,136,136
QUIRUSILLAS,atenciones odontologicas,exodoncias,2008-01-01,12,12
REYES,atenciones odontologicas,exodoncias,2008-01-01,87,87
RIBERALTA,atenciones odontologicas,exodoncias,2008-01-01,329,329
ROBORE,atenciones odontologicas,exodoncias,2008-01-01,133,133
RURRENABAQUE,atenciones odontologicas,exodoncias,2008-01-01,93,93
SABAYA,atenciones odontologicas,exodoncias,2008-01-01,18,18
SACABA,atenciones odontologicas,exodoncias,2008-01-01,200,200
SACACA,atenciones odontologicas,exodoncias,2008-01-01,22,22
SAIPINA,atenciones odontologicas,exodoncias,2008-01-01,53,53
SALINAS DE GARCI MENDOZA,atenciones odontologicas,exodoncias,2008-01-01,30,30
SAMAIPATA,atenciones odontologicas,exodoncias,2008-01-01,24,24
SAN AGUSTIN,atenciones odontologicas,exodoncias,2008-01-01,14,14
SAN ANDRES,atenciones odontologicas,exodoncias,2008-01-01,10,10
SAN ANDRES DE MACHACA,atenciones odontologicas,exodoncias,2008-01-01,44,44
SAN ANTONIO DE LOMERIO,atenciones odontologicas,exodoncias,2008-01-01,29,29
SAN BENITO,atenciones odontologicas,exodoncias,2008-01-01,53,53
SAN BORJA,atenciones odontologicas,exodoncias,2008-01-01,184,184
SAN BUENA VENTURA,atenciones odontologicas,exodoncias,2008-01-01,39,39
SAN CARLOS,atenciones odontologicas,exodoncias,2008-01-01,37,37
SAN IGNACIO,atenciones odontologicas,exodoncias,2008-01-01,44,44
SAN IGNACIO DE VELASCO,atenciones odontologicas,exodoncias,2008-01-01,150,150
SAN JAVIER(BNI),atenciones odontologicas,exodoncias,2008-01-01,19,19
SAN JAVIER(STC),atenciones odontologicas,exodoncias,2008-01-01,32,32
SAN JOAQUIN,atenciones odontologicas,exodoncias,2008-01-01,27,27
SAN JOSE DE CHIQUITOS,atenciones odontologicas,exodoncias,2008-01-01,49,49
SAN JUAN DE YAPACANI,atenciones odontologicas,exodoncias,2008-01-01,55,55
SAN LORENZO(TJA),atenciones odontologicas,exodoncias,2008-01-01,147,147
SAN LUCAS,atenciones odontologicas,exodoncias,2008-01-01,41,41
SAN MATIAS,atenciones odontologicas,exodoncias,2008-01-01,55,55
SAN MIGUEL DE VELASCO,atenciones odontologicas,exodoncias,2008-01-01,51,51
SAN PEDRO,atenciones odontologicas,exodoncias,2008-01-01,27,27
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,exodoncias,2008-01-01,40,40
SAN PEDRO DE CURAHUARA,atenciones odontologicas,exodoncias,2008-01-01,23,23
SAN PEDRO DE TIQUINA,atenciones odontologicas,exodoncias,2008-01-01,22,22
SAN RAFAEL,atenciones odontologicas,exodoncias,2008-01-01,47,47
SAN RAMON,atenciones odontologicas,exodoncias,2008-01-01,4,4
SAN RAMON,atenciones odontologicas,exodoncias,2008-01-01,43,43
SANTA ANA,atenciones odontologicas,exodoncias,2008-01-01,157,157
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,exodoncias,2008-01-01,2697,2697
SANTA ROSA DEL SARA,atenciones odontologicas,exodoncias,2008-01-01,125,125
SANTIAGO DE CALLAPA,atenciones odontologicas,exodoncias,2008-01-01,10,10
SANTIAGO DE HUARI,atenciones odontologicas,exodoncias,2008-01-01,69,69
SANTIAGO DE MACHACA,atenciones odontologicas,exodoncias,2008-01-01,22,22
SANTIVAÑES,atenciones odontologicas,exodoncias,2008-01-01,17,17
SANTUARIO DE QUILLACAS,atenciones odontologicas,exodoncias,2008-01-01,9,9
SAPAHAQUI,atenciones odontologicas,exodoncias,2008-01-01,25,25
SENA,atenciones odontologicas,exodoncias,2008-01-01,3,3
SICA SICA (VILLA AROMA),atenciones odontologicas,exodoncias,2008-01-01,71,71
SICAYA,atenciones odontologicas,exodoncias,2008-01-01,10,10
SIPE SIPE,atenciones odontologicas,exodoncias,2008-01-01,110,110
SORACACHI,atenciones odontologicas,exodoncias,2008-01-01,25,25
SORATA,atenciones odontologicas,exodoncias,2008-01-01,63,63
SUCRE,atenciones odontologicas,exodoncias,2008-01-01,1115,1115
TACACOMA,atenciones odontologicas,exodoncias,2008-01-01,87,87
TACOPAYA,atenciones odontologicas,exodoncias,2008-01-01,10,10
TAPACARI,atenciones odontologicas,exodoncias,2008-01-01,61,61
TARABUCO,atenciones odontologicas,exodoncias,2008-01-01,41,41
TARACO,atenciones odontologicas,exodoncias,2008-01-01,25,25
TARATA,atenciones odontologicas,exodoncias,2008-01-01,13,13
TARIJA,atenciones odontologicas,exodoncias,2008-01-01,918,918
TARVITA,atenciones odontologicas,exodoncias,2008-01-01,30,30
TEOPONTE,atenciones odontologicas,exodoncias,2008-01-01,18,18
TIAWANACU,atenciones odontologicas,exodoncias,2008-01-01,59,59
TINGUIPAYA,atenciones odontologicas,exodoncias,2008-01-01,31,31
TIPUANI,atenciones odontologicas,exodoncias,2008-01-01,17,17
TIQUIPAYA,atenciones odontologicas,exodoncias,2008-01-01,99,99
TIRAQUE (CBBA),atenciones odontologicas,exodoncias,2008-01-01,147,147
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,exodoncias,2008-01-01,5,5
TOCO,atenciones odontologicas,exodoncias,2008-01-01,25,25
TOLATA,atenciones odontologicas,exodoncias,2008-01-01,8,8
TOLEDO,atenciones odontologicas,exodoncias,2008-01-01,29,29
TOMAVE,atenciones odontologicas,exodoncias,2008-01-01,23,23
TOMINA,atenciones odontologicas,exodoncias,2008-01-01,57,57
TORO TORO,atenciones odontologicas,exodoncias,2008-01-01,42,42
TOTORA(CBBA),atenciones odontologicas,exodoncias,2008-01-01,31,31
TOTORA(ORR),atenciones odontologicas,exodoncias,2008-01-01,6,6
TRIGAL,atenciones odontologicas,exodoncias,2008-01-01,15,15
TRINIDAD,atenciones odontologicas,exodoncias,2008-01-01,364,364
TUPIZA,atenciones odontologicas,exodoncias,2008-01-01,217,217
TURCO,atenciones odontologicas,exodoncias,2008-01-01,8,8
UMALA,atenciones odontologicas,exodoncias,2008-01-01,31,31
UNCIA,atenciones odontologicas,exodoncias,2008-01-01,115,115
URIONDO (A. CONCEPCION),atenciones odontologicas,exodoncias,2008-01-01,116,116
URUBICHA,atenciones odontologicas,exodoncias,2008-01-01,12,12
UYUNI,atenciones odontologicas,exodoncias,2008-01-01,170,170
VACAS,atenciones odontologicas,exodoncias,2008-01-01,47,47
VALLEGRANDE,atenciones odontologicas,exodoncias,2008-01-01,94,94
VIACHA,atenciones odontologicas,exodoncias,2008-01-01,171,171
VILLA MONTES,atenciones odontologicas,exodoncias,2008-01-01,331,331
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,exodoncias,2008-01-01,27,27
VILLA RIVERO,atenciones odontologicas,exodoncias,2008-01-01,14,14
VILLA SERRANO,atenciones odontologicas,exodoncias,2008-01-01,11,11
VILLA TUNARI,atenciones odontologicas,exodoncias,2008-01-01,215,215
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,exodoncias,2008-01-01,43,43
VILLAZON,atenciones odontologicas,exodoncias,2008-01-01,223,223
VINTO,atenciones odontologicas,exodoncias,2008-01-01,37,37
VITICHI,atenciones odontologicas,exodoncias,2008-01-01,10,10
WALDO BALLIVIAN,atenciones odontologicas,exodoncias,2008-01-01,15,15
WARNES,atenciones odontologicas,exodoncias,2008-01-01,101,101
YACUIBA,atenciones odontologicas,exodoncias,2008-01-01,413,413
YAMPARAEZ,atenciones odontologicas,exodoncias,2008-01-01,15,15
YANACACHI,atenciones odontologicas,exodoncias,2008-01-01,38,38
YAPACANI,atenciones odontologicas,exodoncias,2008-01-01,91,91
YOCALLA,atenciones odontologicas,exodoncias,2008-01-01,7,7
YOTALA,atenciones odontologicas,exodoncias,2008-01-01,14,14
YUNCHARA,atenciones odontologicas,exodoncias,2008-01-01,47,47
ZUDAÑEZ,atenciones odontologicas,exodoncias,2008-01-01,47,47
ACACIO,atenciones odontologicas,exodoncias,2008-02-01,13,13
ACHACACHI,atenciones odontologicas,exodoncias,2008-02-01,150,150
ACHOCALLA,atenciones odontologicas,exodoncias,2008-02-01,72,72
ALCALA,atenciones odontologicas,exodoncias,2008-02-01,34,34
ANCORAIMES,atenciones odontologicas,exodoncias,2008-02-01,77,77
ANDAMARCA,atenciones odontologicas,exodoncias,2008-02-01,11,11
ANTEQUERA,atenciones odontologicas,exodoncias,2008-02-01,26,26
ANZALDO,atenciones odontologicas,exodoncias,2008-02-01,15,15
APOLO,atenciones odontologicas,exodoncias,2008-02-01,25,25
ARANI,atenciones odontologicas,exodoncias,2008-02-01,22,22
ARBIETO,atenciones odontologicas,exodoncias,2008-02-01,1,1
ARQUE,atenciones odontologicas,exodoncias,2008-02-01,14,14
ASCENCION DE GUARAYOS,atenciones odontologicas,exodoncias,2008-02-01,43,43
ATOCHA,atenciones odontologicas,exodoncias,2008-02-01,126,126
AUCAPATA,atenciones odontologicas,exodoncias,2008-02-01,24,24
AYATA,atenciones odontologicas,exodoncias,2008-02-01,21,21
AYO AYO,atenciones odontologicas,exodoncias,2008-02-01,40,40
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,exodoncias,2008-02-01,40,40
AZURDUY,atenciones odontologicas,exodoncias,2008-02-01,42,42
BATALLAS,atenciones odontologicas,exodoncias,2008-02-01,80,80
BAURES,atenciones odontologicas,exodoncias,2008-02-01,53,53
BELEN DE URMIRI,atenciones odontologicas,exodoncias,2008-02-01,15,15
BERMEJO,atenciones odontologicas,exodoncias,2008-02-01,202,202
BETANZOS,atenciones odontologicas,exodoncias,2008-02-01,79,79
BOLIVAR,atenciones odontologicas,exodoncias,2008-02-01,29,29
BOLPEBRA,atenciones odontologicas,exodoncias,2008-02-01,11,11
BOYUIBE,atenciones odontologicas,exodoncias,2008-02-01,38,38
BUENA VISTA,atenciones odontologicas,exodoncias,2008-02-01,23,23
CABEZAS,atenciones odontologicas,exodoncias,2008-02-01,40,40
CAIROMA,atenciones odontologicas,exodoncias,2008-02-01,116,116
"CAIZA ""D""",atenciones odontologicas,exodoncias,2008-02-01,15,15
CAJUATA,atenciones odontologicas,exodoncias,2008-02-01,34,34
CALACOTO,atenciones odontologicas,exodoncias,2008-02-01,27,27
CALAMARCA,atenciones odontologicas,exodoncias,2008-02-01,46,46
CAMARGO,atenciones odontologicas,exodoncias,2008-02-01,32,32
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,exodoncias,2008-02-01,9,9
CAMIRI,atenciones odontologicas,exodoncias,2008-02-01,166,166
CAPINOTA,atenciones odontologicas,exodoncias,2008-02-01,40,40
CAQUIAVIRI,atenciones odontologicas,exodoncias,2008-02-01,6,6
CARACOLLO,atenciones odontologicas,exodoncias,2008-02-01,81,81
CARANAVI,atenciones odontologicas,exodoncias,2008-02-01,108,108
CARAPARI,atenciones odontologicas,exodoncias,2008-02-01,118,118
CARIPUYO,atenciones odontologicas,exodoncias,2008-02-01,1,1
CATACORA,atenciones odontologicas,exodoncias,2008-02-01,10,10
CHALLAPATA,atenciones odontologicas,exodoncias,2008-02-01,105,105
CHARAGUA,atenciones odontologicas,exodoncias,2008-02-01,230,230
CHARAÑA,atenciones odontologicas,exodoncias,2008-02-01,64,64
CHAYANTA,atenciones odontologicas,exodoncias,2008-02-01,28,28
CHIMORE,atenciones odontologicas,exodoncias,2008-02-01,19,19
CHOQUE COTA,atenciones odontologicas,exodoncias,2008-02-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,exodoncias,2008-02-01,39,39
CHUMA,atenciones odontologicas,exodoncias,2008-02-01,87,87
CLIZA,atenciones odontologicas,exodoncias,2008-02-01,33,33
COBIJA,atenciones odontologicas,exodoncias,2008-02-01,156,156
COCHABAMBA,atenciones odontologicas,exodoncias,2008-02-01,1085,1085
COIPASA,atenciones odontologicas,exodoncias,2008-02-01,4,4
COLCAPIRHUA,atenciones odontologicas,exodoncias,2008-02-01,44,44
"COLCHA ""K""",atenciones odontologicas,exodoncias,2008-02-01,12,12
COLLANA,atenciones odontologicas,exodoncias,2008-02-01,21,21
COLOMI,atenciones odontologicas,exodoncias,2008-02-01,13,13
COLPA BELGICA,atenciones odontologicas,exodoncias,2008-02-01,107,107
COLQUECHACA,atenciones odontologicas,exodoncias,2008-02-01,55,55
COLQUENCHA,atenciones odontologicas,exodoncias,2008-02-01,31,31
COLQUIRI,atenciones odontologicas,exodoncias,2008-02-01,86,86
COMANCHE,atenciones odontologicas,exodoncias,2008-02-01,60,60
COMARAPA,atenciones odontologicas,exodoncias,2008-02-01,65,65
COMBAYA,atenciones odontologicas,exodoncias,2008-02-01,7,7
CONCEPCION,atenciones odontologicas,exodoncias,2008-02-01,18,18
COPACABANA,atenciones odontologicas,exodoncias,2008-02-01,67,67
CORIPATA,atenciones odontologicas,exodoncias,2008-02-01,92,92
CORO CORO,atenciones odontologicas,exodoncias,2008-02-01,39,39
COROICO,atenciones odontologicas,exodoncias,2008-02-01,96,96
CORQUE,atenciones odontologicas,exodoncias,2008-02-01,10,10
COTAGAITA,atenciones odontologicas,exodoncias,2008-02-01,44,44
COTOCA,atenciones odontologicas,exodoncias,2008-02-01,21,21
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,exodoncias,2008-02-01,36,36
CUEVO,atenciones odontologicas,exodoncias,2008-02-01,14,14
CULPINA,atenciones odontologicas,exodoncias,2008-02-01,51,51
CURAHUARA DE CARANGAS,atenciones odontologicas,exodoncias,2008-02-01,41,41
DESAGUADERO,atenciones odontologicas,exodoncias,2008-02-01,110,110
EL ALTO,atenciones odontologicas,exodoncias,2008-02-01,3153,3153
EL PUENTE(STC),atenciones odontologicas,exodoncias,2008-02-01,40,40
EL PUENTE(TJA),atenciones odontologicas,exodoncias,2008-02-01,94,94
EL TORNO,atenciones odontologicas,exodoncias,2008-02-01,103,103
EL VILLAR,atenciones odontologicas,exodoncias,2008-02-01,6,6
ENTRE RIOS,atenciones odontologicas,exodoncias,2008-02-01,34,34
ENTRE RIOS,atenciones odontologicas,exodoncias,2008-02-01,127,127
EUCALIPTUS,atenciones odontologicas,exodoncias,2008-02-01,17,17
EXALTACION,atenciones odontologicas,exodoncias,2008-02-01,43,43
FERNANDEZ ALONSO,atenciones odontologicas,exodoncias,2008-02-01,40,40
FILADELFIA,atenciones odontologicas,exodoncias,2008-02-01,20,20
GENERAL SAAVEDRA,atenciones odontologicas,exodoncias,2008-02-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,exodoncias,2008-02-01,68,68
GUANAY,atenciones odontologicas,exodoncias,2008-02-01,46,46
GUAQUI,atenciones odontologicas,exodoncias,2008-02-01,55,55
GUAYARAMERIN,atenciones odontologicas,exodoncias,2008-02-01,110,110
GUTIERREZ,atenciones odontologicas,exodoncias,2008-02-01,64,64
HUACARETA,atenciones odontologicas,exodoncias,2008-02-01,66,66
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,exodoncias,2008-02-01,32,32
HUACHACALLA,atenciones odontologicas,exodoncias,2008-02-01,17,17
HUANUNI,atenciones odontologicas,exodoncias,2008-02-01,92,92
HUARACAJE,atenciones odontologicas,exodoncias,2008-02-01,9,9
HUAYLLAMARCA,atenciones odontologicas,exodoncias,2008-02-01,9,9
ICHOCA,atenciones odontologicas,exodoncias,2008-02-01,7,7
ICLA,atenciones odontologicas,exodoncias,2008-02-01,23,23
INCAHUASI,atenciones odontologicas,exodoncias,2008-02-01,26,26
INQUISIVI,atenciones odontologicas,exodoncias,2008-02-01,173,173
IRUPANA (VILLA DE LANZA),atenciones odontologicas,exodoncias,2008-02-01,60,60
