municipality,group,variable,month,Periodoncias,TOTAL
LAGUNILLAS,atenciones odontologicas,periodoncias,2008-01-01,9,9
LICOMA PAMPA,atenciones odontologicas,periodoncias,2008-01-01,1,1
LLALLAGUA,atenciones odontologicas,periodoncias,2008-01-01,14,14
MACHACAMARCA,atenciones odontologicas,periodoncias,2008-01-01,3,3
MACHARETI,atenciones odontologicas,periodoncias,2008-01-01,8,8
MAGDALENA,atenciones odontologicas,periodoncias,2008-01-01,12,12
MAIRANA,atenciones odontologicas,periodoncias,2008-01-01,9,9
MAPIRI,atenciones odontologicas,periodoncias,2008-01-01,21,21
MECAPACA,atenciones odontologicas,periodoncias,2008-01-01,2,2
MINEROS,atenciones odontologicas,periodoncias,2008-01-01,5,5
MIZQUE,atenciones odontologicas,periodoncias,2008-01-01,6,6
MOCOMOCO,atenciones odontologicas,periodoncias,2008-01-01,2,2
MONTEAGUDO,atenciones odontologicas,periodoncias,2008-01-01,4,4
MONTERO,atenciones odontologicas,periodoncias,2008-01-01,74,74
MORO MORO,atenciones odontologicas,periodoncias,2008-01-01,7,7
MOROCHATA,atenciones odontologicas,periodoncias,2008-01-01,2,2
OKINAWA,atenciones odontologicas,periodoncias,2008-01-01,9,9
OMEREQUE,atenciones odontologicas,periodoncias,2008-01-01,18,18
ORURO,atenciones odontologicas,periodoncias,2008-01-01,203,203
PADCAYA,atenciones odontologicas,periodoncias,2008-01-01,53,53
PADILLA,atenciones odontologicas,periodoncias,2008-01-01,7,7
PAILON,atenciones odontologicas,periodoncias,2008-01-01,5,5
PALCA,atenciones odontologicas,periodoncias,2008-01-01,5,5
PALOS BLANCOS,atenciones odontologicas,periodoncias,2008-01-01,9,9
PASORAPA,atenciones odontologicas,periodoncias,2008-01-01,3,3
PAZÑA,atenciones odontologicas,periodoncias,2008-01-01,4,4
POCOATA,atenciones odontologicas,periodoncias,2008-01-01,5,5
POJO (CBBA),atenciones odontologicas,periodoncias,2008-01-01,4,4
POOPO,atenciones odontologicas,periodoncias,2008-01-01,7,7
PORCO,atenciones odontologicas,periodoncias,2008-01-01,2,2
PORONGO,atenciones odontologicas,periodoncias,2008-01-01,20,20
PORTACHUELO,atenciones odontologicas,periodoncias,2008-01-01,9,9
POSTRER VALLE,atenciones odontologicas,periodoncias,2008-01-01,2,2
POTOSI,atenciones odontologicas,periodoncias,2008-01-01,65,65
PUERTO ACOSTA,atenciones odontologicas,periodoncias,2008-01-01,19,19
PUERTO CARABUCO,atenciones odontologicas,periodoncias,2008-01-01,7,7
PUERTO QUIJARRO,atenciones odontologicas,periodoncias,2008-01-01,3,3
PUERTO RICO,atenciones odontologicas,periodoncias,2008-01-01,3,3
PUERTO SUAREZ,atenciones odontologicas,periodoncias,2008-01-01,28,28
PUERTO VILLARROEL,atenciones odontologicas,periodoncias,2008-01-01,24,24
PUNA,atenciones odontologicas,periodoncias,2008-01-01,1,1
PUNATA,atenciones odontologicas,periodoncias,2008-01-01,120,120
QUILLACOLLO,atenciones odontologicas,periodoncias,2008-01-01,133,133
QUIME,atenciones odontologicas,periodoncias,2008-01-01,41,41
REYES,atenciones odontologicas,periodoncias,2008-01-01,8,8
RIBERALTA,atenciones odontologicas,periodoncias,2008-01-01,74,74
ROBORE,atenciones odontologicas,periodoncias,2008-01-01,32,32
RURRENABAQUE,atenciones odontologicas,periodoncias,2008-01-01,13,13
SABAYA,atenciones odontologicas,periodoncias,2008-01-01,4,4
SACABA,atenciones odontologicas,periodoncias,2008-01-01,61,61
SAIPINA,atenciones odontologicas,periodoncias,2008-01-01,13,13
SAMAIPATA,atenciones odontologicas,periodoncias,2008-01-01,8,8
SAN ANDRES,atenciones odontologicas,periodoncias,2008-01-01,1,1
SAN ANDRES DE MACHACA,atenciones odontologicas,periodoncias,2008-01-01,1,1
SAN ANTONIO DE LOMERIO,atenciones odontologicas,periodoncias,2008-01-01,3,3
SAN BENITO,atenciones odontologicas,periodoncias,2008-01-01,33,33
SAN BORJA,atenciones odontologicas,periodoncias,2008-01-01,4,4
SAN BUENA VENTURA,atenciones odontologicas,periodoncias,2008-01-01,1,1
SAN CARLOS,atenciones odontologicas,periodoncias,2008-01-01,20,20
SAN IGNACIO,atenciones odontologicas,periodoncias,2008-01-01,23,23
SAN IGNACIO DE VELASCO,atenciones odontologicas,periodoncias,2008-01-01,11,11
SAN JAVIER(STC),atenciones odontologicas,periodoncias,2008-01-01,3,3
SAN JUAN DE YAPACANI,atenciones odontologicas,periodoncias,2008-01-01,4,4
SAN LORENZO(TJA),atenciones odontologicas,periodoncias,2008-01-01,6,6
SAN LUCAS,atenciones odontologicas,periodoncias,2008-01-01,12,12
SAN MIGUEL DE VELASCO,atenciones odontologicas,periodoncias,2008-01-01,2,2
SAN PEDRO,atenciones odontologicas,periodoncias,2008-01-01,6,6
SAN PEDRO DE TIQUINA,atenciones odontologicas,periodoncias,2008-01-01,1,1
SAN RAFAEL,atenciones odontologicas,periodoncias,2008-01-01,64,64
SAN RAMON,atenciones odontologicas,periodoncias,2008-01-01,3,3
SANTA ANA,atenciones odontologicas,periodoncias,2008-01-01,2,2
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,periodoncias,2008-01-01,1295,1295
SANTA ROSA DEL SARA,atenciones odontologicas,periodoncias,2008-01-01,43,43
SANTIAGO DE HUARI,atenciones odontologicas,periodoncias,2008-01-01,10,10
SANTIVAÑES,atenciones odontologicas,periodoncias,2008-01-01,2,2
SANTUARIO DE QUILLACAS,atenciones odontologicas,periodoncias,2008-01-01,2,2
SENA,atenciones odontologicas,periodoncias,2008-01-01,14,14
SICA SICA (VILLA AROMA),atenciones odontologicas,periodoncias,2008-01-01,55,55
SICAYA,atenciones odontologicas,periodoncias,2008-01-01,5,5
SIPE SIPE,atenciones odontologicas,periodoncias,2008-01-01,46,46
SORACACHI,atenciones odontologicas,periodoncias,2008-01-01,3,3
SORATA,atenciones odontologicas,periodoncias,2008-01-01,17,17
SUCRE,atenciones odontologicas,periodoncias,2008-01-01,290,290
TACACOMA,atenciones odontologicas,periodoncias,2008-01-01,1,1
TACOPAYA,atenciones odontologicas,periodoncias,2008-01-01,6,6
TARATA,atenciones odontologicas,periodoncias,2008-01-01,26,26
TARIJA,atenciones odontologicas,periodoncias,2008-01-01,271,271
TARVITA,atenciones odontologicas,periodoncias,2008-01-01,5,5
TEOPONTE,atenciones odontologicas,periodoncias,2008-01-01,4,4
TIPUANI,atenciones odontologicas,periodoncias,2008-01-01,1,1
TIQUIPAYA,atenciones odontologicas,periodoncias,2008-01-01,77,77
TIRAQUE (CBBA),atenciones odontologicas,periodoncias,2008-01-01,89,89
TOCO,atenciones odontologicas,periodoncias,2008-01-01,7,7
TOLATA,atenciones odontologicas,periodoncias,2008-01-01,8,8
TOLEDO,atenciones odontologicas,periodoncias,2008-01-01,8,8
TOMINA,atenciones odontologicas,periodoncias,2008-01-01,20,20
TORO TORO,atenciones odontologicas,periodoncias,2008-01-01,1,1
TRINIDAD,atenciones odontologicas,periodoncias,2008-01-01,25,25
TUPIZA,atenciones odontologicas,periodoncias,2008-01-01,48,48
UMALA,atenciones odontologicas,periodoncias,2008-01-01,1,1
UNCIA,atenciones odontologicas,periodoncias,2008-01-01,3,3
URUBICHA,atenciones odontologicas,periodoncias,2008-01-01,1,1
UYUNI,atenciones odontologicas,periodoncias,2008-01-01,15,15
VACAS,atenciones odontologicas,periodoncias,2008-01-01,14,14
VALLEGRANDE,atenciones odontologicas,periodoncias,2008-01-01,4,4
VIACHA,atenciones odontologicas,periodoncias,2008-01-01,52,52
VILLA MONTES,atenciones odontologicas,periodoncias,2008-01-01,68,68
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,periodoncias,2008-01-01,8,8
VILLA RIVERO,atenciones odontologicas,periodoncias,2008-01-01,8,8
VILLA SERRANO,atenciones odontologicas,periodoncias,2008-01-01,3,3
VILLA TUNARI,atenciones odontologicas,periodoncias,2008-01-01,120,120
VILLAZON,atenciones odontologicas,periodoncias,2008-01-01,36,36
VINTO,atenciones odontologicas,periodoncias,2008-01-01,16,16
WARNES,atenciones odontologicas,periodoncias,2008-01-01,69,69
YACUIBA,atenciones odontologicas,periodoncias,2008-01-01,173,173
YAPACANI,atenciones odontologicas,periodoncias,2008-01-01,22,22
YOCALLA,atenciones odontologicas,periodoncias,2008-01-01,6,6
YOTALA,atenciones odontologicas,periodoncias,2008-01-01,1,1
YUNCHARA,atenciones odontologicas,periodoncias,2008-01-01,2,2
ZUDAÑEZ,atenciones odontologicas,periodoncias,2008-01-01,1,1
ACACIO,atenciones odontologicas,periodoncias,2008-02-01,2,2
ACHACACHI,atenciones odontologicas,periodoncias,2008-02-01,1,1
ACHOCALLA,atenciones odontologicas,periodoncias,2008-02-01,3,3
AIQUILE,atenciones odontologicas,periodoncias,2008-02-01,15,15
ALCALA,atenciones odontologicas,periodoncias,2008-02-01,208,208
ANCORAIMES,atenciones odontologicas,periodoncias,2008-02-01,13,13
ANZALDO,atenciones odontologicas,periodoncias,2008-02-01,13,13
ARANI,atenciones odontologicas,periodoncias,2008-02-01,5,5
ASCENCION DE GUARAYOS,atenciones odontologicas,periodoncias,2008-02-01,9,9
ATOCHA,atenciones odontologicas,periodoncias,2008-02-01,24,24
AZURDUY,atenciones odontologicas,periodoncias,2008-02-01,7,7
BATALLAS,atenciones odontologicas,periodoncias,2008-02-01,2,2
BAURES,atenciones odontologicas,periodoncias,2008-02-01,20,20
BELEN DE URMIRI,atenciones odontologicas,periodoncias,2008-02-01,1,1
BERMEJO,atenciones odontologicas,periodoncias,2008-02-01,25,25
BETANZOS,atenciones odontologicas,periodoncias,2008-02-01,4,4
BOLIVAR,atenciones odontologicas,periodoncias,2008-02-01,2,2
BUENA VISTA,atenciones odontologicas,periodoncias,2008-02-01,1,1
CABEZAS,atenciones odontologicas,periodoncias,2008-02-01,34,34
CAIROMA,atenciones odontologicas,periodoncias,2008-02-01,71,71
CAJUATA,atenciones odontologicas,periodoncias,2008-02-01,2,2
CALAMARCA,atenciones odontologicas,periodoncias,2008-02-01,1,1
CAMARGO,atenciones odontologicas,periodoncias,2008-02-01,3,3
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,periodoncias,2008-02-01,5,5
CAMIRI,atenciones odontologicas,periodoncias,2008-02-01,55,55
CAPINOTA,atenciones odontologicas,periodoncias,2008-02-01,44,44
CAQUIAVIRI,atenciones odontologicas,periodoncias,2008-02-01,1,1
CARACOLLO,atenciones odontologicas,periodoncias,2008-02-01,24,24
CARANAVI,atenciones odontologicas,periodoncias,2008-02-01,12,12
CARAPARI,atenciones odontologicas,periodoncias,2008-02-01,33,33
CHALLAPATA,atenciones odontologicas,periodoncias,2008-02-01,15,15
CHARAGUA,atenciones odontologicas,periodoncias,2008-02-01,2,2
CHARAÑA,atenciones odontologicas,periodoncias,2008-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,periodoncias,2008-02-01,5,5
CLIZA,atenciones odontologicas,periodoncias,2008-02-01,8,8
COBIJA,atenciones odontologicas,periodoncias,2008-02-01,114,114
COCHABAMBA,atenciones odontologicas,periodoncias,2008-02-01,771,771
COLCAPIRHUA,atenciones odontologicas,periodoncias,2008-02-01,71,71
"COLCHA ""K""",atenciones odontologicas,periodoncias,2008-02-01,1,1
COLLANA,atenciones odontologicas,periodoncias,2008-02-01,2,2
COLOMI,atenciones odontologicas,periodoncias,2008-02-01,4,4
COLPA BELGICA,atenciones odontologicas,periodoncias,2008-02-01,5,5
COLQUECHACA,atenciones odontologicas,periodoncias,2008-02-01,1,1
COLQUIRI,atenciones odontologicas,periodoncias,2008-02-01,1,1
COMANCHE,atenciones odontologicas,periodoncias,2008-02-01,2,2
COMARAPA,atenciones odontologicas,periodoncias,2008-02-01,13,13
CONCEPCION,atenciones odontologicas,periodoncias,2008-02-01,4,4
COPACABANA,atenciones odontologicas,periodoncias,2008-02-01,7,7
CORIPATA,atenciones odontologicas,periodoncias,2008-02-01,6,6
CORO CORO,atenciones odontologicas,periodoncias,2008-02-01,1,1
COROICO,atenciones odontologicas,periodoncias,2008-02-01,9,9
CORQUE,atenciones odontologicas,periodoncias,2008-02-01,1,1
COTAGAITA,atenciones odontologicas,periodoncias,2008-02-01,18,18
COTOCA,atenciones odontologicas,periodoncias,2008-02-01,25,25
CUEVO,atenciones odontologicas,periodoncias,2008-02-01,2,2
CULPINA,atenciones odontologicas,periodoncias,2008-02-01,1,1
CURAHUARA DE CARANGAS,atenciones odontologicas,periodoncias,2008-02-01,1,1
EL ALTO,atenciones odontologicas,periodoncias,2008-02-01,518,518
EL PUENTE(STC),atenciones odontologicas,periodoncias,2008-02-01,4,4
EL PUENTE(TJA),atenciones odontologicas,periodoncias,2008-02-01,44,44
EL TORNO,atenciones odontologicas,periodoncias,2008-02-01,81,81
EL VILLAR,atenciones odontologicas,periodoncias,2008-02-01,3,3
ENTRE RIOS,atenciones odontologicas,periodoncias,2008-02-01,12,12
ENTRE RIOS,atenciones odontologicas,periodoncias,2008-02-01,7,7
EUCALIPTUS,atenciones odontologicas,periodoncias,2008-02-01,2,2
EXALTACION,atenciones odontologicas,periodoncias,2008-02-01,9,9
FERNANDEZ ALONSO,atenciones odontologicas,periodoncias,2008-02-01,22,22
GENERAL SAAVEDRA,atenciones odontologicas,periodoncias,2008-02-01,2,2
GUANAY,atenciones odontologicas,periodoncias,2008-02-01,17,17
GUAQUI,atenciones odontologicas,periodoncias,2008-02-01,7,7
GUTIERREZ,atenciones odontologicas,periodoncias,2008-02-01,9,9
HUACARETA,atenciones odontologicas,periodoncias,2008-02-01,2,2
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,periodoncias,2008-02-01,8,8
HUANUNI,atenciones odontologicas,periodoncias,2008-02-01,6,6
HUARACAJE,atenciones odontologicas,periodoncias,2008-02-01,18,18
ICLA,atenciones odontologicas,periodoncias,2008-02-01,9,9
INQUISIVI,atenciones odontologicas,periodoncias,2008-02-01,3,3
LA ASUNTA,atenciones odontologicas,periodoncias,2008-02-01,2,2
LA GUARDIA,atenciones odontologicas,periodoncias,2008-02-01,28,28
LA PAZ,atenciones odontologicas,periodoncias,2008-02-01,1141,1141
LAGUNILLAS,atenciones odontologicas,periodoncias,2008-02-01,10,10
LAJA,atenciones odontologicas,periodoncias,2008-02-01,6,6
LICOMA PAMPA,atenciones odontologicas,periodoncias,2008-02-01,6,6
LLALLAGUA,atenciones odontologicas,periodoncias,2008-02-01,15,15
LLICA,atenciones odontologicas,periodoncias,2008-02-01,1,1
LURIBAY,atenciones odontologicas,periodoncias,2008-02-01,1,1
MACHACAMARCA,atenciones odontologicas,periodoncias,2008-02-01,11,11
MACHARETI,atenciones odontologicas,periodoncias,2008-02-01,3,3
MAGDALENA,atenciones odontologicas,periodoncias,2008-02-01,3,3
MAIRANA,atenciones odontologicas,periodoncias,2008-02-01,3,3
MAPIRI,atenciones odontologicas,periodoncias,2008-02-01,25,25
MECAPACA,atenciones odontologicas,periodoncias,2008-02-01,2,2
MINEROS,atenciones odontologicas,periodoncias,2008-02-01,13,13
MIZQUE,atenciones odontologicas,periodoncias,2008-02-01,4,4
MOCOMOCO,atenciones odontologicas,periodoncias,2008-02-01,15,15
MOJOCOYA,atenciones odontologicas,periodoncias,2008-02-01,1,1
MONTEAGUDO,atenciones odontologicas,periodoncias,2008-02-01,7,7
MONTERO,atenciones odontologicas,periodoncias,2008-02-01,77,77
MORO MORO,atenciones odontologicas,periodoncias,2008-02-01,1,1
MOROCHATA,atenciones odontologicas,periodoncias,2008-02-01,2,2
OCURI,atenciones odontologicas,periodoncias,2008-02-01,10,10
OKINAWA,atenciones odontologicas,periodoncias,2008-02-01,25,25
ORURO,atenciones odontologicas,periodoncias,2008-02-01,177,177
PADCAYA,atenciones odontologicas,periodoncias,2008-02-01,55,55
PADILLA,atenciones odontologicas,periodoncias,2008-02-01,6,6
PAILON,atenciones odontologicas,periodoncias,2008-02-01,7,7
PALCA,atenciones odontologicas,periodoncias,2008-02-01,2,2
PALOS BLANCOS,atenciones odontologicas,periodoncias,2008-02-01,3,3
PAPEL PAMPA,atenciones odontologicas,periodoncias,2008-02-01,1,1
PASORAPA,atenciones odontologicas,periodoncias,2008-02-01,2,2
PAZÑA,atenciones odontologicas,periodoncias,2008-02-01,4,4
POCOATA,atenciones odontologicas,periodoncias,2008-02-01,3,3
POOPO,atenciones odontologicas,periodoncias,2008-02-01,4,4
PORCO,atenciones odontologicas,periodoncias,2008-02-01,1,1
PORONGO,atenciones odontologicas,periodoncias,2008-02-01,23,23
POTOSI,atenciones odontologicas,periodoncias,2008-02-01,58,58
PUCARA,atenciones odontologicas,periodoncias,2008-02-01,2,2
PUCARANI,atenciones odontologicas,periodoncias,2008-02-01,19,19
PUERTO ACOSTA,atenciones odontologicas,periodoncias,2008-02-01,14,14
PUERTO CARABUCO,atenciones odontologicas,periodoncias,2008-02-01,1,1
PUERTO SUAREZ,atenciones odontologicas,periodoncias,2008-02-01,26,26
PUERTO VILLARROEL,atenciones odontologicas,periodoncias,2008-02-01,9,9
PUNA,atenciones odontologicas,periodoncias,2008-02-01,1,1
PUNATA,atenciones odontologicas,periodoncias,2008-02-01,124,124
QUILLACOLLO,atenciones odontologicas,periodoncias,2008-02-01,67,67
QUIME,atenciones odontologicas,periodoncias,2008-02-01,57,57
REYES,atenciones odontologicas,periodoncias,2008-02-01,9,9
RIBERALTA,atenciones odontologicas,periodoncias,2008-02-01,64,64
ROBORE,atenciones odontologicas,periodoncias,2008-02-01,3,3
RURRENABAQUE,atenciones odontologicas,periodoncias,2008-02-01,13,13
SABAYA,atenciones odontologicas,periodoncias,2008-02-01,5,5
SACABA,atenciones odontologicas,periodoncias,2008-02-01,67,67
SACABAMBA,atenciones odontologicas,periodoncias,2008-02-01,15,15
SAIPINA,atenciones odontologicas,periodoncias,2008-02-01,8,8
SAMAIPATA,atenciones odontologicas,periodoncias,2008-02-01,2,2
SAN BORJA,atenciones odontologicas,periodoncias,2008-02-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,periodoncias,2008-02-01,1,1
SAN CARLOS,atenciones odontologicas,periodoncias,2008-02-01,15,15
SAN IGNACIO,atenciones odontologicas,periodoncias,2008-02-01,45,45
SAN IGNACIO DE VELASCO,atenciones odontologicas,periodoncias,2008-02-01,16,16
SAN JOAQUIN,atenciones odontologicas,periodoncias,2008-02-01,1,1
SAN JUAN DE YAPACANI,atenciones odontologicas,periodoncias,2008-02-01,36,36
SAN JULIAN,atenciones odontologicas,periodoncias,2008-02-01,26,26
SAN LORENZO(TJA),atenciones odontologicas,periodoncias,2008-02-01,474,474
SAN LUCAS,atenciones odontologicas,periodoncias,2008-02-01,24,24
SAN MATIAS,atenciones odontologicas,periodoncias,2008-02-01,3,3
SAN MIGUEL DE VELASCO,atenciones odontologicas,periodoncias,2008-02-01,4,4
SAN PEDRO,atenciones odontologicas,periodoncias,2008-02-01,7,7
SAN RAFAEL,atenciones odontologicas,periodoncias,2008-02-01,57,57
SAN RAMON,atenciones odontologicas,periodoncias,2008-02-01,23,23
SANTA ANA,atenciones odontologicas,periodoncias,2008-02-01,245,245
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,periodoncias,2008-02-01,818,818
SANTA ROSA,atenciones odontologicas,periodoncias,2008-02-01,7,7
SANTA ROSA DEL SARA,atenciones odontologicas,periodoncias,2008-02-01,50,50
SANTIAGO DE HUARI,atenciones odontologicas,periodoncias,2008-02-01,8,8
SANTIVAÑES,atenciones odontologicas,periodoncias,2008-02-01,2,2
SAPAHAQUI,atenciones odontologicas,periodoncias,2008-02-01,3,3
SENA,atenciones odontologicas,periodoncias,2008-02-01,1,1
SICA SICA (VILLA AROMA),atenciones odontologicas,periodoncias,2008-02-01,115,115
SICAYA,atenciones odontologicas,periodoncias,2008-02-01,8,8
SIPE SIPE,atenciones odontologicas,periodoncias,2008-02-01,33,33
SOPACHUY,atenciones odontologicas,periodoncias,2008-02-01,3,3
SORATA,atenciones odontologicas,periodoncias,2008-02-01,21,21
SUCRE,atenciones odontologicas,periodoncias,2008-02-01,344,344
TACACOMA,atenciones odontologicas,periodoncias,2008-02-01,8,8
TACOPAYA,atenciones odontologicas,periodoncias,2008-02-01,3,3
TAPACARI,atenciones odontologicas,periodoncias,2008-02-01,4,4
TARACO,atenciones odontologicas,periodoncias,2008-02-01,2,2
TARATA,atenciones odontologicas,periodoncias,2008-02-01,7,7
TARIJA,atenciones odontologicas,periodoncias,2008-02-01,110,110
TARVITA,atenciones odontologicas,periodoncias,2008-02-01,10,10
TEOPONTE,atenciones odontologicas,periodoncias,2008-02-01,1,1
TIPUANI,atenciones odontologicas,periodoncias,2008-02-01,2,2
TIQUIPAYA,atenciones odontologicas,periodoncias,2008-02-01,82,82
TIRAQUE (CBBA),atenciones odontologicas,periodoncias,2008-02-01,100,100
TOCO,atenciones odontologicas,periodoncias,2008-02-01,13,13
TOLATA,atenciones odontologicas,periodoncias,2008-02-01,19,19
TOLEDO,atenciones odontologicas,periodoncias,2008-02-01,11,11
TOMINA,atenciones odontologicas,periodoncias,2008-02-01,3,3
TORO TORO,atenciones odontologicas,periodoncias,2008-02-01,5,5
TRIGAL,atenciones odontologicas,periodoncias,2008-02-01,1,1
TRINIDAD,atenciones odontologicas,periodoncias,2008-02-01,47,47
TUPIZA,atenciones odontologicas,periodoncias,2008-02-01,15,15
UNCIA,atenciones odontologicas,periodoncias,2008-02-01,1,1
URIONDO (A. CONCEPCION),atenciones odontologicas,periodoncias,2008-02-01,3,3
URUBICHA,atenciones odontologicas,periodoncias,2008-02-01,3,3
UYUNI,atenciones odontologicas,periodoncias,2008-02-01,4,4
VACAS,atenciones odontologicas,periodoncias,2008-02-01,23,23
VALLEGRANDE,atenciones odontologicas,periodoncias,2008-02-01,4,4
VIACHA,atenciones odontologicas,periodoncias,2008-02-01,18,18
VILLA MONTES,atenciones odontologicas,periodoncias,2008-02-01,10,10
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,periodoncias,2008-02-01,6,6
VILLA RIVERO,atenciones odontologicas,periodoncias,2008-02-01,4,4
VILLA TUNARI,atenciones odontologicas,periodoncias,2008-02-01,141,141
