municipality,group,variable,month,Consultas repetidas en personas de 5 años y más,TOTAL
CAJUATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
CALAMARCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,23,23
CAMARGO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,146,146
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,32,32
CAMIRI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,676,676
CAPINOTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,44,44
CARACOLLO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,136,136
CARANAVI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,65,65
CARAPARI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,143,143
CARIPUYO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,32,32
CARMEN RIVERO TORREZ,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
CHALLAPATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,67,67
CHARAGUA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,45,45
CHAYANTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,51,51
CHIMORE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,16,16
CHUMA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
CLIZA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,114,114
COBIJA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,240,240
COCHABAMBA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7944,7944
COLCAPIRHUA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,489,489
"COLCHA ""K""",atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
COLLANA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
COLOMI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,45,45
COLPA BELGICA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,9,9
COLQUECHACA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,78,78
COLQUIRI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,140,140
COMARAPA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,241,241
CONCEPCION,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,13,13
COPACABANA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
CORIPATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,86,86
CORO CORO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
COROICO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,23,23
CORQUE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,35,35
COTAGAITA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
COTOCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,26,26
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
CUEVO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,51,51
CULPINA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,46,46
CURAHUARA DE CARANGAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,68,68
DESAGUADERO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
EL ALTO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4992,4992
EL PUENTE(STC),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,24,24
EL PUENTE(TJA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,34,34
EL TORNO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,186,186
EL VILLAR,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
ENTRE RIOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,68,68
ENTRE RIOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,56,56
EUCALIPTUS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,33,33
FERNANDEZ ALONSO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,39,39
FILADELFIA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,6,6
GENERAL SAAVEDRA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,49,49
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
GUANAY,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
GUAQUI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,23,23
GUAYARAMERIN,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,97,97
GUTIERREZ,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,53,53
HUACARETA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
HUACHACALLA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,17,17
HUANUNI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,210,210
HUARACAJE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
HUAYLLAMARCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,26,26
ICHOCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,2,2
ICLA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,25,25
INCAHUASI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,18,18
INQUISIVI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
IRUPANA (VILLA DE LANZA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,74,74
IXIAMAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,36,36
JESUS DE MACHACA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,5,5
LA ASUNTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
LA GUARDIA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,44,44
LA PAZ,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,9220,9220
LAGUNILLAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,31,31
LAJA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
LLALLAGUA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,93,93
LLICA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,5,5
LURIBAY,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
MACHACAMARCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,68,68
MACHARETI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,12,12
MAGDALENA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,42,42
MAIRANA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,77,77
MAPIRI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,32,32
MECAPACA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,20,20
MINEROS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
MIZQUE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,31,31
MOCOMOCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
MOJOCOYA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
MONTEAGUDO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,176,176
MONTERO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,617,617
MORO MORO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
MOROCHATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,8,8
OKINAWA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,22,22
OMEREQUE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,5,5
ORURO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4052,4052
PADCAYA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,314,314
PADILLA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,81,81
PAILON,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,23,23
PALCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,23,23
PALOS BLANCOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
PAMPA AULLAGAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,20,20
PASORAPA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,6,6
PATACAMAYA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,2,2
PAZÑA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,66,66
PELECHUCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
POCOATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,12,12
POJO (CBBA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,32,32
POOPO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,95,95
PORCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,19,19
POROMA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
PORONGO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,22,22
PORTACHUELO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,62,62
PORVENIR,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,9,9
POSTRER VALLE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,27,27
POTOSI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1463,1463
PUCARA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
PUCARANI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,39,39
PUERTO ACOSTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,100,100
PUERTO CARABUCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,9,9
PUERTO QUIJARRO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,46,46
PUERTO SUAREZ,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,60,60
PUERTO VILLARROEL,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,67,67
PUNA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,6,6
PUNATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,167,167
QUILLACOLLO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,655,655
QUIRUSILLAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,18,18
REYES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,28,28
RIBERALTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,132,132
ROBORE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,84,84
RURRENABAQUE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,108,108
SABAYA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,17,17
SACABA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,444,444
SAIPINA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,152,152
SALINAS DE GARCI MENDOZA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,37,37
SAMAIPATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,41,41
SAN AGUSTIN,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
SAN ANDRES DE MACHACA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,15,15
SAN ANTONIO DE LOMERIO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,16,16
SAN BENITO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,92,92
SAN BORJA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,129,129
SAN BUENA VENTURA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,45,45
SAN CARLOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,71,71
SAN IGNACIO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,160,160
SAN IGNACIO DE VELASCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,594,594
SAN JAVIER(STC),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,17,17
SAN JOAQUIN,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,61,61
SAN JOSE DE CHIQUITOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,25,25
SAN JUAN DE YAPACANI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,223,223
SAN LORENZO(TJA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,106,106
SAN LUCAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,42,42
SAN MATIAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
SAN MIGUEL DE VELASCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,180,180
SAN PEDRO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,40,40
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,8,8
SAN PEDRO DE CURAHUARA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,32,32
SAN PEDRO DE TIQUINA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,8,8
SAN RAFAEL,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,44,44
SAN RAMON,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,15,15
SAN RAMON,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,91,91
SANTA ANA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,310,310
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3093,3093
SANTA ROSA DEL SARA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,15,15
SANTIAGO DE CALLAPA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
SANTIAGO DE HUARI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,161,161
SANTIAGO DE MACHACA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,2,2
SANTIVAÑES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
SANTUARIO DE QUILLACAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,34,34
SAPAHAQUI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,12,12
SENA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,9,9
SICAYA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,21,21
SIPE SIPE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,414,414
SORACACHI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,37,37
SORATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,28,28
SUCRE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,6100,6100
TACACOMA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,12,12
TAPACARI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,29,29
TARABUCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,14,14
TARACO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
TARATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
TARIJA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3236,3236
TARVITA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,11,11
TEOPONTE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
TIAWANACU,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
TINGUIPAYA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
TIQUIPAYA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,49,49
TIRAQUE (CBBA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,104,104
TOCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,62,62
TOLEDO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,9,9
TOMAVE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,55,55
TOMINA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,298,298
TORO TORO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,17,17
TOTORA(CBBA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,21,21
TOTORA(ORR),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
TRIGAL,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,51,51
TRINIDAD,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,848,848
TUPIZA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,218,218
TURCO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,17,17
UMALA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,6,6
UNCIA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,228,228
URIONDO (A. CONCEPCION),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,104,104
URUBICHA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,37,37
UYUNI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,135,135
VACAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,36,36
VALLEGRANDE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,224,224
VIACHA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,334,334
VILLA MONTES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,159,159
VILLA RIVERO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,31,31
VILLA SERRANO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,29,29
VILLA TUNARI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,350,350
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,6,6
VILLAZON,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,372,372
VINTO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,92,92
VITICHI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,5,5
WALDO BALLIVIAN,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
WARNES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,94,94
YACUIBA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,923,923
YAMPARAEZ,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,43,43
YANACACHI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,10,10
YAPACANI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,75,75
YOCALLA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,2,2
YOTALA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,24,24
ZUDAÑEZ,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,80,80
ACHACACHI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,17,17
ACHOCALLA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,11,11
AIQUILE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,28,28
ANCORAIMES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,8,8
ANDAMARCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,51,51
ANTEQUERA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,6,6
APOLO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,13,13
ARANI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,8,8
ARQUE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,3,3
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,27,27
ATOCHA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,383,383
AUCAPATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,13,13
AYATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,26,26
AZURDUY,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,27,27
BATALLAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,12,12
BAURES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,109,109
BELEN DE URMIRI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,2,2
BERMEJO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,167,167
BETANZOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,18,18
BOYUIBE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,10,10
BUENA VISTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,19,19
CABEZAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,47,47
"CAIZA ""D""",atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,51,51
CAJUATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,2,2
CALACOTO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,3,3
CALAMARCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,30,30
CAMARGO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,128,128
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,27,27
CAMIRI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,479,479
CAPINOTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,73,73
CAQUIAVIRI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-02-01,1,1
