municipality,group,variable,month,Niños (as) 6 a 23 meses que reciben Alimento compl,TOTAL
CORIPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,8,8
CORO CORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,10,10
COROICO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,28,28
CORQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,47,47
COTAGAITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,35,35
CUATRO CAÑADAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,49,49
CUEVO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,2,2
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,61,61
CURVA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,6,6
DESAGUADERO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,1,1
EL ALTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,664,664
EL CHORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,75,75
EL PUENTE(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,85,85
EUCALIPTUS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,72,72
EXALTACION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,50,50
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,32,32
GUANAY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,16,16
GUAQUI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,11,11
GUAYARAMERIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,393,393
HUACHACALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,18,18
HUANUNI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,122,122
HUARACAJE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,67,67
HUAYLLAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,60,60
INCAHUASI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,31,31
INQUISIVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,3,3
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,16,16
LA ASUNTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,20,20
LA PAZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,27,27
LLALLAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,172,172
LORETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,5,5
MACHACAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,24,24
MAGDALENA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,32,32
MAPIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,18,18
MECAPACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,20,20
MINEROS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,37,37
MIZQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,38,38
MOJOCOYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,1,1
MONTERO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,127,127
MOROCHATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,33,33
OCURI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,433,433
OKINAWA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,71,71
ORURO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,776,776
PALCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,12,12
PALOS BLANCOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,30,30
PAMPA AULLAGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,20,20
PAZÑA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,39,39
PELECHUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,14,14
POCONA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,10,10
POJO (CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,6,6
POOPO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,55,55
PORCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,11,11
POROMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,36,36
POTOSI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,171,171
PRESTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,5,5
PUNA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,29,29
PUNATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,69,69
QUILLACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,6,6
QUIME,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,6,6
RAVELO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,23,23
RIBERALTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,198,198
RURRENABAQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,162,162
SABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,23,23
SACABA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,5,5
SACACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,117,117
SAIPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,7,7
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,69,69
SAN ANDRES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,44,44
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,3,3
SAN BENITO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,59,59
SAN BORJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,297,297
SAN CARLOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,66,66
SAN IGNACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,156,156
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,225,225
SAN JAVIER(BNI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,5,5
SAN JAVIER(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,51,51
SAN JOAQUIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,26,26
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,35,35
SAN JULIAN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,37,37
SAN LUCAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,22,22
SAN MATIAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,98,98
SAN PEDRO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,47,47
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,11,11
SANTA ANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,115,115
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,139,139
SANTA ROSA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,20,20
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,12,12
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,25,25
SANTIVAÑES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,2,2
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,83,83
SORACACHI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,17,17
TACOBAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,1,1
TACOPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,7,7
TAPACARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,109,109
TARABUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,215,215
TARATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,2,2
TARIJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,89,89
TEOPONTE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,24,24
TINGUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,16,16
TIPUANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,2,2
TIQUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,88,88
TIRAQUE (CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,29,29
TODOS SANTOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,1,1
TOLATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,3,3
TOLEDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,41,41
TORO TORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
TOTORA(ORR),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,33,33
TRINIDAD,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,123,123
TURCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,36,36
UMALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,15,15
URIONDO (A. CONCEPCION),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
VIACHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,81,81
VILA VILA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,24,24
VITICHI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,21,21
WARNES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,127,127
YAMPARAEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,44,44
YAPACANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,102,102
YOTALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,2,2
YUNCHARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,7,7
ZUDAÑEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,24,24
ACACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,64,64
ALALAY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,3,3
ALCALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,87,87
ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,59,59
ANTEQUERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,63,63
ANZALDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,29,29
APOLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,19,19
ARANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,7,7
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,107,107
AUCAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,1,1
BAURES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,5,5
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,14,14
BELEN DE URMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,4,4
BOLIVAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,55,55
BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,19,19
CALACOTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,74,74
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,67,67
CARACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,211,211
CARANAVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,13,13
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,20,20
CHALLAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,263,263
CHARAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,21,21
CHAYANTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,2,2
CHOQUE COTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,27,27
CHUMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,77,77
COIPASA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,7,7
COLQUECHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,16,16
COMANCHE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,38,38
COMARAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,80,80
CONCEPCION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,4,4
CORIPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,16,16
CORO CORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,19,19
CORQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,62,62
COTAGAITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,35,35
CUATRO CAÑADAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,65,65
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,6,6
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,86,86
EL ALTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,52,52
EL CHORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,89,89
EL PUENTE(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,59,59
ESCARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,1,1
EUCALIPTUS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,85,85
EXALTACION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,13,13
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,23,23
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,28,28
GUAYARAMERIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,264,264
HUACHACALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,16,16
HUANUNI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,167,167
HUAYLLAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,67,67
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,27,27
LA ASUNTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,6,6
LA PAZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,14,14
LLALLAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,121,121
LORETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,9,9
MACHACAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,14,14
MINEROS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,31,31
MIZQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,6,6
MOJOCOYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,2,2
MONTEAGUDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,356,356
MONTERO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,199,199
OCURI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,562,562
OKINAWA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,59,59
ORURO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,1885,1885
PALCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,1,1
PALOS BLANCOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,27,27
PAMPA AULLAGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,44,44
PAZÑA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,27,27
PELECHUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,7,7
POCOATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,22,22
POCONA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,7,7
POJO (CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,11,11
POOPO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,1,1
PORCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,17,17
POROMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,79,79
POTOSI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,90,90
PUERTO QUIJARRO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,31,31
PUERTO SUAREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,31,31
PUNA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,10,10
QUILLACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,51,51
RIBERALTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,478,478
RURRENABAQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,172,172
SABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,31,31
SACACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,223,223
SAIPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,7,7
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,155,155
SAN ANDRES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,40,40
SAN BENITO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,25,25
SAN BORJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,155,155
SAN CARLOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,65,65
SAN IGNACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-02-01,211,211
