municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vi,TOTAL
CHIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
CHOQUE COTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,27,27
CHUMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
CLIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,12,12
COBIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,97,97
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,958,958
COIPASA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,35,35
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
COLLANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
COLOMI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,31,31
COLPA BELGICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
COLQUECHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,74,74
COLQUENCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,9,9
COLQUIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,23,23
COMANCHE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
COMARAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,22,22
COMBAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
CONCEPCION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,21,21
COPACABANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
CORIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,9,9
CORO CORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
COROICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,16,16
CORQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,10,10
COTAGAITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,17,17
COTOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,65,65
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,17,17
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
CUEVO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
CULPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,17,17
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
CURVA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
DESAGUADERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
EL ALTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1211,1211
EL CHORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
EL PUENTE(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
EL PUENTE(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,15,15
EL TORNO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,23,23
EL VILLAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,25,25
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,26,26
EUCALIPTUS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
EXALTACION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
FERNANDEZ ALONSO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
GENERAL SAAVEDRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,10,10
GUANAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,19,19
GUAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
GUAYARAMERIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,99,99
GUTIERREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,24,24
HUACARETA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,14,14
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
HUANUNI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,28,28
HUARACAJE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
HUAYLLAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
ICHOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,13,13
ICLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,14,14
INCAHUASI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,49,49
INQUISIVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,16,16
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
IXIAMAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
JESUS DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,12,12
LA ASUNTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,35,35
LA GUARDIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,42,42
LA PAZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1441,1441
LAGUNILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,10,10
LAJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
LICOMA PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
LLALLAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,39,39
LLICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
LURIBAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,13,13
MACHACAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
MACHARETI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
MAGDALENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,22,22
MAIRANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,16,16
MALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
MAPIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,25,25
MECAPACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
MINEROS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
MIZQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,45,45
MOCOMOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,18,18
MOJOCOYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
MONTEAGUDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,29,29
MONTERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,40,40
MORO MORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
MOROCHATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,37,37
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
OCURI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,33,33
OKINAWA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
OMEREQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,15,15
ORURO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,156,156
PADCAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,18,18
PADILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,19,19
PAILON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,19,19
PALCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
PALOS BLANCOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,44,44
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
PAPEL PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
PASORAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
PATACAMAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,25,25
PAZÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
PELECHUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
POCOATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,36,36
POCONA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
POJO (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,19,19
POOPO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
PORCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,12,12
POROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,35,35
PORONGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
PORTACHUELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,28,28
PORVENIR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
POTOSI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,86,86
PRESTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,26,26
PUCARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
PUCARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
PUERTO ACOSTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,26,26
PUERTO CARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,15,15
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,12,12
PUERTO PEREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,10,10
PUERTO RICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,9,9
PUERTO SILES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,62,62
PUNA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,35,35
PUNATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,69,69
QUIABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
QUILLACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,179,179
QUIME,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
QUIRUSILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
RAVELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
REYES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,22,22
RIBERALTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,358,358
ROBORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,25,25
RURRENABAQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,39,39
SABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
SACABA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,121,121
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,9,9
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,23,23
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,12,12
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,12,12
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,47,47
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,16,16
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,62,62
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,37,37
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,89,89
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
SAN JAVIER(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,27,27
SAN JOAQUIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,24,24
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
SAN JULIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,65,65
SAN LORENZO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
SAN LUCAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,48,48
SAN MATIAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,17,17
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,14,14
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,10,10
SAN PEDRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,26,26
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,27,27
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,10,10
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
SAN PEDRO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
SAN RAFAEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,18,18
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,12,12
SANTA ANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,29,29
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,749,749
SANTA ROSA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,16,16
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,14,14
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
SANTIVAÑES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
SAPAHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,4,4
SENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,11,11
SICAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
SIPE SIPE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,26,26
SOPACHUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
SORACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
SORATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,17,17
SUCRE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,370,370
TACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
TACACOMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
TACOBAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
TACOPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,25,25
TAPACARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,34,34
TARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,52,52
TARATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
TARIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,313,313
