municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitamina,TOTAL
COCHABAMBA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1018,1018
COLCAPIRHUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,41,41
"COLCHA ""K""",nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
COLLANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
COLOMI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,47,47
COLPA BELGICA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
COLQUECHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,53,53
COLQUENCHA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,14,14
COLQUIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,47,47
COMANCHE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
COMARAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,26,26
COMBAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
CONCEPCION,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,53,53
COPACABANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,22,22
CORIPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,14,14
CORO CORO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,15,15
COROICO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,18,18
CORQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
COTAGAITA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,14,14
COTOCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,97,97
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,34,34
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
CUEVO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,5,5
CULPINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,31,31
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
CURVA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
DESAGUADERO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
EL ALTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1355,1355
EL CHORO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,13,13
EL PUENTE(STC),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,22,22
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,13,13
EL TORNO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,105,105
EL VILLAR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
ENTRE RIOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,70,70
ENTRE RIOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,37,37
EUCALIPTUS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
EXALTACION,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,3,3
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,25,25
FILADELFIA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,26,26
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,13,13
GUANAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,21,21
GUAQUI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
GUAYARAMERIN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,76,76
GUTIERREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,124,124
HUACARETA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,18,18
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,7,7
HUACHACALLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
HUANUNI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,52,52
HUARACAJE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,7,7
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
ICHOCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
ICLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,18,18
INCAHUASI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,64,64
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
INQUISIVI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,22,22
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,25,25
IXIAMAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,17,17
LA ASUNTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,76,76
LA GUARDIA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,123,123
LA PAZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1124,1124
LAGUNILLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,20,20
LAJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,41,41
LAS CARRERAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
LICOMA PAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,5,5
LLALLAGUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,40,40
LLICA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,3,3
LORETO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,9,9
LURIBAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,13,13
MACHACAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,11,11
MACHARETI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,18,18
MAGDALENA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,30,30
MAIRANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,5,5
MALLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,3,3
MAPIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,23,23
MECAPACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,17,17
MINEROS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,69,69
MIZQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,53,53
MOCOMOCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,30,30
MOJOCOYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
MONTEAGUDO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,69,69
MONTERO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,155,155
MORO MORO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
MOROCHATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,61,61
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,3,3
OCURI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,50,50
OKINAWA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,38,38
OMEREQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
ORURO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,385,385
PADCAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,30,30
PADILLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
PAILON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,37,37
PALCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,7,7
PALOS BLANCOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,65,65
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
PAMPA GRANDE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
PAPEL PAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,11,11
PASORAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
PATACAMAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,34,34
PAZÑA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
PELECHUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,17,17
POCOATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,21,21
POCONA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,39,39
POJO (CBBA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,24,24
POOPO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,16,16
PORCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,23,23
POROMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,26,26
PORONGO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,23,23
PORTACHUELO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,38,38
PORVENIR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
POSTRER VALLE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
POTOSI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,311,311
PRESTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,19,19
PUCARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
PUCARANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,38,38
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,39,39
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,34,34
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
PUERTO PEREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,19,19
PUERTO RICO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
PUERTO SILES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,96,96
PUNA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,75,75
PUNATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,26,26
QUIABAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
QUILLACOLLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,113,113
QUIME,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,24,24
QUIRUSILLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
RAVELO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,15,15
REYES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,27,27
RIBERALTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,260,260
ROBORE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,32,32
RURRENABAQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,43,43
SABAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,7,7
SACABA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,138,138
SACABAMBA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,15,15
SACACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,36,36
SAIPINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,13,13
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,7,7
SAMAIPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,18,18
SAN ANDRES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,16,16
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
SAN BENITO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,25,25
SAN BORJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,74,74
SAN CARLOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,40,40
SAN IGNACIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,61,61
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,125,125
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,7,7
SAN JAVIER(STC),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,23,23
SAN JOAQUIN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,38,38
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,20,20
SAN JULIAN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,76,76
SAN LORENZO(PND),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,7,7
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,40,40
SAN LUCAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,60,60
SAN MATIAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,33,33
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,27,27
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
SAN PEDRO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,29,29
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,27,27
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,15,15
SAN PEDRO DE QUEMES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
SAN PEDRO(PND),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,3,3
SAN RAFAEL,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,21,21
SAN RAMON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,15,15
SAN RAMON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,18,18
SANTA ANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,14,14
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1315,1315
SANTA ROSA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,21,21
SANTA ROSA DEL SARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,33,33
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,13,13
