municipality,group,variable,month,Niños de 1 año a menores de 5 años con 1ra dosis v,TOTAL
AYATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,54,54
AYO AYO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,33,33
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,75,75
AZURDUY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,443,443
BATALLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,92,92
BAURES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,51,51
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,8,8
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,34,34
BELLA FLOR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,4,4
BERMEJO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,119,119
BETANZOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,318,318
BOLIVAR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,29,29
BOLPEBRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,1,1
BOYUIBE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,116,116
BUENA VISTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,195,195
CABEZAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,308,308
CAIROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,106,106
"CAIZA ""D""",nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,106,106
CAJUATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,72,72
CALACOTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,41,41
CALAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,76,76
CAMARGO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,197,197
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,123,123
CAMIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,261,261
CAPINOTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,153,153
CAQUIAVIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,36,36
CARACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,117,117
CARANAVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,311,311
CARAPARI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,76,76
CARIPUYO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,122,122
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,13,13
CATACORA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,1,1
CHALLAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,266,266
CHAQUI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,114,114
CHARAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,208,208
CHARAÑA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,10,10
CHAYANTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,181,181
CHIMORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,60,60
CHIPAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,19,19
CHUMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,58,58
CLIZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,133,133
COBIJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,300,300
COCHABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,2035,2035
COIPASA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,3,3
COLCAPIRHUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,96,96
"COLCHA ""K""",nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,16,16
COLLANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,12,12
COLOMI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,84,84
COLPA BELGICA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,108,108
COLQUECHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,321,321
COLQUENCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,154,154
COLQUIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,103,103
COMANCHE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,20,20
COMARAPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,95,95
COMBAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,19,19
CONCEPCION,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,156,156
COPACABANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,151,151
CORIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,21,21
CORO CORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,48,48
COROICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,39,39
CORQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,17,17
COTAGAITA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,32,32
COTOCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,427,427
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,109,109
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,54,54
CUEVO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,48,48
CULPINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,206,206
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,69,69
CURVA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,28,28
DESAGUADERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,39,39
EL ALTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,3066,3066
EL CHORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,46,46
EL PUENTE(STC),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,82,82
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,111,111
EL TORNO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,396,396
EL VILLAR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,1,1
ENTRE RIOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,65,65
ENTRE RIOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,230,230
EUCALIPTUS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,21,21
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,4,4
EXALTACION,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,5,5
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,171,171
FILADELFIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,11,11
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,238,238
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,45,45
GUANAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,34,34
GUAQUI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,27,27
GUAYARAMERIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,236,236
GUTIERREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,846,846
HUACARETA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,250,250
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,73,73
HUACHACALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,10,10
HUANUNI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,170,170
HUARACAJE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,37,37
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,66,66
ICHOCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,57,57
ICLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,493,493
INCAHUASI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,497,497
INQUISIVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,197,197
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,73,73
IXIAMAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,32,32
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,108,108
LA ASUNTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,171,171
LA GUARDIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,499,499
LA PAZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,3065,3065
LAGUNILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,253,253
LAJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,73,73
LAS CARRERAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,17,17
LICOMA PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,14,14
LLALLAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,337,337
LORETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,12,12
LURIBAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,58,58
MACHACAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,38,38
MACHARETI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,171,171
MAGDALENA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,120,120
MAIRANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,72,72
MALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,19,19
MAPIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,51,51
MECAPACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,70,70
MINEROS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,211,211
MIZQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,253,253
MOCOMOCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,86,86
MOJINETE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,9,9
MOJOCOYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,121,121
MONTEAGUDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,355,355
MONTERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,1149,1149
MORO MORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,20,20
MOROCHATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,143,143
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,16,16
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,4,4
OCURI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,249,249
OKINAWA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,293,293
OMEREQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,53,53
ORURO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,1018,1018
PADCAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,122,122
PADILLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,138,138
PAILON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,199,199
PALCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,18,18
PALOS BLANCOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,174,174
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,17,17
PAMPA GRANDE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,19,19
PAPEL PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,3,3
PASORAPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,61,61
PATACAMAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,108,108
PAZÑA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,33,33
PELECHUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,33,33
POCOATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,216,216
POCONA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,84,84
POJO (CBBA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,80,80
POOPO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,51,51
PORCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,40,40
POROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,204,204
PORONGO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,114,114
PORTACHUELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,164,164
PORVENIR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,25,25
POSTRER VALLE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,26,26
POTOSI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,1128,1128
PRESTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,154,154
PUCARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,16,16
PUCARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,103,103
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,98,98
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,71,71
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,13,13
PUERTO PEREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,34,34
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,135,135
PUERTO RICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,25,25
PUERTO SILES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,2,2
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,166,166
PUNA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,490,490
PUNATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,113,113
QUIABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,6,6
QUILLACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,226,226
QUIME,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,27,27
QUIRUSILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,16,16
RAVELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,133,133
REYES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,133,133
RIBERALTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,949,949
ROBORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,185,185
RURRENABAQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,130,130
SABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,28,28
SACABA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,606,606
SACABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,21,21
SACACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,233,233
SAIPINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,69,69
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,80,80
SAMAIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,60,60
SAN ANDRES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,60,60
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,13,13
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,4,4
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,127,127
SAN BENITO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,34,34
SAN BORJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,462,462
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,1,1
SAN CARLOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,222,222
SAN IGNACIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,184,184
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,696,696
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,49,49
SAN JAVIER(STC),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,171,171
SAN JOAQUIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,23,23
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,149,149
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,146,146
SAN JULIAN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,335,335
SAN LORENZO(PND),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,4,4
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,264,264
SAN LUCAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,572,572
SAN MATIAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,82,82
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,78,78
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,31,31
SAN PEDRO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,213,213
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,278,278
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,54,54
