,group,variable,month,TALLA BAJA < DE 1 AÑO,TALLA BAJA < DE 1 AÑO,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COROICO,estado nutricional,talla baja,2010-01-01,3,1,12,2,7,11,22,14,36
CORQUE,estado nutricional,talla baja,2010-01-01,3,4,12,7,9,3,24,14,38
COTAGAITA,estado nutricional,talla baja,2010-01-01,14,7,20,8,11,13,45,28,73
COTOCA,estado nutricional,talla baja,2010-01-01,13,14,15,21,14,20,42,55,97
CUEVO,estado nutricional,talla baja,2010-01-01,4,3,1,1,9,5,14,9,23
CULPINA,estado nutricional,talla baja,2010-01-01,8,10,26,17,28,39,62,66,128
CURAHUARA DE CARANGAS,estado nutricional,talla baja,2010-01-01,8,1,19,11,14,3,41,15,56
CURVA,estado nutricional,talla baja,2010-01-01,3,0,8,2,12,10,23,12,35
DESAGUADERO,estado nutricional,talla baja,2010-01-01,3,2,1,2,0,1,4,5,9
EL ALTO,estado nutricional,talla baja,2010-01-01,414,276,469,268,223,190,1106,734,1840
EL CHORO,estado nutricional,talla baja,2010-01-01,0,2,2,2,8,5,10,9,19
EL PUENTE(STC),estado nutricional,talla baja,2010-01-01,0,3,5,6,9,6,14,15,29
EL PUENTE(TJA),estado nutricional,talla baja,2010-01-01,10,5,28,16,19,30,57,51,108
EL TORNO,estado nutricional,talla baja,2010-01-01,3,5,9,7,8,20,20,32,52
EL VILLAR,estado nutricional,talla baja,2010-01-01,6,1,10,9,29,27,45,37,82
ENTRE RIOS TRJ,estado nutricional,talla baja,2010-01-01,9,7,28,14,26,24,63,45,108
ENTRE RIOS CBBA,estado nutricional,talla baja,2010-01-01,6,6,13,10,9,13,28,29,57
ESCOMA,estado nutricional,talla baja,2010-01-01,1,1,4,2,7,5,12,8,20
EUCALIPTUS,estado nutricional,talla baja,2010-01-01,7,3,11,7,10,14,28,24,52
EUREKA (SANTOS MERCADO),estado nutricional,talla baja,2010-01-01,1,0,2,0,2,2,5,2,7
FERNANDEZ ALONSO,estado nutricional,talla baja,2010-01-01,2,1,5,5,6,4,13,10,23
GENERAL SAAVEDRA,estado nutricional,talla baja,2010-01-01,3,1,7,4,5,2,15,7,22
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla baja,2010-01-01,12,1,23,7,22,12,57,20,77
GUANAY,estado nutricional,talla baja,2010-01-01,7,4,9,10,8,12,24,26,50
GUAQUI,estado nutricional,talla baja,2010-01-01,2,1,4,3,1,1,7,5,12
GUAYARAMERIN,estado nutricional,talla baja,2010-01-01,12,17,7,16,12,8,31,41,72
GUTIERREZ,estado nutricional,talla baja,2010-01-01,16,14,36,15,75,52,127,81,208
HUACARETA,estado nutricional,talla baja,2010-01-01,5,1,8,6,11,13,24,20,44
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla baja,2010-01-01,3,0,7,7,13,8,23,15,38
HUACHACALLA,estado nutricional,talla baja,2010-01-01,1,0,3,1,4,0,8,1,9
HUANUNI,estado nutricional,talla baja,2010-01-01,14,11,18,12,11,17,43,40,83
HUARACAJE,estado nutricional,talla baja,2010-01-01,4,1,0,0,3,1,7,2,9
HUARINA,estado nutricional,talla baja,2010-01-01,2,2,6,4,9,8,17,14,31
HUAYLLAMARCA,estado nutricional,talla baja,2010-01-01,1,1,4,4,5,2,10,7,17
HUMANATA,estado nutricional,talla baja,2010-01-01,8,4,21,6,4,7,33,17,50
ICHOCA,estado nutricional,talla baja,2010-01-01,5,5,1,4,7,9,13,18,31
ICLA,estado nutricional,talla baja,2010-01-01,13,7,40,36,110,134,163,177,340
INCAHUASI,estado nutricional,talla baja,2010-01-01,18,7,26,25,45,59,89,91,180
INGAVI (HUMAITA),estado nutricional,talla baja,2010-01-01,0,0,0,0,1,0,1,0,1
INQUISIVI,estado nutricional,talla baja,2010-01-01,3,2,10,4,14,12,27,18,45
IRUPANA (VILLA DE LANZA),estado nutricional,talla baja,2010-01-01,4,2,5,1,4,3,13,6,19
IXIAMAS,estado nutricional,talla baja,2010-01-01,0,1,3,3,5,9,8,13,21
JESUS DE MACHACA,estado nutricional,talla baja,2010-01-01,6,5,9,6,8,8,23,19,42
LA ASUNTA,estado nutricional,talla baja,2010-01-01,7,6,0,5,2,2,9,13,22
LA GUARDIA,estado nutricional,talla baja,2010-01-01,18,9,17,13,18,20,53,42,95
LA PAZ,estado nutricional,talla baja,2010-01-01,260,170,278,189,196,182,734,541,1275
LA RIVERA,estado nutricional,talla baja,2010-01-01,0,0,0,0,1,0,1,0,1
LAGUNILLAS,estado nutricional,talla baja,2010-01-01,1,2,9,7,18,15,28,24,52
LAJA,estado nutricional,talla baja,2010-01-01,0,7,2,3,4,2,6,12,18
LAS CARRERAS,estado nutricional,talla baja,2010-01-01,0,0,3,2,7,4,10,6,16
LICOMA PAMPA,estado nutricional,talla baja,2010-01-01,0,1,1,0,5,8,6,9,15
LLALLAGUA,estado nutricional,talla baja,2010-01-01,35,47,48,35,19,19,102,101,203
LLICA,estado nutricional,talla baja,2010-01-01,3,1,4,2,4,4,11,7,18
LURIBAY,estado nutricional,talla baja,2010-01-01,2,4,9,4,10,6,21,14,35
MACHACAMARCA,estado nutricional,talla baja,2010-01-01,3,0,3,0,2,2,8,2,10
MACHARETI,estado nutricional,talla baja,2010-01-01,3,2,5,3,5,2,13,7,20
MAGDALENA,estado nutricional,talla baja,2010-01-01,2,0,3,1,0,0,5,1,6
MAIRANA,estado nutricional,talla baja,2010-01-01,3,1,5,3,13,5,21,9,30
MALLA,estado nutricional,talla baja,2010-01-01,2,0,7,8,8,6,17,14,31
MAPIRI,estado nutricional,talla baja,2010-01-01,2,1,2,2,1,3,5,6,11
MECAPACA,estado nutricional,talla baja,2010-01-01,4,8,10,4,4,5,18,17,35
MINEROS,estado nutricional,talla baja,2010-01-01,8,3,17,10,15,11,40,24,64
MIZQUE,estado nutricional,talla baja,2010-01-01,21,10,15,11,19,34,55,55,110
MOCOMOCO,estado nutricional,talla baja,2010-01-01,5,6,9,10,31,22,45,38,83
MOJINETE,estado nutricional,talla baja,2010-01-01,2,0,2,2,1,3,5,5,10
MOJOCOYA,estado nutricional,talla baja,2010-01-01,3,4,6,6,15,16,24,26,50
MONTEAGUDO,estado nutricional,talla baja,2010-01-01,6,4,20,13,44,39,70,56,126
MONTERO,estado nutricional,talla baja,2010-01-01,37,25,28,27,36,21,101,73,174
MORO MORO,estado nutricional,talla baja,2010-01-01,1,0,1,2,2,1,4,3,7
MOROCHATA,estado nutricional,talla baja,2010-01-01,6,6,16,19,19,21,41,46,87
NAZACARA DE PACAJES,estado nutricional,talla baja,2010-01-01,1,0,1,2,0,1,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla baja,2010-01-01,0,0,2,3,0,2,2,5,7
OCURI,estado nutricional,talla baja,2010-01-01,32,17,78,63,81,89,191,169,360
OKINAWA,estado nutricional,talla baja,2010-01-01,3,2,3,0,2,0,8,2,10
OMEREQUE,estado nutricional,talla baja,2010-01-01,2,1,2,0,3,2,7,3,10
ORURO,estado nutricional,talla baja,2010-01-01,171,115,219,118,97,111,487,344,831
PADCAYA,estado nutricional,talla baja,2010-01-01,2,4,11,5,20,16,33,25,58
PADILLA,estado nutricional,talla baja,2010-01-01,9,4,10,13,54,61,73,78,151
PAILON,estado nutricional,talla baja,2010-01-01,4,3,6,1,2,3,12,7,19
PALCA,estado nutricional,talla baja,2010-01-01,8,17,9,4,13,11,30,32,62
PALOS BLANCOS,estado nutricional,talla baja,2010-01-01,7,7,16,10,22,34,45,51,96
PAMPA AULLAGAS,estado nutricional,talla baja,2010-01-01,2,2,18,5,6,3,26,10,36
PAMPA GRANDE,estado nutricional,talla baja,2010-01-01,2,1,1,1,4,3,7,5,12
PAPEL PAMPA,estado nutricional,talla baja,2010-01-01,0,0,1,2,2,1,3,3,6
PASORAPA,estado nutricional,talla baja,2010-01-01,0,2,1,3,7,3,8,8,16
PATACAMAYA,estado nutricional,talla baja,2010-01-01,9,15,12,13,11,4,32,32,64
PAZÑA,estado nutricional,talla baja,2010-01-01,7,5,14,7,16,14,37,26,63
PELECHUCO,estado nutricional,talla baja,2010-01-01,7,9,7,3,8,11,22,23,45
POCOATA,estado nutricional,talla baja,2010-01-01,50,25,88,73,105,98,243,196,439
POCONA,estado nutricional,talla baja,2010-01-01,6,6,10,18,12,11,28,35,63
POJO (CBBA),estado nutricional,talla baja,2010-01-01,2,2,17,8,11,9,30,19,49
POOPO,estado nutricional,talla baja,2010-01-01,5,2,16,5,13,6,34,13,47
PORCO,estado nutricional,talla baja,2010-01-01,20,9,16,8,7,10,43,27,70
POROMA,estado nutricional,talla baja,2010-01-01,19,12,30,33,81,87,130,132,262
PORONGO,estado nutricional,talla baja,2010-01-01,1,0,0,2,2,0,3,2,5
PORTACHUELO,estado nutricional,talla baja,2010-01-01,0,0,2,2,2,3,4,5,9
POSTRER VALLE,estado nutricional,talla baja,2010-01-01,0,2,0,2,2,0,2,4,6
POTOSI,estado nutricional,talla baja,2010-01-01,49,24,81,58,34,56,164,138,302
PRESTO,estado nutricional,talla baja,2010-01-01,13,5,27,10,64,42,104,57,161
PUCARA,estado nutricional,talla baja,2010-01-01,2,1,2,1,6,2,10,4,14
PUCARANI,estado nutricional,talla baja,2010-01-01,12,9,26,12,9,6,47,27,74
PUERTO ACOSTA,estado nutricional,talla baja,2010-01-01,2,3,8,9,3,2,13,14,27
PUERTO CARABUCO,estado nutricional,talla baja,2010-01-01,13,7,11,7,15,9,39,23,62
PUERTO GONZALO MORENO,estado nutricional,talla baja,2010-01-01,5,2,14,7,13,15,32,24,56
PUERTO PEREZ,estado nutricional,talla baja,2010-01-01,1,0,3,3,1,1,5,4,9
PUERTO RICO,estado nutricional,talla baja,2010-01-01,2,1,7,3,8,1,17,5,22
PUERTO SILES,estado nutricional,talla baja,2010-01-01,0,3,1,3,2,1,3,7,10
PUERTO VILLARROEL,estado nutricional,talla baja,2010-01-01,54,48,84,72,68,67,206,187,393
PUNATA,estado nutricional,talla baja,2010-01-01,11,2,13,12,6,7,30,21,51
QUIABAYA,estado nutricional,talla baja,2010-01-01,2,0,6,1,6,4,14,5,19
QUILLACOLLO,estado nutricional,talla baja,2010-01-01,16,18,18,12,6,9,40,39,79
QUIME,estado nutricional,talla baja,2010-01-01,4,2,13,6,15,12,32,20,52
QUIRUSILLAS,estado nutricional,talla baja,2010-01-01,0,0,0,0,1,1,1,1,2
RAVELO,estado nutricional,talla baja,2010-01-01,37,18,47,53,82,70,166,141,307
REYES,estado nutricional,talla baja,2010-01-01,7,2,5,9,3,2,15,13,28
RIBERALTA,estado nutricional,talla baja,2010-01-01,54,35,95,65,34,46,183,146,329
ROBORE,estado nutricional,talla baja,2010-01-01,2,0,0,0,0,0,2,0,2
RURRENABAQUE,estado nutricional,talla baja,2010-01-01,4,2,10,5,8,4,22,11,33
SABAYA,estado nutricional,talla baja,2010-01-01,0,1,4,1,4,5,8,7,15
SACABA,estado nutricional,talla baja,2010-01-01,26,17,57,42,75,54,158,113,271
SACABAMBA,estado nutricional,talla baja,2010-01-01,6,2,6,8,7,10,19,20,39
SACACA,estado nutricional,talla baja,2010-01-01,74,50,91,75,83,81,248,206,454
SALINAS DE GARCI MENDOZA,estado nutricional,talla baja,2010-01-01,4,1,15,4,8,12,27,17,44
SAMAIPATA,estado nutricional,talla baja,2010-01-01,0,2,0,2,5,2,5,6,11
SAN AGUSTIN,estado nutricional,talla baja,2010-01-01,0,0,0,0,0,1,0,1,1
SAN ANDRES DE MACHACA,estado nutricional,talla baja,2010-01-01,1,1,0,3,2,0,3,4,7
SAN ANTONIO DE ESMORUCO,estado nutricional,talla baja,2010-01-01,1,5,4,1,0,0,5,6,11
SAN BENITO,estado nutricional,talla baja,2010-01-01,9,11,11,17,15,11,35,39,74
SAN BORJA,estado nutricional,talla baja,2010-01-01,27,8,23,9,30,17,80,34,114
SAN BUENA VENTURA,estado nutricional,talla baja,2010-01-01,3,1,4,2,1,5,8,8,16
SAN CARLOS,estado nutricional,talla baja,2010-01-01,5,6,4,3,7,1,16,10,26
SAN IGNACIO,estado nutricional,talla baja,2010-01-01,3,8,3,8,10,8,16,24,40
SAN IGNACIO DE VELASCO,estado nutricional,talla baja,2010-01-01,15,11,25,31,41,32,81,74,155
SAN JAVIER(BNI),estado nutricional,talla baja,2010-01-01,0,1,1,2,2,3,3,6,9
SAN JAVIER(STC),estado nutricional,talla baja,2010-01-01,6,10,7,10,6,6,19,26,45
SAN JOAQUIN,estado nutricional,talla baja,2010-01-01,4,2,1,4,2,0,7,6,13
SAN JOSE DE CHIQUITOS,estado nutricional,talla baja,2010-01-01,2,0,3,0,1,2,6,2,8
SAN JUAN DE YAPACANI,estado nutricional,talla baja,2010-01-01,1,0,1,0,0,1,2,1,3
SAN LORENZO(PND),estado nutricional,talla baja,2010-01-01,0,1,2,0,0,1,2,2,4
SAN LORENZO(TJA),estado nutricional,talla baja,2010-01-01,14,9,19,13,18,13,51,35,86
SAN LUCAS,estado nutricional,talla baja,2010-01-01,55,44,122,111,223,207,400,362,762
SAN MIGUEL DE VELASCO,estado nutricional,talla baja,2010-01-01,3,4,2,0,2,3,7,7,14
SAN PABLO DE LIPEZ,estado nutricional,talla baja,2010-01-01,1,1,0,1,3,5,4,7,11
SAN PEDRO,estado nutricional,talla baja,2010-01-01,0,0,7,1,4,7,11,8,19
SAN PEDRO DE BUENA VISTA,estado nutricional,talla baja,2010-01-01,43,25,57,43,59,38,159,106,265
SAN PEDRO DE CURAHUARA,estado nutricional,talla baja,2010-01-01,9,2,4,3,2,4,15,9,24
SAN PEDRO DE QUEMES,estado nutricional,talla baja,2010-01-01,0,0,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,estado nutricional,talla baja,2010-01-01,0,3,1,1,3,8,4,12,16
SAN PEDRO(PND),estado nutricional,talla baja,2010-01-01,1,0,0,1,0,2,1,3,4
SAN RAFAEL,estado nutricional,talla baja,2010-01-01,0,4,1,0,1,2,2,6,8
SAN RAMON BENI,estado nutricional,talla baja,2010-01-01,3,1,4,3,1,4,8,8,16
SANTA ANA,estado nutricional,talla baja,2010-01-01,3,0,5,3,1,2,9,5,14
SANTA CRUZ DE LA SIERRA,estado nutricional,talla baja,2010-01-01,165,125,118,86,76,72,359,283,642
SANTA ROSA,estado nutricional,talla baja,2010-01-01,1,1,2,3,1,1,4,5,9
SANTA ROSA DEL SARA,estado nutricional,talla baja,2010-01-01,0,7,4,2,1,5,5,14,19
SANTIAGO DE CALLAPA,estado nutricional,talla baja,2010-01-01,3,0,3,1,2,4,8,5,13
SANTIAGO DE HUARI,estado nutricional,talla baja,2010-01-01,7,4,11,7,17,6,35,17,52
SANTIAGO DE HUATA,estado nutricional,talla baja,2010-01-01,4,2,2,2,2,1,8,5,13
SANTIAGO DE MACHACA,estado nutricional,talla baja,2010-01-01,3,4,5,9,9,1,17,14,31
SANTIVAÑES,estado nutricional,talla baja,2010-01-01,2,0,1,0,6,2,9,2,11
SANTUARIO DE QUILLACAS,estado nutricional,talla baja,2010-01-01,5,5,10,12,23,31,38,48,86
SAPAHAQUI,estado nutricional,talla baja,2010-01-01,7,3,15,15,11,23,33,41,74
SENA,estado nutricional,talla baja,2010-01-01,0,0,2,0,0,0,2,0,2
SHINAOTA,estado nutricional,talla baja,2010-01-01,17,8,15,19,13,11,45,38,83
SICA SICA (VILLA AROMA),estado nutricional,talla baja,2010-01-01,10,12,25,17,10,11,45,40,85
SICAYA,estado nutricional,talla baja,2010-01-01,1,3,11,6,19,12,31,21,52
SIPE SIPE,estado nutricional,talla baja,2010-01-01,1,7,4,6,4,9,9,22,31
SOPACHUY,estado nutricional,talla baja,2010-01-01,4,5,18,15,81,78,103,98,201
SORACACHI,estado nutricional,talla baja,2010-01-01,7,3,17,15,15,15,39,33,72
SORATA,estado nutricional,talla baja,2010-01-01,11,14,12,7,14,18,37,39,76
SUCRE,estado nutricional,talla baja,2010-01-01,74,41,67,53,89,81,230,175,405
TACACHI,estado nutricional,talla baja,2010-01-01,1,1,1,2,2,1,4,4,8
TACACOMA,estado nutricional,talla baja,2010-01-01,1,2,2,4,7,7,10,13,23
TACOBAMBA,estado nutricional,talla baja,2010-01-01,15,4,5,10,15,16,35,30,65
TACOPAYA,estado nutricional,talla baja,2010-01-01,13,8,24,11,31,23,68,42,110
TAHUA,estado nutricional,talla baja,2010-01-01,2,2,1,2,1,4,4,8,12
TAPACARI,estado nutricional,talla baja,2010-01-01,39,36,56,46,52,30,147,112,259
TARABUCO,estado nutricional,talla baja,2010-01-01,27,23,74,71,207,220,308,314,622
TARACO,estado nutricional,talla baja,2010-01-01,0,0,2,2,0,0,2,2,4
TARATA,estado nutricional,talla baja,2010-01-01,11,5,9,14,2,8,22,27,49
TARIJA,estado nutricional,talla baja,2010-01-01,49,25,60,49,53,40,162,114,276
TARVITA,estado nutricional,talla baja,2010-01-01,15,13,49,53,141,146,205,212,417
TEOPONTE,estado nutricional,talla baja,2010-01-01,8,7,8,8,5,15,21,30,51
TIAWANACU,estado nutricional,talla baja,2010-01-01,6,7,8,8,5,4,19,19,38
TINGUIPAYA,estado nutricional,talla baja,2010-01-01,6,1,2,4,3,3,11,8,19
TIPUANI,estado nutricional,talla baja,2010-01-01,2,1,2,1,2,2,6,4,10
TIQUIPAYA,estado nutricional,talla baja,2010-01-01,9,9,15,17,12,17,36,43,79
TIRAQUE (CBBA),estado nutricional,talla baja,2010-01-01,10,0,14,19,5,7,29,26,55
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla baja,2010-01-01,1,1,1,0,2,0,4,1,5
TOCO,estado nutricional,talla baja,2010-01-01,4,4,4,3,0,5,8,12,20
TOLATA,estado nutricional,talla baja,2010-01-01,0,0,0,2,0,0,0,2,2
TOLEDO,estado nutricional,talla baja,2010-01-01,1,4,7,3,5,3,13,10,23
TOMAVE,estado nutricional,talla baja,2010-01-01,12,13,16,11,17,12,45,36,81
TOMINA,estado nutricional,talla baja,2010-01-01,5,0,22,14,76,82,103,96,199
TORO TORO,estado nutricional,talla baja,2010-01-01,6,14,15,7,19,8,40,29,69
TOTORA(CBBA),estado nutricional,talla baja,2010-01-01,12,4,12,22,5,11,29,37,66
TOTORA(ORR),estado nutricional,talla baja,2010-01-01,1,1,6,4,5,2,12,7,19
TRIGAL,estado nutricional,talla baja,2010-01-01,0,0,1,0,0,1,1,1,2
TRINIDAD,estado nutricional,talla baja,2010-01-01,14,9,6,13,15,14,35,36,71
TUPIZA,estado nutricional,talla baja,2010-01-01,23,18,36,25,45,33,104,76,180
TURCO,estado nutricional,talla baja,2010-01-01,3,6,9,4,3,2,15,12,27
UMALA,estado nutricional,talla baja,2010-01-01,2,0,1,2,3,1,6,3,9
UNCIA,estado nutricional,talla baja,2010-01-01,11,11,18,16,17,36,46,63,109
URIONDO (A. CONCEPCION),estado nutricional,talla baja,2010-01-01,8,1,5,7,4,7,17,15,32
UYUNI,estado nutricional,talla baja,2010-01-01,10,13,26,17,23,29,59,59,118
VACAS,estado nutricional,talla baja,2010-01-01,8,0,10,9,10,9,28,18,46
VALLEGRANDE,estado nutricional,talla baja,2010-01-01,0,0,0,1,0,0,0,1,1
VIACHA,estado nutricional,talla baja,2010-01-01,16,11,27,23,11,18,54,52,106
VILA VILA,estado nutricional,talla baja,2010-01-01,5,9,16,14,27,19,48,42,90
VILLA CHARCAS,estado nutricional,talla baja,2010-01-01,20,15,21,27,24,33,65,75,140
VILLA MONTES,estado nutricional,talla baja,2010-01-01,5,6,13,14,12,16,30,36,66
VILLA NUEVA (LOMA ALTA),estado nutricional,talla baja,2010-01-01,0,0,11,4,1,2,12,6,18
